index,syst,chain,tm1,tm2,min,max,pdb
   0,3vqg_B_A-B_0,A,0.708,0.785,0.708,0.785,3vqg
   1,3ivq_D_B-D_1,B,0.388,0.301,0.301,0.388,3ivq
   2,5fgb_G_B-E-G_1,E,0.290,0.171,0.171,0.290,5fgb
   3,5fgb_G_B-E-G_1,B,0.282,0.165,0.165,0.282,5fgb
   4,5nqv_G_A-C-E-G_0,C,0.363,0.217,0.217,0.363,5nqv
   5,1elr_B_A-B_0,A,0.242,0.204,0.204,0.242,1elr
   6,6cd8_C_A-C_0,A,0.413,0.276,0.276,0.413,6cd8
   7,4ezw_E_A-E_0,A,0.294,0.174,0.174,0.294,4ezw
   8,5d9g_C_A-C_0,A,0.363,0.176,0.176,0.363,5d9g
   9,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.302,0.259,0.259,0.302,1kl5
  10,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.323,0.282,0.282,0.323,1kl5
  11,1b58_B_A-B_0,A,0.345,0.098,0.098,0.345,1b58
  12,6cwp_F_A-B-F_0,A,0.313,0.143,0.143,0.313,6cwp
  13,6cwp_F_A-B-F_0,B,0.311,0.135,0.135,0.311,6cwp
  14,3nik_X_D-X_2,D,0.280,0.308,0.280,0.308,3nik
  15,3cvl_B_A-B_0,A,0.277,0.122,0.122,0.277,3cvl
  16,4ojf_A_A-H-L_0,L,0.296,0.176,0.176,0.296,4ojf
  17,4ojf_A_A-H-L_0,H,0.310,0.178,0.178,0.310,4ojf
  18,5grg_D_A-B-C-D_0,A,0.307,0.146,0.146,0.307,5grg
  19,5huw_B_A-B-C_0,C,0.260,0.080,0.080,0.260,5huw
  20,3ny3_B_A-B_0,A,0.286,0.347,0.286,0.347,3ny3
  21,3wor_C_A-B-C-D_0,A,0.389,0.089,0.089,0.389,3wor
  22,5zw6_C_A-B-C-D_0,A,0.242,0.087,0.087,0.242,5zw6
  23,3drk_B_A-B_0,A,0.345,0.093,0.093,0.345,3drk
  24,2hpl_B_A-B_0,A,0.320,0.313,0.313,0.320,2hpl
  25,3rte_B_A-B_0,G,0.365,0.107,0.107,0.365,3rte
  26,3rte_B_A-B_0,A,0.365,0.107,0.107,0.365,3rte
  27,5y53_F_C-E-F_1,C,0.365,0.292,0.292,0.365,5y53
  28,5y53_F_C-E-F_1,E,0.364,0.291,0.291,0.364,5y53
  29,4k75_B_A-B_0,A,0.726,0.788,0.726,0.788,4k75
  30,4apo_D_B-D_1,B,0.236,0.175,0.175,0.236,4apo
  31,5fpk_C_A-C_0,A,0.289,0.163,0.163,0.289,5fpk
  32,4kg9_B_A-B_0,A,0.375,0.288,0.288,0.375,4kg9
  33,4j86_C_A-C_0,A,0.337,0.142,0.142,0.337,4j86
  34,3ou3_C_A-B-C_0,A,0.285,0.281,0.281,0.285,3ou3
  35,3ou3_C_A-B-C_0,B,0.293,0.287,0.287,0.293,3ou3
  36,4pyw_B_A-B-C_0,A,0.337,0.119,0.119,0.337,4pyw
  37,1uop_B_A-B_0,A,0.371,0.074,0.074,0.371,1uop
  38,1b40_B_A-B_0,A,0.345,0.098,0.098,0.345,1b40
  39,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.304,0.261,0.261,0.304,1kl3
  40,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.322,0.281,0.281,0.322,1kl3
  41,2v5w_G_B-G-L_1,B,0.295,0.111,0.111,0.295,2v5w
  42,5elq_P_A-P_0,A,0.945,0.964,0.945,0.964,5elq
  43,5wir_D_A-B-C-D_0,B,0.349,0.199,0.199,0.349,5wir
  44,3hda_Z_P-Z_0,P,0.321,0.115,0.115,0.321,3hda
  45,3m5m_C_B-C_1,B,0.327,0.200,0.200,0.327,3m5m
  46,2h9m_D_C-D_1,C,0.342,0.151,0.151,0.342,2h9m
  47,5gu4_C_A-C_0,A,0.343,0.170,0.170,0.343,5gu4
  48,4es0_C_A-C_0,A,0.343,0.148,0.148,0.343,4es0
  49,4quh_D_A-C-D-I-J_0,A,0.369,0.199,0.199,0.369,4quh
  50,3s9c_B_A-B_0,A,0.317,0.175,0.175,0.317,3s9c
  51,3cww_E_A-B-D-E_0,A,0.336,0.055,0.055,0.336,3cww
  52,1a30_C_A-B-C_0,A,0.290,0.285,0.285,0.290,1a30
  53,1a30_C_A-B-C_0,B,0.284,0.279,0.279,0.284,1a30
  54,6cdg_B_A-B_0,A,0.415,0.282,0.282,0.415,6cdg
  55,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.581,0.222,0.222,0.581,2z9i
  56,1b3g_B_A-B_0,A,0.345,0.098,0.098,0.345,1b3g
  57,2ce9_X_A-B-X_0,A,0.347,0.135,0.135,0.347,2ce9
  58,3upv_B_A-B_0,A,0.235,0.201,0.201,0.235,3upv
  59,4j44_B_A-B_0,A,0.277,0.299,0.277,0.299,4j44
  60,2d5w_C_A-C_0,A,0.321,0.079,0.079,0.321,2d5w
  61,1olc_B_A-B_0,A,0.344,0.098,0.098,0.344,1olc
  62,1lvm_C_A-C-E_0,A,0.313,0.168,0.168,0.313,1lvm
  63,4j82_C_A-C_0,A,0.338,0.148,0.148,0.338,4j82
