index,syst,chain,tm1,tm2,min,max,pdb
   0,4k75_B_A-B_0,A,0.207,0.262,0.207,0.262,4k75
   1,1a7c_B_A-B-C_0,A,0.377,0.178,0.178,0.377,1a7c
   2,2x6m_B_A-B_0,A,0.241,0.244,0.241,0.244,2x6m
   3,5fox_C_A-C_0,A,0.394,0.262,0.262,0.394,5fox
   4,4mvk_B_A-B_0,A,0.348,0.280,0.280,0.348,4mvk
   5,4k3m_E_A-B-E_0,A,0.275,0.134,0.134,0.275,4k3m
   6,2ce9_X_A-B-X_0,A,0.329,0.169,0.169,0.329,2ce9
   7,1d00_I_A-I_0,A,0.306,0.253,0.253,0.306,1d00
   8,4j79_B_A-B_0,A,0.333,0.181,0.181,0.333,4j79
   9,1nvs_B_A-B_0,A,0.345,0.198,0.198,0.345,1nvs
  10,3ifo_P_H-L-P_0,L,0.270,0.190,0.190,0.270,3ifo
  11,3ifo_P_H-L-P_0,H,0.295,0.204,0.204,0.295,3ifo
  12,4x2h_C_A-B-C_0,A,0.257,0.193,0.193,0.257,4x2h
  13,1b46_B_A-B_0,A,0.351,0.124,0.124,0.351,1b46
  14,3ivq_D_B-D_1,B,0.270,0.257,0.257,0.270,3ivq
  15,5v5p_A_A-B-C_0,C,0.594,0.234,0.234,0.594,5v5p
  16,6fqc_E_A-B-D-E_0,A,0.364,0.183,0.183,0.364,6fqc
  17,3rta_B_A-B_0,F,0.411,0.151,0.151,0.411,3rta
  18,3rta_B_A-B_0,A,0.411,0.151,0.151,0.411,3rta
  19,2wa8_D_C-D_1,C,0.270,0.322,0.270,0.322,2wa8
  20,5grg_D_A-B-C-D_0,A,0.300,0.173,0.173,0.300,5grg
  21,4qbr_P_A-P_0,A,0.290,0.278,0.278,0.290,4qbr
  22,6cd9_B_A-B_0,A,0.292,0.249,0.249,0.292,6cd9
  23,4ba3_B_A-B_0,A,0.575,0.226,0.226,0.575,4ba3
  24,3hda_Z_P-Z_0,P,0.417,0.182,0.182,0.417,3hda
  25,3lca_Q_A-Q_0,A,0.812,0.245,0.245,0.812,3lca
  26,4z0u_D_A-D_0,A,0.310,0.271,0.271,0.310,4z0u
  27,2fop_B_A-B_0,A,0.261,0.249,0.249,0.261,2fop
  28,2ql9_G_A-B-C-D-E-F-G_0,D,0.245,0.309,0.245,0.309,2ql9
  29,2ql9_G_A-B-C-D-E-F-G_0,A,0.335,0.316,0.316,0.335,2ql9
  30,2ql9_G_A-B-C-D-E-F-G_0,C,0.335,0.316,0.316,0.335,2ql9
  31,2ql9_G_A-B-C-D-E-F-G_0,B,0.247,0.312,0.247,0.312,2ql9
  32,1b3l_B_A-B_0,A,0.352,0.123,0.123,0.352,1b3l
  33,2b6n_B_A-B_0,A,0.406,0.240,0.240,0.406,2b6n
  34,4c2g_B_A-B-C_0,A,0.385,0.155,0.155,0.385,4c2g
  35,3sjk_B_A-B_0,A,0.266,0.212,0.212,0.266,3sjk
  36,4cic_Q_A-B-Q_0,A,0.272,0.258,0.258,0.272,4cic
  37,4cic_Q_A-B-Q_0,B,0.273,0.261,0.261,0.273,4cic
  38,3lny_B_A-B_0,A,0.220,0.270,0.220,0.270,3lny
  39,5y53_F_C-E-F_1,C,0.312,0.308,0.308,0.312,5y53
  40,5y53_F_C-E-F_1,E,0.317,0.312,0.312,0.317,5y53
  41,3f6k_N_A-N_0,A,0.364,0.103,0.103,0.364,3f6k
  42,5huy_B_A-B-C_0,C,0.577,0.229,0.229,0.577,5huy
  43,3woq_C_A-B-C-D_0,A,0.401,0.107,0.107,0.401,3woq
  44,2dze_X_A-B-X_0,A,0.229,0.201,0.201,0.229,2dze
  45,2dze_X_A-B-X_0,B,0.233,0.201,0.201,0.233,2dze
  46,3ebb_F_A-B-E-F_0,B,0.594,0.349,0.349,0.594,3ebb
  47,4ezw_E_A-E_0,A,0.334,0.228,0.228,0.334,4ezw
  48,4wnn_T_C-D-T_3,D,0.280,0.341,0.280,0.341,4wnn
  49,4wnn_T_C-D-T_3,C,0.227,0.315,0.227,0.315,4wnn
  50,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.280,0.340,0.280,0.340,1xb0
  51,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.280,0.340,0.280,0.340,1xb0
  52,5azf_C_A-C_0,A,0.330,0.348,0.330,0.348,5azf
  53,2zgh_B_A-B_0,A,0.297,0.202,0.202,0.297,2zgh
  54,3upv_B_A-B_0,A,0.761,0.777,0.761,0.777,3upv
  55,2i3h_C_A-C_0,A,0.280,0.350,0.280,0.350,2i3h
  56,5lb7_C_A-B-C_0,A,0.482,0.401,0.401,0.482,5lb7
  57,5lb7_C_A-B-C_0,B,0.410,0.630,0.410,0.630,5lb7
  58,4xal_B_A-B_0,A,0.243,0.324,0.243,0.324,4xal
  59,5e6o_E_B-E_1,B,0.330,0.355,0.330,0.355,5e6o
  60,2zjd_D_C-D_5,C,0.333,0.345,0.333,0.345,2zjd
  61,4ezy_B_A-B_2,A,0.353,0.235,0.235,0.353,4ezy
  62,1kyf_P_A-P_0,A,0.292,0.193,0.193,0.292,1kyf
  63,5lyn_C_A-B-C-D_0,A,0.801,0.775,0.775,0.801,5lyn
  64,5lyn_C_A-B-C-D_0,B,0.777,0.753,0.753,0.777,5lyn
  65,5jiu_C_A-B-C-D_0,A,0.359,0.260,0.260,0.359,5jiu
  66,4jop_C_A-C_0,A,0.208,0.264,0.208,0.264,4jop
  67,4fys_C_A-C_0,A,0.521,0.113,0.113,0.521,4fys
  68,4k76_G_C-G_2,C,0.213,0.271,0.213,0.271,4k76
  69,1jwg_D_B-D_1,B,0.471,0.442,0.442,0.471,1jwg
  70,3soq_Z_A-Z_0,A,0.340,0.189,0.189,0.340,3soq
  71,3mmg_C_A-C_0,A,0.314,0.217,0.217,0.314,3mmg
  72,1uoq_B_A-B_0,A,0.426,0.111,0.111,0.426,1uoq
  73,4j09_B_A-B_0,A,0.348,0.219,0.219,0.348,4j09
  74,4j09_B_A-B_0,C,0.348,0.219,0.219,0.348,4j09
  75,4j82_C_A-C_0,A,0.338,0.190,0.190,0.338,4j82
  76,3jrv_D_B-D_1,B,0.316,0.290,0.290,0.316,3jrv
  77,1d0a_G_A-B-C-G-H-I_0,A,0.307,0.254,0.254,0.307,1d0a
  78,5sxm_D_B-D_1,B,0.330,0.182,0.182,0.330,5sxm
  79,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.264,0.340,0.264,0.340,2y1l
  80,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.324,0.294,0.294,0.324,2y1l
  81,1b51_B_A-B_0,A,0.355,0.124,0.124,0.355,1b51
  82,3rc5_B_A-B_0,A,0.329,0.244,0.244,0.329,3rc5
  83,1svz_C_A-B-C-D_0,A,0.330,0.217,0.217,0.330,1svz
  84,1se0_B_A-B_0,A,0.278,0.326,0.278,0.326,1se0
  85,3nil_X_D-X_2,D,0.206,0.276,0.206,0.276,3nil
  86,1b58_B_A-B_0,A,0.342,0.126,0.126,0.342,1b58
  87,3m5n_F_B-F_1,B,0.326,0.241,0.241,0.326,3m5n
  88,3uoa_L_B-C-L-M_0,B,0.417,0.191,0.191,0.417,3uoa
  89,4gne_B_A-B_0,A,0.263,0.312,0.263,0.312,4gne
  90,2ipu_P_G-K-P_1,G,0.290,0.198,0.198,0.290,2ipu
  91,2ipu_P_G-K-P_1,K,0.285,0.193,0.193,0.285,2ipu
  92,4ouc_B_A-B_0,A,0.403,0.200,0.200,0.403,4ouc
  93,3f7o_X_A-X_0,A,0.416,0.227,0.227,0.416,3f7o
  94,4m38_E_A-B-E-F_0,A,0.376,0.193,0.193,0.376,4m38
  95,5wir_D_A-B-C-D_0,B,0.551,0.395,0.395,0.551,5wir
  96,4j45_B_A-B_0,A,0.250,0.324,0.250,0.324,4j45
  97,1kyd_P_A-P_0,A,0.287,0.193,0.193,0.287,1kyd
  98,5fov_E_A-E_0,A,0.401,0.266,0.266,0.401,5fov
  99,4j8b_B_A-B_0,A,0.340,0.188,0.188,0.340,4j8b
 100,4ny3_C_A-C_0,A,0.517,0.277,0.277,0.517,4ny3
 101,4ezq_B_A-B_1,A,0.344,0.233,0.233,0.344,4ezq
 102,5nqv_G_A-C-E-G_0,C,0.420,0.316,0.316,0.420,5nqv
 103,1evh_B_A-B_0,A,0.292,0.327,0.292,0.327,1evh
 104,2nph_S_A-B-S-T_0,A,0.206,0.246,0.206,0.246,2nph
 105,2nph_S_A-B-S-T_0,B,0.223,0.261,0.223,0.261,2nph
 106,6hpg_c_C-c_2,C,0.717,0.772,0.717,0.772,6hpg
 107,3s9c_B_A-B_0,A,0.290,0.199,0.199,0.290,3s9c
 108,4quh_D_A-C-D-I-J_0,A,0.402,0.265,0.265,0.402,4quh
 109,2r9q_X_A-C-X_1,C,0.356,0.184,0.184,0.356,2r9q
 110,1sua_C_A-C_0,A,0.395,0.244,0.244,0.395,1sua
 111,4ezz_B_A-B_1,A,0.347,0.232,0.232,0.347,4ezz
 112,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.448,0.214,0.214,0.448,4tr9
 113,1awr_J_D-J_5,D,0.332,0.281,0.281,0.332,1awr
 114,2y7l_B_A-B_0,A,0.338,0.175,0.175,0.338,2y7l
 115,3sxu_C_A-B-C_0,A,0.368,0.335,0.335,0.368,3sxu
 116,1v1t_S_A-B-S-T_0,B,0.291,0.245,0.245,0.291,1v1t
 117,5jjm_G_A-G-M_0,A,0.354,0.219,0.219,0.354,5jjm
 118,1b5i_B_A-B_0,A,0.352,0.124,0.124,0.352,1b5i
 119,3zin_C_A-B-C_0,A,0.574,0.227,0.227,0.574,3zin
 120,4f74_C_A-B-C_0,A,0.203,0.243,0.203,0.243,4f74
 121,4f74_C_A-B-C_0,B,0.248,0.292,0.248,0.292,4f74
 122,3vqg_B_A-B_0,A,0.206,0.264,0.206,0.264,3vqg
 123,2h9m_D_C-D_1,C,0.330,0.183,0.183,0.330,2h9m
 124,1hsb_C_A-B-C_0,A,0.288,0.172,0.172,0.288,1hsb
 125,5fou_C_A-C_0,A,0.398,0.264,0.264,0.398,5fou
 126,5t6p_E_C-D-E_1,D,0.307,0.225,0.225,0.307,5t6p
 127,5t6p_E_C-D-E_1,C,0.272,0.190,0.190,0.272,5t6p
 128,4mz6_A_A-C-E_0,E,0.549,0.224,0.224,0.549,4mz6
 129,3hds_E_A-D-E_0,D,0.258,0.286,0.258,0.286,3hds
 130,3hds_E_A-D-E_0,A,0.265,0.283,0.265,0.283,3hds
 131,5xup_D_A-B-C-D_0,B,0.509,0.385,0.385,0.509,5xup
 132,3rt9_B_A-B_0,F,0.409,0.152,0.152,0.409,3rt9
 133,3rt9_B_A-B_0,A,0.409,0.152,0.152,0.409,3rt9
 134,1b32_B_A-B_0,A,0.352,0.124,0.124,0.352,1b32
 135,3t70_F_A-B-C-F_0,A,0.270,0.244,0.244,0.270,3t70
 136,3t70_F_A-B-C-F_0,B,0.246,0.236,0.236,0.246,3t70
 137,4j86_C_A-C_0,A,0.316,0.176,0.176,0.316,4j86
 138,3fp2_Q_A-Q_0,A,0.811,0.243,0.243,0.811,3fp2
 139,3cbl_B_A-B_0,A,0.429,0.194,0.194,0.429,3cbl
 140,5fpk_C_A-C_0,A,0.402,0.265,0.265,0.402,5fpk
 141,1sem_C_A-B-C-D_0,A,0.165,0.268,0.165,0.268,1sem
 142,3nfl_G_B-C-F-G_5,C,0.215,0.282,0.215,0.282,3nfl
 143,1obz_P_A-B-P_0,A,0.286,0.241,0.241,0.286,1obz
 144,3drh_B_A-B_0,A,0.335,0.114,0.114,0.335,3drh
 145,6cdg_B_A-B_0,A,0.286,0.244,0.244,0.286,6cdg
 146,2orz_B_A-B_0,A,0.293,0.159,0.159,0.293,2orz
 147,1b3g_B_A-B_0,A,0.351,0.124,0.124,0.351,1b3g
 148,4faf_D_A-B-D_0,A,0.199,0.241,0.199,0.241,4faf
 149,4faf_D_A-B-D_0,B,0.215,0.249,0.215,0.249,4faf
 150,1b40_B_A-B_0,A,0.351,0.125,0.125,0.351,1b40
 151,3gq1_C_A-C_0,A,0.267,0.371,0.267,0.371,3gq1
 152,4j46_B_A-B_0,A,0.249,0.325,0.249,0.325,4j46
 153,4j78_B_A-B_0,A,0.333,0.181,0.181,0.333,4j78
 154,5iz2_Z_A-B-Z_0,B,0.329,0.333,0.329,0.333,5iz2
 155,2foo_B_A-B_0,A,0.259,0.248,0.248,0.259,2foo
 156,1oxn_F_E-F_7,E,0.308,0.376,0.308,0.376,1oxn
 157,3uf7_B_A-B-C_0,A,0.386,0.263,0.263,0.386,3uf7
 158,4iim_E_A-B-C-D-E_0,B,0.165,0.278,0.165,0.278,4iim
 159,4pyw_B_A-B-C_0,A,0.361,0.165,0.165,0.361,4pyw
 160,2v17_A_A-H-L_0,L,0.278,0.195,0.195,0.278,2v17
 161,2v17_A_A-H-L_0,H,0.280,0.191,0.191,0.280,2v17
 162,4z88_V_J-V_1,J,0.186,0.280,0.186,0.280,4z88
 163,6cd8_C_A-C_0,A,0.306,0.259,0.259,0.306,6cd8
 164,3gv4_H_A-H_0,A,0.262,0.316,0.262,0.316,3gv4
 165,4jor_D_B-D_1,B,0.211,0.271,0.211,0.271,4jor
 166,1qka_B_A-B_0,A,0.350,0.124,0.124,0.350,1qka
 167,1e4x_P_H-L-P_0,L,0.277,0.195,0.195,0.277,1e4x
 168,1e4x_P_H-L-P_0,H,0.294,0.203,0.203,0.294,1e4x
 169,4ezn_C_A-B-C-D_0,A,0.331,0.229,0.229,0.331,4ezn
 170,3nih_B_A-B_0,A,0.208,0.281,0.208,0.281,3nih
 171,5m5r_D_A-C-D_0,A,0.348,0.167,0.167,0.348,5m5r
 172,2fib_B_A-B_0,A,0.399,0.246,0.246,0.399,2fib
 173,5fgb_G_B-E-G_1,E,0.318,0.222,0.222,0.318,5fgb
 174,5fgb_G_B-E-G_1,B,0.285,0.197,0.197,0.285,5fgb
 175,4bjt_E_B-E_2,B,0.363,0.324,0.324,0.363,4bjt
 176,2foj_B_A-B_0,A,0.259,0.248,0.248,0.259,2foj
 177,5oav_B_A-B_0,A,0.176,0.298,0.176,0.298,5oav
 178,6eja_B_A-B_0,A,0.380,0.104,0.104,0.380,6eja
 179,1gyb_E_A-B-E-F_0,A,0.252,0.261,0.252,0.261,1gyb
 180,1gyb_E_A-B-E-F_0,B,0.251,0.260,0.251,0.260,1gyb
