index,syst,chain,tm1,tm2,min,max,pdb
   0,3shb_B_A-B_0,A,0.166,0.394,0.166,0.394,3shb
   1,1b05_B_A-B_0,A,0.362,0.195,0.195,0.362,1b05
   2,6cwp_F_A-B-F_0,A,0.279,0.233,0.233,0.279,6cwp
   3,6cwp_F_A-B-F_0,B,0.282,0.232,0.232,0.282,6cwp
   4,3nfk_D_A-B-C-D_2,B,0.181,0.351,0.181,0.351,3nfk
   5,4x2h_C_A-B-C_0,A,0.227,0.260,0.227,0.260,4x2h
   6,2x6m_B_A-B_0,A,0.473,0.838,0.473,0.838,2x6m
   7,5v5p_A_A-B-C_0,C,0.279,0.183,0.183,0.279,5v5p
   8,3s9c_B_A-B_0,A,0.272,0.270,0.270,0.272,3s9c
   9,3t64_F_A-B-C-F_0,A,0.275,0.372,0.275,0.372,3t64
  10,3t64_F_A-B-C-F_0,B,0.258,0.386,0.258,0.386,3t64
  11,5jjm_G_A-G-M_0,A,0.266,0.252,0.252,0.266,5jjm
  12,3t70_F_A-B-C-F_0,A,0.259,0.354,0.259,0.354,3t70
  13,3t70_F_A-B-C-F_0,B,0.258,0.382,0.258,0.382,3t70
  14,5iag_D_A-B-D_0,A,0.303,0.297,0.297,0.303,5iag
  15,1ghb_P_E-F-G-P_0,F,0.213,0.314,0.213,0.314,1ghb
  16,1ghb_P_E-F-G-P_0,G,0.175,0.337,0.175,0.337,1ghb
  17,1ghb_P_E-F-G-P_0,C,0.175,0.337,0.175,0.337,1ghb
  18,1ghb_P_E-F-G-P_0,B,0.213,0.314,0.213,0.314,1ghb
  19,3nil_X_D-X_2,D,0.173,0.374,0.173,0.374,3nil
  20,2h2f_B_A-B_0,A,0.282,0.281,0.281,0.282,2h2f
  21,4o51_N_A-B-N_1,A,0.446,0.480,0.446,0.480,4o51
  22,4o51_N_A-B-N_1,B,0.462,0.499,0.462,0.499,4o51
  23,2orz_B_A-B_0,A,0.351,0.281,0.281,0.351,2orz
  24,3gv4_H_A-H_0,A,0.205,0.392,0.205,0.392,3gv4
  25,5m5v_G_A-E-G-I_0,A,0.304,0.221,0.221,0.304,5m5v
  26,4ezw_E_A-E_0,A,0.267,0.282,0.267,0.282,4ezw
  27,1w9e_S_A-B-R-S-T_0,B,0.279,0.353,0.279,0.353,1w9e
  28,6fqc_E_A-B-D-E_0,A,0.274,0.210,0.210,0.274,6fqc
  29,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.379,0.349,0.349,0.379,5fjz
  30,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.377,0.347,0.347,0.377,5fjz
  31,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.161,0.309,0.161,0.309,2y1l
  32,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.214,0.288,0.214,0.288,2y1l
  33,4z8j_B_A-B_0,A,0.179,0.314,0.179,0.314,4z8j
  34,5kzt_C_A-C_0,A,0.385,0.209,0.209,0.385,5kzt
  35,1b5i_B_A-B_0,A,0.373,0.200,0.200,0.373,1b5i
  36,4m38_E_A-B-E-F_0,A,0.269,0.206,0.206,0.269,4m38
  37,3fp2_Q_A-Q_0,A,0.299,0.173,0.173,0.299,3fp2
  38,4joh_D_A-D_0,A,0.176,0.349,0.176,0.349,4joh
  39,3wor_C_A-B-C-D_0,A,0.346,0.147,0.147,0.346,3wor
  40,6cdc_C_A-C_0,A,0.285,0.373,0.285,0.373,6cdc
  41,3cbl_B_A-B_0,A,0.335,0.248,0.248,0.335,3cbl
  42,3fp4_Q_A-Q_0,A,0.301,0.174,0.174,0.301,3fp4
  43,1se0_B_A-B_0,A,0.208,0.373,0.208,0.373,1se0
  44,1rzx_B_A-B_0,A,0.194,0.357,0.194,0.357,1rzx
  45,1b46_B_A-B_0,A,0.361,0.195,0.195,0.361,1b46
  46,5lb7_C_A-B-C_0,A,0.232,0.295,0.232,0.295,5lb7
  47,5lb7_C_A-B-C_0,B,0.132,0.284,0.132,0.284,5lb7
  48,2ql9_G_A-B-C-D-E-F-G_0,D,0.158,0.302,0.158,0.302,2ql9
  49,2ql9_G_A-B-C-D-E-F-G_0,A,0.212,0.299,0.212,0.299,2ql9
  50,2ql9_G_A-B-C-D-E-F-G_0,C,0.214,0.302,0.214,0.302,2ql9
  51,2ql9_G_A-B-C-D-E-F-G_0,B,0.158,0.301,0.158,0.301,2ql9
  52,1czy_D_A-B-C-D-E_0,A,0.287,0.368,0.287,0.368,1czy
  53,3drj_B_A-B_0,A,0.358,0.179,0.179,0.358,3drj
  54,5nqv_G_A-C-E-G_0,C,0.245,0.281,0.245,0.281,5nqv
  55,4gyo_C_A-B-C-D_0,B,0.293,0.216,0.216,0.293,4gyo
