index,syst,chain,tm1,tm2,min,max,pdb
   0,4j82_C_A-C_0,A,0.370,0.147,0.147,0.370,4j82
   1,4j78_B_A-B_0,A,0.316,0.141,0.141,0.316,4j78
   2,4ezn_C_A-B-C-D_0,A,0.341,0.186,0.186,0.341,4ezn
   3,1lvm_C_A-C-E_0,A,0.319,0.184,0.184,0.319,1lvm
   4,4x2h_C_A-B-C_0,A,0.338,0.206,0.206,0.338,4x2h
   5,2x6m_B_A-B_0,A,0.363,0.305,0.305,0.363,2x6m
   6,3zin_C_A-B-C_0,A,0.253,0.087,0.087,0.253,3zin
   7,5tu5_B_A-B_0,A,0.375,0.164,0.164,0.375,5tu5
   8,1v1t_S_A-B-S-T_0,B,0.735,0.455,0.455,0.735,1v1t
   9,5jiu_C_A-B-C-D_0,A,0.313,0.185,0.185,0.313,5jiu
  10,4quh_D_A-C-D-I-J_0,A,0.339,0.181,0.181,0.339,4quh
  11,6hpg_c_C-c_2,C,0.274,0.238,0.238,0.274,6hpg
  12,1czy_D_A-B-C-D-E_0,A,0.334,0.230,0.230,0.334,1czy
  13,3emh_B_A-B_0,A,0.336,0.156,0.156,0.336,3emh
  14,4z0u_D_A-D_0,A,0.283,0.212,0.212,0.283,4z0u
  15,5oj5_B_A-B_0,A,0.335,0.152,0.152,0.335,5oj5
  16,5m5t_E_A-E-G-I_0,A,0.364,0.132,0.132,0.364,5m5t
  17,2i3h_C_A-C_0,A,0.293,0.303,0.293,0.303,2i3h
  18,4k3p_E_A-B-E_0,A,0.383,0.140,0.140,0.383,4k3p
  19,4q6f_H_C-H_2,C,0.217,0.305,0.217,0.305,4q6f
  20,3cbl_B_A-B_0,A,0.367,0.132,0.132,0.367,3cbl
  21,2zjd_D_C-D_5,C,0.365,0.308,0.308,0.365,2zjd
  22,5d9g_C_A-C_0,A,0.333,0.170,0.170,0.333,5d9g
  23,3q49_C_B-C_0,B,0.304,0.241,0.241,0.304,3q49
  24,4dgb_B_A-B_0,A,0.357,0.254,0.254,0.357,4dgb
  25,2foo_B_A-B_0,A,0.414,0.317,0.317,0.414,2foo
  26,1kyf_P_A-P_0,A,0.330,0.155,0.155,0.330,1kyf
  27,2v5f_X_A-X_0,A,0.245,0.242,0.242,0.245,2v5f
  28,4r5i_B_A-B_0,A,0.296,0.172,0.172,0.296,4r5i
  29,3woo_C_A-B-C-D_0,A,0.324,0.080,0.080,0.324,3woo
  30,5elq_P_A-P_0,A,0.742,0.749,0.742,0.749,5elq
  31,1oxn_F_E-F_7,E,0.283,0.284,0.283,0.284,1oxn
  32,1vwa_M_B-D-M-P_0,C,0.316,0.272,0.272,0.316,1vwa
  33,1vwa_M_B-D-M-P_0,B,0.324,0.271,0.271,0.324,1vwa
  34,3psl_D_B-D_1,B,0.352,0.162,0.162,0.352,3psl
  35,1uop_B_A-B_0,A,0.361,0.077,0.077,0.361,1uop
  36,5y53_F_C-E-F_1,C,0.374,0.305,0.305,0.374,5y53
  37,5y53_F_C-E-F_1,E,0.376,0.307,0.307,0.376,5y53
  38,1sts_P_B-D-M-P_0,D,0.315,0.268,0.268,0.315,1sts
  39,1sts_P_B-D-M-P_0,A,0.317,0.266,0.266,0.317,1sts
  40,4xi7_C_A-C_0,A,0.309,0.127,0.127,0.309,4xi7
