index,syst,chain,tm1,tm2,min,max,pdb
   0,3zs6_B_A-B_0,A,0.415,0.147,0.147,0.415,3zs6
   1,1olc_B_A-B_0,A,0.410,0.136,0.136,0.410,1olc
   2,5wir_D_A-B-C-D_0,B,0.298,0.213,0.213,0.298,5wir
   3,3fp4_Q_A-Q_0,A,0.308,0.111,0.111,0.308,3fp4
   4,4nnm_C_A-C_0,A,0.302,0.328,0.302,0.328,4nnm
   5,4j45_B_A-B_0,A,0.259,0.345,0.259,0.345,4j45
   6,4o4y_A_A-H-L_0,L,0.734,0.444,0.444,0.734,4o4y
   7,4o4y_A_A-H-L_0,H,0.820,0.495,0.495,0.820,4o4y
   8,4ny3_C_A-C_0,A,0.345,0.183,0.183,0.345,4ny3
   9,4pz3_C_A-B-C_0,B,0.364,0.320,0.320,0.364,4pz3
  10,4b3b_C_A-C_0,A,0.289,0.196,0.196,0.289,4b3b
  11,2fop_B_A-B_0,A,0.438,0.411,0.411,0.438,2fop
  12,3f7o_X_A-X_0,A,0.345,0.190,0.190,0.345,3f7o
  13,4v3i_B_A-B_0,A,0.299,0.261,0.261,0.299,4v3i
  14,3agy_C_A-B-C-D-F_0,A,0.321,0.250,0.250,0.321,3agy
  15,3vqg_B_A-B_0,A,0.290,0.370,0.290,0.370,3vqg
  16,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.465,0.273,0.273,0.465,5fjz
  17,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.464,0.273,0.273,0.464,5fjz
  18,4j44_B_A-B_0,A,0.255,0.333,0.255,0.333,4j44
  19,3nik_X_D-X_2,D,0.289,0.375,0.289,0.375,3nik
  20,4k3r_E_A-B-E_0,A,0.298,0.140,0.140,0.298,4k3r
  21,4sga_P_E-P_0,E,0.330,0.258,0.258,0.330,4sga
  22,2y7l_B_A-B_0,A,0.461,0.233,0.233,0.461,2y7l
  23,6eja_B_A-B_0,A,0.484,0.118,0.118,0.484,6eja
  24,3oqs_B_A-B_0,A,0.267,0.109,0.109,0.267,3oqs
  25,2x6m_B_A-B_0,A,1.000,1.000,1.000,1.000,2x6m
  26,1sdz_B_A-B_0,A,0.296,0.348,0.296,0.348,1sdz
  27,4es0_C_A-C_0,A,0.369,0.191,0.191,0.369,4es0
  28,2v1r_R_A-Q-R_0,A,0.227,0.345,0.227,0.345,2v1r
  29,1obz_P_A-B-P_0,A,0.286,0.239,0.239,0.286,1obz
  30,4k3q_E_A-B-E_0,A,0.299,0.140,0.140,0.299,4k3q
  31,3ziq_B_A-B-C_0,A,0.273,0.108,0.108,0.273,3ziq
  32,3zvy_D_B-D_0,B,0.210,0.304,0.210,0.304,3zvy
  33,6ew9_P_A-B-C-P-Q-R_0,A,0.335,0.174,0.174,0.335,6ew9
  34,5tu5_B_A-B_0,A,0.340,0.180,0.180,0.340,5tu5
  35,2v5w_G_B-G-L_1,B,0.342,0.162,0.162,0.342,2v5w
  36,5y53_F_C-E-F_1,C,0.285,0.278,0.278,0.285,5y53
  37,5y53_F_C-E-F_1,E,0.297,0.289,0.289,0.297,5y53
  38,5sxm_D_B-D_1,B,0.363,0.189,0.189,0.363,5sxm
  39,1b32_B_A-B_0,A,0.412,0.137,0.137,0.412,1b32
  40,4o51_N_A-B-N_1,A,0.727,0.449,0.449,0.727,4o51
  41,4o51_N_A-B-N_1,B,0.821,0.498,0.498,0.821,4o51
  42,5m5r_D_A-C-D_0,A,0.320,0.155,0.155,0.320,5m5r
  43,1v1t_S_A-B-S-T_0,B,0.299,0.251,0.251,0.299,1v1t
  44,5d9g_C_A-C_0,A,0.370,0.233,0.233,0.370,5d9g
  45,5fpk_C_A-C_0,A,0.300,0.206,0.206,0.300,5fpk
  46,4ezz_B_A-B_1,A,0.354,0.237,0.237,0.354,4ezz
  47,3nij_B_A-B_0,A,0.289,0.386,0.289,0.386,3nij
  48,4j84_D_B-D_1,B,0.338,0.185,0.185,0.338,4j84
  49,4kg9_B_A-B_0,A,0.435,0.406,0.406,0.435,4kg9
  50,4wnn_T_C-D-T_3,D,0.209,0.245,0.209,0.245,4wnn
  51,4wnn_T_C-D-T_3,C,0.206,0.275,0.206,0.275,4wnn
  52,3f6k_N_A-N_0,A,0.325,0.091,0.091,0.325,3f6k
  53,4rxh_A_A-B-C_0,B,0.251,0.097,0.097,0.251,4rxh
  54,1gyb_E_A-B-E-F_0,A,0.301,0.307,0.301,0.307,1gyb
  55,1gyb_E_A-B-E-F_0,B,0.296,0.303,0.296,0.303,1gyb
  56,1se0_B_A-B_0,A,0.297,0.348,0.297,0.348,1se0
  57,2v17_A_A-H-L_0,L,0.721,0.445,0.445,0.721,2v17
  58,2v17_A_A-H-L_0,H,0.885,0.515,0.515,0.885,2v17
  59,5uw3_E_A-E_0,A,0.334,0.087,0.087,0.334,5uw3
  60,5fou_C_A-C_0,A,0.319,0.218,0.218,0.319,5fou
  61,5v5p_A_A-B-C_0,C,0.267,0.108,0.108,0.267,5v5p
  62,2h2f_B_A-B_0,A,0.310,0.196,0.196,0.310,2h2f
  63,2f5b_P_H-L-P_0,L,0.722,0.445,0.445,0.722,2f5b
  64,2f5b_P_H-L-P_0,H,0.853,0.482,0.482,0.853,2f5b
  65,1b3g_B_A-B_0,A,0.403,0.138,0.138,0.403,1b3g
  66,1ddv_B_A-B_0,A,0.268,0.301,0.268,0.301,1ddv
  67,3upv_B_A-B_0,A,0.245,0.246,0.245,0.246,3upv
  68,3gv4_H_A-H_0,A,0.283,0.321,0.283,0.321,3gv4
  69,2zgh_B_A-B_0,A,0.341,0.226,0.226,0.341,2zgh
  70,4ezy_B_A-B_2,A,0.354,0.235,0.235,0.354,4ezy
  71,3drk_B_A-B_0,A,0.441,0.140,0.140,0.441,3drk
  72,1oby_Q_A-B-P-Q_0,A,0.265,0.363,0.265,0.363,1oby
  73,1oby_Q_A-B-P-Q_0,B,0.268,0.365,0.268,0.365,1oby
  74,1sts_P_B-D-M-P_0,D,0.367,0.376,0.367,0.376,1sts
  75,1sts_P_B-D-M-P_0,A,0.367,0.373,0.367,0.373,1sts
  76,1uoq_B_A-B_0,A,0.345,0.095,0.095,0.345,1uoq
  77,5lb7_C_A-B-C_0,A,0.254,0.208,0.208,0.254,5lb7
  78,5lb7_C_A-B-C_0,B,0.208,0.276,0.208,0.276,5lb7
  79,4c2g_B_A-B-C_0,A,0.323,0.124,0.124,0.323,4c2g
  80,1b05_B_A-B_0,A,0.402,0.140,0.140,0.402,1b05
  81,5grg_D_A-B-C-D_0,A,0.452,0.244,0.244,0.452,5grg
  82,3cbl_B_A-B_0,A,0.371,0.173,0.173,0.371,3cbl
