index,syst,chain,tm1,tm2,min,max,pdb
   0,2g30_S_A-P-S_0,A,0.385,0.230,0.230,0.385,2g30
   1,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.250,0.296,0.250,0.296,1xb0
   2,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.245,0.289,0.245,0.289,1xb0
   3,3drh_B_A-B_0,A,0.341,0.100,0.100,0.341,3drh
   4,5iz2_Z_A-B-Z_0,B,0.327,0.317,0.317,0.327,5iz2
   5,1jwg_D_B-D_1,B,0.269,0.246,0.246,0.269,1jwg
   6,3nim_X_F-X_3,F,0.219,0.282,0.219,0.282,3nim
   7,4pyw_B_A-B-C_0,A,0.312,0.134,0.134,0.312,4pyw
   8,1oby_Q_A-B-P-Q_0,A,0.246,0.334,0.246,0.334,1oby
   9,1oby_Q_A-B-P-Q_0,B,0.246,0.340,0.246,0.340,1oby
  10,4j09_B_A-B_0,A,0.322,0.193,0.193,0.322,4j09
  11,4j09_B_A-B_0,C,0.322,0.193,0.193,0.322,4j09
  12,3srj_D_A-C-D_0,A,0.318,0.179,0.179,0.318,3srj
  13,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.362,0.173,0.173,0.362,4tr9
  14,3g19_C_A-C_0,A,0.245,0.302,0.245,0.302,3g19
  15,4xi7_C_A-C_0,A,0.316,0.154,0.154,0.316,4xi7
  16,4x2h_C_A-B-C_0,A,0.455,0.310,0.310,0.455,4x2h
  17,1fch_C_A-B-C-D_2,F,0.278,0.144,0.144,0.278,1fch
  18,1fch_C_A-B-C-D_2,A,0.269,0.144,0.144,0.269,1fch
  19,3zs6_B_A-B_0,A,0.385,0.129,0.129,0.385,3zs6
  20,3emh_B_A-B_0,A,0.354,0.182,0.182,0.354,3emh
  21,3jrv_D_B-D_1,B,0.260,0.233,0.233,0.260,3jrv
  22,4q6f_H_C-H_2,C,0.190,0.316,0.190,0.316,4q6f
  23,1sem_C_A-B-C-D_0,A,0.228,0.377,0.228,0.377,1sem
  24,5t6p_E_C-D-E_1,D,0.412,0.286,0.286,0.412,5t6p
  25,5t6p_E_C-D-E_1,C,0.389,0.260,0.260,0.389,5t6p
  26,3uf7_B_A-B-C_0,A,0.317,0.207,0.207,0.317,3uf7
  27,5v5p_A_A-B-C_0,C,0.278,0.114,0.114,0.278,5v5p
  28,4jok_D_B-D_1,B,0.257,0.315,0.257,0.315,4jok
  29,3zin_C_A-B-C_0,A,0.285,0.114,0.114,0.285,3zin
  30,3gv4_H_A-H_0,A,0.294,0.328,0.294,0.328,3gv4
  31,1uoq_B_A-B_0,A,0.356,0.094,0.094,0.356,1uoq
  32,2i3h_C_A-C_0,A,0.251,0.297,0.251,0.297,2i3h
  33,3mmg_C_A-C_0,A,0.311,0.210,0.210,0.311,3mmg
  34,4j44_B_A-B_0,A,0.225,0.279,0.225,0.279,4j44
  35,4kg9_B_A-B_0,A,0.336,0.305,0.305,0.336,4kg9
  36,1d00_I_A-I_0,A,0.432,0.338,0.338,0.432,1d00
  37,1kyd_P_A-P_0,A,0.387,0.227,0.227,0.387,1kyd
  38,3ny3_B_A-B_0,A,0.203,0.271,0.203,0.271,3ny3
  39,1nvs_B_A-B_0,A,0.337,0.195,0.195,0.337,1nvs
  40,4mz6_A_A-C-E_0,E,0.254,0.108,0.108,0.254,4mz6
  41,1b58_B_A-B_0,A,0.367,0.122,0.122,0.367,1b58
  42,4fii_B_A-B_0,A,0.343,0.183,0.183,0.343,4fii
  43,4j82_C_A-C_0,A,0.380,0.190,0.190,0.380,4j82
  44,1evh_B_A-B_0,A,0.334,0.352,0.334,0.352,1evh
  45,2foj_B_A-B_0,A,0.342,0.312,0.312,0.342,2foj
  46,4b3b_C_A-C_0,A,0.316,0.215,0.215,0.316,4b3b
  47,2nph_S_A-B-S-T_0,A,0.253,0.284,0.253,0.284,2nph
  48,2nph_S_A-B-S-T_0,B,0.260,0.294,0.260,0.294,2nph
  49,1yti_I_A-I_0,A,0.269,0.309,0.269,0.309,1yti
  50,1yti_I_A-I_0,B,0.269,0.309,0.269,0.309,1yti
  51,1vwa_M_B-D-M-P_0,C,0.969,0.961,0.961,0.969,1vwa
  52,1vwa_M_B-D-M-P_0,B,0.971,0.948,0.948,0.971,1vwa
  53,2v1r_R_A-Q-R_0,A,0.253,0.371,0.253,0.371,2v1r
  54,4z88_V_J-V_1,J,0.223,0.319,0.223,0.319,4z88
  55,3agy_C_A-B-C-D-F_0,A,0.289,0.224,0.224,0.289,3agy
  56,2hl3_C_A-B-C_0,A,0.214,0.281,0.214,0.281,2hl3
  57,2hl3_C_A-B-C_0,B,0.214,0.287,0.214,0.287,2hl3
  58,4z8j_B_A-B_0,A,0.261,0.304,0.261,0.304,4z8j
  59,3ifo_P_H-L-P_0,L,0.385,0.256,0.256,0.385,3ifo
  60,3ifo_P_H-L-P_0,H,0.392,0.265,0.265,0.392,3ifo
  61,3lca_Q_A-Q_0,A,0.271,0.098,0.098,0.271,3lca
  62,3mqr_B_A-B_0,A,0.345,0.316,0.316,0.345,3mqr
  63,5xup_D_A-B-C-D_0,B,0.259,0.192,0.192,0.259,5xup
  64,4j8b_B_A-B_0,A,0.390,0.203,0.203,0.390,4j8b
  65,1b3l_B_A-B_0,A,0.364,0.121,0.121,0.364,1b3l
  66,2r9q_X_A-C-X_1,C,0.365,0.172,0.172,0.365,2r9q
  67,4es0_C_A-C_0,A,0.375,0.191,0.191,0.375,4es0
  68,3sjk_B_A-B_0,A,0.321,0.248,0.248,0.321,3sjk
  69,1v1t_S_A-B-S-T_0,B,0.308,0.249,0.249,0.308,1v1t
  70,1uop_B_A-B_0,A,0.359,0.093,0.093,0.359,1uop
  71,4ba3_B_A-B_0,A,0.265,0.112,0.112,0.265,4ba3
  72,3woo_C_A-B-C-D_0,A,0.383,0.097,0.097,0.383,3woo
  73,4k3o_E_A-B-E_0,A,0.330,0.142,0.142,0.330,4k3o
  74,5lb7_C_A-B-C_0,A,0.252,0.206,0.206,0.252,5lb7
  75,5lb7_C_A-B-C_0,B,0.195,0.255,0.195,0.255,5lb7
  76,1wcy_C_A-B-C-D_0,A,0.426,0.093,0.093,0.426,1wcy
  77,4nnm_C_A-C_0,A,0.270,0.284,0.270,0.284,4nnm
  78,4k3q_E_A-B-E_0,A,0.322,0.140,0.140,0.322,4k3q
  79,3nfk_D_A-B-C-D_2,B,0.268,0.320,0.268,0.320,3nfk
  80,4jwd_C_B-C_1,B,0.403,0.259,0.259,0.403,4jwd
  81,6cdg_B_A-B_0,A,0.660,0.508,0.508,0.660,6cdg
  82,3l81_B_A-B_0,A,0.382,0.216,0.216,0.382,3l81
  83,4mvk_B_A-B_0,A,0.579,0.434,0.434,0.579,4mvk
  84,4ouc_B_A-B_0,A,0.352,0.164,0.164,0.352,4ouc
  85,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.344,0.198,0.198,0.344,5fjz
  86,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.363,0.207,0.207,0.363,5fjz
  87,4k75_B_A-B_0,A,0.256,0.316,0.256,0.316,4k75
  88,2h2f_B_A-B_0,A,0.285,0.181,0.181,0.285,2h2f
  89,5uw3_E_A-E_0,A,0.376,0.094,0.094,0.376,5uw3
  90,4fys_C_A-C_0,A,0.379,0.081,0.081,0.379,4fys
  91,1ddv_B_A-B_0,A,0.305,0.336,0.305,0.336,1ddv
  92,2foo_B_A-B_0,A,0.379,0.348,0.348,0.379,2foo
  93,2ipu_P_G-K-P_1,G,0.393,0.262,0.262,0.393,2ipu
  94,2ipu_P_G-K-P_1,K,0.390,0.256,0.256,0.390,2ipu
  95,4jop_C_A-C_0,A,0.257,0.319,0.257,0.319,4jop
  96,5iza_B_A-B_0,A,0.247,0.127,0.127,0.247,5iza
  97,4g69_B_A-B_0,A,0.271,0.310,0.271,0.310,4g69
  98,3drk_B_A-B_0,A,0.342,0.100,0.100,0.342,3drk
  99,3wor_C_A-B-C-D_0,A,0.371,0.098,0.098,0.371,3wor
 100,1h27_E_A-B-E_0,B,0.294,0.177,0.177,0.294,1h27
 101,6hpg_c_C-c_2,C,0.263,0.268,0.263,0.268,6hpg
 102,3nii_B_A-B_0,A,0.215,0.279,0.215,0.279,3nii
 103,5kzt_C_A-C_0,A,0.369,0.122,0.122,0.369,5kzt
 104,3qhw_L_A-B-J-L_0,B,0.292,0.170,0.170,0.292,3qhw
 105,3t70_F_A-B-C-F_0,A,0.343,0.297,0.297,0.343,3t70
 106,3t70_F_A-B-C-F_0,B,0.341,0.314,0.314,0.341,3t70
 107,4ezn_C_A-B-C-D_0,A,0.361,0.240,0.240,0.361,4ezn
 108,6cd9_B_A-B_0,A,0.660,0.503,0.503,0.660,6cd9
 109,5b74_D_A-B-D_0,B,0.277,0.268,0.268,0.277,5b74
 110,3nij_B_A-B_0,A,0.215,0.279,0.215,0.279,3nij
 111,3nik_X_D-X_2,D,0.220,0.285,0.220,0.285,3nik
 112,3drj_B_A-B_0,A,0.335,0.109,0.109,0.335,3drj
 113,3upv_B_A-B_0,A,0.259,0.253,0.253,0.259,3upv
 114,1tw6_C_A-B-C-D_2,F,0.246,0.282,0.246,0.282,1tw6
 115,1tw6_C_A-B-C-D_2,A,0.247,0.297,0.247,0.297,1tw6
 116,5fov_E_A-E_0,A,0.320,0.215,0.215,0.320,5fov
 117,3sxu_C_A-B-C_0,A,0.289,0.254,0.254,0.289,3sxu
 118,2v3s_C_B-C_1,B,0.346,0.396,0.346,0.396,2v3s
 119,4hxj_C_A-C_0,A,0.237,0.403,0.237,0.403,4hxj
 120,2fib_B_A-B_0,A,0.408,0.235,0.235,0.408,2fib
 121,4ojf_A_A-H-L_0,L,0.383,0.254,0.254,0.383,4ojf
 122,4ojf_A_A-H-L_0,H,0.414,0.275,0.275,0.414,4ojf
 123,1se0_B_A-B_0,A,0.258,0.294,0.258,0.294,1se0
 124,1ok7_C_A-B-C_0,B,0.324,0.135,0.135,0.324,1ok7
