index,syst,chain,tm1,tm2,min,max,pdb
   0,4ouc_B_A-B_0,A,0.305,0.202,0.202,0.305,4ouc
   1,4apo_D_B-D_1,B,0.199,0.232,0.199,0.232,4apo
   2,4j09_B_A-B_0,A,0.235,0.192,0.192,0.235,4j09
   3,4j09_B_A-B_0,C,0.235,0.192,0.192,0.235,4j09
   4,1v1t_S_A-B-S-T_0,B,0.230,0.258,0.230,0.258,1v1t
   5,3woq_C_A-B-C-D_0,A,0.373,0.142,0.142,0.373,3woq
   6,4b8o_C_A-B-C_0,A,0.241,0.128,0.128,0.241,4b8o
   7,3lca_Q_A-Q_0,A,0.292,0.146,0.146,0.292,3lca
   8,5uw3_E_A-E_0,A,0.317,0.120,0.120,0.317,5uw3
   9,1b5j_B_A-B_0,A,0.392,0.185,0.185,0.392,1b5j
  10,4r5i_B_A-B_0,A,0.258,0.233,0.233,0.258,4r5i
  11,5kzt_C_A-C_0,A,0.383,0.182,0.182,0.383,5kzt
  12,3nfk_D_A-B-C-D_2,B,0.205,0.344,0.205,0.344,3nfk
  13,3srj_D_A-C-D_0,A,0.322,0.237,0.237,0.322,3srj
  14,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.310,0.454,0.310,0.454,1kl5
  15,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.309,0.449,0.309,0.449,1kl5
  16,5gu4_C_A-C_0,A,0.268,0.218,0.218,0.268,5gu4
  17,4k3p_E_A-B-E_0,A,0.257,0.164,0.164,0.257,4k3p
  18,3nij_B_A-B_0,A,0.197,0.341,0.197,0.341,3nij
  19,1b46_B_A-B_0,A,0.394,0.188,0.188,0.394,1b46
  20,3uoa_L_B-C-L-M_0,B,0.285,0.179,0.179,0.285,3uoa
  21,5v5p_A_A-B-C_0,C,0.234,0.128,0.128,0.234,5v5p
  22,5m5v_G_A-E-G-I_0,A,0.251,0.163,0.163,0.251,5m5v
  23,5jjm_G_A-G-M_0,A,0.283,0.233,0.233,0.283,5jjm
  24,4b3b_C_A-C_0,A,0.252,0.228,0.228,0.252,4b3b
  25,3agy_C_A-B-C-D-F_0,A,0.229,0.243,0.229,0.243,3agy
  26,4ezq_B_A-B_1,A,0.261,0.241,0.241,0.261,4ezq
  27,3g19_C_A-C_0,A,0.210,0.374,0.210,0.374,3g19
