index,syst,chain,tm1,tm2,min,max,pdb
   0,3nim_X_F-X_3,F,0.108,0.289,0.108,0.289,3nim
   1,4q6f_H_C-H_2,C,0.108,0.371,0.108,0.371,4q6f
   2,4jmy_E_A-C-E_0,A,0.256,0.366,0.256,0.366,4jmy
   3,1b5i_B_A-B_0,A,0.329,0.221,0.221,0.329,1b5i
   4,1a7c_B_A-B-C_0,A,0.265,0.232,0.232,0.265,1a7c
   5,5oav_B_A-B_0,A,0.114,0.410,0.114,0.410,5oav
   6,4j44_B_A-B_0,A,0.153,0.351,0.153,0.351,4j44
   7,4j79_B_A-B_0,A,0.994,0.997,0.994,0.997,4j79
   8,3tcg_I_A-I_0,A,0.334,0.227,0.227,0.334,3tcg
   9,3jrv_D_B-D_1,B,0.186,0.307,0.186,0.307,3jrv
  10,4apo_D_B-D_1,B,0.183,0.291,0.183,0.291,4apo
  11,3m5m_C_B-C_1,B,0.276,0.373,0.276,0.373,3m5m
  12,3zin_C_A-B-C_0,A,0.278,0.216,0.216,0.278,3zin
  13,3m5n_F_B-F_1,B,0.274,0.366,0.274,0.366,3m5n
  14,2v5w_G_B-G-L_1,B,0.352,0.305,0.305,0.352,2v5w
  15,6exj_B_A-B_0,A,0.137,0.340,0.137,0.340,6exj
  16,2nph_S_A-B-S-T_0,A,0.141,0.304,0.141,0.304,2nph
  17,2nph_S_A-B-S-T_0,B,0.141,0.307,0.141,0.307,2nph
  18,6cdg_B_A-B_0,A,0.242,0.382,0.242,0.382,6cdg
  19,1obz_P_A-B-P_0,A,0.181,0.280,0.181,0.280,1obz
  20,3srj_D_A-C-D_0,A,0.287,0.289,0.287,0.289,3srj
  21,5iz2_Z_A-B-Z_0,B,0.147,0.264,0.147,0.264,5iz2
  22,1sua_C_A-C_0,A,0.298,0.327,0.298,0.327,1sua
  23,1b3l_B_A-B_0,A,0.317,0.217,0.217,0.317,1b3l
  24,1w9e_S_A-B-R-S-T_0,B,0.179,0.273,0.179,0.273,1w9e
  25,6ew9_P_A-B-C-P-Q-R_0,A,0.266,0.264,0.264,0.266,6ew9
  26,3upv_B_A-B_0,A,0.188,0.351,0.188,0.351,3upv
  27,5iag_D_A-B-D_0,A,0.252,0.297,0.252,0.297,5iag
  28,4fys_C_A-C_0,A,0.378,0.167,0.167,0.378,4fys
  29,4jjq_B_A-B_0,A,0.181,0.324,0.181,0.324,4jjq
  30,3nfl_G_B-C-F-G_5,C,0.146,0.323,0.146,0.323,3nfl
  31,4ojf_A_A-H-L_0,L,0.193,0.241,0.193,0.241,4ojf
  32,4ojf_A_A-H-L_0,H,0.241,0.302,0.241,0.302,4ojf
  33,4k3m_E_A-B-E_0,A,0.240,0.212,0.212,0.240,4k3m
  34,5ovv_B_A-B_0,A,0.153,0.333,0.153,0.333,5ovv
  35,4jor_D_B-D_1,B,0.133,0.336,0.133,0.336,4jor
  36,5m5u_G_A-E-G_0,A,0.730,0.628,0.628,0.730,5m5u
  37,4j47_B_A-B_0,A,0.163,0.387,0.163,0.387,4j47
  38,4fii_B_A-B_0,A,0.276,0.282,0.276,0.282,4fii
  39,4m38_E_A-B-E-F_0,A,0.286,0.265,0.265,0.286,4m38
  40,6fkp_G_C-G_2,C,0.108,0.354,0.108,0.354,6fkp
  41,1rzx_B_A-B_0,A,0.141,0.330,0.141,0.330,1rzx
  42,6fqc_E_A-B-D-E_0,A,0.259,0.240,0.240,0.259,6fqc
  43,1b58_B_A-B_0,A,0.327,0.223,0.223,0.327,1b58
  44,3rte_B_A-B_0,G,0.363,0.255,0.255,0.363,3rte
  45,3rte_B_A-B_0,A,0.363,0.255,0.255,0.363,3rte
  46,3uoa_L_B-C-L-M_0,B,0.281,0.246,0.246,0.281,3uoa
  47,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.162,0.378,0.162,0.378,1xb0
  48,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.164,0.386,0.164,0.386,1xb0
  49,2y7l_B_A-B_0,A,0.256,0.250,0.250,0.256,2y7l
  50,4iim_E_A-B-C-D-E_0,B,0.107,0.398,0.107,0.398,4iim
  51,4ikn_B_A-B_0,A,0.239,0.276,0.239,0.276,4ikn
  52,5d9g_C_A-C_0,A,0.220,0.252,0.220,0.252,5d9g
  53,4j78_B_A-B_0,A,0.994,0.997,0.994,0.997,4j78
  54,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.190,0.372,0.190,0.372,1kl5
  55,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.190,0.378,0.190,0.378,1kl5
  56,3cww_E_A-B-D-E_0,A,0.319,0.131,0.131,0.319,3cww
  57,2i3h_C_A-C_0,A,0.139,0.373,0.139,0.373,2i3h
