index,syst,chain,tm1,tm2,min,max,pdb
   0,4b3b_C_A-C_0,A,0.311,0.221,0.221,0.311,4b3b
   1,3fp4_Q_A-Q_0,A,0.315,0.123,0.123,0.315,3fp4
   2,3lny_B_A-B_0,A,0.237,0.281,0.237,0.281,3lny
   3,4wnn_T_C-D-T_3,D,0.231,0.275,0.231,0.275,4wnn
   4,4wnn_T_C-D-T_3,C,0.218,0.288,0.218,0.288,4wnn
   5,3emh_B_A-B_0,A,0.386,0.216,0.216,0.386,3emh
   6,3rte_B_A-B_0,G,0.336,0.127,0.127,0.336,3rte
   7,3rte_B_A-B_0,A,0.336,0.127,0.127,0.336,3rte
   8,4c2c_B_A-B-C_0,A,0.330,0.138,0.138,0.330,4c2c
   9,3vqg_B_A-B_0,A,0.242,0.316,0.242,0.316,3vqg
  10,6cdg_B_A-B_0,A,0.343,0.293,0.293,0.343,6cdg
  11,2v5w_G_B-G-L_1,B,0.350,0.164,0.164,0.350,2v5w
  12,4hxj_C_A-C_0,A,0.211,0.340,0.211,0.340,4hxj
  13,1d00_I_A-I_0,A,0.372,0.315,0.315,0.372,1d00
  14,4ojf_A_A-H-L_0,L,0.308,0.216,0.216,0.308,4ojf
  15,4ojf_A_A-H-L_0,H,0.329,0.223,0.223,0.329,4ojf
  16,1rzx_B_A-B_0,A,0.232,0.274,0.232,0.274,1rzx
  17,4k75_B_A-B_0,A,0.241,0.301,0.241,0.301,4k75
  18,2g30_S_A-P-S_0,A,0.340,0.220,0.220,0.340,2g30
  19,1nvs_B_A-B_0,A,0.338,0.207,0.207,0.338,1nvs
  20,1str_M_B-D-M-P_0,C,0.323,0.340,0.323,0.340,1str
  21,1str_M_B-D-M-P_0,B,0.319,0.332,0.319,0.332,1str
  22,1sts_P_B-D-M-P_0,D,0.315,0.331,0.315,0.331,1sts
  23,1sts_P_B-D-M-P_0,A,0.322,0.336,0.322,0.336,1sts
  24,3q47_C_B-C_0,B,0.252,0.250,0.250,0.252,3q47
  25,2v3s_C_B-C_1,B,0.259,0.313,0.259,0.313,2v3s
  26,4j82_C_A-C_0,A,0.376,0.209,0.209,0.376,4j82
  27,3tcg_I_A-I_0,A,0.329,0.115,0.115,0.329,3tcg
  28,5k4f_C_A-C_0,A,0.256,0.330,0.256,0.330,5k4f
  29,4j45_B_A-B_0,A,0.237,0.317,0.237,0.317,4j45
  30,3fp2_Q_A-Q_0,A,0.322,0.125,0.125,0.322,3fp2
  31,2hl3_C_A-B-C_0,A,0.182,0.250,0.182,0.250,2hl3
  32,2hl3_C_A-B-C_0,B,0.190,0.282,0.190,0.282,2hl3
  33,5jjm_G_A-G-M_0,A,0.273,0.169,0.169,0.273,5jjm
  34,2orz_B_A-B_0,A,0.345,0.179,0.179,0.345,2orz
  35,3ou3_C_A-B-C_0,A,0.346,0.426,0.346,0.426,3ou3
  36,3ou3_C_A-B-C_0,B,0.345,0.424,0.345,0.424,3ou3
  37,3upv_B_A-B_0,A,0.238,0.245,0.238,0.245,3upv
  38,3nij_B_A-B_0,A,0.237,0.317,0.237,0.317,3nij
  39,2bgr_Y_A-B-Y-Z_0,A,0.346,0.093,0.093,0.346,2bgr
  40,4j8b_B_A-B_0,A,0.371,0.209,0.209,0.371,4j8b
  41,4bjt_E_B-E_2,B,0.291,0.263,0.263,0.291,4bjt
  42,1b5j_B_A-B_0,A,0.330,0.115,0.115,0.330,1b5j
  43,3nfl_G_B-C-F-G_5,C,0.216,0.290,0.216,0.290,3nfl
  44,4joh_D_A-D_0,A,0.246,0.304,0.246,0.304,4joh
  45,2h9m_D_C-D_1,C,0.374,0.209,0.209,0.374,2h9m
  46,5xup_D_A-B-C-D_0,B,0.282,0.217,0.217,0.282,5xup
  47,1lvm_C_A-C-E_0,A,0.531,0.339,0.339,0.531,1lvm
  48,5iz2_Z_A-B-Z_0,B,0.254,0.260,0.254,0.260,5iz2
  49,1fch_C_A-B-C-D_2,F,0.295,0.166,0.166,0.295,1fch
  50,1fch_C_A-B-C-D_2,A,0.365,0.196,0.196,0.365,1fch
  51,3v43_Q_A-Q_0,A,0.235,0.257,0.235,0.257,3v43
  52,4f74_C_A-B-C_0,A,0.345,0.422,0.345,0.422,4f74
  53,4f74_C_A-B-C_0,B,0.344,0.421,0.344,0.421,4f74
  54,4iim_E_A-B-C-D-E_0,B,0.199,0.354,0.199,0.354,4iim
  55,4gne_B_A-B_0,A,0.226,0.271,0.226,0.271,4gne
  56,3gv4_H_A-H_0,A,0.284,0.352,0.284,0.352,3gv4
  57,3zin_C_A-B-C_0,A,0.311,0.125,0.125,0.311,3zin
