index,syst,chain,tm1,tm2,min,max,pdb
   0,3woo_C_A-B-C-D_0,A,0.301,0.253,0.253,0.301,3woo
   1,6fqc_E_A-B-D-E_0,A,0.211,0.308,0.211,0.308,6fqc
   2,4nnm_C_A-C_0,A,0.100,0.340,0.100,0.340,4nnm
   3,4odk_C_A-B-C_0,A,0.109,0.269,0.109,0.269,4odk
   4,3drh_B_A-B_0,A,1.000,1.000,1.000,1.000,3drh
   5,1str_M_B-D-M-P_0,C,0.104,0.328,0.104,0.328,1str
   6,1str_M_B-D-M-P_0,B,0.110,0.328,0.110,0.328,1str
   7,1evh_B_A-B_0,A,0.100,0.322,0.100,0.322,1evh
   8,5t6p_E_C-D-E_1,D,0.184,0.399,0.184,0.399,5t6p
   9,5t6p_E_C-D-E_1,C,0.189,0.391,0.189,0.391,5t6p
  10,2ipu_P_G-K-P_1,G,0.186,0.390,0.186,0.390,2ipu
  11,2ipu_P_G-K-P_1,K,0.187,0.384,0.187,0.384,2ipu
  12,4k76_G_C-G_2,C,0.092,0.397,0.092,0.397,4k76
  13,1d00_I_A-I_0,A,0.148,0.374,0.148,0.374,1d00
  14,5m5u_G_A-E-G_0,A,0.204,0.281,0.204,0.281,5m5u
  15,3zvy_D_B-D_0,B,0.066,0.289,0.066,0.289,3zvy
  16,2zjd_D_C-D_5,C,0.118,0.341,0.118,0.341,2zjd
  17,3qhw_L_A-B-J-L_0,B,0.198,0.348,0.198,0.348,3qhw
  18,4wnn_T_C-D-T_3,D,0.111,0.403,0.111,0.403,4wnn
  19,4wnn_T_C-D-T_3,C,0.086,0.391,0.086,0.391,4wnn
  20,5fov_E_A-E_0,A,0.190,0.372,0.190,0.372,5fov
  21,3mmg_C_A-C_0,A,0.156,0.309,0.156,0.309,3mmg
  22,4o4y_A_A-H-L_0,L,0.193,0.390,0.193,0.390,4o4y
  23,4o4y_A_A-H-L_0,H,0.179,0.368,0.179,0.368,4o4y
  24,4jop_C_A-C_0,A,0.085,0.364,0.085,0.364,4jop
  25,5k4f_C_A-C_0,A,0.089,0.376,0.089,0.376,5k4f
  26,4k72_C_A-C_0,A,0.093,0.361,0.093,0.361,4k72
  27,3tcg_I_A-I_0,A,0.678,0.724,0.678,0.724,3tcg
  28,6cd9_B_A-B_0,A,0.130,0.317,0.130,0.317,6cd9
  29,1v1t_S_A-B-S-T_0,B,0.149,0.379,0.149,0.379,1v1t
  30,3l81_B_A-B_0,A,0.162,0.295,0.162,0.295,3l81
  31,3drk_B_A-B_0,A,1.000,1.000,1.000,1.000,3drk
  32,4apo_D_B-D_1,B,0.113,0.304,0.113,0.304,4apo
  33,2h9m_D_C-D_1,C,0.187,0.294,0.187,0.294,2h9m
  34,5xup_D_A-B-C-D_0,B,0.163,0.348,0.163,0.348,5xup
  35,5wun_C_A-B-C_0,A,0.218,0.266,0.218,0.266,5wun
  36,5yba_B_A-B-C-D_0,A,0.131,0.305,0.131,0.305,5yba
  37,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.109,0.336,0.109,0.336,1kl5
  38,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.100,0.340,0.100,0.340,1kl5
  39,5zw6_C_A-B-C-D_0,A,0.229,0.298,0.229,0.298,5zw6
  40,3m5n_F_B-F_1,B,0.134,0.287,0.134,0.287,3m5n
  41,3fwv_C_A-C_0,A,0.114,0.335,0.114,0.335,3fwv
  42,5fpk_C_A-C_0,A,0.191,0.374,0.191,0.374,5fpk
  43,1b3g_B_A-B_0,A,0.679,0.725,0.679,0.725,1b3g
  44,5xcr_F_D-E-F_1,D,0.148,0.380,0.148,0.380,5xcr
  45,5xcr_F_D-E-F_1,E,0.151,0.378,0.151,0.378,5xcr
  46,1ddv_B_A-B_0,A,0.113,0.386,0.113,0.386,1ddv
  47,5kzt_C_A-C_0,A,0.647,0.699,0.647,0.699,5kzt
