index,syst,chain,tm1,tm2,min,max,pdb
   0,2v1r_R_A-Q-R_0,A,0.142,0.364,0.142,0.364,2v1r
   1,3hda_Z_P-Z_0,P,0.248,0.183,0.183,0.248,3hda
   2,2wa8_D_C-D_1,C,0.174,0.343,0.174,0.343,2wa8
   3,5iag_D_A-B-D_0,A,0.264,0.274,0.264,0.274,5iag
   4,4od7_E_C-E_2,C,0.276,0.336,0.276,0.336,4od7
   5,3rta_B_A-B_0,F,0.295,0.179,0.179,0.295,3rta
   6,3rta_B_A-B_0,A,0.295,0.179,0.179,0.295,3rta
   7,4zhb_B_A-B_0,A,0.159,0.282,0.159,0.282,4zhb
   8,4joh_D_A-D_0,A,0.178,0.356,0.178,0.356,4joh
   9,6exj_B_A-B_0,A,0.187,0.400,0.187,0.400,6exj
  10,2i3h_C_A-C_0,A,0.160,0.325,0.160,0.325,2i3h
  11,4j79_B_A-B_0,A,0.265,0.236,0.236,0.265,4j79
  12,5v5p_A_A-B-C_0,C,0.215,0.146,0.146,0.215,5v5p
  13,3nfk_D_A-B-C-D_2,B,0.196,0.430,0.196,0.430,3nfk
  14,4hxj_C_A-C_0,A,0.132,0.402,0.132,0.402,4hxj
  15,3nim_X_F-X_3,F,0.153,0.337,0.153,0.337,3nim
  16,4dgb_B_A-B_0,A,0.207,0.287,0.207,0.287,4dgb
  17,1b5i_B_A-B_0,A,0.353,0.211,0.211,0.353,1b5i
  18,5kzt_C_A-C_0,A,0.358,0.214,0.214,0.358,5kzt
  19,1d0a_G_A-B-C-G-H-I_0,A,0.215,0.291,0.215,0.291,1d0a
  20,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.217,0.384,0.217,0.384,1kl3
  21,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.215,0.389,0.215,0.389,1kl3
  22,2orz_B_A-B_0,A,0.280,0.240,0.240,0.280,2orz
  23,3drh_B_A-B_0,A,0.302,0.168,0.168,0.302,3drh
  24,4f75_C_A-B-C-D_0,A,0.188,0.365,0.188,0.365,4f75
  25,4f75_C_A-B-C-D_0,B,0.185,0.337,0.185,0.337,4f75
  26,1oby_Q_A-B-P-Q_0,A,0.181,0.455,0.181,0.455,1oby
  27,1oby_Q_A-B-P-Q_0,B,0.181,0.464,0.181,0.464,1oby
  28,5m5v_G_A-E-G-I_0,A,0.336,0.256,0.256,0.336,5m5v
  29,1w9e_S_A-B-R-S-T_0,B,0.261,0.347,0.261,0.347,1w9e
  30,2h59_D_A-B-D-E_0,A,0.238,0.242,0.238,0.242,2h59
  31,2h59_D_A-B-D-E_0,B,0.239,0.243,0.239,0.243,2h59
