index,syst,chain,tm1,tm2,min,max,pdb
   0,5y53_F_C-E-F_1,C,0.301,0.161,0.161,0.301,5y53
   1,5y53_F_C-E-F_1,E,0.301,0.176,0.176,0.301,5y53
   2,4que_E_A-C-D-E-H-J_0,A,0.316,0.123,0.123,0.316,4que
   3,1sdz_B_A-B_0,A,0.396,0.288,0.288,0.396,1sdz
   4,1s2k_B_A-B_0,A,0.266,0.123,0.123,0.266,1s2k
   5,3qhw_L_A-B-J-L_0,B,0.282,0.106,0.106,0.282,3qhw
   6,1fch_C_A-B-C-D_2,F,0.319,0.103,0.103,0.319,1fch
   7,1fch_C_A-B-C-D_2,A,0.278,0.095,0.095,0.278,1fch
   8,3jrv_D_B-D_1,B,0.267,0.156,0.156,0.267,3jrv
   9,1qka_B_A-B_0,A,0.336,0.062,0.062,0.336,1qka
  10,2foj_B_A-B_0,A,0.347,0.196,0.196,0.347,2foj
  11,3tcg_I_A-I_0,A,0.329,0.061,0.061,0.329,3tcg
  12,1b9j_B_A-B_0,A,0.335,0.062,0.062,0.335,1b9j
  13,1evh_B_A-B_0,A,0.263,0.189,0.189,0.263,1evh
  14,1b4z_B_A-B_0,A,0.336,0.062,0.062,0.336,1b4z
  15,3zs6_B_A-B_0,A,0.312,0.063,0.063,0.312,3zs6
  16,6exj_B_A-B_0,A,0.283,0.222,0.222,0.283,6exj
  17,3hds_E_A-D-E_0,D,0.261,0.173,0.173,0.261,3hds
  18,3hds_E_A-D-E_0,A,0.249,0.146,0.146,0.249,3hds
  19,3ou3_C_A-B-C_0,A,0.324,0.237,0.237,0.324,3ou3
  20,3ou3_C_A-B-C_0,B,0.327,0.238,0.238,0.327,3ou3
  21,3rte_B_A-B_0,G,0.320,0.070,0.070,0.320,3rte
  22,3rte_B_A-B_0,A,0.320,0.070,0.070,0.320,3rte
  23,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.271,0.078,0.078,0.271,4tr9
  24,4f74_C_A-B-C_0,A,0.327,0.237,0.237,0.327,4f74
  25,4f74_C_A-B-C_0,B,0.319,0.233,0.233,0.319,4f74
  26,4z8j_B_A-B_0,A,0.324,0.238,0.238,0.324,4z8j
  27,3gv4_H_A-H_0,A,0.419,0.268,0.268,0.419,3gv4
  28,1uoq_B_A-B_0,A,0.362,0.049,0.049,0.362,1uoq
  29,3cbl_B_A-B_0,A,0.341,0.100,0.100,0.341,3cbl
  30,1olc_B_A-B_0,A,0.336,0.062,0.062,0.336,1olc
  31,3woo_C_A-B-C-D_0,A,0.314,0.051,0.051,0.314,3woo
  32,4fii_B_A-B_0,A,0.370,0.120,0.120,0.370,4fii
  33,6cd8_C_A-C_0,A,0.302,0.162,0.162,0.302,6cd8
  34,4cic_Q_A-B-Q_0,A,0.264,0.154,0.154,0.264,4cic
  35,4cic_Q_A-B-Q_0,B,0.267,0.160,0.160,0.267,4cic
  36,4b8o_C_A-B-C_0,A,0.278,0.064,0.064,0.278,4b8o
  37,2d5w_C_A-C_0,A,0.341,0.051,0.051,0.341,2d5w
  38,1oby_Q_A-B-P-Q_0,A,0.304,0.257,0.257,0.304,1oby
  39,1oby_Q_A-B-P-Q_0,B,0.319,0.266,0.266,0.319,1oby
  40,5oav_B_A-B_0,A,0.277,0.267,0.267,0.277,5oav
  41,5lyn_C_A-B-C-D_0,A,0.302,0.178,0.178,0.302,5lyn
  42,5lyn_C_A-B-C-D_0,B,0.275,0.161,0.161,0.275,5lyn
  43,2i3h_C_A-C_0,A,0.361,0.285,0.285,0.361,2i3h
  44,4k75_B_A-B_0,A,0.304,0.234,0.234,0.304,4k75
  45,5xup_D_A-B-C-D_0,B,0.302,0.135,0.135,0.302,5xup
  46,3lny_B_A-B_0,A,0.286,0.218,0.218,0.286,3lny
  47,3sxu_C_A-B-C_0,A,0.287,0.158,0.158,0.287,3sxu
  48,1czy_D_A-B-C-D-E_0,A,0.322,0.163,0.163,0.322,1czy
  49,1a7c_B_A-B-C_0,A,0.294,0.081,0.081,0.294,1a7c
  50,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.239,0.182,0.182,0.239,2y1l
  51,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.342,0.157,0.157,0.342,2y1l
  52,1u9l_C_B-C_1,B,0.281,0.239,0.239,0.281,1u9l
  53,4k3p_E_A-B-E_0,A,0.284,0.086,0.086,0.284,4k3p
  54,3mmg_C_A-C_0,A,0.304,0.114,0.114,0.304,3mmg
  55,4nnm_C_A-C_0,A,0.287,0.201,0.201,0.287,4nnm
  56,4o51_N_A-B-N_1,A,0.248,0.102,0.102,0.248,4o51
  57,4o51_N_A-B-N_1,B,0.248,0.098,0.098,0.248,4o51
  58,4wvh_C_A-C_0,A,0.307,0.062,0.062,0.307,4wvh
  59,2v5f_X_A-X_0,A,0.275,0.201,0.201,0.275,2v5f
  60,3fp4_Q_A-Q_0,A,0.285,0.057,0.057,0.285,3fp4
  61,1sts_P_B-D-M-P_0,D,0.296,0.190,0.190,0.296,1sts
  62,1sts_P_B-D-M-P_0,A,0.299,0.191,0.191,0.299,1sts
  63,3soq_Z_A-Z_0,A,0.342,0.102,0.102,0.342,3soq
  64,4ezz_B_A-B_1,A,0.274,0.114,0.114,0.274,4ezz
  65,4f75_C_A-B-C-D_0,A,0.323,0.236,0.236,0.323,4f75
  66,4f75_C_A-B-C-D_0,B,0.315,0.233,0.233,0.315,4f75
  67,3hda_Z_P-Z_0,P,0.309,0.090,0.090,0.309,3hda
  68,5huy_B_A-B-C_0,C,0.246,0.057,0.057,0.246,5huy
  69,2v5w_G_B-G-L_1,B,0.387,0.092,0.092,0.387,2v5w
  70,1ghb_P_E-F-G-P_0,F,0.316,0.191,0.191,0.316,1ghb
  71,1ghb_P_E-F-G-P_0,G,0.309,0.229,0.229,0.309,1ghb
  72,1ghb_P_E-F-G-P_0,C,0.309,0.229,0.229,0.309,1ghb
  73,1ghb_P_E-F-G-P_0,B,0.316,0.191,0.191,0.316,1ghb
  74,1b5j_B_A-B_0,A,0.335,0.062,0.062,0.335,1b5j
  75,2r9q_X_A-C-X_1,C,0.355,0.103,0.103,0.355,2r9q
  76,3nii_B_A-B_0,A,0.383,0.302,0.302,0.383,3nii
  77,3nim_X_F-X_3,F,0.377,0.293,0.293,0.377,3nim
  78,4j77_D_B-D_1,B,0.356,0.111,0.111,0.356,4j77
  79,5b74_D_A-B-D_0,B,0.311,0.200,0.200,0.311,5b74
  80,2h59_D_A-B-D-E_0,A,0.379,0.109,0.109,0.379,2h59
  81,2h59_D_A-B-D-E_0,B,0.384,0.109,0.109,0.384,2h59
  82,3o2b_D_C-D_1,C,0.291,0.189,0.189,0.291,3o2b
  83,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.426,0.304,0.304,0.426,1xb0
  84,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.359,0.268,0.268,0.359,1xb0
  85,4ezw_E_A-E_0,A,0.312,0.109,0.109,0.312,4ezw
  86,4ztd_F_A-B-C-D-E-F_0,C,0.269,0.107,0.107,0.269,4ztd
  87,2h2f_B_A-B_0,A,0.388,0.116,0.116,0.388,2h2f
  88,4quh_D_A-C-D-I-J_0,A,0.255,0.092,0.092,0.255,4quh
  89,1b05_B_A-B_0,A,0.333,0.062,0.062,0.333,1b05
  90,1gyb_E_A-B-E-F_0,A,0.301,0.196,0.196,0.301,1gyb
  91,1gyb_E_A-B-E-F_0,B,0.275,0.181,0.181,0.275,1gyb
  92,3t64_F_A-B-C-F_0,A,0.250,0.156,0.156,0.250,3t64
  93,3t64_F_A-B-C-F_0,B,0.286,0.176,0.176,0.286,3t64
  94,4joh_D_A-D_0,A,0.281,0.221,0.221,0.281,4joh
  95,5t6p_E_C-D-E_1,D,0.235,0.102,0.102,0.235,5t6p
  96,5t6p_E_C-D-E_1,C,0.259,0.096,0.096,0.259,5t6p
  97,6cdg_B_A-B_0,A,0.321,0.166,0.166,0.321,6cdg
  98,4j81_C_B-C_1,B,0.361,0.107,0.107,0.361,4j81
  99,4bjt_E_B-E_2,B,0.311,0.172,0.172,0.311,4bjt
