index,syst,chain,tm1,tm2,min,max,pdb
   0,3f6k_N_A-N_0,A,0.339,0.066,0.066,0.339,3f6k
   1,5azf_C_A-C_0,A,0.359,0.242,0.242,0.359,5azf
   2,3upv_B_A-B_0,A,0.263,0.173,0.173,0.263,3upv
   3,4faf_D_A-B-D_0,A,0.345,0.281,0.281,0.345,4faf
   4,4faf_D_A-B-D_0,B,0.339,0.276,0.276,0.339,4faf
   5,6cdg_B_A-B_0,A,0.357,0.201,0.201,0.357,6cdg
   6,3zvy_D_B-D_0,B,0.276,0.281,0.276,0.281,3zvy
   7,4es0_C_A-C_0,A,0.400,0.122,0.122,0.400,4es0
   8,3dri_B_A-B_0,A,0.409,0.081,0.081,0.409,3dri
   9,2y7l_B_A-B_0,A,0.365,0.119,0.119,0.365,2y7l
  10,1hsb_C_A-B-C_0,A,0.233,0.102,0.102,0.233,1hsb
  11,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.307,0.126,0.126,0.307,5fjz
  12,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.342,0.139,0.139,0.342,5fjz
  13,3mqr_B_A-B_0,A,0.322,0.217,0.217,0.322,3mqr
  14,4k72_C_A-C_0,A,0.323,0.281,0.281,0.323,4k72
  15,1gyb_E_A-B-E-F_0,A,0.404,0.277,0.277,0.404,1gyb
  16,1gyb_E_A-B-E-F_0,B,0.410,0.283,0.283,0.410,1gyb
  17,1a7c_B_A-B-C_0,A,0.335,0.101,0.101,0.335,1a7c
  18,3ufm_B_A-B_0,A,0.330,0.149,0.149,0.330,3ufm
  19,3f7o_X_A-X_0,A,0.364,0.121,0.121,0.364,3f7o
  20,5lyn_C_A-B-C-D_0,A,0.286,0.179,0.179,0.286,5lyn
  21,5lyn_C_A-B-C-D_0,B,0.236,0.157,0.157,0.236,5lyn
  22,2v1r_R_A-Q-R_0,A,0.767,0.777,0.767,0.777,2v1r
  23,5uw3_E_A-E_0,A,0.330,0.053,0.053,0.330,5uw3
  24,1ddv_B_A-B_0,A,0.390,0.299,0.299,0.390,1ddv
  25,1elr_B_A-B_0,A,0.274,0.179,0.179,0.274,1elr
  26,3nim_X_F-X_3,F,0.296,0.265,0.265,0.296,3nim
  27,2h9m_D_C-D_1,C,0.404,0.122,0.122,0.404,2h9m
  28,4mvk_B_A-B_0,A,0.356,0.196,0.196,0.356,4mvk
  29,3rt9_B_A-B_0,F,0.326,0.073,0.073,0.326,3rt9
  30,3rt9_B_A-B_0,A,0.326,0.073,0.073,0.326,3rt9
  31,4j78_B_A-B_0,A,0.374,0.119,0.119,0.374,4j78
  32,4z0u_D_A-D_0,A,0.264,0.164,0.164,0.264,4z0u
  33,3drh_B_A-B_0,A,0.411,0.081,0.081,0.411,3drh
  34,4joh_D_A-D_0,A,0.316,0.268,0.268,0.316,4joh
  35,4nnm_C_A-C_0,A,0.292,0.226,0.226,0.292,4nnm
  36,4j84_D_B-D_1,B,0.376,0.117,0.117,0.376,4j84
  37,1a30_C_A-B-C_0,A,0.342,0.279,0.279,0.342,1a30
  38,1a30_C_A-B-C_0,B,0.356,0.282,0.282,0.356,1a30
  39,3rta_B_A-B_0,F,0.344,0.074,0.074,0.344,3rta
  40,3rta_B_A-B_0,A,0.344,0.074,0.074,0.344,3rta
  41,1str_M_B-D-M-P_0,C,0.371,0.248,0.248,0.371,1str
  42,1str_M_B-D-M-P_0,B,0.377,0.250,0.250,0.377,1str
  43,1u9l_C_B-C_1,B,0.330,0.325,0.325,0.330,1u9l
  44,3soq_Z_A-Z_0,A,0.396,0.119,0.119,0.396,3soq
  45,3ziq_B_A-B-C_0,A,0.291,0.075,0.075,0.291,3ziq
  46,2fib_B_A-B_0,A,0.350,0.149,0.149,0.350,2fib
  47,2ql9_G_A-B-C-D-E-F-G_0,D,0.280,0.242,0.242,0.280,2ql9
  48,2ql9_G_A-B-C-D-E-F-G_0,A,0.342,0.209,0.209,0.342,2ql9
  49,2ql9_G_A-B-C-D-E-F-G_0,C,0.331,0.209,0.209,0.331,2ql9
  50,2ql9_G_A-B-C-D-E-F-G_0,B,0.280,0.241,0.241,0.280,2ql9
  51,3qhw_L_A-B-J-L_0,B,0.290,0.127,0.127,0.290,3qhw
  52,3wor_C_A-B-C-D_0,A,0.357,0.057,0.057,0.357,3wor
  53,2v3s_C_B-C_1,B,0.339,0.268,0.268,0.339,2v3s
  54,4pz3_C_A-B-C_0,B,0.278,0.174,0.174,0.278,4pz3
  55,1sdz_B_A-B_0,A,0.249,0.207,0.207,0.249,1sdz
  56,4k3m_E_A-B-E_0,A,0.337,0.103,0.103,0.337,4k3m
  57,6cd8_C_A-C_0,A,0.357,0.199,0.199,0.357,6cd8
  58,6fkp_G_C-G_2,C,0.271,0.310,0.271,0.310,6fkp
  59,5k4f_C_A-C_0,A,0.324,0.281,0.281,0.324,5k4f
  60,5b74_D_A-B-D_0,B,0.336,0.221,0.221,0.336,5b74
  61,3fp4_Q_A-Q_0,A,0.343,0.082,0.082,0.343,3fp4
  62,5fox_C_A-C_0,A,0.340,0.158,0.158,0.340,5fox
  63,4jop_C_A-C_0,A,0.318,0.278,0.278,0.318,4jop
  64,4k3o_E_A-B-E_0,A,0.339,0.105,0.105,0.339,4k3o
  65,4ezz_B_A-B_1,A,0.320,0.139,0.139,0.320,4ezz
  66,4qbr_P_A-P_0,A,0.272,0.183,0.183,0.272,4qbr
  67,4zhb_B_A-B_0,A,0.273,0.212,0.212,0.273,4zhb
  68,3nfl_G_B-C-F-G_5,C,0.334,0.286,0.286,0.334,3nfl
  69,2orz_B_A-B_0,A,0.281,0.109,0.109,0.281,2orz
  70,3rc5_B_A-B_0,A,0.333,0.167,0.167,0.333,3rc5
  71,2f5b_P_H-L-P_0,L,0.318,0.149,0.149,0.318,2f5b
  72,2f5b_P_H-L-P_0,H,0.289,0.130,0.130,0.289,2f5b
  73,5m5v_G_A-E-G-I_0,A,0.361,0.102,0.102,0.361,5m5v
  74,1b40_B_A-B_0,A,0.332,0.076,0.076,0.332,1b40
  75,4j86_C_A-C_0,A,0.371,0.119,0.119,0.371,4j86
  76,4f75_C_A-B-C-D_0,A,0.339,0.277,0.277,0.339,4f75
  77,4f75_C_A-B-C-D_0,B,0.339,0.276,0.276,0.339,4f75
  78,1lvm_C_A-C-E_0,A,0.320,0.140,0.140,0.320,1lvm
  79,4gyo_C_A-B-C-D_0,B,0.298,0.084,0.084,0.298,4gyo
  80,1kyd_P_A-P_0,A,0.327,0.126,0.126,0.327,1kyd
  81,4kg9_B_A-B_0,A,0.323,0.218,0.218,0.323,4kg9
  82,4fys_C_A-C_0,A,0.355,0.049,0.049,0.355,4fys
  83,4ojf_A_A-H-L_0,L,0.315,0.145,0.145,0.315,4ojf
  84,4ojf_A_A-H-L_0,H,0.305,0.138,0.138,0.305,4ojf
  85,3ebb_F_A-B-E-F_0,B,0.332,0.131,0.131,0.332,3ebb
  86,1w9e_S_A-B-R-S-T_0,B,0.322,0.181,0.181,0.322,1w9e
  87,1oby_Q_A-B-P-Q_0,A,0.293,0.279,0.279,0.293,1oby
  88,1oby_Q_A-B-P-Q_0,B,0.327,0.311,0.311,0.327,1oby
  89,1olc_B_A-B_0,A,0.332,0.074,0.074,0.332,1olc
  90,4ikn_B_A-B_0,A,0.351,0.141,0.141,0.351,4ikn
  91,3g19_C_A-C_0,A,0.397,0.350,0.350,0.397,3g19
  92,4j81_C_B-C_1,B,0.374,0.120,0.120,0.374,4j81
  93,3njj_B_A-B_0,A,0.341,0.249,0.249,0.341,3njj
  94,4ba3_B_A-B_0,A,0.302,0.075,0.075,0.302,4ba3
  95,3agy_C_A-B-C-D-F_0,A,0.297,0.163,0.163,0.297,3agy
  96,3uf7_B_A-B-C_0,A,0.310,0.141,0.141,0.310,3uf7
  97,5zw6_C_A-B-C-D_0,A,0.279,0.077,0.077,0.279,5zw6
  98,2ipu_P_G-K-P_1,G,0.288,0.137,0.137,0.288,2ipu
  99,2ipu_P_G-K-P_1,K,0.331,0.144,0.144,0.331,2ipu
 100,6ew9_P_A-B-C-P-Q-R_0,A,0.388,0.133,0.133,0.388,6ew9
 101,3gq1_C_A-C_0,A,0.362,0.322,0.322,0.362,3gq1
 102,1se0_B_A-B_0,A,0.250,0.207,0.207,0.250,1se0
 103,3psl_D_B-D_1,B,0.378,0.115,0.115,0.378,3psl
