index,syst,chain,tm1,tm2,min,max,pdb
   0,4g69_B_A-B_0,A,0.093,0.276,0.093,0.276,4g69
   1,4ztd_F_A-B-C-D-E-F_0,C,0.145,0.212,0.145,0.212,4ztd
   2,5fow_E_A-E_0,A,0.182,0.302,0.182,0.302,5fow
   3,6fqc_E_A-B-D-E_0,A,0.232,0.276,0.232,0.276,6fqc
   4,3nfl_G_B-C-F-G_5,C,0.088,0.281,0.088,0.281,3nfl
   5,3lny_B_A-B_0,A,0.090,0.276,0.090,0.276,3lny
   6,5wun_C_A-B-C_0,A,0.999,0.999,0.999,0.999,5wun
   7,3thk_C_A-C_0,A,0.073,0.331,0.073,0.331,3thk
   8,3psl_D_B-D_1,B,0.207,0.271,0.207,0.271,3psl
   9,2d5w_C_A-C_0,A,0.259,0.201,0.201,0.259,2d5w
  10,3fp2_Q_A-Q_0,A,0.355,0.323,0.323,0.355,3fp2
  11,1sua_C_A-C_0,A,0.223,0.324,0.223,0.324,1sua
  12,4ynl_C_A-B-C-D_0,A,0.086,0.361,0.086,0.361,4ynl
  13,4ynl_C_A-B-C-D_0,B,0.084,0.365,0.084,0.365,4ynl
  14,1gyb_E_A-B-E-F_0,A,0.106,0.281,0.106,0.281,1gyb
  15,1gyb_E_A-B-E-F_0,B,0.103,0.275,0.103,0.275,1gyb
  16,5huw_B_A-B-C_0,C,0.990,0.997,0.990,0.997,5huw
  17,3f6k_N_A-N_0,A,0.297,0.218,0.218,0.297,3f6k
  18,2g30_S_A-P-S_0,A,0.185,0.286,0.185,0.286,2g30
  19,6cdc_C_A-C_0,A,0.127,0.256,0.127,0.256,6cdc
  20,4jok_D_B-D_1,B,0.078,0.256,0.078,0.256,4jok
  21,4ezw_E_A-E_0,A,0.151,0.253,0.151,0.253,4ezw
  22,1b4z_B_A-B_0,A,0.244,0.212,0.212,0.244,1b4z
  23,4pxm_D_A-B-C-D_0,B,0.167,0.269,0.167,0.269,4pxm
  24,3m5o_C_A-C_0,A,0.186,0.313,0.186,0.313,3m5o
  25,1jwg_D_B-D_1,B,0.244,0.619,0.244,0.619,1jwg
  26,4xi7_C_A-C_0,A,0.198,0.222,0.198,0.222,4xi7
  27,1tw6_C_A-B-C-D_2,F,0.117,0.364,0.117,0.364,1tw6
  28,1tw6_C_A-B-C-D_2,A,0.111,0.363,0.111,0.363,1tw6
  29,4ezn_C_A-B-C-D_0,A,0.147,0.240,0.147,0.240,4ezn
  30,5kzt_C_A-C_0,A,0.223,0.197,0.197,0.223,5kzt
  31,4j86_C_A-C_0,A,0.216,0.278,0.216,0.278,4j86
  32,3fwv_C_A-C_0,A,0.227,0.574,0.227,0.574,3fwv
  33,4xal_B_A-B_0,A,0.089,0.339,0.089,0.339,4xal
  34,5nqv_G_A-C-E-G_0,C,0.231,0.445,0.231,0.445,5nqv
  35,2ipu_P_G-K-P_1,G,0.158,0.250,0.158,0.250,2ipu
  36,2ipu_P_G-K-P_1,K,0.162,0.257,0.162,0.257,2ipu
  37,3zin_C_A-B-C_0,A,1.000,1.000,1.000,1.000,3zin
  38,3nii_B_A-B_0,A,0.076,0.263,0.076,0.263,3nii
  39,2zgh_B_A-B_0,A,0.166,0.255,0.166,0.255,2zgh
  40,3nil_X_D-X_2,D,0.082,0.282,0.082,0.282,3nil
  41,4z88_V_J-V_1,J,0.075,0.291,0.075,0.291,4z88
  42,5oj5_B_A-B_0,A,0.203,0.257,0.203,0.257,5oj5
  43,3t64_F_A-B-C-F_0,A,0.117,0.244,0.117,0.244,3t64
  44,3t64_F_A-B-C-F_0,B,0.119,0.267,0.119,0.267,3t64
  45,4ezq_B_A-B_1,A,0.152,0.264,0.152,0.264,4ezq
  46,3drk_B_A-B_0,A,0.265,0.217,0.217,0.265,3drk
  47,6cdg_B_A-B_0,A,0.123,0.247,0.123,0.247,6cdg
  48,3uf7_B_A-B-C_0,A,0.177,0.275,0.177,0.275,3uf7
  49,3vqg_B_A-B_0,A,0.080,0.248,0.080,0.248,3vqg
  50,4kg9_B_A-B_0,A,0.118,0.273,0.118,0.273,4kg9
  51,4fys_C_A-C_0,A,0.429,0.233,0.233,0.429,4fys
  52,3drj_B_A-B_0,A,0.267,0.219,0.219,0.267,3drj
  53,4zhb_B_A-B_0,A,0.179,0.532,0.179,0.532,4zhb
  54,5gu4_C_A-C_0,A,0.172,0.251,0.172,0.251,5gu4
  55,4sga_P_E-P_0,E,0.137,0.251,0.137,0.251,4sga
  56,4c2c_B_A-B-C_0,A,0.253,0.250,0.250,0.253,4c2c
  57,3gq1_C_A-C_0,A,0.097,0.371,0.097,0.371,3gq1
  58,4j79_B_A-B_0,A,0.212,0.274,0.212,0.274,4j79
  59,3sxu_C_A-B-C_0,A,0.166,0.382,0.166,0.382,3sxu
  60,4v3i_B_A-B_0,A,0.195,0.436,0.195,0.436,4v3i
  61,6hpg_c_C-c_2,C,0.228,0.651,0.228,0.651,6hpg
  62,3jrv_D_B-D_1,B,0.147,0.348,0.147,0.348,3jrv
  63,1oby_Q_A-B-P-Q_0,A,0.082,0.266,0.082,0.266,1oby
  64,1oby_Q_A-B-P-Q_0,B,0.071,0.290,0.071,0.290,1oby
  65,2wa8_D_C-D_1,C,0.095,0.311,0.095,0.311,2wa8
  66,5m5r_D_A-C-D_0,A,0.235,0.264,0.235,0.264,5m5r
  67,5fov_E_A-E_0,A,0.194,0.319,0.194,0.319,5fov
  68,5d9g_C_A-C_0,A,0.160,0.234,0.160,0.234,5d9g
  69,1sts_P_B-D-M-P_0,D,0.111,0.264,0.111,0.264,1sts
  70,1sts_P_B-D-M-P_0,A,0.114,0.263,0.114,0.263,1sts
  71,4f75_C_A-B-C-D_0,A,0.096,0.299,0.096,0.299,4f75
  72,4f75_C_A-B-C-D_0,B,0.089,0.256,0.089,0.256,4f75
  73,5fgb_G_B-E-G_1,E,0.161,0.259,0.161,0.259,5fgb
  74,5fgb_G_B-E-G_1,B,0.155,0.261,0.155,0.261,5fgb
  75,6cwp_F_A-B-F_0,A,0.205,0.264,0.205,0.264,6cwp
  76,6cwp_F_A-B-F_0,B,0.186,0.238,0.186,0.238,6cwp
  77,1oxn_F_E-F_7,E,0.120,0.348,0.120,0.348,1oxn
  78,3cvl_B_A-B_0,A,0.305,0.407,0.305,0.407,3cvl
  79,2hl3_C_A-B-C_0,A,0.092,0.336,0.092,0.336,2hl3
  80,2hl3_C_A-B-C_0,B,0.081,0.280,0.081,0.280,2hl3
  81,1b5i_B_A-B_0,A,0.258,0.223,0.223,0.258,1b5i
  82,6cd8_C_A-C_0,A,0.131,0.259,0.131,0.259,6cd8
  83,2v17_A_A-H-L_0,L,0.147,0.237,0.147,0.237,2v17
  84,2v17_A_A-H-L_0,H,0.152,0.239,0.152,0.239,2v17
  85,1sdz_B_A-B_0,A,0.126,0.409,0.126,0.409,1sdz
  86,3o2b_D_C-D_1,C,0.131,0.390,0.131,0.390,3o2b
  87,3t70_F_A-B-C-F_0,A,0.111,0.253,0.111,0.253,3t70
  88,3t70_F_A-B-C-F_0,B,0.115,0.265,0.115,0.265,3t70
  89,3tcg_I_A-I_0,A,0.257,0.222,0.222,0.257,3tcg
  90,4j46_B_A-B_0,A,0.098,0.339,0.098,0.339,4j46
  91,3mqr_B_A-B_0,A,0.124,0.296,0.124,0.296,3mqr
  92,4wvh_C_A-C_0,A,0.283,0.248,0.248,0.283,4wvh
  93,4pyw_B_A-B-C_0,A,0.182,0.205,0.182,0.205,4pyw
  94,3q47_C_B-C_0,B,0.239,0.605,0.239,0.605,3q47
  95,5grg_D_A-B-C-D_0,A,0.162,0.216,0.162,0.216,5grg
  96,1awr_J_D-J_5,D,0.150,0.312,0.150,0.312,1awr
  97,4gne_B_A-B_0,A,0.101,0.313,0.101,0.313,4gne
  98,3woo_C_A-B-C-D_0,A,0.261,0.183,0.183,0.261,3woo
  99,4j77_D_B-D_1,B,0.217,0.281,0.217,0.281,4j77
 100,4z0u_D_A-D_0,A,0.159,0.369,0.159,0.369,4z0u
 101,4k76_G_C-G_2,C,0.079,0.249,0.079,0.249,4k76
 102,3zs6_B_A-B_0,A,0.244,0.216,0.216,0.244,3zs6
 103,4f74_C_A-B-C_0,A,0.094,0.257,0.094,0.257,4f74
 104,4f74_C_A-B-C_0,B,0.100,0.303,0.100,0.303,4f74
 105,3oqs_B_A-B_0,A,0.997,0.999,0.997,0.999,3oqs
 106,4cic_Q_A-B-Q_0,A,0.115,0.277,0.115,0.277,4cic
 107,4cic_Q_A-B-Q_0,B,0.115,0.278,0.115,0.278,4cic
 108,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.183,0.262,0.183,0.262,5fjz
 109,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.169,0.241,0.169,0.241,5fjz
 110,3emh_B_A-B_0,A,0.203,0.264,0.203,0.264,3emh
 111,1e4x_P_H-L-P_0,L,0.155,0.247,0.155,0.247,1e4x
 112,1e4x_P_H-L-P_0,H,0.152,0.246,0.152,0.246,1e4x
 113,5iz2_Z_A-B-Z_0,B,0.138,0.348,0.138,0.348,5iz2
 114,3srj_D_A-C-D_0,A,0.195,0.250,0.195,0.250,3srj
 115,3nfk_D_A-B-C-D_2,B,0.084,0.305,0.084,0.305,3nfk
 116,1evh_B_A-B_0,A,0.122,0.348,0.122,0.348,1evh
 117,5elq_P_A-P_0,A,0.089,0.269,0.089,0.269,5elq
 118,4od7_E_C-E_2,C,0.170,0.314,0.170,0.314,4od7
 119,3q49_C_B-C_0,B,0.238,0.602,0.238,0.602,3q49
 120,4j47_B_A-B_0,A,0.098,0.338,0.098,0.338,4j47
 121,4k75_B_A-B_0,A,0.083,0.266,0.083,0.266,4k75
 122,5fch_C_A-B-C_0,A,0.180,0.189,0.180,0.189,5fch
 123,5fch_C_A-B-C_0,B,0.192,0.202,0.192,0.202,5fch
 124,3ou3_C_A-B-C_0,A,0.099,0.290,0.099,0.290,3ou3
 125,3ou3_C_A-B-C_0,B,0.102,0.279,0.102,0.279,3ou3
 126,2h9m_D_C-D_1,C,0.205,0.265,0.205,0.265,2h9m
 127,5eyz_E_A-E_0,A,0.084,0.263,0.084,0.263,5eyz
 128,2bgr_Y_A-B-Y-Z_0,A,0.311,0.207,0.207,0.311,2bgr
 129,3hda_Z_P-Z_0,P,0.338,0.365,0.338,0.365,3hda
 130,4b8o_C_A-B-C_0,A,0.920,0.928,0.920,0.928,4b8o
 131,3gv4_H_A-H_0,A,0.101,0.350,0.101,0.350,3gv4
 132,6fkp_G_C-G_2,C,0.066,0.274,0.066,0.274,6fkp
 133,4q6f_H_C-H_2,C,0.063,0.309,0.063,0.309,4q6f
 134,5m5t_E_A-E-G-I_0,A,0.237,0.267,0.237,0.267,5m5t
 135,4m38_E_A-B-E-F_0,A,0.194,0.228,0.194,0.228,4m38
 136,4k3o_E_A-B-E_0,A,0.192,0.215,0.192,0.215,4k3o
 137,4o51_N_A-B-N_1,A,0.149,0.246,0.149,0.246,4o51
 138,4o51_N_A-B-N_1,B,0.159,0.257,0.159,0.257,4o51
 139,1wcy_C_A-B-C-D_0,A,0.337,0.224,0.224,0.337,1wcy
 140,5xcr_F_D-E-F_1,D,0.142,0.296,0.142,0.296,5xcr
 141,5xcr_F_D-E-F_1,E,0.162,0.338,0.162,0.338,5xcr
 142,4k3p_E_A-B-E_0,A,0.192,0.218,0.192,0.218,4k3p
 143,2dze_X_A-B-X_0,A,0.127,0.257,0.127,0.257,2dze
 144,2dze_X_A-B-X_0,B,0.116,0.230,0.116,0.230,2dze
 145,1hsb_C_A-B-C_0,A,0.172,0.239,0.172,0.239,1hsb
 146,3ufm_B_A-B_0,A,0.173,0.266,0.173,0.266,3ufm
 147,3zvy_D_B-D_0,B,0.083,0.319,0.083,0.319,3zvy
 148,5t6p_E_C-D-E_1,D,0.169,0.286,0.169,0.286,5t6p
 149,5t6p_E_C-D-E_1,C,0.157,0.250,0.157,0.250,5t6p
 150,5m5u_G_A-E-G_0,A,0.237,0.267,0.237,0.267,5m5u
