index,syst,chain,tm1,tm2,min,max,pdb
   0,5t6p_E_C-D-E_1,D,0.332,0.221,0.221,0.332,5t6p
   1,5t6p_E_C-D-E_1,C,0.324,0.208,0.208,0.324,5t6p
   2,4j79_B_A-B_0,A,0.331,0.178,0.178,0.331,4j79
   3,3nik_X_D-X_2,D,0.249,0.315,0.249,0.315,3nik
   4,4odk_C_A-B-C_0,A,0.233,0.196,0.196,0.233,4odk
   5,3hds_E_A-D-E_0,D,0.264,0.278,0.264,0.278,3hds
   6,3hds_E_A-D-E_0,A,0.261,0.266,0.261,0.266,3hds
   7,4c2g_B_A-B-C_0,A,0.342,0.130,0.130,0.342,4c2g
   8,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.284,0.283,0.283,0.284,1kl5
   9,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.278,0.277,0.277,0.278,1kl5
  10,6cd8_C_A-C_0,A,0.364,0.293,0.293,0.364,6cd8
  11,1rzx_B_A-B_0,A,0.336,0.381,0.336,0.381,1rzx
  12,3m5m_C_B-C_1,B,0.344,0.248,0.248,0.344,3m5m
  13,5jjm_G_A-G-M_0,A,0.315,0.194,0.194,0.315,5jjm
  14,3cvl_B_A-B_0,A,0.359,0.191,0.191,0.359,3cvl
  15,1str_M_B-D-M-P_0,C,0.290,0.287,0.287,0.290,1str
  16,1str_M_B-D-M-P_0,B,0.289,0.284,0.284,0.289,1str
  17,5fox_C_A-C_0,A,0.363,0.236,0.236,0.363,5fox
  18,5fov_E_A-E_0,A,0.364,0.232,0.232,0.364,5fov
  19,4que_E_A-C-D-E-H-J_0,A,0.350,0.210,0.210,0.350,4que
  20,5sxm_D_B-D_1,B,0.374,0.187,0.187,0.374,5sxm
  21,1sts_P_B-D-M-P_0,D,0.294,0.291,0.291,0.294,1sts
  22,1sts_P_B-D-M-P_0,A,0.297,0.291,0.291,0.297,1sts
  23,2g30_S_A-P-S_0,A,0.345,0.214,0.214,0.345,2g30
  24,1wcy_C_A-B-C-D_0,A,0.360,0.091,0.091,0.360,1wcy
  25,2foj_B_A-B_0,A,0.406,0.371,0.371,0.406,2foj
  26,5lb7_C_A-B-C_0,A,0.318,0.251,0.251,0.318,5lb7
  27,5lb7_C_A-B-C_0,B,0.215,0.294,0.215,0.294,5lb7
  28,3zin_C_A-B-C_0,A,0.347,0.131,0.131,0.347,3zin
  29,4wnn_T_C-D-T_3,D,0.256,0.297,0.256,0.297,4wnn
  30,4wnn_T_C-D-T_3,C,0.198,0.244,0.198,0.244,4wnn
  31,4o4y_A_A-H-L_0,L,0.329,0.208,0.208,0.329,4o4y
  32,4o4y_A_A-H-L_0,H,0.335,0.214,0.214,0.335,4o4y
  33,4z0u_D_A-D_0,A,0.308,0.263,0.263,0.308,4z0u
  34,5xcr_F_D-E-F_1,D,0.338,0.271,0.271,0.338,5xcr
  35,5xcr_F_D-E-F_1,E,0.345,0.274,0.274,0.345,5xcr
  36,3nil_X_D-X_2,D,0.251,0.321,0.251,0.321,3nil
  37,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.361,0.192,0.192,0.361,2z9i
  38,4xi7_C_A-C_0,A,0.317,0.149,0.149,0.317,4xi7
