index,syst,chain,tm1,tm2,min,max,pdb
   0,4pxm_D_A-B-C-D_0,B,0.283,0.276,0.276,0.283,4pxm
   1,1nvs_B_A-B_0,A,0.285,0.249,0.249,0.285,1nvs
   2,4quh_D_A-C-D-I-J_0,A,0.245,0.235,0.235,0.245,4quh
   3,4j44_B_A-B_0,A,0.156,0.301,0.156,0.301,4j44
   4,5fov_E_A-E_0,A,0.254,0.247,0.247,0.254,5fov
   5,2v17_A_A-H-L_0,L,0.248,0.251,0.248,0.251,2v17
   6,2v17_A_A-H-L_0,H,0.261,0.259,0.259,0.261,2v17
   7,4j86_C_A-C_0,A,0.259,0.200,0.200,0.259,4j86
   8,5wun_C_A-B-C_0,A,0.257,0.155,0.155,0.257,5wun
   9,3ny3_B_A-B_0,A,0.160,0.375,0.160,0.375,3ny3
  10,5yba_B_A-B-C-D_0,A,0.198,0.234,0.198,0.234,5yba
  11,4k3o_E_A-B-E_0,A,0.290,0.207,0.207,0.290,4k3o
  12,4j8b_B_A-B_0,A,0.288,0.227,0.227,0.288,4j8b
  13,3upv_B_A-B_0,A,0.200,0.307,0.200,0.307,3upv
  14,1tw6_C_A-B-C-D_2,F,0.168,0.310,0.168,0.310,1tw6
  15,1tw6_C_A-B-C-D_2,A,0.166,0.311,0.166,0.311,1tw6
  16,2wa8_D_C-D_1,C,0.222,0.383,0.222,0.383,2wa8
  17,3cbl_B_A-B_0,A,0.325,0.231,0.231,0.325,3cbl
  18,4jwd_C_B-C_1,B,0.788,0.804,0.788,0.804,4jwd
  19,1elr_B_A-B_0,A,0.233,0.349,0.233,0.349,1elr
  20,2v3s_C_B-C_1,B,0.191,0.356,0.191,0.356,2v3s
  21,2h59_D_A-B-D-E_0,A,0.272,0.252,0.252,0.272,2h59
  22,2h59_D_A-B-D-E_0,B,0.252,0.234,0.234,0.252,2h59
  23,2x6m_B_A-B_0,A,0.235,0.354,0.235,0.354,2x6m
  24,4j79_B_A-B_0,A,0.262,0.210,0.210,0.262,4j79
  25,5eyz_E_A-E_0,A,0.161,0.316,0.161,0.316,5eyz
  26,1oxn_F_E-F_7,E,0.165,0.296,0.165,0.296,1oxn
  27,4j47_B_A-B_0,A,0.156,0.301,0.156,0.301,4j47
  28,4ojf_A_A-H-L_0,L,0.253,0.253,0.253,0.253,4ojf
  29,4ojf_A_A-H-L_0,H,0.265,0.265,0.265,0.265,4ojf
  30,4k3q_E_A-B-E_0,A,0.275,0.199,0.199,0.275,4k3q
  31,2orz_B_A-B_0,A,0.277,0.216,0.216,0.277,2orz
  32,3g19_C_A-C_0,A,0.195,0.411,0.195,0.411,3g19
  33,3nfl_G_B-C-F-G_5,C,0.171,0.308,0.171,0.308,3nfl
  34,3hda_Z_P-Z_0,P,0.266,0.180,0.180,0.266,3hda
