index,syst,chain,tm1,tm2,min,max,pdb
   0,4bjt_E_B-E_2,B,0.201,0.321,0.201,0.321,4bjt
   1,4m38_E_A-B-E-F_0,A,0.298,0.278,0.278,0.298,4m38
   2,3d9t_D_B-D_1,B,0.166,0.390,0.166,0.390,3d9t
   3,4k72_C_A-C_0,A,0.147,0.336,0.147,0.336,4k72
   4,1b51_B_A-B_0,A,0.326,0.224,0.224,0.326,1b51
   5,3nih_B_A-B_0,A,0.112,0.277,0.112,0.277,3nih
   6,3gq1_C_A-C_0,A,0.121,0.279,0.121,0.279,3gq1
   7,5yba_B_A-B-C-D_0,A,0.226,0.342,0.226,0.342,5yba
   8,5fch_C_A-B-C_0,A,0.274,0.225,0.225,0.274,5fch
   9,5fch_C_A-B-C_0,B,0.273,0.226,0.226,0.273,5fch
  10,5fpk_C_A-C_0,A,0.285,0.350,0.285,0.350,5fpk
  11,1b5j_B_A-B_0,A,0.331,0.225,0.225,0.331,1b5j
  12,4sga_P_E-P_0,E,0.241,0.350,0.241,0.350,4sga
  13,3zs6_B_A-B_0,A,0.328,0.229,0.229,0.328,3zs6
  14,5ovc_B_A-B_0,A,0.151,0.343,0.151,0.343,5ovc
  15,5lb7_C_A-B-C_0,A,0.195,0.292,0.195,0.292,5lb7
  16,5lb7_C_A-B-C_0,B,0.138,0.339,0.138,0.339,5lb7
  17,5huy_B_A-B-C_0,C,0.257,0.202,0.202,0.257,5huy
  18,5grg_D_A-B-C-D_0,A,0.264,0.285,0.264,0.285,5grg
  19,4mz6_A_A-C-E_0,E,0.262,0.205,0.205,0.262,4mz6
  20,2v3s_C_B-C_1,B,0.171,0.403,0.171,0.403,2v3s
  21,4que_E_A-C-D-E-H-J_0,A,0.250,0.300,0.250,0.300,4que
  22,2f5b_P_H-L-P_0,L,0.220,0.280,0.220,0.280,2f5b
  23,2f5b_P_H-L-P_0,H,0.205,0.252,0.205,0.252,2f5b
  24,2foj_B_A-B_0,A,0.183,0.310,0.183,0.310,2foj
  25,1awr_J_D-J_5,D,0.203,0.316,0.203,0.316,1awr
  26,1ghb_P_E-F-G-P_0,F,0.207,0.366,0.207,0.366,1ghb
  27,1ghb_P_E-F-G-P_0,G,0.149,0.344,0.149,0.344,1ghb
  28,1ghb_P_E-F-G-P_0,C,0.149,0.344,0.149,0.344,1ghb
  29,1ghb_P_E-F-G-P_0,B,0.207,0.366,0.207,0.366,1ghb
  30,3m5n_F_B-F_1,B,0.262,0.359,0.262,0.359,3m5n
  31,4f74_C_A-B-C_0,A,0.141,0.300,0.141,0.300,4f74
  32,4f74_C_A-B-C_0,B,0.142,0.305,0.142,0.305,4f74
  33,3lny_B_A-B_0,A,0.135,0.309,0.135,0.309,3lny
  34,4dgb_B_A-B_0,A,0.219,0.343,0.219,0.343,4dgb
  35,2v1r_R_A-Q-R_0,A,0.126,0.409,0.126,0.409,2v1r
  36,5fgb_G_B-E-G_1,E,0.236,0.302,0.236,0.302,5fgb
  37,5fgb_G_B-E-G_1,B,0.179,0.228,0.179,0.228,5fgb
