index,syst,chain,tm1,tm2,min,max,pdb
   0,4pyw_B_A-B-C_0,A,0.358,0.151,0.151,0.358,4pyw
   1,1tw6_C_A-B-C-D_2,F,0.246,0.290,0.246,0.290,1tw6
   2,1tw6_C_A-B-C-D_2,A,0.258,0.318,0.258,0.318,1tw6
   3,3d9t_D_B-D_1,B,0.250,0.292,0.250,0.292,3d9t
   4,3t70_F_A-B-C-F_0,A,0.336,0.297,0.297,0.336,3t70
   5,3t70_F_A-B-C-F_0,B,0.334,0.312,0.312,0.334,3t70
   6,4b3b_C_A-C_0,A,0.314,0.213,0.213,0.314,4b3b
   7,4wnn_T_C-D-T_3,D,0.228,0.269,0.228,0.269,4wnn
   8,4wnn_T_C-D-T_3,C,0.226,0.286,0.226,0.286,4wnn
   9,4quh_D_A-C-D-I-J_0,A,0.329,0.215,0.215,0.329,4quh
  10,4jjq_B_A-B_0,A,0.373,0.347,0.347,0.373,4jjq
  11,5iz2_Z_A-B-Z_0,B,0.337,0.332,0.332,0.337,5iz2
  12,1kyf_P_A-P_0,A,0.369,0.219,0.219,0.369,1kyf
  13,5sxm_D_B-D_1,B,0.356,0.188,0.188,0.356,5sxm
  14,3rc5_B_A-B_0,A,0.291,0.212,0.212,0.291,3rc5
  15,5fpk_C_A-C_0,A,0.317,0.210,0.210,0.317,5fpk
  16,6fkp_G_C-G_2,C,0.191,0.300,0.191,0.300,6fkp
  17,3ifo_P_H-L-P_0,L,0.384,0.261,0.261,0.384,3ifo
  18,3ifo_P_H-L-P_0,H,0.396,0.273,0.273,0.396,3ifo
  19,1czy_D_A-B-C-D-E_0,A,0.416,0.332,0.332,0.416,1czy
  20,3q47_C_B-C_0,B,0.253,0.242,0.242,0.253,3q47
  21,4g69_B_A-B_0,A,0.267,0.311,0.267,0.311,4g69
  22,3nih_B_A-B_0,A,0.206,0.268,0.206,0.268,3nih
  23,3gv4_H_A-H_0,A,0.288,0.326,0.288,0.326,3gv4
  24,4jor_D_B-D_1,B,0.265,0.330,0.265,0.330,4jor
  25,6cwp_F_A-B-F_0,A,0.304,0.166,0.166,0.304,6cwp
  26,6cwp_F_A-B-F_0,B,0.317,0.164,0.164,0.317,6cwp
  27,1b32_B_A-B_0,A,0.370,0.123,0.123,0.370,1b32
  28,4ezz_B_A-B_1,A,0.367,0.241,0.241,0.367,4ezz
  29,5fou_C_A-C_0,A,0.306,0.206,0.206,0.306,5fou
  30,3sjk_B_A-B_0,A,0.326,0.253,0.253,0.326,3sjk
  31,2ipu_P_G-K-P_1,G,0.381,0.258,0.258,0.381,2ipu
  32,2ipu_P_G-K-P_1,K,0.390,0.263,0.263,0.390,2ipu
  33,1yth_I_A-B-I_0,A,0.259,0.301,0.259,0.301,1yth
  34,1yth_I_A-B-I_0,B,0.294,0.336,0.294,0.336,1yth
  35,3rta_B_A-B_0,F,0.335,0.125,0.125,0.335,3rta
  36,3rta_B_A-B_0,A,0.335,0.125,0.125,0.335,3rta
  37,4j8b_B_A-B_0,A,0.353,0.181,0.181,0.353,4j8b
  38,1b4z_B_A-B_0,A,0.368,0.124,0.124,0.368,1b4z
  39,5fgb_G_B-E-G_1,E,0.313,0.220,0.220,0.313,5fgb
  40,5fgb_G_B-E-G_1,B,0.383,0.266,0.266,0.383,5fgb
  41,4k72_C_A-C_0,A,0.256,0.322,0.256,0.322,4k72
  42,3cww_E_A-B-D-E_0,A,0.345,0.070,0.070,0.345,3cww
  43,4j86_C_A-C_0,A,0.369,0.187,0.187,0.369,4j86
  44,4k3r_E_A-B-E_0,A,0.328,0.137,0.137,0.328,4k3r
  45,3uoa_L_B-C-L-M_0,B,0.372,0.167,0.167,0.372,3uoa
  46,6cdg_B_A-B_0,A,0.650,0.509,0.509,0.650,6cdg
  47,4iim_E_A-B-C-D-E_0,B,0.226,0.347,0.226,0.347,4iim
  48,2fib_B_A-B_0,A,0.386,0.233,0.233,0.386,2fib
  49,2h2f_B_A-B_0,A,0.301,0.195,0.195,0.301,2h2f
  50,4f74_C_A-B-C_0,A,0.259,0.300,0.259,0.300,4f74
  51,4f74_C_A-B-C_0,B,0.290,0.332,0.290,0.332,4f74
  52,3jrv_D_B-D_1,B,0.274,0.248,0.248,0.274,3jrv
  53,6exj_B_A-B_0,A,0.263,0.323,0.263,0.323,6exj
  54,2fop_B_A-B_0,A,0.371,0.345,0.345,0.371,2fop
  55,4q6f_H_C-H_2,C,0.166,0.257,0.166,0.257,4q6f
  56,4kg9_B_A-B_0,A,0.367,0.340,0.340,0.367,4kg9
  57,1mfl_B_A-B_0,A,0.268,0.318,0.268,0.318,1mfl
  58,5eyz_E_A-E_0,A,0.255,0.308,0.255,0.308,5eyz
  59,1oxn_F_E-F_7,E,0.257,0.305,0.257,0.305,1oxn
  60,3cbl_B_A-B_0,A,0.347,0.151,0.151,0.347,3cbl
  61,3nfk_D_A-B-C-D_2,B,0.250,0.310,0.250,0.310,3nfk
  62,5grg_D_A-B-C-D_0,A,0.362,0.194,0.194,0.362,5grg
  63,5v5p_A_A-B-C_0,C,0.270,0.118,0.118,0.270,5v5p
  64,6eja_B_A-B_0,A,0.389,0.108,0.108,0.389,6eja
  65,4gne_B_A-B_0,A,0.285,0.325,0.285,0.325,4gne
  66,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.344,0.189,0.189,0.344,2z9i
  67,5d9g_C_A-C_0,A,0.440,0.264,0.264,0.440,5d9g
  68,3mqr_B_A-B_0,A,0.372,0.346,0.346,0.372,3mqr
  69,5b74_D_A-B-D_0,B,0.270,0.264,0.264,0.270,5b74
  70,2orz_B_A-B_0,A,0.384,0.185,0.185,0.384,2orz
  71,5iza_B_A-B_0,A,0.260,0.136,0.136,0.260,5iza
  72,1wcy_C_A-B-C-D_0,A,0.406,0.096,0.096,0.406,1wcy
  73,5wir_D_A-B-C-D_0,B,0.260,0.187,0.187,0.260,5wir
  74,3f6k_N_A-N_0,A,0.387,0.101,0.101,0.387,3f6k
  75,1svz_C_A-B-C-D_0,A,0.384,0.246,0.246,0.384,1svz
  76,3agy_C_A-B-C-D-F_0,A,0.296,0.229,0.229,0.296,3agy
  77,1b3l_B_A-B_0,A,0.366,0.125,0.125,0.366,1b3l
  78,4k76_G_C-G_2,C,0.259,0.326,0.259,0.326,4k76
  79,3zin_C_A-B-C_0,A,0.270,0.112,0.112,0.270,3zin
  80,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.374,0.179,0.179,0.374,4tr9
  81,1u9l_C_B-C_1,B,0.222,0.314,0.222,0.314,1u9l
  82,3rte_B_A-B_0,G,0.331,0.123,0.123,0.331,3rte
  83,3rte_B_A-B_0,A,0.331,0.123,0.123,0.331,3rte
  84,5ovc_B_A-B_0,A,0.295,0.348,0.295,0.348,5ovc
  85,4c2g_B_A-B-C_0,A,0.328,0.123,0.123,0.328,4c2g
  86,4ojf_A_A-H-L_0,L,0.361,0.245,0.245,0.361,4ojf
  87,4ojf_A_A-H-L_0,H,0.411,0.279,0.279,0.411,4ojf
  88,2ql9_G_A-B-C-D-E-F-G_0,D,0.271,0.321,0.271,0.321,2ql9
  89,2ql9_G_A-B-C-D-E-F-G_0,A,0.285,0.264,0.264,0.285,2ql9
  90,2ql9_G_A-B-C-D-E-F-G_0,C,0.280,0.261,0.261,0.280,2ql9
  91,2ql9_G_A-B-C-D-E-F-G_0,B,0.277,0.330,0.277,0.330,2ql9
  92,3l81_B_A-B_0,A,0.378,0.220,0.220,0.378,3l81
  93,4joh_D_A-D_0,A,0.258,0.324,0.258,0.324,4joh
  94,2v3s_C_B-C_1,B,0.338,0.393,0.338,0.393,2v3s
  95,4j78_B_A-B_0,A,0.361,0.193,0.193,0.361,4j78
  96,2i3h_C_A-C_0,A,0.254,0.307,0.254,0.307,2i3h
  97,1gyb_E_A-B-E-F_0,A,0.437,0.439,0.437,0.439,1gyb
  98,1gyb_E_A-B-E-F_0,B,0.433,0.436,0.433,0.436,1gyb
  99,4fys_C_A-C_0,A,0.412,0.089,0.089,0.412,4fys
 100,4j77_D_B-D_1,B,0.369,0.197,0.197,0.369,4j77
 101,3lca_Q_A-Q_0,A,0.278,0.102,0.102,0.278,3lca
 102,3ziq_B_A-B-C_0,A,0.266,0.117,0.117,0.266,3ziq
 103,3woq_C_A-B-C-D_0,A,0.374,0.097,0.097,0.374,3woq
 104,2zgh_B_A-B_0,A,0.356,0.227,0.227,0.356,2zgh
 105,1s2k_B_A-B_0,A,0.350,0.252,0.252,0.350,1s2k
 106,6cd9_B_A-B_0,A,0.654,0.506,0.506,0.654,6cd9
 107,3nil_X_D-X_2,D,0.199,0.253,0.199,0.253,3nil
 108,1qka_B_A-B_0,A,0.369,0.123,0.123,0.369,1qka
 109,3q49_C_B-C_0,B,0.256,0.244,0.244,0.256,3q49
 110,4o4y_A_A-H-L_0,L,0.397,0.264,0.264,0.397,4o4y
 111,4o4y_A_A-H-L_0,H,0.385,0.265,0.265,0.385,4o4y
 112,4ezn_C_A-B-C-D_0,A,0.386,0.261,0.261,0.386,4ezn
 113,2v5w_G_B-G-L_1,B,0.375,0.170,0.170,0.375,2v5w
 114,2bgr_Y_A-B-Y-Z_0,A,0.402,0.097,0.097,0.402,2bgr
 115,3oqs_B_A-B_0,A,0.270,0.120,0.120,0.270,3oqs
 116,4j47_B_A-B_0,A,0.240,0.305,0.240,0.305,4j47
 117,3drk_B_A-B_0,A,0.345,0.105,0.105,0.345,3drk
 118,1str_M_B-D-M-P_0,C,0.961,0.976,0.961,0.976,1str
 119,1str_M_B-D-M-P_0,B,1.000,1.000,1.000,1.000,1str
 120,3drj_B_A-B_0,A,0.331,0.111,0.111,0.331,3drj
 121,3fp4_Q_A-Q_0,A,0.291,0.105,0.105,0.291,3fp4
 122,4ezq_B_A-B_1,A,0.398,0.261,0.261,0.398,4ezq
 123,1fch_C_A-B-C-D_2,F,0.325,0.173,0.173,0.325,1fch
 124,1fch_C_A-B-C-D_2,A,0.293,0.154,0.154,0.293,1fch
 125,3nij_B_A-B_0,A,0.202,0.253,0.202,0.253,3nij
 126,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.368,0.218,0.218,0.368,5fjz
 127,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.370,0.219,0.219,0.370,5fjz
 128,4pxm_D_A-B-C-D_0,B,0.307,0.201,0.201,0.307,4pxm
 129,2hpl_B_A-B_0,A,0.268,0.302,0.268,0.302,2hpl
 130,1sem_C_A-B-C-D_0,A,0.206,0.305,0.206,0.305,1sem
 131,3psl_D_B-D_1,B,0.367,0.196,0.196,0.367,3psl
 132,5m5t_E_A-E-G-I_0,A,0.355,0.164,0.164,0.355,5m5t
 133,4nnm_C_A-C_0,A,0.269,0.287,0.269,0.287,4nnm
 134,3m5n_F_B-F_1,B,0.311,0.217,0.217,0.311,3m5n
 135,4k75_B_A-B_0,A,0.256,0.327,0.256,0.327,4k75
 136,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.950,0.973,0.950,0.973,1kl5
 137,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.949,0.972,0.949,0.972,1kl5
 138,4b8o_C_A-B-C_0,A,0.271,0.114,0.114,0.271,4b8o
 139,1vwa_M_B-D-M-P_0,C,0.960,0.976,0.960,0.976,1vwa
 140,1vwa_M_B-D-M-P_0,B,0.998,0.998,0.998,0.998,1vwa
 141,4j79_B_A-B_0,A,0.354,0.192,0.192,0.354,4j79
 142,3nfl_G_B-C-F-G_5,C,0.245,0.300,0.245,0.300,3nfl
 143,4que_E_A-C-D-E-H-J_0,A,0.326,0.220,0.220,0.326,4que
 144,3upv_B_A-B_0,A,0.248,0.246,0.246,0.248,3upv
 145,3hds_E_A-D-E_0,D,0.302,0.328,0.302,0.328,3hds
 146,3hds_E_A-D-E_0,A,0.301,0.313,0.301,0.313,3hds
 147,4m38_E_A-B-E-F_0,A,0.347,0.166,0.166,0.347,4m38
 148,1evh_B_A-B_0,A,0.331,0.353,0.331,0.353,1evh
 149,3dri_B_A-B_0,A,0.324,0.108,0.108,0.324,3dri
