index,syst,chain,tm1,tm2,min,max,pdb
   0,2v5w_G_B-G-L_1,B,0.330,0.135,0.135,0.330,2v5w
   1,1olc_B_A-B_0,A,0.416,0.118,0.118,0.416,1olc
   2,2foo_B_A-B_0,A,0.332,0.288,0.288,0.332,2foo
   3,3ziq_B_A-B-C_0,A,0.338,0.116,0.116,0.338,3ziq
   4,3zvy_D_B-D_0,B,0.201,0.262,0.201,0.262,3zvy
   5,4od7_E_C-E_2,C,0.324,0.211,0.211,0.324,4od7
   6,4ouc_B_A-B_0,A,0.441,0.187,0.187,0.441,4ouc
   7,3t64_F_A-B-C-F_0,A,0.369,0.293,0.293,0.369,3t64
   8,3t64_F_A-B-C-F_0,B,0.371,0.321,0.321,0.371,3t64
   9,4bjt_E_B-E_2,B,0.287,0.226,0.226,0.287,4bjt
  10,4cic_Q_A-B-Q_0,A,0.289,0.246,0.246,0.289,4cic
  11,4cic_Q_A-B-Q_0,B,0.293,0.249,0.249,0.293,4cic
  12,4v3i_B_A-B_0,A,0.330,0.270,0.270,0.330,4v3i
  13,3nim_X_F-X_3,F,0.209,0.255,0.209,0.255,3nim
  14,5y53_F_C-E-F_1,C,0.339,0.302,0.302,0.339,5y53
  15,5y53_F_C-E-F_1,E,0.338,0.301,0.301,0.338,5y53
  16,1lvm_C_A-C-E_0,A,0.288,0.188,0.188,0.288,1lvm
  17,5wir_D_A-B-C-D_0,B,0.320,0.203,0.203,0.320,5wir
  18,2h9m_D_C-D_1,C,0.300,0.151,0.151,0.300,2h9m
  19,2orz_B_A-B_0,A,0.369,0.171,0.171,0.369,2orz
  20,2v3s_C_B-C_1,B,0.276,0.298,0.276,0.298,2v3s
  21,4ezy_B_A-B_2,A,0.306,0.179,0.179,0.306,4ezy
  22,3njj_B_A-B_0,A,0.410,0.404,0.404,0.410,3njj
  23,5ovv_B_A-B_0,A,0.266,0.281,0.266,0.281,5ovv
  24,4gne_B_A-B_0,A,0.225,0.240,0.225,0.240,4gne
  25,4z88_V_J-V_1,J,0.282,0.374,0.282,0.374,4z88
  26,2ce9_X_A-B-X_0,A,0.330,0.151,0.151,0.330,2ce9
  27,1a30_C_A-B-C_0,A,0.245,0.258,0.245,0.258,1a30
  28,1a30_C_A-B-C_0,B,0.244,0.257,0.244,0.257,1a30
  29,2fop_B_A-B_0,A,0.330,0.287,0.287,0.330,2fop
  30,5elq_P_A-P_0,A,0.290,0.322,0.290,0.322,5elq
  31,4fii_B_A-B_0,A,0.402,0.186,0.186,0.402,4fii
  32,5d9g_C_A-C_0,A,0.329,0.183,0.183,0.329,5d9g
