index,syst,chain,tm1,tm2,min,max,pdb
   0,4iim_E_A-B-C-D-E_0,B,0.111,0.412,0.111,0.412,4iim
   1,4k3p_E_A-B-E_0,A,0.240,0.218,0.218,0.240,4k3p
   2,1uoq_B_A-B_0,A,0.683,0.335,0.335,0.683,1uoq
   3,3ou3_C_A-B-C_0,A,0.139,0.297,0.139,0.297,3ou3
   4,3ou3_C_A-B-C_0,B,0.137,0.297,0.137,0.297,3ou3
   5,4z8j_B_A-B_0,A,0.155,0.359,0.155,0.359,4z8j
   6,5iz2_Z_A-B-Z_0,B,0.146,0.275,0.146,0.275,5iz2
   7,5iag_D_A-B-D_0,A,0.216,0.257,0.216,0.257,5iag
   8,5uw3_E_A-E_0,A,0.688,0.343,0.343,0.688,5uw3
   9,5m5r_D_A-C-D_0,A,0.699,0.616,0.616,0.699,5m5r
  10,5xup_D_A-B-C-D_0,B,0.231,0.321,0.231,0.321,5xup
  11,4f75_C_A-B-C-D_0,A,0.136,0.301,0.136,0.301,4f75
  12,4f75_C_A-B-C-D_0,B,0.140,0.313,0.140,0.313,4f75
  13,4pxm_D_A-B-C-D_0,B,0.216,0.267,0.216,0.267,4pxm
  14,5huy_B_A-B-C_0,C,0.254,0.203,0.203,0.254,5huy
  15,4jwd_C_B-C_1,B,0.209,0.273,0.209,0.273,4jwd
  16,3t70_F_A-B-C-F_0,A,0.165,0.275,0.165,0.275,3t70
  17,3t70_F_A-B-C-F_0,B,0.156,0.282,0.156,0.282,3t70
  18,1s2k_B_A-B_0,A,0.249,0.345,0.249,0.345,1s2k
  19,4j81_C_B-C_1,B,0.759,0.781,0.759,0.781,4j81
  20,1svz_C_A-B-C-D_0,A,0.249,0.305,0.249,0.305,1svz
  21,1b40_B_A-B_0,A,0.338,0.233,0.233,0.338,1b40
  22,4j44_B_A-B_0,A,0.144,0.369,0.144,0.369,4j44
  23,1czy_D_A-B-C-D-E_0,A,0.205,0.318,0.205,0.318,1czy
  24,4es0_C_A-C_0,A,0.754,0.767,0.754,0.767,4es0
  25,5e6o_E_B-E_1,B,0.172,0.365,0.172,0.365,5e6o
  26,1h27_E_A-B-E_0,B,0.287,0.328,0.287,0.328,1h27
  27,3zvy_D_B-D_0,B,0.133,0.360,0.133,0.360,3zvy
  28,2v17_A_A-H-L_0,L,0.200,0.261,0.200,0.261,2v17
  29,2v17_A_A-H-L_0,H,0.233,0.299,0.233,0.299,2v17
  30,4wnn_T_C-D-T_3,D,0.137,0.314,0.137,0.314,4wnn
