index,syst,chain,tm1,tm2,min,max,pdb
   0,1s2k_B_A-B_0,A,0.291,0.178,0.178,0.291,1s2k
   1,5fpk_C_A-C_0,A,0.350,0.196,0.196,0.350,5fpk
   2,5sxm_D_B-D_1,B,0.331,0.154,0.154,0.331,5sxm
   3,5v5p_A_A-B-C_0,C,0.376,0.114,0.114,0.376,5v5p
   4,5wun_C_A-B-C_0,A,0.343,0.111,0.111,0.343,5wun
   5,4v3i_B_A-B_0,A,0.337,0.230,0.230,0.337,4v3i
   6,3ebb_F_A-B-E-F_0,B,0.385,0.182,0.182,0.385,3ebb
   7,1b3l_B_A-B_0,A,0.405,0.112,0.112,0.405,1b3l
   8,3v43_Q_A-Q_0,A,0.307,0.282,0.282,0.307,3v43
   9,3ivq_D_B-D_1,B,0.258,0.210,0.210,0.258,3ivq
  10,4wvh_C_A-C_0,A,0.359,0.114,0.114,0.359,4wvh
  11,3ifo_P_H-L-P_0,L,0.241,0.137,0.137,0.241,3ifo
  12,3ifo_P_H-L-P_0,H,0.231,0.138,0.138,0.231,3ifo
  13,1ddv_B_A-B_0,A,0.291,0.276,0.276,0.291,1ddv
  14,2wa8_D_C-D_1,C,0.310,0.297,0.297,0.310,2wa8
  15,4jop_C_A-C_0,A,0.237,0.257,0.237,0.257,4jop
  16,1obz_P_A-B-P_0,A,0.277,0.202,0.202,0.277,1obz
  17,3mmg_C_A-C_0,A,0.340,0.199,0.199,0.340,3mmg
  18,4k3o_E_A-B-E_0,A,0.308,0.110,0.110,0.308,4k3o
  19,4jmy_E_A-C-E_0,A,0.320,0.216,0.216,0.320,4jmy
  20,2i3h_C_A-C_0,A,0.284,0.297,0.284,0.297,2i3h
  21,4r5i_B_A-B_0,A,0.398,0.192,0.192,0.398,4r5i
  22,5xup_D_A-B-C-D_0,B,0.400,0.233,0.233,0.400,5xup
  23,3woo_C_A-B-C-D_0,A,0.383,0.074,0.074,0.383,3woo
  24,1sem_C_A-B-C-D_0,A,0.173,0.235,0.173,0.235,1sem
  25,4es0_C_A-C_0,A,0.304,0.138,0.138,0.304,4es0
  26,4k3q_E_A-B-E_0,A,0.308,0.111,0.111,0.308,4k3q
  27,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.360,0.138,0.138,0.360,2ot0
  28,3nih_B_A-B_0,A,0.219,0.248,0.219,0.248,3nih
  29,1a7c_B_A-B-C_0,A,0.401,0.132,0.132,0.401,1a7c
  30,1b5i_B_A-B_0,A,0.411,0.111,0.111,0.411,1b5i
  31,1b5j_B_A-B_0,A,0.411,0.113,0.113,0.411,1b5j
  32,4b3b_C_A-C_0,A,0.348,0.200,0.200,0.348,4b3b
  33,6ew9_P_A-B-C-P-Q-R_0,A,0.300,0.135,0.135,0.300,6ew9
