index,syst,chain,tm1,tm2,min,max,pdb
   0,3nfk_D_A-B-C-D_2,B,0.117,0.319,0.117,0.319,3nfk
   1,3ivq_D_B-D_1,B,0.176,0.375,0.176,0.375,3ivq
   2,3ufm_B_A-B_0,A,0.196,0.291,0.196,0.291,3ufm
   3,1vwa_M_B-D-M-P_0,C,0.172,0.428,0.172,0.428,1vwa
   4,1vwa_M_B-D-M-P_0,B,0.171,0.423,0.171,0.423,1vwa
   5,4j09_B_A-B_0,A,0.213,0.294,0.213,0.294,4j09
   6,4j09_B_A-B_0,C,0.213,0.294,0.213,0.294,4j09
   7,4k3m_E_A-B-E_0,A,0.274,0.296,0.274,0.296,4k3m
   8,6cwp_F_A-B-F_0,A,0.281,0.346,0.281,0.346,6cwp
   9,6cwp_F_A-B-F_0,B,0.285,0.345,0.285,0.345,6cwp
  10,3q47_C_B-C_0,B,0.171,0.393,0.171,0.393,3q47
  11,3wor_C_A-B-C-D_0,A,0.309,0.206,0.206,0.309,3wor
  12,3drh_B_A-B_0,A,0.311,0.243,0.243,0.311,3drh
  13,5fou_C_A-C_0,A,0.209,0.317,0.209,0.317,5fou
  14,3lny_B_A-B_0,A,0.116,0.323,0.116,0.323,3lny
  15,1b9j_B_A-B_0,A,0.289,0.239,0.239,0.289,1b9j
  16,3agy_C_A-B-C-D-F_0,A,0.168,0.301,0.168,0.301,3agy
  17,1oxn_F_E-F_7,E,0.127,0.353,0.127,0.353,1oxn
  18,3drj_B_A-B_0,A,0.281,0.220,0.220,0.281,3drj
  19,6cd8_C_A-C_0,A,0.176,0.329,0.176,0.329,6cd8
  20,5elq_P_A-P_0,A,0.126,0.344,0.126,0.344,5elq
  21,4j77_D_B-D_1,B,0.221,0.271,0.221,0.271,4j77
  22,2y7l_B_A-B_0,A,0.254,0.304,0.254,0.304,2y7l
  23,5k4f_C_A-C_0,A,0.110,0.308,0.110,0.308,5k4f
  24,5d9g_C_A-C_0,A,0.224,0.329,0.224,0.329,5d9g
  25,2h59_D_A-B-D-E_0,A,0.218,0.308,0.218,0.308,2h59
  26,2h59_D_A-B-D-E_0,B,0.214,0.307,0.214,0.307,2h59
  27,2zjd_D_C-D_5,C,0.156,0.398,0.156,0.398,2zjd
  28,1u9l_C_B-C_1,B,0.115,0.411,0.115,0.411,1u9l
  29,3ifo_P_H-L-P_0,L,0.269,0.416,0.269,0.416,3ifo
  30,3ifo_P_H-L-P_0,H,0.268,0.413,0.268,0.413,3ifo
  31,3emh_B_A-B_0,A,0.216,0.265,0.216,0.265,3emh
  32,2d5w_C_A-C_0,A,0.292,0.217,0.217,0.292,2d5w
  33,1gyb_E_A-B-E-F_0,A,0.163,0.401,0.163,0.401,1gyb
  34,1gyb_E_A-B-E-F_0,B,0.153,0.368,0.153,0.368,1gyb
  35,5v5p_A_A-B-C_0,C,0.203,0.194,0.194,0.203,5v5p
  36,6cd9_B_A-B_0,A,0.179,0.344,0.179,0.344,6cd9
  37,1se0_B_A-B_0,A,0.148,0.409,0.148,0.409,1se0
  38,4k3r_E_A-B-E_0,A,0.276,0.297,0.276,0.297,4k3r
  39,2b6n_B_A-B_0,A,0.224,0.292,0.224,0.292,2b6n
  40,5fch_C_A-B-C_0,A,1.000,1.000,1.000,1.000,5fch
  41,5fch_C_A-B-C_0,B,0.986,0.993,0.986,0.993,5fch
  42,3sjk_B_A-B_0,A,0.189,0.335,0.189,0.335,3sjk
  43,6cdc_C_A-C_0,A,0.178,0.346,0.178,0.346,6cdc
  44,4r5i_B_A-B_0,A,0.209,0.319,0.209,0.319,4r5i
  45,5oav_B_A-B_0,A,0.095,0.344,0.095,0.344,5oav
  46,3m5m_C_B-C_1,B,0.197,0.331,0.197,0.331,3m5m
  47,5wir_D_A-B-C-D_0,B,0.187,0.304,0.187,0.304,5wir
  48,4wvh_C_A-C_0,A,0.259,0.213,0.213,0.259,4wvh
  49,4qbr_P_A-P_0,A,0.169,0.380,0.169,0.380,4qbr
  50,3fwv_C_A-C_0,A,0.176,0.411,0.176,0.411,3fwv
  51,1evh_B_A-B_0,A,0.121,0.334,0.121,0.334,1evh
  52,1sem_C_A-B-C-D_0,A,0.090,0.315,0.090,0.315,1sem
  53,2v3s_C_B-C_1,B,0.158,0.473,0.158,0.473,2v3s
  54,4j47_B_A-B_0,A,0.122,0.387,0.122,0.387,4j47
  55,1jwg_D_B-D_1,B,0.157,0.345,0.157,0.345,1jwg
  56,5b74_D_A-B-D_0,B,0.167,0.363,0.167,0.363,5b74
  57,2foj_B_A-B_0,A,0.179,0.378,0.179,0.378,2foj
  58,1b51_B_A-B_0,A,0.292,0.242,0.242,0.292,1b51
  59,1d0a_G_A-B-C-G-H-I_0,A,0.198,0.357,0.198,0.357,1d0a
  60,3v43_Q_A-Q_0,A,0.135,0.349,0.135,0.349,3v43
  61,5jjm_G_A-G-M_0,A,0.231,0.325,0.231,0.325,5jjm
  62,4j81_C_B-C_1,B,0.225,0.275,0.225,0.275,4j81
  63,4gne_B_A-B_0,A,0.121,0.335,0.121,0.335,4gne
  64,4iim_E_A-B-C-D-E_0,B,0.085,0.300,0.085,0.300,4iim
  65,3q49_C_B-C_0,B,0.167,0.384,0.167,0.384,3q49
  66,3nii_B_A-B_0,A,0.102,0.322,0.102,0.322,3nii
  67,4ynl_C_A-B-C-D_0,A,0.127,0.431,0.127,0.431,4ynl
  68,4ynl_C_A-B-C-D_0,B,0.128,0.440,0.128,0.440,4ynl
  69,4ezz_B_A-B_1,A,0.205,0.320,0.205,0.320,4ezz
  70,3uoa_L_B-C-L-M_0,B,0.260,0.278,0.260,0.278,3uoa
  71,4jmy_E_A-C-E_0,A,0.170,0.295,0.170,0.295,4jmy
  72,5m5u_G_A-E-G_0,A,0.231,0.247,0.231,0.247,5m5u
  73,4hxj_C_A-C_0,A,0.093,0.321,0.093,0.321,4hxj
  74,2orz_B_A-B_0,A,0.264,0.315,0.264,0.315,2orz
  75,2foo_B_A-B_0,A,0.178,0.378,0.178,0.378,2foo
  76,4xi7_C_A-C_0,A,0.244,0.261,0.244,0.261,4xi7
  77,5iz2_Z_A-B-Z_0,B,0.153,0.369,0.153,0.369,5iz2
  78,3l81_B_A-B_0,A,0.203,0.277,0.203,0.277,3l81
  79,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.233,0.296,0.233,0.296,2z9i
  80,4mz6_A_A-C-E_0,E,0.190,0.182,0.182,0.190,4mz6
  81,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.217,0.289,0.217,0.289,5fjz
  82,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.223,0.300,0.223,0.300,5fjz
  83,4j82_C_A-C_0,A,0.222,0.271,0.222,0.271,4j82
  84,4k72_C_A-C_0,A,0.103,0.309,0.103,0.309,4k72
  85,3nin_E_B-E_1,B,0.102,0.315,0.102,0.315,3nin
  86,4c2g_B_A-B-C_0,A,0.251,0.237,0.237,0.251,4c2g
  87,4j86_C_A-C_0,A,0.225,0.276,0.225,0.276,4j86
  88,3rta_B_A-B_0,F,0.323,0.277,0.277,0.323,3rta
  89,3rta_B_A-B_0,A,0.323,0.277,0.277,0.323,3rta
  90,4bjt_E_B-E_2,B,0.162,0.354,0.162,0.354,4bjt
  91,3dri_B_A-B_0,A,0.307,0.241,0.241,0.307,3dri
  92,1b5j_B_A-B_0,A,0.289,0.240,0.240,0.289,1b5j
  93,5jiu_C_A-B-C-D_0,A,0.197,0.304,0.197,0.304,5jiu
  94,1v1t_S_A-B-S-T_0,B,0.195,0.377,0.195,0.377,1v1t
  95,4jop_C_A-C_0,A,0.108,0.308,0.108,0.308,4jop
  96,6ew9_P_A-B-C-P-Q-R_0,A,0.227,0.274,0.227,0.274,6ew9
  97,1b3l_B_A-B_0,A,0.293,0.243,0.243,0.293,1b3l
  98,4z0u_D_A-D_0,A,0.187,0.372,0.187,0.372,4z0u
  99,3oqs_B_A-B_0,A,0.202,0.193,0.193,0.202,3oqs
 100,6fqc_E_A-B-D-E_0,A,0.229,0.260,0.229,0.260,6fqc
 101,1str_M_B-D-M-P_0,C,0.172,0.432,0.172,0.432,1str
 102,1str_M_B-D-M-P_0,B,0.172,0.423,0.172,0.423,1str
 103,4fys_C_A-C_0,A,0.360,0.194,0.194,0.360,4fys
 104,4jor_D_B-D_1,B,0.106,0.313,0.106,0.313,4jor
 105,4gyo_C_A-B-C-D_0,B,0.276,0.298,0.276,0.298,4gyo
 106,3njj_B_A-B_0,A,0.166,0.459,0.166,0.459,3njj
 107,4ezy_B_A-B_2,A,0.208,0.319,0.208,0.319,4ezy
 108,4z8j_B_A-B_0,A,0.127,0.360,0.127,0.360,4z8j
 109,3mqr_B_A-B_0,A,0.178,0.378,0.178,0.378,3mqr
 110,1b32_B_A-B_0,A,0.289,0.239,0.239,0.289,1b32
 111,4m38_E_A-B-E-F_0,A,0.325,0.368,0.325,0.368,4m38
 112,2v5f_X_A-X_0,A,0.138,0.399,0.138,0.399,2v5f
 113,3sxu_C_A-B-C_0,A,0.191,0.417,0.191,0.417,3sxu
 114,4quh_D_A-C-D-I-J_0,A,0.246,0.375,0.246,0.375,4quh
 115,5fow_E_A-E_0,A,0.206,0.314,0.206,0.314,5fow
 116,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.248,0.275,0.248,0.275,2ot0
 117,4k3q_E_A-B-E_0,A,0.275,0.297,0.275,0.297,4k3q
 118,1b4z_B_A-B_0,A,0.293,0.243,0.243,0.293,1b4z
 119,1svz_C_A-B-C-D_0,A,0.226,0.339,0.226,0.339,1svz
 120,4apo_D_B-D_1,B,0.169,0.355,0.169,0.355,4apo
 121,5xup_D_A-B-C-D_0,B,0.184,0.308,0.184,0.308,5xup
 122,4f75_C_A-B-C-D_0,A,0.135,0.369,0.135,0.369,4f75
 123,4f75_C_A-B-C-D_0,B,0.135,0.368,0.135,0.368,4f75
 124,2g30_S_A-P-S_0,A,0.224,0.325,0.224,0.325,2g30
 125,5e6o_E_B-E_1,B,0.158,0.429,0.158,0.429,5e6o
 126,1olc_B_A-B_0,A,0.292,0.242,0.242,0.292,1olc
 127,4cic_Q_A-B-Q_0,A,0.181,0.390,0.181,0.390,4cic
 128,4cic_Q_A-B-Q_0,B,0.182,0.393,0.182,0.393,4cic
 129,1rzx_B_A-B_0,A,0.118,0.349,0.118,0.349,1rzx
 130,3m5o_C_A-C_0,A,0.199,0.337,0.199,0.337,3m5o
 131,4o4y_A_A-H-L_0,L,0.281,0.430,0.281,0.430,4o4y
 132,4o4y_A_A-H-L_0,H,0.262,0.411,0.262,0.411,4o4y
 133,2v1r_R_A-Q-R_0,A,0.096,0.321,0.096,0.321,2v1r
 134,3rc5_B_A-B_0,A,0.196,0.327,0.196,0.327,3rc5
 135,1tw6_C_A-B-C-D_2,F,0.126,0.366,0.126,0.366,1tw6
 136,1tw6_C_A-B-C-D_2,A,0.124,0.382,0.124,0.382,1tw6
 137,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.123,0.374,0.123,0.374,1xb0
 138,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.124,0.376,0.124,0.376,1xb0
 139,4ikn_B_A-B_0,A,0.222,0.315,0.222,0.315,4ikn
 140,3f6k_N_A-N_0,A,0.289,0.199,0.199,0.289,3f6k
 141,4faf_D_A-B-D_0,A,0.136,0.370,0.136,0.370,4faf
 142,4faf_D_A-B-D_0,B,0.140,0.368,0.140,0.368,4faf
 143,2wa8_D_C-D_1,C,0.115,0.329,0.115,0.329,2wa8
 144,4f74_C_A-B-C_0,A,0.136,0.371,0.136,0.371,4f74
 145,4f74_C_A-B-C_0,B,0.136,0.363,0.136,0.363,4f74
 146,2v5w_G_B-G-L_1,B,0.254,0.269,0.254,0.269,2v5w
 147,1sua_C_A-C_0,A,0.225,0.302,0.225,0.302,1sua
 148,3hda_Z_P-Z_0,P,0.246,0.254,0.246,0.254,3hda
 149,1awr_J_D-J_5,D,0.171,0.321,0.171,0.321,1awr
 150,3f7o_X_A-X_0,A,0.234,0.297,0.234,0.297,3f7o
 151,4j8b_B_A-B_0,A,0.214,0.264,0.214,0.264,4j8b
 152,4pz3_C_A-B-C_0,B,0.163,0.328,0.163,0.328,4pz3
 153,3cvl_B_A-B_0,A,0.255,0.319,0.255,0.319,3cvl
 154,4od7_E_C-E_2,C,0.174,0.294,0.174,0.294,4od7
 155,1b58_B_A-B_0,A,0.294,0.244,0.244,0.294,1b58
 156,3o2b_D_C-D_1,C,0.111,0.319,0.111,0.319,3o2b
 157,1lvm_C_A-C-E_0,A,0.195,0.285,0.195,0.285,1lvm
 158,4j46_B_A-B_0,A,0.122,0.386,0.122,0.386,4j46
 159,2dze_X_A-B-X_0,A,0.197,0.403,0.197,0.403,2dze
 160,2dze_X_A-B-X_0,B,0.194,0.400,0.194,0.400,2dze
 161,3hds_E_A-D-E_0,D,0.137,0.363,0.137,0.363,3hds
 162,3hds_E_A-D-E_0,A,0.150,0.377,0.150,0.377,3hds
 163,4ztd_F_A-B-C-D-E-F_0,C,0.209,0.292,0.209,0.292,4ztd
 164,4j44_B_A-B_0,A,0.122,0.388,0.122,0.388,4j44
 165,1czy_D_A-B-C-D-E_0,A,0.194,0.349,0.194,0.349,1czy
 166,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.137,0.464,0.137,0.464,2y1l
 167,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.163,0.350,0.163,0.350,2y1l
 168,3rt9_B_A-B_0,F,0.323,0.278,0.278,0.323,3rt9
 169,3rt9_B_A-B_0,A,0.323,0.278,0.278,0.323,3rt9
 170,5ovv_B_A-B_0,A,0.123,0.335,0.123,0.335,5ovv
 171,1uop_B_A-B_0,A,0.308,0.199,0.199,0.308,1uop
 172,2hpl_B_A-B_0,A,0.144,0.407,0.144,0.407,2hpl
 173,2ipu_P_G-K-P_1,G,0.271,0.416,0.271,0.416,2ipu
 174,2ipu_P_G-K-P_1,K,0.264,0.412,0.264,0.412,2ipu
 175,3ny3_B_A-B_0,A,0.098,0.328,0.098,0.328,3ny3
 176,5m5r_D_A-C-D_0,A,0.244,0.261,0.244,0.261,5m5r
