index,syst,chain,tm1,tm2,min,max,pdb
   0,4j77_D_B-D_1,B,0.294,0.187,0.187,0.294,4j77
   1,4jmy_E_A-C-E_0,A,0.264,0.242,0.242,0.264,4jmy
   2,6cdc_C_A-C_0,A,0.286,0.284,0.284,0.286,6cdc
   3,3hds_E_A-D-E_0,D,0.320,0.420,0.320,0.420,3hds
   4,3hds_E_A-D-E_0,A,0.312,0.391,0.312,0.391,3hds
   5,5fox_C_A-C_0,A,0.282,0.228,0.228,0.282,5fox
   6,3rta_B_A-B_0,F,0.316,0.141,0.141,0.316,3rta
   7,3rta_B_A-B_0,A,0.316,0.141,0.141,0.316,3rta
   8,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.216,0.317,0.216,0.317,2y1l
   9,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.257,0.270,0.257,0.270,2y1l
  10,1b4z_B_A-B_0,A,0.360,0.148,0.148,0.360,1b4z
  11,3nij_B_A-B_0,A,0.212,0.351,0.212,0.351,3nij
  12,5huw_B_A-B-C_0,C,0.287,0.139,0.139,0.287,5huw
  13,5sxm_D_B-D_1,B,0.296,0.186,0.186,0.296,5sxm
  14,4ikn_B_A-B_0,A,0.377,0.272,0.272,0.377,4ikn
  15,5fou_C_A-C_0,A,0.287,0.232,0.232,0.287,5fou
  16,5azf_C_A-C_0,A,0.271,0.338,0.271,0.338,5azf
  17,1ok7_C_A-B-C_0,B,0.317,0.176,0.176,0.317,1ok7
  18,3fp4_Q_A-Q_0,A,0.310,0.138,0.138,0.310,3fp4
  19,3nim_X_F-X_3,F,0.242,0.381,0.242,0.381,3nim
  20,3m5o_C_A-C_0,A,0.279,0.240,0.240,0.279,3m5o
  21,3cbl_B_A-B_0,A,0.309,0.170,0.170,0.309,3cbl
  22,3shb_B_A-B_0,A,0.148,0.260,0.148,0.260,3shb
  23,5e6o_E_B-E_1,B,0.264,0.327,0.264,0.327,5e6o
  24,4joh_D_A-D_0,A,0.235,0.360,0.235,0.360,4joh
  25,4b8o_C_A-B-C_0,A,0.275,0.138,0.138,0.275,4b8o
  26,3agy_C_A-B-C-D-F_0,A,0.267,0.251,0.251,0.267,3agy
  27,3hda_Z_P-Z_0,P,0.272,0.147,0.147,0.272,3hda
  28,2ipu_P_G-K-P_1,G,0.676,0.506,0.506,0.676,2ipu
  29,2ipu_P_G-K-P_1,K,0.624,0.471,0.471,0.624,2ipu
  30,2fop_B_A-B_0,A,0.365,0.415,0.365,0.415,2fop
  31,3jrv_D_B-D_1,B,0.224,0.241,0.224,0.241,3jrv
  32,4j82_C_A-C_0,A,0.280,0.187,0.187,0.280,4j82
  33,6cdg_B_A-B_0,A,0.287,0.284,0.284,0.287,6cdg
  34,5jiu_C_A-B-C-D_0,A,0.377,0.309,0.309,0.377,5jiu
  35,1s2k_B_A-B_0,A,0.334,0.289,0.289,0.334,1s2k
  36,5gu4_C_A-C_0,A,0.327,0.232,0.232,0.327,5gu4
  37,4apo_D_B-D_1,B,0.281,0.290,0.281,0.290,4apo
  38,4o51_N_A-B-N_1,A,0.594,0.455,0.455,0.594,4o51
  39,4o51_N_A-B-N_1,B,0.686,0.527,0.527,0.686,4o51
  40,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.223,0.327,0.223,0.327,1xb0
  41,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.224,0.328,0.224,0.328,1xb0
  42,3cvl_B_A-B_0,A,0.326,0.215,0.215,0.326,3cvl
  43,4mvk_B_A-B_0,A,0.323,0.311,0.311,0.323,4mvk
  44,5uw3_E_A-E_0,A,0.321,0.109,0.109,0.321,5uw3
  45,3rc4_B_A-B_0,A,0.279,0.239,0.239,0.279,3rc4
  46,4ouc_B_A-B_0,A,0.330,0.189,0.189,0.330,4ouc
  47,4j79_B_A-B_0,A,0.294,0.186,0.186,0.294,4j79
  48,1sdz_B_A-B_0,A,0.250,0.350,0.250,0.350,1sdz
  49,3nfk_D_A-B-C-D_2,B,0.227,0.338,0.227,0.338,3nfk
  50,5kzt_C_A-C_0,A,0.376,0.161,0.161,0.376,5kzt
  51,1vwa_M_B-D-M-P_0,C,0.313,0.379,0.313,0.379,1vwa
  52,1vwa_M_B-D-M-P_0,B,0.310,0.369,0.310,0.369,1vwa
  53,4ezq_B_A-B_1,A,0.364,0.289,0.289,0.364,4ezq
  54,4mz6_A_A-C-E_0,E,0.298,0.144,0.144,0.298,4mz6
  55,1d00_I_A-I_0,A,0.373,0.361,0.361,0.373,1d00
  56,4z0u_D_A-D_0,A,0.259,0.266,0.259,0.266,4z0u
  57,1b5j_B_A-B_0,A,0.367,0.153,0.153,0.367,1b5j
  58,4ezy_B_A-B_2,A,0.362,0.285,0.285,0.362,4ezy
  59,4dgb_B_A-B_0,A,0.275,0.273,0.273,0.275,4dgb
  60,5m5v_G_A-E-G-I_0,A,0.300,0.169,0.169,0.300,5m5v
  61,4q6f_H_C-H_2,C,0.128,0.236,0.128,0.236,4q6f
  62,6fkp_G_C-G_2,C,0.130,0.267,0.130,0.267,6fkp
  63,4c2c_B_A-B-C_0,A,0.269,0.134,0.134,0.269,4c2c
  64,4jwd_C_B-C_1,B,0.351,0.285,0.285,0.351,4jwd
  65,3drj_B_A-B_0,A,0.382,0.150,0.150,0.382,3drj
  66,3rte_B_A-B_0,G,0.314,0.141,0.141,0.314,3rte
  67,3rte_B_A-B_0,A,0.314,0.141,0.141,0.314,3rte
  68,4j8b_B_A-B_0,A,0.289,0.192,0.192,0.289,4j8b
  69,2h9m_D_C-D_1,C,0.294,0.184,0.184,0.294,2h9m
  70,1evh_B_A-B_0,A,0.259,0.336,0.259,0.336,1evh
  71,1yth_I_A-B-I_0,A,0.218,0.306,0.218,0.306,1yth
  72,1yth_I_A-B-I_0,B,0.222,0.306,0.222,0.306,1yth
  73,1oby_Q_A-B-P-Q_0,A,0.217,0.364,0.217,0.364,1oby
  74,1oby_Q_A-B-P-Q_0,B,0.223,0.376,0.223,0.376,1oby
  75,1yti_I_A-I_0,A,0.221,0.314,0.221,0.314,1yti
  76,1yti_I_A-I_0,B,0.221,0.314,0.221,0.314,1yti
  77,3cww_E_A-B-D-E_0,A,0.400,0.098,0.098,0.400,3cww
