index,syst,chain,tm1,tm2,min,max,pdb
   0,1b46_B_A-B_0,A,0.370,0.133,0.133,0.370,1b46
   1,1a7c_B_A-B-C_0,A,0.394,0.180,0.180,0.394,1a7c
   2,4jjq_B_A-B_0,A,0.249,0.244,0.244,0.249,4jjq
   3,5iz2_Z_A-B-Z_0,B,0.293,0.304,0.293,0.304,5iz2
   4,1czy_D_A-B-C-D-E_0,A,0.291,0.250,0.250,0.291,1czy
   5,4x2h_C_A-B-C_0,A,0.287,0.215,0.215,0.287,4x2h
   6,3woq_C_A-B-C-D_0,A,0.311,0.093,0.093,0.311,3woq
   7,1hsb_C_A-B-C_0,A,0.288,0.180,0.180,0.288,1hsb
   8,4k3q_E_A-B-E_0,A,0.285,0.137,0.137,0.285,4k3q
   9,1se0_B_A-B_0,A,0.283,0.342,0.283,0.342,1se0
  10,4gne_B_A-B_0,A,0.265,0.325,0.265,0.325,4gne
  11,4j45_B_A-B_0,A,0.227,0.317,0.227,0.317,4j45
  12,4j09_B_A-B_0,A,0.362,0.225,0.225,0.362,4j09
  13,4j09_B_A-B_0,C,0.362,0.225,0.225,0.362,4j09
  14,1d00_I_A-I_0,A,0.283,0.245,0.245,0.283,1d00
  15,3sxu_C_A-B-C_0,A,0.347,0.324,0.324,0.347,3sxu
  16,4ezw_E_A-E_0,A,0.301,0.218,0.218,0.301,4ezw
  17,1wcy_C_A-B-C-D_0,A,0.409,0.108,0.108,0.409,1wcy
  18,2v17_A_A-H-L_0,L,0.263,0.191,0.191,0.263,2v17
  19,2v17_A_A-H-L_0,H,0.305,0.213,0.213,0.305,2v17
  20,2nph_S_A-B-S-T_0,A,0.231,0.274,0.231,0.274,2nph
  21,2nph_S_A-B-S-T_0,B,0.233,0.278,0.233,0.278,2nph
  22,4q6f_H_C-H_2,C,0.160,0.294,0.160,0.294,4q6f
  23,2bgr_Y_A-B-Y-Z_0,A,0.410,0.107,0.107,0.410,2bgr
  24,3nfk_D_A-B-C-D_2,B,0.213,0.272,0.213,0.272,3nfk
  25,2v5f_X_A-X_0,A,0.592,0.778,0.592,0.778,2v5f
  26,2foj_B_A-B_0,A,0.234,0.229,0.229,0.234,2foj
  27,1nvs_B_A-B_0,A,0.413,0.245,0.245,0.413,1nvs
  28,4ezn_C_A-B-C-D_0,A,0.294,0.212,0.212,0.294,4ezn
  29,4ezy_B_A-B_2,A,0.304,0.213,0.213,0.304,4ezy
  30,5fox_C_A-C_0,A,0.375,0.259,0.259,0.375,5fox
