index,syst,chain,tm1,tm2,min,max,pdb
   0,1uop_B_A-B_0,A,0.403,0.081,0.081,0.403,1uop
   1,6cwp_F_A-B-F_0,A,0.447,0.188,0.188,0.447,6cwp
   2,6cwp_F_A-B-F_0,B,0.447,0.183,0.183,0.447,6cwp
   3,5huy_B_A-B-C_0,C,0.380,0.112,0.112,0.380,5huy
   4,1gyb_E_A-B-E-F_0,A,0.365,0.316,0.316,0.365,1gyb
   5,1gyb_E_A-B-E-F_0,B,0.343,0.302,0.302,0.343,1gyb
   6,4apo_D_B-D_1,B,0.389,0.270,0.270,0.389,4apo
   7,5d9g_C_A-C_0,A,0.286,0.164,0.164,0.286,5d9g
   8,5m5u_G_A-E-G_0,A,0.314,0.122,0.122,0.314,5m5u
   9,3zs6_B_A-B_0,A,0.404,0.126,0.126,0.404,3zs6
  10,2h59_D_A-B-D-E_0,A,0.410,0.224,0.224,0.410,2h59
  11,2h59_D_A-B-D-E_0,B,0.409,0.223,0.223,0.409,2h59
  12,3cww_E_A-B-D-E_0,A,0.353,0.058,0.058,0.353,3cww
  13,4ezq_B_A-B_1,A,0.373,0.202,0.202,0.373,4ezq
  14,6cdg_B_A-B_0,A,0.357,0.256,0.256,0.357,6cdg
  15,5sxm_D_B-D_1,B,0.315,0.144,0.144,0.315,5sxm
  16,4ba3_B_A-B_0,A,0.366,0.119,0.119,0.366,4ba3
  17,6cdc_C_A-C_0,A,0.344,0.253,0.253,0.344,6cdc
  18,4dgb_B_A-B_0,A,0.343,0.261,0.261,0.343,4dgb
  19,3woo_C_A-B-C-D_0,A,0.483,0.100,0.100,0.483,3woo
  20,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.363,0.183,0.183,0.363,5fjz
  21,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.367,0.183,0.183,0.367,5fjz
  22,4jwd_C_B-C_1,B,0.367,0.199,0.199,0.367,4jwd
  23,5huw_B_A-B-C_0,C,0.367,0.118,0.118,0.367,5huw
  24,4jor_D_B-D_1,B,0.308,0.331,0.308,0.331,4jor
  25,5fpk_C_A-C_0,A,0.412,0.226,0.226,0.412,5fpk
  26,1d0a_G_A-B-C-G-H-I_0,A,0.323,0.231,0.231,0.323,1d0a
  27,5elq_P_A-P_0,A,0.306,0.317,0.306,0.317,5elq
  28,4z8j_B_A-B_0,A,0.313,0.320,0.313,0.320,4z8j
  29,3nij_B_A-B_0,A,0.247,0.280,0.247,0.280,3nij
