index,syst,chain,tm1,tm2,min,max,pdb
   0,5fov_E_A-E_0,A,0.327,0.175,0.175,0.327,5fov
   1,4j78_B_A-B_0,A,0.381,0.170,0.170,0.381,4j78
   2,1sua_C_A-C_0,A,0.342,0.176,0.176,0.342,1sua
   3,1b46_B_A-B_0,A,0.380,0.105,0.105,0.380,1b46
   4,3rc4_B_A-B_0,A,0.375,0.230,0.230,0.375,3rc4
   5,6cd8_C_A-C_0,A,0.337,0.224,0.224,0.337,6cd8
   6,3m5m_C_B-C_1,B,0.361,0.227,0.227,0.361,3m5m
   7,6cd9_B_A-B_0,A,0.338,0.234,0.234,0.338,6cd9
   8,1b3l_B_A-B_0,A,0.408,0.108,0.108,0.408,1b3l
   9,4ny3_C_A-C_0,A,0.371,0.164,0.164,0.371,4ny3
  10,5t6p_E_C-D-E_1,D,0.336,0.195,0.195,0.336,5t6p
  11,5t6p_E_C-D-E_1,C,0.318,0.179,0.179,0.318,5t6p
  12,4o4y_A_A-H-L_0,L,0.329,0.180,0.180,0.329,4o4y
  13,4o4y_A_A-H-L_0,H,0.331,0.189,0.189,0.331,4o4y
  14,4ojf_A_A-H-L_0,L,0.322,0.177,0.177,0.322,4ojf
  15,4ojf_A_A-H-L_0,H,0.340,0.183,0.183,0.340,4ojf
  16,2orz_B_A-B_0,A,0.323,0.138,0.138,0.323,2orz
  17,1h27_E_A-B-E_0,B,0.396,0.187,0.187,0.396,1h27
  18,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.360,0.143,0.143,0.360,2ot0
  19,2y7l_B_A-B_0,A,0.334,0.151,0.151,0.334,2y7l
  20,4ezw_E_A-E_0,A,0.275,0.149,0.149,0.275,4ezw
  21,3uoa_L_B-C-L-M_0,B,0.389,0.150,0.150,0.389,3uoa
  22,3hda_Z_P-Z_0,P,0.405,0.147,0.147,0.405,3hda
  23,3lny_B_A-B_0,A,0.277,0.277,0.277,0.277,3lny
  24,2foj_B_A-B_0,A,0.339,0.262,0.262,0.339,2foj
  25,1w9e_S_A-B-R-S-T_0,B,0.309,0.207,0.207,0.309,1w9e
  26,6exj_B_A-B_0,A,0.281,0.290,0.281,0.290,6exj
  27,4ikn_B_A-B_0,A,0.250,0.130,0.130,0.250,4ikn
  28,4c2c_B_A-B-C_0,A,0.337,0.110,0.110,0.337,4c2c
  29,3nii_B_A-B_0,A,0.248,0.271,0.248,0.271,3nii
  30,4iim_E_A-B-C-D-E_0,B,0.222,0.299,0.222,0.299,4iim
  31,5fch_C_A-B-C_0,A,0.353,0.127,0.127,0.353,5fch
  32,5fch_C_A-B-C_0,B,0.374,0.123,0.123,0.374,5fch
  33,3t64_F_A-B-C-F_0,A,0.301,0.217,0.217,0.301,3t64
  34,3t64_F_A-B-C-F_0,B,0.301,0.233,0.233,0.301,3t64
  35,4k72_C_A-C_0,A,0.281,0.294,0.281,0.294,4k72
  36,3jrv_D_B-D_1,B,0.283,0.216,0.216,0.283,3jrv
  37,4m38_E_A-B-E-F_0,A,0.340,0.131,0.131,0.340,4m38
  38,3sxu_C_A-B-C_0,A,0.356,0.269,0.269,0.356,3sxu
  39,6cwp_F_A-B-F_0,A,0.343,0.161,0.161,0.343,6cwp
