index,syst,chain,tm1,tm2,min,max,pdb
   0,5eyz_E_A-E_0,A,0.251,0.273,0.251,0.273,5eyz
   1,1d0a_G_A-B-C-G-H-I_0,A,0.379,0.268,0.268,0.379,1d0a
   2,5fow_E_A-E_0,A,0.374,0.212,0.212,0.374,5fow
   3,4es0_C_A-C_0,A,0.274,0.126,0.126,0.274,4es0
   4,1b51_B_A-B_0,A,0.389,0.117,0.117,0.389,1b51
   5,3fwv_C_A-C_0,A,0.316,0.269,0.269,0.316,3fwv
   6,4pyw_B_A-B-C_0,A,0.347,0.143,0.143,0.347,4pyw
   7,6exj_B_A-B_0,A,0.260,0.285,0.260,0.285,6exj
   8,4f74_C_A-B-C_0,A,0.231,0.240,0.231,0.240,4f74
   9,4f74_C_A-B-C_0,B,0.229,0.237,0.229,0.237,4f74
  10,3nih_B_A-B_0,A,0.268,0.321,0.268,0.321,3nih
  11,4jjq_B_A-B_0,A,0.281,0.239,0.239,0.281,4jjq
  12,4z88_V_J-V_1,J,0.284,0.360,0.284,0.360,4z88
  13,4rxh_A_A-B-C_0,B,0.284,0.097,0.097,0.284,4rxh
  14,2bgr_Y_A-B-Y-Z_0,A,0.371,0.077,0.077,0.371,2bgr
  15,5fpk_C_A-C_0,A,0.370,0.207,0.207,0.370,5fpk
  16,5huw_B_A-B-C_0,C,0.328,0.116,0.116,0.328,5huw
  17,3thk_C_A-C_0,A,0.285,0.414,0.285,0.414,3thk
  18,5grg_D_A-B-C-D_0,A,0.337,0.176,0.176,0.337,5grg
  19,1rzx_B_A-B_0,A,0.287,0.299,0.287,0.299,1rzx
  20,1b46_B_A-B_0,A,0.364,0.107,0.107,0.364,1b46
  21,4ynl_C_A-B-C-D_0,A,0.270,0.338,0.270,0.338,4ynl
  22,4ynl_C_A-B-C-D_0,B,0.278,0.346,0.278,0.346,4ynl
  23,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.312,0.152,0.152,0.312,2z9i
  24,4j81_C_B-C_1,B,0.270,0.127,0.127,0.270,4j81
  25,4jmy_E_A-C-E_0,A,0.300,0.203,0.203,0.300,4jmy
  26,6fqc_E_A-B-D-E_0,A,0.284,0.126,0.126,0.284,6fqc
  27,1elr_B_A-B_0,A,0.314,0.268,0.268,0.314,1elr
  28,3shb_B_A-B_0,A,0.175,0.215,0.175,0.215,3shb
  29,1b9j_B_A-B_0,A,0.400,0.112,0.112,0.400,1b9j
  30,6fkp_G_C-G_2,C,0.189,0.291,0.189,0.291,6fkp
  31,1jwg_D_B-D_1,B,0.301,0.246,0.246,0.301,1jwg
  32,3jrv_D_B-D_1,B,0.313,0.244,0.244,0.313,3jrv
  33,4ojf_A_A-H-L_0,L,0.344,0.206,0.206,0.344,4ojf
  34,4ojf_A_A-H-L_0,H,0.371,0.225,0.225,0.371,4ojf
  35,3nfl_G_B-C-F-G_5,C,0.277,0.306,0.277,0.306,3nfl
  36,4cic_Q_A-B-Q_0,A,0.312,0.254,0.254,0.312,4cic
  37,4cic_Q_A-B-Q_0,B,0.312,0.256,0.256,0.312,4cic
  38,5wir_D_A-B-C-D_0,B,0.311,0.189,0.189,0.311,5wir
  39,1vwa_M_B-D-M-P_0,C,0.259,0.236,0.236,0.259,1vwa
  40,1vwa_M_B-D-M-P_0,B,0.278,0.251,0.251,0.278,1vwa
  41,3q49_C_B-C_0,B,0.261,0.225,0.225,0.261,3q49
  42,3hda_Z_P-Z_0,P,0.326,0.123,0.123,0.326,3hda
  43,3s9c_B_A-B_0,A,0.283,0.159,0.159,0.283,3s9c
  44,3lca_Q_A-Q_0,A,0.420,0.138,0.138,0.420,3lca
  45,4joh_D_A-D_0,A,0.267,0.298,0.267,0.298,4joh
