index,syst,chain,tm1,tm2,min,max,pdb
   0,1czy_D_A-B-C-D-E_0,A,0.276,0.164,0.164,0.276,1czy
   1,5jjm_G_A-G-M_0,A,0.296,0.128,0.128,0.296,5jjm
   2,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.286,0.212,0.212,0.286,1kl3
   3,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.270,0.200,0.200,0.270,1kl3
   4,4ba3_B_A-B_0,A,0.336,0.085,0.085,0.336,4ba3
   5,1kyf_P_A-P_0,A,0.331,0.136,0.136,0.331,1kyf
   6,3ebb_F_A-B-E-F_0,B,0.322,0.124,0.124,0.322,3ebb
   7,5fox_C_A-C_0,A,0.325,0.144,0.144,0.325,5fox
   8,6exj_B_A-B_0,A,0.265,0.226,0.226,0.265,6exj
   9,3fwv_C_A-C_0,A,0.349,0.239,0.239,0.349,3fwv
  10,3nik_X_D-X_2,D,0.331,0.291,0.291,0.331,3nik
  11,4ezn_C_A-B-C-D_0,A,0.321,0.148,0.148,0.321,4ezn
  12,1uoq_B_A-B_0,A,0.349,0.067,0.067,0.349,1uoq
  13,4z88_V_J-V_1,J,0.285,0.283,0.283,0.285,4z88
  14,1b46_B_A-B_0,A,0.336,0.080,0.080,0.336,1b46
  15,4c2g_B_A-B-C_0,A,0.333,0.092,0.092,0.333,4c2g
  16,4ojf_A_A-H-L_0,L,0.276,0.103,0.103,0.276,4ojf
  17,4ojf_A_A-H-L_0,H,0.304,0.141,0.141,0.304,4ojf
  18,4xal_B_A-B_0,A,0.273,0.235,0.235,0.273,4xal
  19,6ew9_P_A-B-C-P-Q-R_0,A,0.266,0.098,0.098,0.266,6ew9
  20,4ztd_F_A-B-C-D-E-F_0,C,0.307,0.132,0.132,0.307,4ztd
  21,5e6o_E_B-E_1,B,0.307,0.227,0.227,0.307,5e6o
  22,4j86_C_A-C_0,A,0.382,0.140,0.140,0.382,4j86
  23,1evh_B_A-B_0,A,0.319,0.241,0.241,0.319,1evh
  24,4wnn_T_C-D-T_3,D,0.298,0.243,0.243,0.298,4wnn
  25,4wnn_T_C-D-T_3,C,0.248,0.225,0.225,0.248,4wnn
  26,5fch_C_A-B-C_0,A,0.325,0.090,0.090,0.325,5fch
  27,5fch_C_A-B-C_0,B,0.324,0.090,0.090,0.324,5fch
  28,3wor_C_A-B-C-D_0,A,0.342,0.064,0.064,0.342,3wor
  29,3gv4_H_A-H_0,A,0.358,0.266,0.266,0.358,3gv4
  30,5wun_C_A-B-C_0,A,0.308,0.079,0.079,0.308,5wun
  31,4pyw_B_A-B-C_0,A,0.306,0.097,0.097,0.306,4pyw
  32,1nvs_B_A-B_0,A,0.354,0.150,0.150,0.354,1nvs
  33,6cdg_B_A-B_0,A,0.291,0.173,0.173,0.291,6cdg
  34,1s2k_B_A-B_0,A,0.371,0.173,0.173,0.371,1s2k
  35,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.376,0.112,0.112,0.376,2ot0
  36,5elq_P_A-P_0,A,0.297,0.243,0.243,0.297,5elq
  37,3lca_Q_A-Q_0,A,0.334,0.086,0.086,0.334,3lca
  38,1svz_C_A-B-C-D_0,A,0.394,0.166,0.166,0.394,1svz
  39,6fqc_E_A-B-D-E_0,A,0.332,0.111,0.111,0.332,6fqc
  40,2hpl_B_A-B_0,A,0.253,0.202,0.202,0.253,2hpl
  41,5jiu_C_A-B-C-D_0,A,0.347,0.162,0.162,0.347,5jiu
  42,4f74_C_A-B-C_0,A,0.309,0.250,0.250,0.309,4f74
  43,4f74_C_A-B-C_0,B,0.313,0.251,0.251,0.313,4f74
  44,4j8b_B_A-B_0,A,0.388,0.140,0.140,0.388,4j8b
  45,2foo_B_A-B_0,A,0.275,0.183,0.183,0.275,2foo
  46,3m5n_F_B-F_1,B,0.317,0.169,0.169,0.317,3m5n
  47,4m38_E_A-B-E-F_0,A,0.301,0.104,0.104,0.301,4m38
  48,5fgb_G_B-E-G_1,E,0.304,0.146,0.146,0.304,5fgb
  49,5fgb_G_B-E-G_1,B,0.276,0.106,0.106,0.276,5fgb
  50,1a7c_B_A-B-C_0,A,0.311,0.098,0.098,0.311,1a7c
  51,4ezy_B_A-B_2,A,0.332,0.148,0.148,0.332,4ezy
  52,3nij_B_A-B_0,A,0.336,0.301,0.301,0.336,3nij
  53,5b74_D_A-B-D_0,B,0.303,0.201,0.201,0.303,5b74
  54,4dgb_B_A-B_0,A,0.315,0.176,0.176,0.315,4dgb
  55,3rt9_B_A-B_0,F,0.380,0.087,0.087,0.380,3rt9
  56,3rt9_B_A-B_0,A,0.380,0.087,0.087,0.380,3rt9
  57,4j84_D_B-D_1,B,0.384,0.144,0.144,0.384,4j84
  58,4b3b_C_A-C_0,A,0.326,0.141,0.141,0.326,4b3b
