index,syst,chain,tm1,tm2,min,max,pdb
   0,1rzx_B_A-B_0,A,0.147,0.307,0.147,0.307,1rzx
   1,1sdz_B_A-B_0,A,0.143,0.293,0.143,0.293,1sdz
   2,4quh_D_A-C-D-I-J_0,A,0.237,0.265,0.237,0.265,4quh
   3,3dri_B_A-B_0,A,0.341,0.200,0.200,0.341,3dri
   4,3m5m_C_B-C_1,B,0.225,0.284,0.225,0.284,3m5m
   5,2bgr_Y_A-B-Y-Z_0,A,0.305,0.151,0.151,0.305,2bgr
   6,5wir_D_A-B-C-D_0,B,0.231,0.286,0.231,0.286,5wir
   7,2r9q_X_A-C-X_1,C,0.306,0.268,0.268,0.306,2r9q
   8,3woo_C_A-B-C-D_0,A,0.423,0.201,0.201,0.423,3woo
   9,4gyo_C_A-B-C-D_0,B,0.286,0.234,0.234,0.286,4gyo
  10,4z8j_B_A-B_0,A,0.146,0.307,0.146,0.307,4z8j
  11,4mvk_B_A-B_0,A,0.235,0.329,0.235,0.329,4mvk
  12,5wun_C_A-B-C_0,A,0.218,0.157,0.157,0.218,5wun
  13,4ezy_B_A-B_2,A,0.244,0.283,0.244,0.283,4ezy
  14,6cdg_B_A-B_0,A,0.204,0.297,0.204,0.297,6cdg
  15,1awr_J_D-J_5,D,0.218,0.321,0.218,0.321,1awr
  16,6cdc_C_A-C_0,A,0.203,0.296,0.203,0.296,6cdc
  17,2nph_S_A-B-S-T_0,A,0.132,0.268,0.132,0.268,2nph
  18,2nph_S_A-B-S-T_0,B,0.139,0.290,0.139,0.290,2nph
  19,4iim_E_A-B-C-D-E_0,B,0.100,0.310,0.100,0.310,4iim
  20,4j47_B_A-B_0,A,0.120,0.283,0.120,0.283,4j47
  21,4odk_C_A-B-C_0,A,0.205,0.314,0.205,0.314,4odk
  22,3fp4_Q_A-Q_0,A,0.310,0.205,0.205,0.310,3fp4
  23,2zjd_D_C-D_5,C,0.199,0.334,0.199,0.334,2zjd
  24,5uw3_E_A-E_0,A,0.304,0.155,0.155,0.304,5uw3
  25,4pz3_C_A-B-C_0,B,0.231,0.348,0.231,0.348,4pz3
  26,4j82_C_A-C_0,A,0.285,0.266,0.266,0.285,4j82
  27,3hds_E_A-D-E_0,D,0.173,0.347,0.173,0.347,3hds
  28,3hds_E_A-D-E_0,A,0.162,0.307,0.162,0.307,3hds
  29,1kyd_P_A-P_0,A,0.243,0.265,0.243,0.265,1kyd
  30,4qbr_P_A-P_0,A,0.188,0.304,0.188,0.304,4qbr
  31,4z88_V_J-V_1,J,0.094,0.251,0.094,0.251,4z88
  32,3uf7_B_A-B-C_0,A,0.249,0.286,0.249,0.286,3uf7
  33,4m38_E_A-B-E-F_0,A,0.291,0.253,0.253,0.291,4m38
  34,5m5t_E_A-E-G-I_0,A,0.337,0.274,0.274,0.337,5m5t
  35,2g30_S_A-P-S_0,A,0.243,0.272,0.243,0.272,2g30
  36,5grg_D_A-B-C-D_0,A,1.000,1.000,1.000,1.000,5grg
  37,1b4z_B_A-B_0,A,0.314,0.198,0.198,0.314,1b4z
  38,1obz_P_A-B-P_0,A,0.202,0.283,0.202,0.283,1obz
  39,5fpk_C_A-C_0,A,0.245,0.280,0.245,0.280,5fpk
  40,5fgb_G_B-E-G_1,E,0.399,0.493,0.399,0.493,5fgb
  41,5fgb_G_B-E-G_1,B,0.432,0.536,0.432,0.536,5fgb
  42,4ezq_B_A-B_1,A,0.246,0.289,0.246,0.289,4ezq
  43,3s9c_B_A-B_0,A,0.267,0.299,0.267,0.299,3s9c
  44,4que_E_A-C-D-E-H-J_0,A,0.266,0.296,0.266,0.296,4que
  45,1uoq_B_A-B_0,A,0.305,0.145,0.145,0.305,1uoq
  46,1svz_C_A-B-C-D_0,A,0.245,0.275,0.245,0.275,1svz
  47,5d9g_C_A-C_0,A,0.245,0.265,0.245,0.265,5d9g
  48,3zin_C_A-B-C_0,A,0.216,0.162,0.162,0.216,3zin
  49,5lb7_C_A-B-C_0,A,0.194,0.289,0.194,0.289,5lb7
  50,5lb7_C_A-B-C_0,B,0.161,0.442,0.161,0.442,5lb7
  51,3nil_X_D-X_2,D,0.132,0.285,0.132,0.285,3nil
  52,4r5i_B_A-B_0,A,0.255,0.295,0.255,0.295,4r5i
  53,4pxm_D_A-B-C-D_0,B,0.307,0.354,0.307,0.354,4pxm
  54,3tcg_I_A-I_0,A,0.316,0.199,0.199,0.316,3tcg
  55,4j46_B_A-B_0,A,0.122,0.283,0.122,0.283,4j46
  56,3nim_X_F-X_3,F,0.129,0.293,0.129,0.293,3nim
  57,5zw6_C_A-B-C-D_0,A,0.264,0.204,0.204,0.264,5zw6
  58,3ufm_B_A-B_0,A,0.237,0.269,0.237,0.269,3ufm
  59,3q49_C_B-C_0,B,0.170,0.289,0.170,0.289,3q49
  60,4ezw_E_A-E_0,A,0.239,0.285,0.239,0.285,4ezw
  61,4faf_D_A-B-D_0,A,0.152,0.307,0.152,0.307,4faf
  62,4faf_D_A-B-D_0,B,0.152,0.306,0.152,0.306,4faf
  63,1olc_B_A-B_0,A,0.317,0.201,0.201,0.317,1olc
  64,3mmg_C_A-C_0,A,0.227,0.267,0.227,0.267,3mmg
  65,4j44_B_A-B_0,A,0.122,0.282,0.122,0.282,4j44
  66,3cww_E_A-B-D-E_0,A,0.395,0.154,0.154,0.395,3cww
  67,3fp2_Q_A-Q_0,A,0.305,0.201,0.201,0.305,3fp2
  68,5yba_B_A-B-C-D_0,A,0.218,0.307,0.218,0.307,5yba
  69,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.143,0.329,0.143,0.329,2y1l
  70,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.195,0.307,0.195,0.307,2y1l
  71,3woq_C_A-B-C-D_0,A,0.424,0.202,0.202,0.424,3woq
  72,2ipu_P_G-K-P_1,G,0.395,0.479,0.395,0.479,2ipu
  73,2ipu_P_G-K-P_1,K,0.397,0.481,0.397,0.481,2ipu
  74,1hsb_C_A-B-C_0,A,0.971,0.978,0.971,0.978,1hsb
  75,3lca_Q_A-Q_0,A,0.301,0.198,0.198,0.301,3lca
  76,5e6o_E_B-E_1,B,0.194,0.357,0.194,0.357,5e6o
  77,5oav_B_A-B_0,A,0.102,0.300,0.102,0.300,5oav
  78,2foo_B_A-B_0,A,0.247,0.406,0.247,0.406,2foo
  79,2v5f_X_A-X_0,A,0.166,0.364,0.166,0.364,2v5f
  80,3nfl_G_B-C-F-G_5,C,0.139,0.301,0.139,0.301,3nfl
  81,2hl3_C_A-B-C_0,A,0.122,0.297,0.122,0.297,2hl3
  82,2hl3_C_A-B-C_0,B,0.128,0.367,0.128,0.367,2hl3
  83,4dgb_B_A-B_0,A,0.212,0.312,0.212,0.312,4dgb
  84,1lvm_C_A-C-E_0,A,0.247,0.285,0.247,0.285,1lvm
  85,1sua_C_A-C_0,A,0.248,0.256,0.248,0.256,1sua
  86,3rta_B_A-B_0,F,0.315,0.205,0.205,0.315,3rta
  87,3rta_B_A-B_0,A,0.315,0.205,0.205,0.315,3rta
  88,3t64_F_A-B-C-F_0,A,0.212,0.327,0.212,0.327,3t64
  89,3t64_F_A-B-C-F_0,B,0.213,0.353,0.213,0.353,3t64
  90,1ddv_B_A-B_0,A,0.151,0.300,0.151,0.300,1ddv
  91,1ghb_P_E-F-G-P_0,F,0.186,0.318,0.186,0.318,1ghb
  92,1ghb_P_E-F-G-P_0,G,0.145,0.307,0.145,0.307,1ghb
  93,1ghb_P_E-F-G-P_0,C,0.145,0.307,0.145,0.307,1ghb
  94,1ghb_P_E-F-G-P_0,B,0.186,0.318,0.186,0.318,1ghb
  95,3nij_B_A-B_0,A,0.127,0.289,0.127,0.289,3nij
  96,4es0_C_A-C_0,A,0.285,0.264,0.264,0.285,4es0
  97,3rt9_B_A-B_0,F,0.315,0.204,0.204,0.315,3rt9
  98,3rt9_B_A-B_0,A,0.315,0.204,0.204,0.315,3rt9
  99,4f75_C_A-B-C-D_0,A,0.152,0.301,0.152,0.301,4f75
 100,4f75_C_A-B-C-D_0,B,0.136,0.276,0.136,0.276,4f75
 101,5kzt_C_A-C_0,A,0.345,0.218,0.218,0.345,5kzt
 102,1w9e_S_A-B-R-S-T_0,B,0.220,0.308,0.220,0.308,1w9e
 103,4k3m_E_A-B-E_0,A,0.252,0.209,0.209,0.252,4k3m
 104,1wcy_C_A-B-C-D_0,A,0.296,0.149,0.149,0.296,1wcy
 105,3m5o_C_A-C_0,A,0.229,0.288,0.229,0.288,3m5o
 106,5sxm_D_B-D_1,B,0.287,0.266,0.266,0.287,5sxm
 107,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.255,0.264,0.255,0.264,5fjz
 108,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.284,0.293,0.284,0.293,5fjz
 109,4k72_C_A-C_0,A,0.147,0.331,0.147,0.331,4k72
 110,1evh_B_A-B_0,A,0.186,0.346,0.186,0.346,1evh
 111,2fop_B_A-B_0,A,0.248,0.404,0.248,0.404,2fop
 112,4rxh_A_A-B-C_0,B,0.230,0.172,0.172,0.230,4rxh
 113,4jop_C_A-C_0,A,0.148,0.338,0.148,0.338,4jop
 114,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.122,0.276,0.122,0.276,1xb0
 115,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.123,0.278,0.123,0.278,1xb0
 116,3fwv_C_A-C_0,A,0.173,0.300,0.173,0.300,3fwv
 117,4ikn_B_A-B_0,A,0.269,0.287,0.269,0.287,4ikn
 118,4od7_E_C-E_2,C,0.263,0.347,0.263,0.347,4od7
 119,3oqs_B_A-B_0,A,0.206,0.154,0.154,0.206,3oqs
 120,1b40_B_A-B_0,A,0.315,0.198,0.198,0.315,1b40
 121,3psl_D_B-D_1,B,0.252,0.237,0.237,0.252,3psl
 122,2i3h_C_A-C_0,A,0.141,0.307,0.141,0.307,2i3h
 123,1tw6_C_A-B-C-D_2,F,0.156,0.341,0.156,0.341,1tw6
 124,1tw6_C_A-B-C-D_2,A,0.143,0.324,0.143,0.324,1tw6
 125,4o4y_A_A-H-L_0,L,0.448,0.543,0.448,0.543,4o4y
 126,4o4y_A_A-H-L_0,H,0.413,0.505,0.413,0.505,4o4y
 127,1vwa_M_B-D-M-P_0,C,0.190,0.359,0.190,0.359,1vwa
 128,1vwa_M_B-D-M-P_0,B,0.192,0.354,0.192,0.354,1vwa
 129,4bjt_E_B-E_2,B,0.212,0.325,0.212,0.325,4bjt
 130,3shb_B_A-B_0,A,0.116,0.282,0.116,0.282,3shb
 131,4j86_C_A-C_0,A,0.288,0.268,0.268,0.288,4j86
 132,3thk_C_A-C_0,A,0.109,0.313,0.109,0.313,3thk
 133,1b5i_B_A-B_0,A,0.324,0.203,0.203,0.324,1b5i
 134,4z0u_D_A-D_0,A,0.239,0.363,0.239,0.363,4z0u
 135,5fow_E_A-E_0,A,0.248,0.288,0.248,0.288,5fow
 136,4ba3_B_A-B_0,A,0.248,0.179,0.179,0.248,4ba3
 137,4xi7_C_A-C_0,A,0.273,0.223,0.223,0.273,4xi7
 138,4k75_B_A-B_0,A,0.153,0.329,0.153,0.329,4k75
 139,1mfl_B_A-B_0,A,0.157,0.329,0.157,0.329,1mfl
 140,3zs6_B_A-B_0,A,0.311,0.199,0.199,0.311,3zs6
 141,2v17_A_A-H-L_0,L,0.425,0.525,0.425,0.525,2v17
 142,2v17_A_A-H-L_0,H,0.410,0.490,0.410,0.490,2v17
 143,1d00_I_A-I_0,A,0.196,0.277,0.196,0.277,1d00
 144,1b46_B_A-B_0,A,0.315,0.198,0.198,0.315,1b46
 145,1str_M_B-D-M-P_0,C,0.199,0.361,0.199,0.361,1str
 146,1str_M_B-D-M-P_0,B,0.194,0.362,0.194,0.362,1str
 147,6fqc_E_A-B-D-E_0,A,0.271,0.234,0.234,0.271,6fqc
 148,1kyf_P_A-P_0,A,0.247,0.269,0.247,0.269,1kyf
 149,5fch_C_A-B-C_0,A,0.367,0.282,0.282,0.367,5fch
 150,5fch_C_A-B-C_0,B,0.361,0.278,0.278,0.361,5fch
