index,syst,chain,tm1,tm2,min,max,pdb
   0,3drj_B_A-B_0,A,0.714,0.668,0.668,0.714,3drj
   1,3l81_B_A-B_0,A,0.194,0.341,0.194,0.341,3l81
   2,4ezz_B_A-B_1,A,0.189,0.358,0.189,0.358,4ezz
   3,4joh_D_A-D_0,A,0.100,0.372,0.100,0.372,4joh
   4,3cbl_B_A-B_0,A,0.224,0.302,0.224,0.302,3cbl
   5,4c2c_B_A-B-C_0,A,0.242,0.274,0.242,0.274,4c2c
   6,1b32_B_A-B_0,A,0.999,0.999,0.999,0.999,1b32
   7,4f75_C_A-B-C-D_0,A,0.107,0.361,0.107,0.361,4f75
   8,4f75_C_A-B-C-D_0,B,0.106,0.356,0.106,0.356,4f75
   9,2zjd_D_C-D_5,C,0.117,0.341,0.117,0.341,2zjd
  10,3nim_X_F-X_3,F,0.090,0.335,0.090,0.335,3nim
  11,2ipu_P_G-K-P_1,G,0.174,0.332,0.174,0.332,2ipu
  12,2ipu_P_G-K-P_1,K,0.187,0.362,0.187,0.362,2ipu
  13,1yti_I_A-I_0,A,0.102,0.340,0.102,0.340,1yti
  14,1yti_I_A-I_0,B,0.102,0.340,0.102,0.340,1yti
  15,4k3o_E_A-B-E_0,A,0.214,0.281,0.214,0.281,4k3o
  16,4mz6_A_A-C-E_0,E,0.221,0.255,0.221,0.255,4mz6
  17,3sxu_C_A-B-C_0,A,0.153,0.391,0.153,0.391,3sxu
  18,4jmy_E_A-C-E_0,A,0.148,0.315,0.148,0.315,4jmy
  19,1sdz_B_A-B_0,A,0.097,0.357,0.097,0.357,1sdz
  20,1str_M_B-D-M-P_0,C,0.124,0.370,0.124,0.370,1str
  21,1str_M_B-D-M-P_0,B,0.122,0.360,0.122,0.360,1str
  22,1uop_B_A-B_0,A,0.344,0.271,0.271,0.344,1uop
  23,3q47_C_B-C_0,B,0.134,0.371,0.134,0.371,3q47
  24,4es0_C_A-C_0,A,0.228,0.331,0.228,0.331,4es0
  25,4b8o_C_A-B-C_0,A,0.206,0.239,0.206,0.239,4b8o
  26,2h9m_D_C-D_1,C,0.233,0.344,0.233,0.344,2h9m
  27,5m5t_E_A-E-G-I_0,A,0.225,0.293,0.225,0.293,5m5t
  28,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.233,0.311,0.233,0.311,2ot0
  29,3uf7_B_A-B-C_0,A,0.180,0.345,0.180,0.345,3uf7
  30,1sem_C_A-B-C-D_0,A,0.072,0.369,0.072,0.369,1sem
  31,4j44_B_A-B_0,A,0.099,0.355,0.099,0.355,4j44
  32,3cww_E_A-B-D-E_0,A,0.295,0.185,0.185,0.295,3cww
  33,1sua_C_A-C_0,A,0.206,0.338,0.206,0.338,1sua
  34,3drh_B_A-B_0,A,0.729,0.683,0.683,0.729,3drh
  35,5fch_C_A-B-C_0,A,0.253,0.303,0.253,0.303,5fch
  36,5fch_C_A-B-C_0,B,0.242,0.295,0.242,0.295,5fch
  37,3thk_C_A-C_0,A,0.068,0.371,0.068,0.371,3thk
  38,3nin_E_B-E_1,B,0.085,0.333,0.085,0.333,3nin
  39,3srj_D_A-C-D_0,A,0.218,0.326,0.218,0.326,3srj
  40,5fpk_C_A-C_0,A,0.180,0.324,0.180,0.324,5fpk
  41,1czy_D_A-B-C-D-E_0,A,0.147,0.354,0.147,0.354,1czy
  42,6cd9_B_A-B_0,A,0.149,0.360,0.149,0.360,6cd9
  43,3ivq_D_B-D_1,B,0.126,0.342,0.126,0.342,3ivq
  44,1b4z_B_A-B_0,A,0.999,0.999,0.999,0.999,1b4z
  45,3nfl_G_B-C-F-G_5,C,0.101,0.390,0.101,0.390,3nfl
  46,3oqs_B_A-B_0,A,0.222,0.256,0.222,0.256,3oqs
  47,4xi7_C_A-C_0,A,0.234,0.307,0.234,0.307,4xi7
  48,3ziq_B_A-B-C_0,A,0.222,0.256,0.222,0.256,3ziq
  49,4k72_C_A-C_0,A,0.099,0.398,0.099,0.398,4k72
  50,5iag_D_A-B-D_0,A,0.203,0.363,0.203,0.363,5iag
  51,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.211,0.358,0.211,0.358,5fjz
  52,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.171,0.291,0.171,0.291,5fjz
  53,5iz2_Z_A-B-Z_0,B,0.134,0.408,0.134,0.408,5iz2
  54,1v1t_S_A-B-S-T_0,B,0.152,0.358,0.152,0.358,1v1t
  55,4bjt_E_B-E_2,B,0.135,0.330,0.135,0.330,4bjt
  56,1b3g_B_A-B_0,A,0.999,0.999,0.999,0.999,1b3g
  57,2foj_B_A-B_0,A,0.132,0.358,0.132,0.358,2foj
  58,4ezy_B_A-B_2,A,0.184,0.354,0.184,0.354,4ezy
  59,1obz_P_A-B-P_0,A,0.153,0.345,0.153,0.345,1obz
  60,5huy_B_A-B-C_0,C,0.223,0.259,0.223,0.259,5huy
  61,5huw_B_A-B-C_0,C,0.221,0.256,0.221,0.256,5huw
  62,4rxh_A_A-B-C_0,B,0.215,0.250,0.215,0.250,4rxh
  63,2bgr_Y_A-B-Y-Z_0,A,0.335,0.257,0.257,0.335,2bgr
  64,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.249,0.331,0.249,0.331,4tr9
  65,4c2g_B_A-B-C_0,A,0.242,0.275,0.242,0.275,4c2g
  66,3lny_B_A-B_0,A,0.100,0.360,0.100,0.360,3lny
  67,4fys_C_A-C_0,A,0.323,0.209,0.209,0.323,4fys
  68,3rc4_B_A-B_0,A,0.161,0.333,0.161,0.333,3rc4
  69,3agy_C_A-B-C-D-F_0,A,0.139,0.305,0.139,0.305,3agy
  70,4q6f_H_C-H_2,C,0.062,0.313,0.062,0.313,4q6f
  71,4pz3_C_A-B-C_0,B,0.171,0.421,0.171,0.421,4pz3
  72,1b46_B_A-B_0,A,0.999,0.999,0.999,0.999,1b46
  73,3tcg_I_A-I_0,A,0.993,0.993,0.993,0.993,3tcg
  74,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.109,0.432,0.109,0.432,2y1l
  75,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.153,0.408,0.153,0.408,2y1l
  76,3t70_F_A-B-C-F_0,A,0.156,0.422,0.156,0.422,3t70
  77,3t70_F_A-B-C-F_0,B,0.153,0.447,0.153,0.447,3t70
  78,4m38_E_A-B-E-F_0,A,0.207,0.281,0.207,0.281,4m38
  79,2ce9_X_A-B-X_0,A,0.226,0.308,0.226,0.308,2ce9
  80,2v3s_C_B-C_1,B,0.109,0.433,0.109,0.433,2v3s
  81,5oav_B_A-B_0,A,0.070,0.382,0.070,0.382,5oav
  82,4mvk_B_A-B_0,A,0.165,0.376,0.165,0.376,4mvk
  83,4j77_D_B-D_1,B,0.219,0.328,0.219,0.328,4j77
  84,4j46_B_A-B_0,A,0.086,0.329,0.086,0.329,4j46
  85,3fp4_Q_A-Q_0,A,0.295,0.310,0.295,0.310,3fp4
  86,5elq_P_A-P_0,A,0.099,0.389,0.099,0.389,5elq
  87,1u9l_C_B-C_1,B,0.088,0.363,0.088,0.363,1u9l
  88,4z0u_D_A-D_0,A,0.149,0.386,0.149,0.386,4z0u
  89,5jiu_C_A-B-C-D_0,A,0.153,0.295,0.153,0.295,5jiu
  90,2x6m_B_A-B_0,A,0.137,0.411,0.137,0.411,2x6m
  91,5wir_D_A-B-C-D_0,B,0.165,0.323,0.165,0.323,5wir
  92,1b3l_B_A-B_0,A,0.997,0.997,0.997,0.997,1b3l
  93,1elr_B_A-B_0,A,0.125,0.359,0.125,0.359,1elr
  94,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.122,0.366,0.122,0.366,1kl5
  95,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.122,0.365,0.122,0.365,1kl5
  96,3nik_X_D-X_2,D,0.094,0.358,0.094,0.358,3nik
  97,4g69_B_A-B_0,A,0.109,0.377,0.109,0.377,4g69
  98,4faf_D_A-B-D_0,A,0.106,0.347,0.106,0.347,4faf
  99,4faf_D_A-B-D_0,B,0.104,0.346,0.104,0.346,4faf
 100,1evh_B_A-B_0,A,0.113,0.336,0.113,0.336,1evh
 101,5azf_C_A-C_0,A,0.123,0.361,0.123,0.361,5azf
 102,6ew9_P_A-B-C-P-Q-R_0,A,0.201,0.296,0.201,0.296,6ew9
 103,4j47_B_A-B_0,A,0.099,0.355,0.099,0.355,4j47
 104,6cd8_C_A-C_0,A,0.153,0.362,0.153,0.362,6cd8
 105,1uoq_B_A-B_0,A,0.344,0.271,0.271,0.344,1uoq
 106,5k4f_C_A-C_0,A,0.092,0.347,0.092,0.347,5k4f
 107,3nii_B_A-B_0,A,0.093,0.359,0.093,0.359,3nii
 108,5fgb_G_B-E-G_1,E,0.186,0.367,0.186,0.367,5fgb
 109,5fgb_G_B-E-G_1,B,0.185,0.356,0.185,0.356,5fgb
 110,2wa8_D_C-D_1,C,0.112,0.410,0.112,0.410,2wa8
 111,4ezn_C_A-B-C-D_0,A,0.179,0.336,0.179,0.336,4ezn
 112,4sga_P_E-P_0,E,0.149,0.331,0.149,0.331,4sga
 113,1jwg_D_B-D_1,B,0.136,0.360,0.136,0.360,1jwg
 114,3f7o_X_A-X_0,A,0.205,0.317,0.205,0.317,3f7o
 115,5gu4_C_A-C_0,A,0.192,0.328,0.192,0.328,5gu4
 116,4k3r_E_A-B-E_0,A,0.188,0.245,0.188,0.245,4k3r
 117,3gq1_C_A-C_0,A,0.111,0.460,0.111,0.460,3gq1
 118,2b6n_B_A-B_0,A,0.189,0.300,0.189,0.300,2b6n
 119,5nqv_G_A-C-E-G_0,C,0.165,0.339,0.165,0.339,5nqv
 120,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.122,0.367,0.122,0.367,1kl3
 121,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.121,0.364,0.121,0.364,1kl3
 122,5jjm_G_A-G-M_0,A,0.161,0.278,0.161,0.278,5jjm
 123,1b5i_B_A-B_0,A,0.999,0.999,0.999,0.999,1b5i
 124,1e4x_P_H-L-P_0,L,0.187,0.367,0.187,0.367,1e4x
 125,1e4x_P_H-L-P_0,H,0.192,0.380,0.192,0.380,1e4x
 126,2foo_B_A-B_0,A,0.129,0.354,0.129,0.354,2foo
 127,4iim_E_A-B-C-D-E_0,B,0.064,0.364,0.064,0.364,4iim
 128,2ql9_G_A-B-C-D-E-F-G_0,D,0.112,0.434,0.112,0.434,2ql9
 129,2ql9_G_A-B-C-D-E-F-G_0,A,0.149,0.433,0.149,0.433,2ql9
 130,2ql9_G_A-B-C-D-E-F-G_0,C,0.149,0.436,0.149,0.436,2ql9
 131,2ql9_G_A-B-C-D-E-F-G_0,B,0.112,0.436,0.112,0.436,2ql9
 132,1qka_B_A-B_0,A,0.999,0.999,0.999,0.999,1qka
 133,4z8j_B_A-B_0,A,0.098,0.345,0.098,0.345,4z8j
 134,3wor_C_A-B-C-D_0,A,0.300,0.240,0.240,0.300,3wor
 135,4dgb_B_A-B_0,A,0.143,0.327,0.143,0.327,4dgb
 136,2h2f_B_A-B_0,A,0.176,0.303,0.176,0.303,2h2f
 137,1wcy_C_A-B-C-D_0,A,0.338,0.260,0.260,0.338,1wcy
 138,4ezw_E_A-E_0,A,0.157,0.298,0.157,0.298,4ezw
 139,5y53_F_C-E-F_1,C,0.138,0.378,0.138,0.378,5y53
 140,5y53_F_C-E-F_1,E,0.134,0.359,0.134,0.359,5y53
