index,syst,chain,tm1,tm2,min,max,pdb
   0,3nfk_D_A-B-C-D_2,B,0.114,0.323,0.114,0.323,3nfk
   1,3ivq_D_B-D_1,B,0.181,0.381,0.181,0.381,3ivq
   2,3ufm_B_A-B_0,A,0.197,0.291,0.197,0.291,3ufm
   3,1vwa_M_B-D-M-P_0,C,0.172,0.429,0.172,0.429,1vwa
   4,1vwa_M_B-D-M-P_0,B,0.171,0.419,0.171,0.419,1vwa
   5,4j09_B_A-B_0,A,0.214,0.296,0.214,0.296,4j09
   6,4j09_B_A-B_0,C,0.214,0.296,0.214,0.296,4j09
   7,4k3m_E_A-B-E_0,A,0.272,0.292,0.272,0.292,4k3m
   8,6cwp_F_A-B-F_0,A,0.283,0.347,0.283,0.347,6cwp
   9,6cwp_F_A-B-F_0,B,0.285,0.344,0.285,0.344,6cwp
  10,3q47_C_B-C_0,B,0.171,0.390,0.171,0.390,3q47
  11,3wor_C_A-B-C-D_0,A,0.290,0.190,0.190,0.290,3wor
  12,3drh_B_A-B_0,A,0.309,0.242,0.242,0.309,3drh
  13,5fou_C_A-C_0,A,0.202,0.305,0.202,0.305,5fou
  14,3lny_B_A-B_0,A,0.121,0.327,0.121,0.327,3lny
  15,1b9j_B_A-B_0,A,0.302,0.250,0.250,0.302,1b9j
  16,3agy_C_A-B-C-D-F_0,A,0.165,0.287,0.165,0.287,3agy
  17,1oxn_F_E-F_7,E,0.123,0.374,0.123,0.374,1oxn
  18,3drj_B_A-B_0,A,0.307,0.240,0.240,0.307,3drj
  19,6cd8_C_A-C_0,A,0.176,0.333,0.176,0.333,6cd8
  20,5elq_P_A-P_0,A,0.124,0.341,0.124,0.341,5elq
  21,4j77_D_B-D_1,B,0.224,0.273,0.224,0.273,4j77
  22,2y7l_B_A-B_0,A,0.240,0.286,0.240,0.286,2y7l
  23,5k4f_C_A-C_0,A,0.104,0.303,0.104,0.303,5k4f
  24,5d9g_C_A-C_0,A,0.223,0.316,0.223,0.316,5d9g
  25,2h59_D_A-B-D-E_0,A,0.220,0.310,0.220,0.310,2h59
  26,2h59_D_A-B-D-E_0,B,0.215,0.300,0.215,0.300,2h59
  27,2zjd_D_C-D_5,C,0.152,0.383,0.152,0.383,2zjd
  28,1u9l_C_B-C_1,B,0.090,0.405,0.090,0.405,1u9l
  29,3ifo_P_H-L-P_0,L,0.272,0.417,0.272,0.417,3ifo
  30,3ifo_P_H-L-P_0,H,0.267,0.414,0.267,0.414,3ifo
  31,3emh_B_A-B_0,A,0.226,0.275,0.226,0.275,3emh
  32,2d5w_C_A-C_0,A,0.312,0.228,0.228,0.312,2d5w
  33,1gyb_E_A-B-E-F_0,A,0.153,0.365,0.153,0.365,1gyb
  34,1gyb_E_A-B-E-F_0,B,0.159,0.388,0.159,0.388,1gyb
  35,5v5p_A_A-B-C_0,C,0.203,0.193,0.193,0.203,5v5p
  36,6cd9_B_A-B_0,A,0.178,0.342,0.178,0.342,6cd9
  37,1se0_B_A-B_0,A,0.150,0.413,0.150,0.413,1se0
  38,4k3r_E_A-B-E_0,A,0.275,0.295,0.275,0.295,4k3r
  39,2b6n_B_A-B_0,A,0.227,0.295,0.227,0.295,2b6n
  40,5fch_C_A-B-C_0,A,0.993,0.986,0.986,0.993,5fch
  41,5fch_C_A-B-C_0,B,1.000,1.000,1.000,1.000,5fch
  42,3sjk_B_A-B_0,A,0.190,0.336,0.190,0.336,3sjk
  43,6cdc_C_A-C_0,A,0.180,0.349,0.180,0.349,6cdc
  44,4r5i_B_A-B_0,A,0.225,0.339,0.225,0.339,4r5i
  45,5oav_B_A-B_0,A,0.096,0.339,0.096,0.339,5oav
  46,3m5m_C_B-C_1,B,0.193,0.317,0.193,0.317,3m5m
  47,5wir_D_A-B-C-D_0,B,0.185,0.312,0.185,0.312,5wir
  48,4wvh_C_A-C_0,A,0.257,0.211,0.211,0.257,4wvh
  49,4qbr_P_A-P_0,A,0.176,0.387,0.176,0.387,4qbr
  50,3fwv_C_A-C_0,A,0.176,0.419,0.176,0.419,3fwv
  51,1evh_B_A-B_0,A,0.119,0.325,0.119,0.325,1evh
  52,1sem_C_A-B-C-D_0,A,0.092,0.316,0.092,0.316,1sem
  53,2v3s_C_B-C_1,B,0.149,0.440,0.149,0.440,2v3s
  54,4j47_B_A-B_0,A,0.122,0.381,0.122,0.381,4j47
  55,1jwg_D_B-D_1,B,0.165,0.355,0.165,0.355,1jwg
  56,5b74_D_A-B-D_0,B,0.168,0.361,0.168,0.361,5b74
  57,2foj_B_A-B_0,A,0.168,0.377,0.168,0.377,2foj
  58,1b51_B_A-B_0,A,0.292,0.240,0.240,0.292,1b51
  59,1d0a_G_A-B-C-G-H-I_0,A,0.193,0.346,0.193,0.346,1d0a
  60,3v43_Q_A-Q_0,A,0.136,0.350,0.136,0.350,3v43
  61,5jjm_G_A-G-M_0,A,0.230,0.320,0.230,0.320,5jjm
  62,4j81_C_B-C_1,B,0.215,0.263,0.215,0.263,4j81
  63,4gne_B_A-B_0,A,0.112,0.300,0.112,0.300,4gne
  64,4iim_E_A-B-C-D-E_0,B,0.086,0.315,0.086,0.315,4iim
  65,3q49_C_B-C_0,B,0.172,0.387,0.172,0.387,3q49
  66,3nii_B_A-B_0,A,0.105,0.324,0.105,0.324,3nii
  67,4ynl_C_A-B-C-D_0,A,0.135,0.450,0.135,0.450,4ynl
  68,4ynl_C_A-B-C-D_0,B,0.128,0.438,0.128,0.438,4ynl
  69,4ezz_B_A-B_1,A,0.200,0.311,0.200,0.311,4ezz
  70,3uoa_L_B-C-L-M_0,B,0.252,0.268,0.252,0.268,3uoa
  71,4jmy_E_A-C-E_0,A,0.183,0.321,0.183,0.321,4jmy
  72,5m5u_G_A-E-G_0,A,0.249,0.266,0.249,0.266,5m5u
  73,4hxj_C_A-C_0,A,0.094,0.322,0.094,0.322,4hxj
  74,2orz_B_A-B_0,A,0.265,0.314,0.265,0.314,2orz
  75,2foo_B_A-B_0,A,0.169,0.376,0.169,0.376,2foo
  76,4xi7_C_A-C_0,A,0.243,0.258,0.243,0.258,4xi7
  77,5iz2_Z_A-B-Z_0,B,0.154,0.368,0.154,0.368,5iz2
  78,3l81_B_A-B_0,A,0.202,0.294,0.202,0.294,3l81
  79,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.232,0.294,0.232,0.294,2z9i
  80,4mz6_A_A-C-E_0,E,0.188,0.179,0.179,0.188,4mz6
