index,syst,chain,tm1,tm2,min,max,pdb
   0,1sem_C_A-B-C-D_0,A,0.084,0.284,0.084,0.284,1sem
   1,3nih_B_A-B_0,A,0.113,0.308,0.113,0.308,3nih
   2,1sua_C_A-C_0,A,0.333,0.412,0.333,0.412,1sua
   3,5ovc_B_A-B_0,A,0.121,0.308,0.121,0.308,5ovc
   4,2x6m_B_A-B_0,A,0.159,0.310,0.159,0.310,2x6m
   5,3rt9_B_A-B_0,F,0.343,0.264,0.264,0.343,3rt9
   6,3rt9_B_A-B_0,A,0.343,0.264,0.264,0.343,3rt9
   7,1svz_C_A-B-C-D_0,A,0.236,0.319,0.236,0.319,1svz
   8,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.213,0.244,0.213,0.244,2z9i
   9,1ok7_C_A-B-C_0,B,0.211,0.203,0.203,0.211,1ok7
  10,1b58_B_A-B_0,A,0.320,0.243,0.243,0.320,1b58
  11,4b8o_C_A-B-C_0,A,0.278,0.243,0.243,0.278,4b8o
  12,4wnn_T_C-D-T_3,D,0.138,0.360,0.138,0.360,4wnn
  13,4wnn_T_C-D-T_3,C,0.143,0.403,0.143,0.403,4wnn
  14,1w9e_S_A-B-R-S-T_0,B,0.176,0.301,0.176,0.301,1w9e
  15,1tw6_C_A-B-C-D_2,F,0.137,0.346,0.137,0.346,1tw6
  16,1tw6_C_A-B-C-D_2,A,0.129,0.345,0.129,0.345,1tw6
  17,4ztd_F_A-B-C-D-E-F_0,C,0.207,0.254,0.207,0.254,4ztd
  18,3gv4_H_A-H_0,A,0.179,0.456,0.179,0.456,3gv4
  19,3cww_E_A-B-D-E_0,A,0.304,0.142,0.142,0.304,3cww
  20,5e6o_E_B-E_1,B,0.141,0.324,0.141,0.324,5e6o
  21,1b5i_B_A-B_0,A,0.314,0.237,0.237,0.314,1b5i
  22,4v3i_B_A-B_0,A,0.222,0.426,0.222,0.426,4v3i
  23,3agy_C_A-B-C-D-F_0,A,0.179,0.295,0.179,0.295,3agy
  24,3nin_E_B-E_1,B,0.115,0.327,0.115,0.327,3nin
  25,3njj_B_A-B_0,A,0.155,0.365,0.155,0.365,3njj
  26,4kg9_B_A-B_0,A,0.174,0.334,0.174,0.334,4kg9
  27,3gq1_C_A-C_0,A,0.139,0.449,0.139,0.449,3gq1
  28,2ql9_G_A-B-C-D-E-F-G_0,D,0.135,0.370,0.135,0.370,2ql9
  29,2ql9_G_A-B-C-D-E-F-G_0,A,0.224,0.466,0.224,0.466,2ql9
  30,2ql9_G_A-B-C-D-E-F-G_0,C,0.225,0.469,0.225,0.469,2ql9
  31,2ql9_G_A-B-C-D-E-F-G_0,B,0.135,0.370,0.135,0.370,2ql9
  32,4faf_D_A-B-D_0,A,0.134,0.317,0.134,0.317,4faf
  33,4faf_D_A-B-D_0,B,0.138,0.326,0.138,0.326,4faf
  34,2h2f_B_A-B_0,A,0.248,0.330,0.248,0.330,2h2f
  35,3rta_B_A-B_0,F,0.343,0.264,0.264,0.343,3rta
  36,3rta_B_A-B_0,A,0.343,0.264,0.264,0.343,3rta
  37,4r5i_B_A-B_0,A,0.194,0.267,0.194,0.267,4r5i
  38,5xcr_F_D-E-F_1,D,0.190,0.328,0.190,0.328,5xcr
  39,5xcr_F_D-E-F_1,E,0.183,0.329,0.183,0.329,5xcr
  40,3zs6_B_A-B_0,A,0.309,0.238,0.238,0.309,3zs6
  41,1b40_B_A-B_0,A,0.311,0.233,0.233,0.311,1b40
  42,4od7_E_C-E_2,C,0.265,0.423,0.265,0.423,4od7
  43,1lvm_C_A-C-E_0,A,0.248,0.327,0.248,0.327,1lvm
  44,2h9m_D_C-D_1,C,0.304,0.337,0.304,0.337,2h9m
  45,4iim_E_A-B-C-D-E_0,B,0.075,0.306,0.075,0.306,4iim
  46,5v5p_A_A-B-C_0,C,0.304,0.264,0.264,0.304,5v5p
  47,5uw3_E_A-E_0,A,0.360,0.215,0.215,0.360,5uw3
  48,2fib_B_A-B_0,A,0.237,0.300,0.237,0.300,2fib
  49,4joh_D_A-D_0,A,0.111,0.315,0.111,0.315,4joh
  50,1b4z_B_A-B_0,A,0.318,0.241,0.241,0.318,1b4z
  51,5zw6_C_A-B-C-D_0,A,0.299,0.275,0.275,0.299,5zw6
  52,4k3q_E_A-B-E_0,A,0.216,0.213,0.213,0.216,4k3q
  53,1gyb_E_A-B-E-F_0,A,0.166,0.351,0.166,0.351,1gyb
  54,1gyb_E_A-B-E-F_0,B,0.164,0.347,0.164,0.347,1gyb
  55,2bgr_Y_A-B-Y-Z_0,A,0.356,0.204,0.204,0.356,2bgr
  56,5fgb_G_B-E-G_1,E,0.205,0.292,0.205,0.292,5fgb
  57,5fgb_G_B-E-G_1,B,0.172,0.244,0.172,0.244,5fgb
  58,5grg_D_A-B-C-D_0,A,0.219,0.260,0.219,0.260,5grg
  59,1qka_B_A-B_0,A,0.316,0.239,0.239,0.316,1qka
  60,4ojf_A_A-H-L_0,L,0.177,0.248,0.177,0.248,4ojf
  61,4ojf_A_A-H-L_0,H,0.191,0.266,0.191,0.266,4ojf
  62,3tcg_I_A-I_0,A,0.325,0.247,0.247,0.325,3tcg
  63,2dze_X_A-B-X_0,A,0.190,0.327,0.190,0.327,2dze
  64,2dze_X_A-B-X_0,B,0.181,0.305,0.181,0.305,2dze
  65,4hxj_C_A-C_0,A,0.085,0.301,0.085,0.301,4hxj
  66,3ou3_C_A-B-C_0,A,0.136,0.326,0.136,0.326,3ou3
  67,3ou3_C_A-B-C_0,B,0.139,0.329,0.139,0.329,3ou3
  68,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.229,0.281,0.229,0.281,5fjz
  69,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.226,0.276,0.226,0.276,5fjz
  70,5azf_C_A-C_0,A,0.166,0.356,0.166,0.356,5azf
  71,4z0u_D_A-D_0,A,0.204,0.377,0.204,0.377,4z0u
  72,1s2k_B_A-B_0,A,0.197,0.292,0.197,0.292,1s2k
  73,1se0_B_A-B_0,A,0.134,0.347,0.134,0.347,1se0
  74,5b74_D_A-B-D_0,B,0.234,0.509,0.234,0.509,5b74
  75,5m5t_E_A-E-G-I_0,A,0.329,0.321,0.321,0.329,5m5t
  76,4cic_Q_A-B-Q_0,A,0.144,0.283,0.144,0.283,4cic
  77,4cic_Q_A-B-Q_0,B,0.144,0.284,0.144,0.284,4cic
  78,3fp2_Q_A-Q_0,A,0.295,0.235,0.235,0.295,3fp2
  79,3mqr_B_A-B_0,A,0.164,0.310,0.164,0.310,3mqr
  80,4o51_N_A-B-N_1,A,0.193,0.266,0.193,0.266,4o51
  81,4o51_N_A-B-N_1,B,0.184,0.250,0.184,0.250,4o51
  82,1wcy_C_A-B-C-D_0,A,0.358,0.205,0.205,0.358,1wcy
  83,6fqc_E_A-B-D-E_0,A,0.258,0.266,0.258,0.266,6fqc
  84,2y7l_B_A-B_0,A,0.257,0.278,0.257,0.278,2y7l
  85,3mmg_C_A-C_0,A,0.243,0.344,0.243,0.344,3mmg
  86,2hpl_B_A-B_0,A,0.170,0.416,0.170,0.416,2hpl
  87,2v5w_G_B-G-L_1,B,0.385,0.371,0.371,0.385,2v5w
  88,4fii_B_A-B_0,A,0.251,0.287,0.251,0.287,4fii
  89,4ezn_C_A-B-C-D_0,A,0.185,0.268,0.185,0.268,4ezn
  90,4g69_B_A-B_0,A,0.126,0.305,0.126,0.305,4g69
  91,3srj_D_A-C-D_0,A,0.230,0.255,0.230,0.255,3srj
  92,4gne_B_A-B_0,A,0.136,0.337,0.136,0.337,4gne
  93,3oqs_B_A-B_0,A,0.304,0.263,0.263,0.304,3oqs
  94,4gyo_C_A-B-C-D_0,B,0.280,0.275,0.275,0.280,4gyo
  95,4j8b_B_A-B_0,A,0.298,0.335,0.298,0.335,4j8b
  96,6ew9_P_A-B-C-P-Q-R_0,A,0.259,0.285,0.259,0.285,6ew9
  97,2fop_B_A-B_0,A,0.163,0.309,0.163,0.309,2fop
  98,1nvs_B_A-B_0,A,0.236,0.289,0.236,0.289,1nvs
  99,4sga_P_E-P_0,E,0.236,0.362,0.236,0.362,4sga
 100,5jjm_G_A-G-M_0,A,0.262,0.332,0.262,0.332,5jjm
 101,2f5b_P_H-L-P_0,L,0.187,0.257,0.187,0.257,2f5b
 102,2f5b_P_H-L-P_0,H,0.168,0.222,0.168,0.222,2f5b
 103,1awr_J_D-J_5,D,0.195,0.341,0.195,0.341,1awr
 104,5fow_E_A-E_0,A,0.359,0.514,0.359,0.514,5fow
 105,3nij_B_A-B_0,A,0.116,0.301,0.116,0.301,3nij
 106,3jrv_D_B-D_1,B,0.202,0.378,0.202,0.378,3jrv
 107,3dri_B_A-B_0,A,0.309,0.223,0.223,0.309,3dri
 108,2zjd_D_C-D_5,C,0.166,0.366,0.166,0.366,2zjd
 109,1jwg_D_B-D_1,B,0.217,0.435,0.217,0.435,1jwg
 110,3f6k_N_A-N_0,A,0.291,0.185,0.185,0.291,3f6k
 111,5lb7_C_A-B-C_0,A,0.192,0.328,0.192,0.328,5lb7
 112,5lb7_C_A-B-C_0,B,0.139,0.494,0.139,0.494,5lb7
 113,6cd8_C_A-C_0,A,0.208,0.352,0.208,0.352,6cd8
 114,5fou_C_A-C_0,A,0.368,0.520,0.368,0.520,5fou
 115,3ziq_B_A-B-C_0,A,0.303,0.262,0.262,0.303,3ziq
