index,syst,chain,tm1,tm2,min,max,pdb
   0,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.366,0.209,0.209,0.366,5fjz
   1,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.363,0.210,0.210,0.363,5fjz
   2,6eja_B_A-B_0,A,0.397,0.096,0.096,0.397,6eja
   3,4ezq_B_A-B_1,A,0.388,0.255,0.255,0.388,4ezq
   4,4k75_B_A-B_0,A,0.259,0.317,0.259,0.317,4k75
   5,3srj_D_A-C-D_0,A,0.319,0.162,0.162,0.319,3srj
   6,3qhw_L_A-B-J-L_0,B,0.293,0.172,0.172,0.293,3qhw
   7,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.376,0.172,0.172,0.376,2ot0
   8,2bgr_Y_A-B-Y-Z_0,A,0.421,0.094,0.094,0.421,2bgr
   9,1uop_B_A-B_0,A,0.394,0.092,0.092,0.394,1uop
  10,1svz_C_A-B-C-D_0,A,0.375,0.235,0.235,0.375,1svz
  11,5fox_C_A-C_0,A,0.304,0.206,0.206,0.304,5fox
  12,4j82_C_A-C_0,A,0.354,0.182,0.182,0.354,4j82
  13,3cbl_B_A-B_0,A,0.353,0.152,0.152,0.353,3cbl
  14,5iz2_Z_A-B-Z_0,B,0.337,0.328,0.328,0.337,5iz2
  15,4pyw_B_A-B-C_0,A,0.372,0.154,0.154,0.372,4pyw
  16,3rc5_B_A-B_0,A,0.309,0.216,0.216,0.309,3rc5
  17,4ztd_F_A-B-C-D-E-F_0,C,0.387,0.214,0.214,0.387,4ztd
  18,3f7o_X_A-X_0,A,0.333,0.188,0.188,0.333,3f7o
  19,3t70_F_A-B-C-F_0,A,0.335,0.293,0.293,0.335,3t70
  20,3t70_F_A-B-C-F_0,B,0.332,0.307,0.307,0.332,3t70
  21,5gu4_C_A-C_0,A,0.361,0.205,0.205,0.361,5gu4
  22,5lyn_C_A-B-C-D_0,A,0.273,0.257,0.257,0.273,5lyn
  23,5lyn_C_A-B-C-D_0,B,0.276,0.260,0.260,0.276,5lyn
  24,4k3m_E_A-B-E_0,A,0.316,0.139,0.139,0.316,4k3m
  25,1e4x_P_H-L-P_0,L,0.384,0.260,0.260,0.384,1e4x
  26,1e4x_P_H-L-P_0,H,0.310,0.214,0.214,0.310,1e4x
  27,2ce9_X_A-B-X_0,A,0.325,0.156,0.156,0.325,2ce9
  28,3drh_B_A-B_0,A,0.342,0.107,0.107,0.342,3drh
  29,2foo_B_A-B_0,A,0.376,0.346,0.346,0.376,2foo
  30,4jop_C_A-C_0,A,0.259,0.318,0.259,0.318,4jop
  31,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.251,0.302,0.251,0.302,1xb0
  32,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.251,0.298,0.251,0.298,1xb0
  33,5m5u_G_A-E-G_0,A,0.374,0.170,0.170,0.374,5m5u
  34,5lb7_C_A-B-C_0,A,0.248,0.201,0.201,0.248,5lb7
  35,5lb7_C_A-B-C_0,B,0.203,0.266,0.203,0.266,5lb7
  36,1olc_B_A-B_0,A,0.379,0.121,0.121,0.379,1olc
  37,5fch_C_A-B-C_0,A,0.428,0.172,0.172,0.428,5fch
  38,5fch_C_A-B-C_0,B,0.429,0.172,0.172,0.429,5fch
  39,5uw3_E_A-E_0,A,0.365,0.090,0.090,0.365,5uw3
  40,4j47_B_A-B_0,A,0.255,0.325,0.255,0.325,4j47
  41,3mmg_C_A-C_0,A,0.305,0.204,0.204,0.305,3mmg
  42,4r5i_B_A-B_0,A,0.391,0.249,0.249,0.391,4r5i
  43,1sem_C_A-B-C-D_0,A,0.222,0.333,0.222,0.333,1sem
  44,6hpg_c_C-c_2,C,0.263,0.269,0.263,0.269,6hpg
  45,3thk_C_A-C_0,A,0.223,0.329,0.223,0.329,3thk
  46,5nqv_G_A-C-E-G_0,C,0.263,0.198,0.198,0.263,5nqv
  47,5azf_C_A-C_0,A,0.288,0.291,0.288,0.291,5azf
  48,1czy_D_A-B-C-D-E_0,A,0.424,0.335,0.335,0.424,1czy
  49,5ovv_B_A-B_0,A,0.298,0.339,0.298,0.339,5ovv
  50,1sdz_B_A-B_0,A,0.272,0.312,0.272,0.312,1sdz
  51,4sga_P_E-P_0,E,0.310,0.235,0.235,0.310,4sga
  52,1b9j_B_A-B_0,A,0.372,0.126,0.126,0.372,1b9j
  53,4k3p_E_A-B-E_0,A,0.314,0.139,0.139,0.314,4k3p
  54,5b74_D_A-B-D_0,B,0.272,0.265,0.265,0.272,5b74
  55,4que_E_A-C-D-E-H-J_0,A,0.359,0.230,0.230,0.359,4que
  56,3uf7_B_A-B-C_0,A,0.307,0.204,0.204,0.307,3uf7
  57,4j81_C_B-C_1,B,0.355,0.182,0.182,0.355,4j81
  58,1u9l_C_B-C_1,B,0.226,0.307,0.226,0.307,1u9l
  59,3sjk_B_A-B_0,A,0.321,0.243,0.243,0.321,3sjk
  60,5kzt_C_A-C_0,A,0.365,0.124,0.124,0.365,5kzt
  61,4f75_C_A-B-C-D_0,A,0.302,0.347,0.302,0.347,4f75
  62,4f75_C_A-B-C-D_0,B,0.291,0.328,0.291,0.328,4f75
  63,3oqs_B_A-B_0,A,0.271,0.113,0.113,0.271,3oqs
