index,syst,chain,tm1,tm2,min,max,pdb
   0,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.296,0.261,0.261,0.296,1kl3
   1,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.295,0.261,0.261,0.295,1kl3
   2,4j47_B_A-B_0,A,0.300,0.335,0.300,0.335,4j47
   3,4b8o_C_A-B-C_0,A,0.302,0.102,0.102,0.302,4b8o
   4,1qka_B_A-B_0,A,0.362,0.108,0.108,0.362,1qka
   5,4j44_B_A-B_0,A,0.309,0.347,0.309,0.347,4j44
   6,1gyb_E_A-B-E-F_0,A,0.317,0.278,0.278,0.317,1gyb
   7,1gyb_E_A-B-E-F_0,B,0.317,0.278,0.278,0.317,1gyb
   8,4ba3_B_A-B_0,A,0.297,0.094,0.094,0.297,4ba3
   9,3ifo_P_H-L-P_0,L,0.265,0.157,0.157,0.265,3ifo
  10,3ifo_P_H-L-P_0,H,0.316,0.189,0.189,0.316,3ifo
  11,1sem_C_A-B-C-D_0,A,0.225,0.305,0.225,0.305,1sem
  12,3f7o_X_A-X_0,A,0.358,0.173,0.173,0.358,3f7o
  13,1kyd_P_A-P_0,A,0.349,0.186,0.186,0.349,1kyd
  14,4od7_E_C-E_2,C,0.308,0.202,0.202,0.308,4od7
  15,5huy_B_A-B-C_0,C,0.294,0.102,0.102,0.294,5huy
  16,4j78_B_A-B_0,A,0.305,0.142,0.142,0.305,4j78
  17,4fys_C_A-C_0,A,0.380,0.071,0.071,0.380,4fys
  18,2v5w_G_B-G-L_1,B,0.323,0.126,0.126,0.323,2v5w
  19,5m5v_G_A-E-G-I_0,A,0.330,0.139,0.139,0.330,5m5v
  20,3mqr_B_A-B_0,A,0.345,0.284,0.284,0.345,3mqr
  21,5m5t_E_A-E-G-I_0,A,0.341,0.134,0.134,0.341,5m5t
  22,4q6f_H_C-H_2,C,0.228,0.304,0.228,0.304,4q6f
  23,1sts_P_B-D-M-P_0,D,0.335,0.295,0.295,0.335,1sts
  24,1sts_P_B-D-M-P_0,A,0.299,0.258,0.258,0.299,1sts
  25,4j45_B_A-B_0,A,0.311,0.349,0.311,0.349,4j45
  26,3ivq_D_B-D_1,B,0.339,0.276,0.276,0.339,3ivq
  27,2zgh_B_A-B_0,A,0.418,0.224,0.224,0.418,2zgh
  28,6cwp_F_A-B-F_0,A,0.305,0.140,0.140,0.305,6cwp
  29,6cwp_F_A-B-F_0,B,0.283,0.125,0.125,0.283,6cwp
  30,3shb_B_A-B_0,A,0.253,0.315,0.253,0.315,3shb
  31,4wvh_C_A-C_0,A,0.319,0.096,0.096,0.319,4wvh
  32,1rzx_B_A-B_0,A,0.333,0.335,0.333,0.335,1rzx
  33,3t64_F_A-B-C-F_0,A,0.299,0.231,0.231,0.299,3t64
  34,3t64_F_A-B-C-F_0,B,0.298,0.249,0.249,0.298,3t64
  35,5iag_D_A-B-D_0,A,0.298,0.163,0.163,0.298,5iag
  36,2ql9_G_A-B-C-D-E-F-G_0,D,0.232,0.242,0.232,0.242,2ql9
  37,2ql9_G_A-B-C-D-E-F-G_0,A,0.268,0.217,0.217,0.268,2ql9
  38,2ql9_G_A-B-C-D-E-F-G_0,C,0.264,0.212,0.212,0.264,2ql9
  39,2ql9_G_A-B-C-D-E-F-G_0,B,0.241,0.251,0.241,0.251,2ql9
  40,4k72_C_A-C_0,A,0.266,0.287,0.266,0.287,4k72
  41,5huw_B_A-B-C_0,C,0.289,0.099,0.099,0.289,5huw
  42,3q47_C_B-C_0,B,0.271,0.226,0.226,0.271,3q47
  43,3sxu_C_A-B-C_0,A,0.284,0.222,0.222,0.284,3sxu
  44,3m5n_F_B-F_1,B,0.324,0.198,0.198,0.324,3m5n
  45,5xup_D_A-B-C-D_0,B,0.288,0.178,0.178,0.288,5xup
  46,3nii_B_A-B_0,A,0.249,0.283,0.249,0.283,3nii
  47,4faf_D_A-B-D_0,A,0.972,0.972,0.972,0.972,4faf
  48,4faf_D_A-B-D_0,B,0.964,0.964,0.964,0.964,4faf
  49,1obz_P_A-B-P_0,A,0.288,0.204,0.204,0.288,1obz
  50,5fgb_G_B-E-G_1,E,0.318,0.193,0.193,0.318,5fgb
  51,5fgb_G_B-E-G_1,B,0.288,0.172,0.172,0.288,5fgb
  52,1tw6_C_A-B-C-D_2,F,0.308,0.317,0.308,0.317,1tw6
  53,1tw6_C_A-B-C-D_2,A,0.334,0.355,0.334,0.355,1tw6
  54,3o2b_D_C-D_1,C,0.240,0.232,0.232,0.240,3o2b
  55,3srj_D_A-C-D_0,A,0.366,0.169,0.169,0.366,3srj
  56,3lca_Q_A-Q_0,A,0.304,0.095,0.095,0.304,3lca
  57,1h27_E_A-B-E_0,B,0.288,0.152,0.152,0.288,1h27
  58,4k75_B_A-B_0,A,0.270,0.291,0.270,0.291,4k75
  59,5wir_D_A-B-C-D_0,B,0.314,0.197,0.197,0.314,5wir
  60,1yth_I_A-B-I_0,A,0.995,0.995,0.995,0.995,1yth
  61,1yth_I_A-B-I_0,B,0.983,0.983,0.983,0.983,1yth
  62,4z0u_D_A-D_0,A,0.330,0.247,0.247,0.330,4z0u
  63,4ezw_E_A-E_0,A,0.374,0.216,0.216,0.374,4ezw
  64,1czy_D_A-B-C-D-E_0,A,0.302,0.221,0.221,0.302,1czy
  65,1uop_B_A-B_0,A,0.325,0.077,0.077,0.325,1uop
  66,3psl_D_B-D_1,B,0.320,0.152,0.152,0.320,3psl
  67,5t6p_E_C-D-E_1,D,0.316,0.200,0.200,0.316,5t6p
  68,5t6p_E_C-D-E_1,C,0.286,0.180,0.180,0.286,5t6p
  69,3nij_B_A-B_0,A,0.247,0.281,0.247,0.281,3nij
  70,1nvs_B_A-B_0,A,0.285,0.151,0.151,0.285,1nvs
  71,4x2h_C_A-B-C_0,A,0.352,0.223,0.223,0.352,4x2h
  72,4ezq_B_A-B_1,A,0.385,0.219,0.219,0.385,4ezq
  73,5zw6_C_A-B-C-D_0,A,0.336,0.123,0.123,0.336,5zw6
  74,1b40_B_A-B_0,A,0.361,0.107,0.107,0.361,1b40
  75,2h2f_B_A-B_0,A,0.312,0.169,0.169,0.312,2h2f
  76,4bjt_E_B-E_2,B,0.288,0.220,0.220,0.288,4bjt
  77,4que_E_A-C-D-E-H-J_0,A,0.303,0.172,0.172,0.303,4que
  78,3emh_B_A-B_0,A,0.330,0.149,0.149,0.330,3emh
  79,4sga_P_E-P_0,E,0.380,0.248,0.248,0.380,4sga
  80,2x6m_B_A-B_0,A,0.319,0.275,0.275,0.319,2x6m
  81,4jjq_B_A-B_0,A,0.342,0.284,0.284,0.342,4jjq
  82,4rxh_A_A-B-C_0,B,0.265,0.095,0.095,0.265,4rxh
  83,4jwd_C_B-C_1,B,0.385,0.219,0.219,0.385,4jwd
  84,4k3r_E_A-B-E_0,A,0.371,0.144,0.144,0.371,4k3r
  85,3zin_C_A-B-C_0,A,0.299,0.096,0.096,0.299,3zin
  86,3rc4_B_A-B_0,A,0.420,0.250,0.250,0.420,3rc4
  87,3ebb_F_A-B-E-F_0,B,0.301,0.151,0.151,0.301,3ebb
  88,4j81_C_B-C_1,B,0.305,0.144,0.144,0.305,4j81
  89,3drk_B_A-B_0,A,0.346,0.099,0.099,0.346,3drk
  90,5fou_C_A-C_0,A,0.299,0.174,0.174,0.299,5fou
  91,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.297,0.262,0.262,0.297,1kl5
  92,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.295,0.261,0.261,0.295,1kl5
  93,1b4z_B_A-B_0,A,0.361,0.107,0.107,0.361,1b4z
  94,4ojf_A_A-H-L_0,L,0.292,0.161,0.161,0.292,4ojf
  95,4ojf_A_A-H-L_0,H,0.328,0.193,0.193,0.328,4ojf
  96,4quh_D_A-C-D-I-J_0,A,0.297,0.170,0.170,0.297,4quh
  97,5e6o_E_B-E_1,B,0.355,0.324,0.324,0.355,5e6o
  98,4fii_B_A-B_0,A,0.323,0.152,0.152,0.323,4fii
  99,5sxm_D_B-D_1,B,0.325,0.145,0.145,0.325,5sxm
 100,3ou3_C_A-B-C_0,A,0.933,0.933,0.933,0.933,3ou3
 101,3ou3_C_A-B-C_0,B,0.933,0.933,0.933,0.933,3ou3
 102,3f6k_N_A-N_0,A,0.342,0.084,0.084,0.342,3f6k
 103,3lny_B_A-B_0,A,0.279,0.288,0.279,0.288,3lny
 104,4ezn_C_A-B-C-D_0,A,0.373,0.218,0.218,0.373,4ezn
 105,5eyz_E_A-E_0,A,0.253,0.260,0.253,0.260,5eyz
 106,4jok_D_B-D_1,B,0.271,0.293,0.271,0.293,4jok
 107,5b74_D_A-B-D_0,B,0.262,0.229,0.229,0.262,5b74
 108,2i3h_C_A-C_0,A,0.334,0.355,0.334,0.355,2i3h
 109,1jwg_D_B-D_1,B,0.226,0.186,0.186,0.226,1jwg
 110,3vqg_B_A-B_0,A,0.286,0.313,0.286,0.313,3vqg
 111,4f75_C_A-B-C-D_0,A,1.000,1.000,1.000,1.000,4f75
 112,4f75_C_A-B-C-D_0,B,0.987,0.987,0.987,0.987,4f75
 113,6fkp_G_C-G_2,C,0.236,0.323,0.236,0.323,6fkp
 114,1b58_B_A-B_0,A,0.336,0.105,0.105,0.336,1b58
 115,5iza_B_A-B_0,A,0.306,0.122,0.122,0.306,5iza
 116,1a30_C_A-B-C_0,A,0.987,0.987,0.987,0.987,1a30
 117,1a30_C_A-B-C_0,B,0.982,0.982,0.982,0.982,1a30
 118,5fov_E_A-E_0,A,0.325,0.179,0.179,0.325,5fov
 119,3nil_X_D-X_2,D,0.268,0.299,0.268,0.299,3nil
 120,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.348,0.182,0.182,0.348,5fjz
 121,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.345,0.183,0.183,0.345,5fjz
 122,2h9m_D_C-D_1,C,0.307,0.143,0.143,0.307,2h9m
 123,1se0_B_A-B_0,A,0.293,0.297,0.293,0.297,1se0
 124,3q49_C_B-C_0,B,0.264,0.221,0.221,0.264,3q49
 125,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.242,0.256,0.242,0.256,2y1l
 126,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.266,0.209,0.209,0.266,2y1l
 127,6fqc_E_A-B-D-E_0,A,0.287,0.132,0.132,0.287,6fqc
 128,4j46_B_A-B_0,A,0.309,0.347,0.309,0.347,4j46
 129,3sjk_B_A-B_0,A,0.456,0.286,0.286,0.456,3sjk
 130,5ovv_B_A-B_0,A,0.276,0.276,0.276,0.276,5ovv
 131,1hsb_C_A-B-C_0,A,0.294,0.148,0.148,0.294,1hsb
 132,2v3s_C_B-C_1,B,0.321,0.327,0.321,0.327,2v3s
 133,2bgr_Y_A-B-Y-Z_0,A,0.333,0.075,0.075,0.333,2bgr
 134,3fwv_C_A-C_0,A,0.243,0.204,0.204,0.243,3fwv
 135,4cic_Q_A-B-Q_0,A,0.305,0.250,0.250,0.305,4cic
 136,4cic_Q_A-B-Q_0,B,0.299,0.246,0.246,0.299,4cic
 137,2hl3_C_A-B-C_0,A,0.287,0.334,0.287,0.334,2hl3
 138,2hl3_C_A-B-C_0,B,0.267,0.316,0.267,0.316,2hl3
 139,5elq_P_A-P_0,A,0.292,0.301,0.292,0.301,5elq
 140,5fox_C_A-C_0,A,0.301,0.176,0.176,0.301,5fox
 141,1fch_C_A-B-C-D_2,F,0.391,0.178,0.178,0.391,1fch
 142,1fch_C_A-B-C-D_2,A,0.394,0.177,0.177,0.394,1fch
 143,3zvy_D_B-D_0,B,0.252,0.318,0.252,0.318,3zvy
 144,3ziq_B_A-B-C_0,A,0.260,0.083,0.083,0.260,3ziq
 145,4f74_C_A-B-C_0,A,0.997,0.997,0.997,0.997,4f74
 146,4f74_C_A-B-C_0,B,0.985,0.985,0.985,0.985,4f74
 147,1sdz_B_A-B_0,A,0.294,0.298,0.294,0.298,1sdz
 148,4c2g_B_A-B-C_0,A,0.309,0.112,0.112,0.309,4c2g
 149,2foo_B_A-B_0,A,0.341,0.283,0.283,0.341,2foo
 150,5fch_C_A-B-C_0,A,0.369,0.135,0.135,0.369,5fch
 151,5fch_C_A-B-C_0,B,0.348,0.136,0.136,0.348,5fch
 152,4o51_N_A-B-N_1,A,0.295,0.172,0.172,0.295,4o51
 153,4o51_N_A-B-N_1,B,0.323,0.190,0.190,0.323,4o51
 154,6hpg_c_C-c_2,C,0.266,0.242,0.242,0.266,6hpg
 155,5jiu_C_A-B-C-D_0,A,0.330,0.204,0.204,0.330,5jiu
 156,4pxm_D_A-B-C-D_0,B,0.362,0.201,0.201,0.362,4pxm
 157,1b05_B_A-B_0,A,0.361,0.107,0.107,0.361,1b05
 158,4pyw_B_A-B-C_0,A,0.332,0.137,0.137,0.332,4pyw
 159,4j77_D_B-D_1,B,0.294,0.140,0.140,0.294,4j77
 160,1kyf_P_A-P_0,A,0.357,0.185,0.185,0.357,1kyf
 161,2ce9_X_A-B-X_0,A,0.381,0.156,0.156,0.381,2ce9
 162,4k3m_E_A-B-E_0,A,0.301,0.122,0.122,0.301,4k3m
 163,2h59_D_A-B-D-E_0,A,0.331,0.170,0.170,0.331,2h59
 164,2h59_D_A-B-D-E_0,B,0.330,0.170,0.170,0.330,2h59
