index,syst,chain,tm1,tm2,min,max,pdb
   0,5huw_B_A-B-C_0,C,0.292,0.102,0.102,0.292,5huw
   1,2v5f_X_A-X_0,A,0.266,0.269,0.266,0.269,2v5f
   2,3soq_Z_A-Z_0,A,0.360,0.162,0.162,0.360,3soq
   3,3cww_E_A-B-D-E_0,A,0.330,0.051,0.051,0.330,3cww
   4,3emh_B_A-B_0,A,0.328,0.149,0.149,0.328,3emh
   5,1kyd_P_A-P_0,A,0.365,0.191,0.191,0.365,1kyd
   6,4ouc_B_A-B_0,A,0.355,0.144,0.144,0.355,4ouc
   7,3oqs_B_A-B_0,A,0.293,0.103,0.103,0.293,3oqs
   8,5iag_D_A-B-D_0,A,0.298,0.166,0.166,0.298,5iag
   9,6cwp_F_A-B-F_0,A,0.317,0.150,0.150,0.317,6cwp
  10,6cwp_F_A-B-F_0,B,0.274,0.128,0.128,0.274,6cwp
  11,4cic_Q_A-B-Q_0,A,0.304,0.249,0.249,0.304,4cic
  12,4cic_Q_A-B-Q_0,B,0.305,0.251,0.251,0.305,4cic
  13,4j86_C_A-C_0,A,0.354,0.156,0.156,0.354,4j86
  14,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.304,0.266,0.266,0.304,1kl5
  15,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.288,0.255,0.255,0.288,1kl5
  16,4m38_E_A-B-E-F_0,A,0.364,0.142,0.142,0.364,4m38
  17,4bjt_E_B-E_2,B,0.271,0.207,0.207,0.271,4bjt
  18,1elr_B_A-B_0,A,0.276,0.235,0.235,0.276,1elr
  19,3rc4_B_A-B_0,A,0.400,0.243,0.243,0.400,3rc4
  20,4k76_G_C-G_2,C,0.283,0.306,0.283,0.306,4k76
  21,3nin_E_B-E_1,B,0.265,0.296,0.265,0.296,3nin
  22,2hpl_B_A-B_0,A,0.255,0.254,0.254,0.255,2hpl
  23,4apo_D_B-D_1,B,0.283,0.216,0.216,0.283,4apo
  24,5t6p_E_C-D-E_1,D,0.324,0.201,0.201,0.324,5t6p
  25,5t6p_E_C-D-E_1,C,0.279,0.162,0.162,0.279,5t6p
  26,2r9q_X_A-C-X_1,C,0.331,0.155,0.155,0.331,2r9q
  27,4z88_V_J-V_1,J,0.281,0.345,0.281,0.345,4z88
  28,4ezq_B_A-B_1,A,0.386,0.220,0.220,0.386,4ezq
  29,4ztd_F_A-B-C-D-E-F_0,C,0.364,0.188,0.188,0.364,4ztd
  30,1yth_I_A-B-I_0,A,0.968,0.968,0.968,0.968,1yth
  31,1yth_I_A-B-I_0,B,0.970,0.970,0.970,0.970,1yth
  32,4kg9_B_A-B_0,A,0.342,0.281,0.281,0.342,4kg9
  33,1b3l_B_A-B_0,A,0.336,0.101,0.101,0.336,1b3l
  34,3s9c_B_A-B_0,A,0.396,0.216,0.216,0.396,3s9c
  35,4k3p_E_A-B-E_0,A,0.302,0.120,0.120,0.302,4k3p
  36,1b5i_B_A-B_0,A,0.335,0.101,0.101,0.335,1b5i
  37,4nnm_C_A-C_0,A,0.263,0.246,0.246,0.263,4nnm
  38,5elq_P_A-P_0,A,0.286,0.294,0.286,0.294,5elq
  39,3fp4_Q_A-Q_0,A,0.290,0.094,0.094,0.290,3fp4
  40,3nfk_D_A-B-C-D_2,B,0.283,0.296,0.283,0.296,3nfk
  41,4f75_C_A-B-C-D_0,A,0.972,0.972,0.972,0.972,4f75
  42,4f75_C_A-B-C-D_0,B,0.969,0.969,0.969,0.969,4f75
  43,4b8o_C_A-B-C_0,A,0.295,0.100,0.100,0.295,4b8o
  44,4o4y_A_A-H-L_0,L,0.268,0.155,0.155,0.268,4o4y
  45,4o4y_A_A-H-L_0,H,0.310,0.189,0.189,0.310,4o4y
  46,3hda_Z_P-Z_0,P,0.312,0.117,0.117,0.312,3hda
