index,syst,chain,tm1,tm2,min,max,pdb
   0,4zhb_B_A-B_0,A,0.223,0.296,0.223,0.296,4zhb
   1,1gyb_E_A-B-E-F_0,A,0.243,0.298,0.243,0.298,1gyb
   2,1gyb_E_A-B-E-F_0,B,0.251,0.308,0.251,0.308,1gyb
   3,5yba_B_A-B-C-D_0,A,0.259,0.249,0.249,0.259,5yba
   4,2dze_X_A-B-X_0,A,0.281,0.284,0.281,0.284,2dze
   5,2dze_X_A-B-X_0,B,0.287,0.290,0.287,0.290,2dze
   6,1uop_B_A-B_0,A,0.324,0.104,0.104,0.324,1uop
   7,4jor_D_B-D_1,B,0.456,0.787,0.456,0.787,4jor
   8,3uf7_B_A-B-C_0,A,0.278,0.222,0.222,0.278,3uf7
   9,2v5f_X_A-X_0,A,0.218,0.308,0.218,0.308,2v5f
  10,1sdz_B_A-B_0,A,0.182,0.259,0.182,0.259,1sdz
  11,4k3r_E_A-B-E_0,A,0.385,0.218,0.218,0.385,4k3r
  12,2foj_B_A-B_0,A,0.299,0.338,0.299,0.338,2foj
  13,4x2h_C_A-B-C_0,A,0.258,0.230,0.230,0.258,4x2h
  14,1b4z_B_A-B_0,A,0.366,0.154,0.154,0.366,1b4z
  15,5ovc_B_A-B_0,A,0.437,0.686,0.437,0.686,5ovc
  16,2fib_B_A-B_0,A,0.302,0.229,0.229,0.302,2fib
  17,3psl_D_B-D_1,B,0.285,0.186,0.186,0.285,3psl
  18,1b5j_B_A-B_0,A,0.365,0.155,0.155,0.365,1b5j
  19,1mfl_B_A-B_0,A,0.455,0.735,0.455,0.735,1mfl
  20,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.249,0.308,0.249,0.308,1kl3
  21,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.239,0.290,0.239,0.290,1kl3
  22,1sem_C_A-B-C-D_0,A,0.173,0.358,0.173,0.358,1sem
  23,1d00_I_A-I_0,A,0.266,0.259,0.259,0.266,1d00
  24,3nij_B_A-B_0,A,0.186,0.299,0.186,0.299,3nij
  25,3sjk_B_A-B_0,A,0.260,0.244,0.244,0.260,3sjk
  26,2d5w_C_A-C_0,A,0.338,0.122,0.122,0.338,2d5w
  27,4j47_B_A-B_0,A,0.195,0.289,0.195,0.289,4j47
  28,4ezn_C_A-B-C-D_0,A,0.302,0.253,0.253,0.302,4ezn
  29,4v3i_B_A-B_0,A,0.231,0.240,0.231,0.240,4v3i
  30,1w9e_S_A-B-R-S-T_0,B,0.992,0.980,0.980,0.992,1w9e
  31,3agy_C_A-B-C-D-F_0,A,0.292,0.276,0.276,0.292,3agy
  32,3nih_B_A-B_0,A,0.188,0.300,0.188,0.300,3nih
  33,4od7_E_C-E_2,C,0.284,0.258,0.258,0.284,4od7
  34,2zjd_D_C-D_5,C,0.263,0.321,0.263,0.321,2zjd
  35,1b46_B_A-B_0,A,0.362,0.154,0.154,0.362,1b46
  36,3rc4_B_A-B_0,A,0.331,0.288,0.288,0.331,3rc4
  37,3fwv_C_A-C_0,A,0.245,0.291,0.245,0.291,3fwv
  38,4f75_C_A-B-C-D_0,A,0.206,0.287,0.206,0.287,4f75
  39,4f75_C_A-B-C-D_0,B,0.210,0.292,0.210,0.292,4f75
  40,1b58_B_A-B_0,A,0.340,0.150,0.150,0.340,1b58
  41,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.191,0.282,0.191,0.282,2y1l
  42,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.207,0.219,0.207,0.219,2y1l
  43,4k3o_E_A-B-E_0,A,0.383,0.219,0.219,0.383,4k3o
  44,4wnn_T_C-D-T_3,D,0.203,0.280,0.203,0.280,4wnn
  45,4wnn_T_C-D-T_3,C,0.212,0.326,0.212,0.326,4wnn
  46,6eja_B_A-B_0,A,0.325,0.106,0.106,0.325,6eja
  47,1awr_J_D-J_5,D,0.271,0.269,0.269,0.271,1awr
  48,4j84_D_B-D_1,B,0.273,0.182,0.182,0.273,4j84
  49,5ovv_B_A-B_0,A,0.453,0.700,0.453,0.700,5ovv
  50,4apo_D_B-D_1,B,0.262,0.271,0.262,0.271,4apo
  51,4gyo_C_A-B-C-D_0,B,0.276,0.155,0.155,0.276,4gyo
  52,5t6p_E_C-D-E_1,D,0.311,0.266,0.266,0.311,5t6p
  53,5t6p_E_C-D-E_1,C,0.273,0.224,0.224,0.273,5t6p
  54,1d0a_G_A-B-C-G-H-I_0,A,0.231,0.226,0.226,0.231,1d0a
  55,4m38_E_A-B-E-F_0,A,0.301,0.184,0.184,0.301,4m38
  56,3rc5_B_A-B_0,A,0.335,0.291,0.291,0.335,3rc5
  57,4b8o_C_A-B-C_0,A,0.285,0.140,0.140,0.285,4b8o
  58,5iz2_Z_A-B-Z_0,B,0.219,0.255,0.219,0.255,5iz2
  59,2hpl_B_A-B_0,A,0.241,0.332,0.241,0.332,2hpl
  60,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.190,0.292,0.190,0.292,1xb0
  61,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.194,0.277,0.194,0.277,1xb0
  62,4sga_P_E-P_0,E,0.260,0.244,0.244,0.260,4sga
  63,5jiu_C_A-B-C-D_0,A,0.271,0.231,0.231,0.271,5jiu
  64,1s2k_B_A-B_0,A,0.278,0.240,0.240,0.278,1s2k
  65,3vqg_B_A-B_0,A,0.456,0.809,0.456,0.809,3vqg
  66,4q6f_H_C-H_2,C,0.153,0.309,0.153,0.309,4q6f
  67,4r5i_B_A-B_0,A,0.297,0.241,0.241,0.297,4r5i
  68,3ou3_C_A-B-C_0,A,0.206,0.277,0.206,0.277,3ou3
  69,3ou3_C_A-B-C_0,B,0.206,0.277,0.206,0.277,3ou3
  70,5fgb_G_B-E-G_1,E,0.311,0.261,0.261,0.311,5fgb
  71,5fgb_G_B-E-G_1,B,0.271,0.225,0.225,0.271,5fgb
  72,4gne_B_A-B_0,A,0.222,0.300,0.222,0.300,4gne
  73,5fou_C_A-C_0,A,0.294,0.234,0.234,0.294,5fou
  74,3gq1_C_A-C_0,A,0.222,0.338,0.222,0.338,3gq1
  75,6ew9_P_A-B-C-P-Q-R_0,A,0.392,0.218,0.218,0.392,6ew9
  76,4j82_C_A-C_0,A,0.289,0.185,0.185,0.289,4j82
  77,1b05_B_A-B_0,A,0.351,0.150,0.150,0.351,1b05
  78,1fch_C_A-B-C-D_2,F,0.287,0.191,0.191,0.287,1fch
  79,1fch_C_A-B-C-D_2,A,0.295,0.193,0.193,0.295,1fch
  80,2h59_D_A-B-D-E_0,A,0.325,0.245,0.245,0.325,2h59
  81,2h59_D_A-B-D-E_0,B,0.326,0.245,0.245,0.326,2h59
  82,3jrv_D_B-D_1,B,0.257,0.276,0.257,0.276,3jrv
  83,3tcg_I_A-I_0,A,0.350,0.151,0.151,0.350,3tcg
  84,2r9q_X_A-C-X_1,C,0.364,0.222,0.222,0.364,2r9q
  85,3dri_B_A-B_0,A,0.365,0.144,0.144,0.365,3dri
  86,5fch_C_A-B-C_0,A,0.377,0.195,0.195,0.377,5fch
  87,5fch_C_A-B-C_0,B,0.358,0.185,0.185,0.358,5fch
  88,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.387,0.232,0.232,0.387,2z9i
  89,1lvm_C_A-C-E_0,A,0.281,0.222,0.222,0.281,1lvm
  90,4j09_B_A-B_0,A,0.254,0.185,0.185,0.254,4j09
  91,4j09_B_A-B_0,C,0.254,0.185,0.185,0.254,4j09
  92,3njj_B_A-B_0,A,0.192,0.247,0.192,0.247,3njj
  93,1nvs_B_A-B_0,A,0.322,0.228,0.228,0.322,1nvs
  94,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.298,0.168,0.168,0.298,4tr9
  95,2h2f_B_A-B_0,A,0.319,0.249,0.249,0.319,2h2f
  96,3t70_F_A-B-C-F_0,A,0.266,0.282,0.266,0.282,3t70
  97,3t70_F_A-B-C-F_0,B,0.246,0.277,0.246,0.277,3t70
  98,1a7c_B_A-B-C_0,A,0.360,0.202,0.202,0.360,1a7c
  99,5v5p_A_A-B-C_0,C,0.273,0.134,0.134,0.273,5v5p
 100,3nfk_D_A-B-C-D_2,B,0.474,0.801,0.474,0.801,3nfk
 101,5xup_D_A-B-C-D_0,B,0.243,0.215,0.215,0.243,5xup
 102,4rxh_A_A-B-C_0,B,0.290,0.143,0.143,0.290,4rxh
 103,3f6k_N_A-N_0,A,0.302,0.110,0.110,0.302,3f6k
 104,5nqv_G_A-C-E-G_0,C,0.250,0.223,0.223,0.250,5nqv
 105,1svz_C_A-B-C-D_0,A,0.347,0.272,0.272,0.347,1svz
 106,6exj_B_A-B_0,A,0.443,0.745,0.443,0.745,6exj
