index,syst,chain,tm1,tm2,min,max,pdb
   0,4ouc_B_A-B_0,A,0.273,0.289,0.273,0.289,4ouc
   1,3drj_B_A-B_0,A,0.256,0.184,0.184,0.256,3drj
   2,3rc5_B_A-B_0,A,0.187,0.275,0.187,0.275,3rc5
   3,1jwg_D_B-D_1,B,0.129,0.245,0.129,0.245,1jwg
   4,5fow_E_A-E_0,A,0.188,0.263,0.188,0.263,5fow
   5,3nih_B_A-B_0,A,0.120,0.346,0.120,0.346,3nih
   6,4k76_G_C-G_2,C,0.142,0.403,0.142,0.403,4k76
   7,2h2f_B_A-B_0,A,0.195,0.264,0.195,0.264,2h2f
   8,4k3q_E_A-B-E_0,A,0.997,0.995,0.995,0.997,4k3q
   9,3fwv_C_A-C_0,A,0.143,0.296,0.143,0.296,3fwv
  10,5m5v_G_A-E-G-I_0,A,0.261,0.259,0.259,0.261,5m5v
  11,3nik_X_D-X_2,D,0.119,0.353,0.119,0.353,3nik
  12,5ovv_B_A-B_0,A,0.152,0.397,0.152,0.397,5ovv
  13,4ezq_B_A-B_1,A,0.195,0.274,0.195,0.274,4ezq
  14,2i3h_C_A-C_0,A,0.123,0.317,0.123,0.317,2i3h
  15,1s2k_B_A-B_0,A,0.204,0.318,0.204,0.318,1s2k
  16,3gv4_H_A-H_0,A,0.155,0.396,0.155,0.396,3gv4
  17,2d5w_C_A-C_0,A,0.286,0.193,0.193,0.286,2d5w
  18,1a30_C_A-B-C_0,A,0.125,0.304,0.125,0.304,1a30
  19,1a30_C_A-B-C_0,B,0.120,0.298,0.120,0.298,1a30
  20,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.141,0.317,0.141,0.317,1kl5
  21,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.142,0.329,0.142,0.329,1kl5
  22,3wor_C_A-B-C-D_0,A,0.279,0.166,0.166,0.279,3wor
  23,2v1r_R_A-Q-R_0,A,0.110,0.404,0.110,0.404,2v1r
  24,1u9l_C_B-C_1,B,0.108,0.352,0.108,0.352,1u9l
  25,4k3r_E_A-B-E_0,A,0.999,0.996,0.996,0.999,4k3r
  26,3upv_B_A-B_0,A,0.131,0.272,0.131,0.272,3upv
  27,1nvs_B_A-B_0,A,0.256,0.319,0.256,0.319,1nvs
  28,2x6m_B_A-B_0,A,0.142,0.301,0.142,0.301,2x6m
  29,1e4x_P_H-L-P_0,L,0.190,0.273,0.190,0.273,1e4x
  30,1e4x_P_H-L-P_0,H,0.202,0.291,0.202,0.291,1e4x
  31,5huw_B_A-B-C_0,C,0.229,0.203,0.203,0.229,5huw
  32,3psl_D_B-D_1,B,0.221,0.251,0.221,0.251,3psl
  33,4k75_B_A-B_0,A,0.153,0.435,0.153,0.435,4k75
  34,1b51_B_A-B_0,A,0.251,0.192,0.192,0.251,1b51
  35,2foj_B_A-B_0,A,0.137,0.264,0.137,0.264,2foj
  36,4j79_B_A-B_0,A,0.227,0.258,0.227,0.258,4j79
  37,3m5m_C_B-C_1,B,0.180,0.277,0.180,0.277,3m5m
  38,4m38_E_A-B-E-F_0,A,0.237,0.247,0.237,0.247,4m38
  39,6eja_B_A-B_0,A,0.309,0.190,0.190,0.309,6eja
  40,4zhb_B_A-B_0,A,0.114,0.272,0.114,0.272,4zhb
  41,5m5r_D_A-C-D_0,A,0.281,0.280,0.280,0.281,5m5r
  42,3nfl_G_B-C-F-G_5,C,0.140,0.406,0.140,0.406,3nfl
  43,3v43_Q_A-Q_0,A,0.136,0.283,0.136,0.283,3v43
  44,1v1t_S_A-B-S-T_0,B,0.209,0.359,0.209,0.359,1v1t
  45,3cvl_B_A-B_0,A,0.212,0.244,0.212,0.244,3cvl
  46,3njj_B_A-B_0,A,0.135,0.325,0.135,0.325,3njj
  47,5yba_B_A-B-C-D_0,A,0.171,0.294,0.171,0.294,5yba
  48,1obz_P_A-B-P_0,A,0.226,0.397,0.226,0.397,1obz
  49,4j84_D_B-D_1,B,0.221,0.253,0.221,0.253,4j84
  50,3ifo_P_H-L-P_0,L,0.190,0.264,0.190,0.264,3ifo
  51,3ifo_P_H-L-P_0,H,0.213,0.300,0.213,0.300,3ifo
  52,3nii_B_A-B_0,A,0.124,0.353,0.124,0.353,3nii
  53,1str_M_B-D-M-P_0,C,0.141,0.318,0.141,0.318,1str
  54,1str_M_B-D-M-P_0,B,0.141,0.317,0.141,0.317,1str
  55,3zin_C_A-B-C_0,A,0.218,0.192,0.192,0.218,3zin
