index,syst,chain,tm1,tm2,min,max,pdb
   0,3zin_C_A-B-C_0,A,0.257,0.160,0.160,0.257,3zin
   1,5ovc_B_A-B_0,A,0.172,0.304,0.172,0.304,5ovc
   2,2zgh_B_A-B_0,A,0.302,0.292,0.292,0.302,2zgh
   3,3t70_F_A-B-C-F_0,A,0.272,0.357,0.272,0.357,3t70
   4,3t70_F_A-B-C-F_0,B,0.269,0.373,0.269,0.373,3t70
   5,1rzx_B_A-B_0,A,0.184,0.317,0.184,0.317,1rzx
   6,4b8o_C_A-B-C_0,A,0.249,0.154,0.154,0.249,4b8o
   7,4f75_C_A-B-C-D_0,A,0.193,0.328,0.193,0.328,4f75
   8,4f75_C_A-B-C-D_0,B,0.191,0.325,0.191,0.325,4f75
   9,6cwp_F_A-B-F_0,A,0.263,0.212,0.212,0.263,6cwp
  10,6cwp_F_A-B-F_0,B,0.261,0.207,0.207,0.261,6cwp
  11,3nfl_G_B-C-F-G_5,C,0.179,0.336,0.179,0.336,3nfl
  12,4pxm_D_A-B-C-D_0,B,0.243,0.237,0.237,0.243,4pxm
  13,5xup_D_A-B-C-D_0,B,0.247,0.268,0.247,0.268,5xup
  14,4joh_D_A-D_0,A,0.184,0.353,0.184,0.353,4joh
  15,4j45_B_A-B_0,A,0.170,0.339,0.170,0.339,4j45
  16,1qka_B_A-B_0,A,0.340,0.180,0.180,0.340,1qka
  17,1b51_B_A-B_0,A,0.313,0.166,0.166,0.313,1b51
  18,2hpl_B_A-B_0,A,0.188,0.306,0.188,0.306,2hpl
  19,3nfk_D_A-B-C-D_2,B,0.182,0.338,0.182,0.338,3nfk
  20,4nnm_C_A-C_0,A,0.204,0.333,0.204,0.333,4nnm
  21,3l81_B_A-B_0,A,0.319,0.287,0.287,0.319,3l81
  22,2foo_B_A-B_0,A,0.276,0.397,0.276,0.397,2foo
  23,2zjd_D_C-D_5,C,0.219,0.344,0.219,0.344,2zjd
  24,1wcy_C_A-B-C-D_0,A,0.299,0.123,0.123,0.299,1wcy
  25,1b46_B_A-B_0,A,0.318,0.171,0.171,0.318,1b46
  26,4j77_D_B-D_1,B,0.305,0.246,0.246,0.305,4j77
  27,5lyn_C_A-B-C-D_0,A,0.221,0.314,0.221,0.314,5lyn
  28,5lyn_C_A-B-C-D_0,B,0.207,0.295,0.207,0.295,5lyn
  29,4wnn_T_C-D-T_3,D,0.169,0.287,0.169,0.287,4wnn
  30,4wnn_T_C-D-T_3,C,0.157,0.295,0.157,0.295,4wnn
  31,5eyz_E_A-E_0,A,0.175,0.321,0.175,0.321,5eyz
  32,2v5f_X_A-X_0,A,0.185,0.320,0.185,0.320,2v5f
  33,4v3i_B_A-B_0,A,0.218,0.278,0.218,0.278,4v3i
  34,3rt9_B_A-B_0,F,0.359,0.195,0.195,0.359,3rt9
  35,3rt9_B_A-B_0,A,0.359,0.195,0.195,0.359,3rt9
  36,4j44_B_A-B_0,A,0.169,0.345,0.169,0.345,4j44
  37,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.319,0.264,0.264,0.319,2z9i
  38,3oqs_B_A-B_0,A,0.241,0.150,0.150,0.241,3oqs
  39,4apo_D_B-D_1,B,0.226,0.287,0.226,0.287,4apo
  40,4mvk_B_A-B_0,A,0.272,0.323,0.272,0.323,4mvk
  41,5m5u_G_A-E-G_0,A,0.323,0.230,0.230,0.323,5m5u
  42,3woo_C_A-B-C-D_0,A,0.337,0.141,0.141,0.337,3woo
  43,3lca_Q_A-Q_0,A,0.277,0.157,0.157,0.277,3lca
  44,5fpk_C_A-C_0,A,0.257,0.251,0.251,0.257,5fpk
  45,4x2h_C_A-B-C_0,A,0.217,0.238,0.217,0.238,4x2h
  46,3shb_B_A-B_0,A,0.141,0.304,0.141,0.304,3shb
  47,2v5w_G_B-G-L_1,B,0.294,0.204,0.204,0.294,2v5w
  48,2dze_X_A-B-X_0,A,0.349,0.446,0.349,0.446,2dze
  49,2dze_X_A-B-X_0,B,0.351,0.449,0.351,0.449,2dze
  50,6cd9_B_A-B_0,A,0.232,0.278,0.232,0.278,6cd9
  51,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.266,0.191,0.191,0.266,2ot0
  52,5iza_B_A-B_0,A,0.260,0.190,0.190,0.260,5iza
  53,4k3q_E_A-B-E_0,A,0.282,0.199,0.199,0.282,4k3q
  54,5wun_C_A-B-C_0,A,0.267,0.165,0.165,0.267,5wun
  55,4ny3_C_A-C_0,A,0.300,0.240,0.240,0.300,4ny3
  56,4c2c_B_A-B-C_0,A,0.302,0.188,0.188,0.302,4c2c
  57,5yba_B_A-B-C-D_0,A,0.232,0.279,0.232,0.279,5yba
  58,1b40_B_A-B_0,A,0.363,0.191,0.191,0.363,1b40
  59,1b58_B_A-B_0,A,0.326,0.172,0.172,0.326,1b58
