index,syst,chain,tm1,tm2,min,max,pdb
   0,4k72_C_A-C_0,A,0.246,0.324,0.246,0.324,4k72
   1,3ivq_D_B-D_1,B,0.254,0.254,0.254,0.254,3ivq
   2,2f5b_P_H-L-P_0,L,0.305,0.227,0.227,0.305,2f5b
   3,2f5b_P_H-L-P_0,H,0.270,0.190,0.190,0.270,2f5b
   4,4ztd_F_A-B-C-D-E-F_0,C,0.312,0.204,0.204,0.312,4ztd
   5,1h27_E_A-B-E_0,B,0.380,0.239,0.239,0.380,1h27
   6,5fow_E_A-E_0,A,0.312,0.227,0.227,0.312,5fow
   7,4ynl_C_A-B-C-D_0,A,0.211,0.302,0.211,0.302,4ynl
   8,4ynl_C_A-B-C-D_0,B,0.187,0.305,0.187,0.305,4ynl
   9,5nqv_G_A-C-E-G_0,C,0.372,0.292,0.292,0.372,5nqv
  10,1jwg_D_B-D_1,B,0.265,0.263,0.263,0.265,1jwg
  11,3f7o_X_A-X_0,A,0.337,0.205,0.205,0.337,3f7o
  12,3t70_F_A-B-C-F_0,A,0.255,0.242,0.242,0.255,3t70
  13,3t70_F_A-B-C-F_0,B,0.264,0.266,0.264,0.266,3t70
  14,4ikn_B_A-B_0,A,0.312,0.200,0.200,0.312,4ikn
  15,1sua_C_A-C_0,A,0.331,0.209,0.209,0.331,1sua
  16,5huw_B_A-B-C_0,C,0.280,0.116,0.116,0.280,5huw
  17,5iza_B_A-B_0,A,0.284,0.140,0.140,0.284,5iza
  18,4mz6_A_A-C-E_0,E,0.280,0.122,0.122,0.280,4mz6
  19,4q6f_H_C-H_2,C,0.154,0.250,0.154,0.250,4q6f
  20,1uoq_B_A-B_0,A,0.328,0.093,0.093,0.328,1uoq
  21,4qbr_P_A-P_0,A,0.294,0.296,0.294,0.296,4qbr
  22,4jwd_C_B-C_1,B,0.318,0.230,0.230,0.318,4jwd
  23,3fp2_Q_A-Q_0,A,0.296,0.119,0.119,0.296,3fp2
  24,2y7l_B_A-B_0,A,0.308,0.178,0.178,0.308,2y7l
  25,5oav_B_A-B_0,A,0.170,0.310,0.170,0.310,5oav
  26,3qhw_L_A-B-J-L_0,B,0.385,0.239,0.239,0.385,3qhw
  27,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.254,0.276,0.254,0.276,1kl3
  28,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.234,0.257,0.234,0.257,1kl3
  29,3ifo_P_H-L-P_0,L,0.304,0.217,0.217,0.304,3ifo
