index,syst,chain,tm1,tm2,min,max,pdb
   0,5fow_E_A-E_0,A,0.300,0.180,0.180,0.300,5fow
   1,4ba3_B_A-B_0,A,0.291,0.100,0.100,0.291,4ba3
   2,3woo_C_A-B-C-D_0,A,0.464,0.103,0.103,0.464,3woo
   3,6hpg_c_C-c_2,C,0.255,0.232,0.232,0.255,6hpg
   4,1awr_J_D-J_5,D,0.317,0.227,0.227,0.317,1awr
   5,4gyo_C_A-B-C-D_0,B,0.297,0.118,0.118,0.297,4gyo
   6,5jiu_C_A-B-C-D_0,A,0.303,0.185,0.185,0.303,5jiu
   7,3thk_C_A-C_0,A,0.230,0.316,0.230,0.316,3thk
   8,3m5m_C_B-C_1,B,0.425,0.250,0.250,0.425,3m5m
   9,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.347,0.305,0.305,0.347,1kl5
  10,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.291,0.257,0.257,0.291,1kl5
  11,2fib_B_A-B_0,A,0.335,0.178,0.178,0.335,2fib
  12,4fii_B_A-B_0,A,0.319,0.151,0.151,0.319,4fii
  13,4jop_C_A-C_0,A,0.273,0.294,0.273,0.294,4jop
  14,3ny3_B_A-B_0,A,0.218,0.267,0.218,0.267,3ny3
  15,5fov_E_A-E_0,A,0.323,0.177,0.177,0.323,5fov
  16,1lvm_C_A-C-E_0,A,0.458,0.236,0.236,0.458,1lvm
  17,3oqs_B_A-B_0,A,0.256,0.094,0.094,0.256,3oqs
  18,1v1t_S_A-B-S-T_0,B,0.290,0.207,0.207,0.290,1v1t
  19,4jwd_C_B-C_1,B,0.373,0.218,0.218,0.373,4jwd
  20,5jjm_G_A-G-M_0,A,0.305,0.161,0.161,0.305,5jjm
  21,3woq_C_A-B-C-D_0,A,0.466,0.102,0.102,0.466,3woq
  22,5tu5_B_A-B_0,A,0.364,0.172,0.172,0.364,5tu5
  23,4dgb_B_A-B_0,A,0.331,0.246,0.246,0.331,4dgb
  24,3agy_C_A-B-C-D-F_0,A,0.325,0.216,0.216,0.325,3agy
  25,4jmy_E_A-C-E_0,A,0.431,0.269,0.269,0.431,4jmy
  26,3nim_X_F-X_3,F,0.260,0.296,0.260,0.296,3nim
  27,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.280,0.294,0.280,0.294,1xb0
  28,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.291,0.308,0.291,0.308,1xb0
  29,4es0_C_A-C_0,A,0.309,0.141,0.141,0.309,4es0
  30,3l81_B_A-B_0,A,0.319,0.177,0.177,0.319,3l81
  31,4mz6_A_A-C-E_0,E,0.258,0.088,0.088,0.258,4mz6
  32,4k72_C_A-C_0,A,0.270,0.291,0.270,0.291,4k72
  33,3cww_E_A-B-D-E_0,A,0.342,0.057,0.057,0.342,3cww
  34,1ddv_B_A-B_0,A,0.302,0.294,0.294,0.302,1ddv
  35,1b5i_B_A-B_0,A,0.338,0.104,0.104,0.338,1b5i
  36,4j82_C_A-C_0,A,0.306,0.144,0.144,0.306,4j82
  37,1a7c_B_A-B-C_0,A,0.372,0.147,0.147,0.372,1a7c
  38,4j09_B_A-B_0,A,0.270,0.144,0.144,0.270,4j09
  39,4j09_B_A-B_0,C,0.270,0.144,0.144,0.270,4j09
  40,4j81_C_B-C_1,B,0.315,0.143,0.143,0.315,4j81
  41,4ynl_C_A-B-C-D_0,A,0.203,0.232,0.203,0.232,4ynl
  42,4ynl_C_A-B-C-D_0,B,0.216,0.255,0.216,0.255,4ynl
  43,1kyd_P_A-P_0,A,0.359,0.188,0.188,0.359,1kyd
  44,5fpk_C_A-C_0,A,0.306,0.180,0.180,0.306,5fpk
  45,4m38_E_A-B-E-F_0,A,0.332,0.136,0.136,0.332,4m38
  46,4ny3_C_A-C_0,A,0.308,0.141,0.141,0.308,4ny3
  47,1mfl_B_A-B_0,A,0.288,0.295,0.288,0.295,1mfl
  48,3sxu_C_A-B-C_0,A,0.275,0.217,0.217,0.275,3sxu
