index,syst,chain,tm1,tm2,min,max,pdb
   0,4j84_D_B-D_1,B,0.208,0.315,0.208,0.315,4j84
   1,3nii_B_A-B_0,A,0.093,0.369,0.093,0.369,3nii
   2,3sjk_B_A-B_0,A,0.156,0.338,0.156,0.338,3sjk
   3,1awr_J_D-J_5,D,0.146,0.327,0.146,0.327,1awr
   4,4c2c_B_A-B-C_0,A,0.238,0.270,0.238,0.270,4c2c
   5,4j82_C_A-C_0,A,0.217,0.324,0.217,0.324,4j82
   6,2h2f_B_A-B_0,A,0.176,0.304,0.176,0.304,2h2f
   7,4pxm_D_A-B-C-D_0,B,0.195,0.365,0.195,0.365,4pxm
   8,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.240,0.317,0.240,0.317,2ot0
   9,3nij_B_A-B_0,A,0.093,0.372,0.093,0.372,3nij
  10,3ny3_B_A-B_0,A,0.083,0.349,0.083,0.349,3ny3
  11,2foj_B_A-B_0,A,0.133,0.356,0.133,0.356,2foj
  12,5tu5_B_A-B_0,A,0.199,0.295,0.199,0.295,5tu5
  13,4dgb_B_A-B_0,A,0.142,0.323,0.142,0.323,4dgb
  14,5ovc_B_A-B_0,A,0.102,0.387,0.102,0.387,5ovc
  15,1b3l_B_A-B_0,A,1.000,1.000,1.000,1.000,1b3l
  16,1mfl_B_A-B_0,A,0.101,0.366,0.101,0.366,1mfl
  17,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.108,0.368,0.108,0.368,1xb0
  18,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.106,0.386,0.106,0.386,1xb0
  19,6exj_B_A-B_0,A,0.104,0.415,0.104,0.415,6exj
  20,3fp4_Q_A-Q_0,A,0.296,0.311,0.296,0.311,3fp4
  21,1kyd_P_A-P_0,A,0.208,0.353,0.208,0.353,1kyd
  22,1a7c_B_A-B-C_0,A,0.210,0.270,0.210,0.270,1a7c
  23,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.121,0.364,0.121,0.364,1kl3
  24,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.123,0.363,0.123,0.363,1kl3
  25,4kg9_B_A-B_0,A,0.129,0.350,0.129,0.350,4kg9
  26,3woo_C_A-B-C-D_0,A,0.301,0.241,0.241,0.301,3woo
  27,3thk_C_A-C_0,A,0.070,0.357,0.070,0.357,3thk
  28,4pz3_C_A-B-C_0,B,0.170,0.418,0.170,0.418,4pz3
  29,3sxu_C_A-B-C_0,A,0.148,0.389,0.148,0.389,3sxu
  30,5kzt_C_A-C_0,A,0.898,0.912,0.898,0.912,5kzt
  31,4g69_B_A-B_0,A,0.095,0.341,0.095,0.341,4g69
  32,5huy_B_A-B-C_0,C,0.225,0.261,0.225,0.261,5huy
  33,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.173,0.294,0.173,0.294,5fjz
  34,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.171,0.292,0.171,0.292,5fjz
  35,1sem_C_A-B-C-D_0,A,0.072,0.366,0.072,0.366,1sem
  36,4ny3_C_A-C_0,A,0.194,0.287,0.194,0.287,4ny3
  37,1b5i_B_A-B_0,A,0.998,0.998,0.998,0.998,1b5i
  38,5jiu_C_A-B-C-D_0,A,0.153,0.304,0.153,0.304,5jiu
  39,1lvm_C_A-C-E_0,A,0.177,0.323,0.177,0.323,1lvm
  40,4j47_B_A-B_0,A,0.084,0.330,0.084,0.330,4j47
  41,4ojf_A_A-H-L_0,L,0.184,0.348,0.184,0.348,4ojf
  42,4ojf_A_A-H-L_0,H,0.158,0.310,0.158,0.310,4ojf
  43,4cic_Q_A-B-Q_0,A,0.146,0.401,0.146,0.401,4cic
  44,4cic_Q_A-B-Q_0,B,0.151,0.402,0.151,0.402,4cic
  45,4j78_B_A-B_0,A,0.217,0.324,0.217,0.324,4j78
  46,4o4y_A_A-H-L_0,L,0.160,0.292,0.160,0.292,4o4y
  47,4o4y_A_A-H-L_0,H,0.170,0.317,0.170,0.317,4o4y
  48,1str_M_B-D-M-P_0,C,0.124,0.367,0.124,0.367,1str
  49,1str_M_B-D-M-P_0,B,0.125,0.366,0.125,0.366,1str
  50,3drj_B_A-B_0,A,0.716,0.670,0.670,0.716,3drj
  51,4j45_B_A-B_0,A,0.076,0.303,0.076,0.303,4j45
  52,3shb_B_A-B_0,A,0.080,0.344,0.080,0.344,3shb
  53,2g30_S_A-P-S_0,A,0.195,0.349,0.195,0.349,2g30
  54,5t6p_E_C-D-E_1,D,0.185,0.377,0.185,0.377,5t6p
  55,5t6p_E_C-D-E_1,C,0.185,0.353,0.185,0.353,5t6p
  56,2y7l_B_A-B_0,A,0.220,0.315,0.220,0.315,2y7l
  57,1gyb_E_A-B-E-F_0,A,0.123,0.355,0.123,0.355,1gyb
  58,1gyb_E_A-B-E-F_0,B,0.105,0.301,0.105,0.301,1gyb
  59,2i3h_C_A-C_0,A,0.106,0.367,0.106,0.367,2i3h
  60,4qbr_P_A-P_0,A,0.131,0.333,0.131,0.333,4qbr
  61,5uw3_E_A-E_0,A,0.326,0.261,0.261,0.326,5uw3
  62,5huw_B_A-B-C_0,C,0.223,0.260,0.223,0.260,5huw
  63,4j44_B_A-B_0,A,0.074,0.318,0.074,0.318,4j44
  64,5wir_D_A-B-C-D_0,B,0.158,0.310,0.158,0.310,5wir
  65,3psl_D_B-D_1,B,0.228,0.343,0.228,0.343,3psl
  66,1a30_C_A-B-C_0,A,0.103,0.361,0.103,0.361,1a30
  67,1a30_C_A-B-C_0,B,0.106,0.354,0.106,0.354,1a30
  68,4c2g_B_A-B-C_0,A,0.241,0.275,0.241,0.275,4c2g
  69,6fqc_E_A-B-D-E_0,A,0.235,0.321,0.235,0.321,6fqc
  70,4wnn_T_C-D-T_3,D,0.112,0.405,0.112,0.405,4wnn
  71,4wnn_T_C-D-T_3,C,0.099,0.426,0.099,0.426,4wnn
