index,syst,chain,tm1,tm2,min,max,pdb
   0,1b9j_B_A-B_0,A,1.000,1.000,1.000,1.000,1b9j
   1,4quh_D_A-C-D-I-J_0,A,0.206,0.372,0.206,0.372,4quh
   2,2fib_B_A-B_0,A,0.197,0.331,0.197,0.331,2fib
   3,1wcy_C_A-B-C-D_0,A,0.340,0.262,0.262,0.340,1wcy
   4,4j46_B_A-B_0,A,0.089,0.345,0.089,0.345,4j46
   5,4j45_B_A-B_0,A,0.091,0.330,0.091,0.330,4j45
   6,1b40_B_A-B_0,A,0.999,0.999,0.999,0.999,1b40
   7,5iz2_Z_A-B-Z_0,B,0.134,0.407,0.134,0.407,5iz2
   8,6hpg_c_C-c_2,C,0.120,0.371,0.120,0.371,6hpg
   9,6ew9_P_A-B-C-P-Q-R_0,A,0.201,0.288,0.201,0.288,6ew9
  10,5lyn_C_A-B-C-D_0,A,0.128,0.359,0.128,0.359,5lyn
  11,5lyn_C_A-B-C-D_0,B,0.125,0.364,0.125,0.364,5lyn
  12,3uoa_L_B-C-L-M_0,B,0.226,0.289,0.226,0.289,3uoa
  13,3ou3_C_A-B-C_0,A,0.103,0.352,0.103,0.352,3ou3
  14,3ou3_C_A-B-C_0,B,0.104,0.348,0.104,0.348,3ou3
  15,5fch_C_A-B-C_0,A,0.239,0.289,0.239,0.289,5fch
  16,5fch_C_A-B-C_0,B,0.250,0.302,0.250,0.302,5fch
  17,4jok_D_B-D_1,B,0.100,0.378,0.100,0.378,4jok
  18,4mz6_A_A-C-E_0,E,0.219,0.252,0.219,0.252,4mz6
  19,4ikn_B_A-B_0,A,0.192,0.334,0.192,0.334,4ikn
  20,5e6o_E_B-E_1,B,0.120,0.358,0.120,0.358,5e6o
  21,3l81_B_A-B_0,A,0.192,0.335,0.192,0.335,3l81
  22,4b8o_C_A-B-C_0,A,0.204,0.237,0.204,0.237,4b8o
  23,4j78_B_A-B_0,A,0.219,0.327,0.219,0.327,4j78
  24,5m5r_D_A-C-D_0,A,0.230,0.299,0.230,0.299,5m5r
  25,4f75_C_A-B-C-D_0,A,0.107,0.361,0.107,0.361,4f75
  26,4f75_C_A-B-C-D_0,B,0.106,0.355,0.106,0.355,4f75
  27,3tcg_I_A-I_0,A,0.993,0.993,0.993,0.993,3tcg
