index,syst,chain,tm1,tm2,min,max,pdb
   0,3ny3_B_A-B_0,A,0.060,0.333,0.060,0.333,3ny3
   1,5zw6_C_A-B-C-D_0,A,0.226,0.345,0.226,0.345,5zw6
   2,4pz3_C_A-B-C_0,B,0.110,0.338,0.110,0.338,4pz3
   3,6cdg_B_A-B_0,A,0.107,0.332,0.107,0.332,6cdg
   4,4ezz_B_A-B_1,A,0.134,0.332,0.134,0.332,4ezz
   5,1lvm_C_A-C-E_0,A,0.138,0.321,0.138,0.321,1lvm
   6,3emh_B_A-B_0,A,0.335,0.684,0.335,0.684,3emh
   7,3sjk_B_A-B_0,A,0.118,0.312,0.118,0.312,3sjk
   8,2v17_A_A-H-L_0,L,0.146,0.344,0.146,0.344,2v17
   9,2v17_A_A-H-L_0,H,0.149,0.353,0.149,0.353,2v17
  10,3nik_X_D-X_2,D,0.070,0.325,0.070,0.325,3nik
  11,3soq_Z_A-Z_0,A,0.273,0.539,0.273,0.539,3soq
  12,3gq1_C_A-C_0,A,0.071,0.424,0.071,0.424,3gq1
  13,4v3i_B_A-B_0,A,0.134,0.432,0.134,0.432,4v3i
  14,3ziq_B_A-B-C_0,A,0.238,0.342,0.238,0.342,3ziq
  15,6cwp_F_A-B-F_0,A,0.177,0.329,0.177,0.329,6cwp
  16,6cwp_F_A-B-F_0,B,0.184,0.335,0.184,0.335,6cwp
  17,2v5f_X_A-X_0,A,0.097,0.448,0.097,0.448,2v5f
  18,3shb_B_A-B_0,A,0.068,0.374,0.068,0.374,3shb
  19,2zgh_B_A-B_0,A,0.145,0.326,0.145,0.326,2zgh
  20,4sga_P_E-P_0,E,0.115,0.316,0.115,0.316,4sga
  21,4qbr_P_A-P_0,A,0.112,0.379,0.112,0.379,4qbr
  22,3psl_D_B-D_1,B,0.335,0.692,0.335,0.692,3psl
  23,4apo_D_B-D_1,B,0.124,0.379,0.124,0.379,4apo
  24,4joh_D_A-D_0,A,0.066,0.349,0.066,0.349,4joh
  25,1se0_B_A-B_0,A,0.080,0.341,0.080,0.341,1se0
  26,2v1r_R_A-Q-R_0,A,0.049,0.330,0.049,0.330,2v1r
  27,1b46_B_A-B_0,A,0.259,0.324,0.259,0.324,1b46
  28,5fow_E_A-E_0,A,0.178,0.433,0.178,0.433,5fow
  29,4b8o_C_A-B-C_0,A,0.223,0.325,0.223,0.325,4b8o
  30,1d0a_G_A-B-C-G-H-I_0,A,0.120,0.336,0.120,0.336,1d0a
  31,4fii_B_A-B_0,A,0.176,0.329,0.176,0.329,4fii
  32,3agy_C_A-B-C-D-F_0,A,0.118,0.329,0.118,0.329,3agy
  33,4cic_Q_A-B-Q_0,A,0.093,0.322,0.093,0.322,4cic
  34,4cic_Q_A-B-Q_0,B,0.092,0.322,0.092,0.322,4cic
  35,5m5v_G_A-E-G-I_0,A,0.341,0.595,0.341,0.595,5m5v
  36,1ghb_P_E-F-G-P_0,F,0.105,0.357,0.105,0.357,1ghb
  37,1ghb_P_E-F-G-P_0,G,0.079,0.400,0.079,0.400,1ghb
  38,1ghb_P_E-F-G-P_0,C,0.079,0.400,0.079,0.400,1ghb
  39,1ghb_P_E-F-G-P_0,B,0.105,0.357,0.105,0.357,1ghb
  40,3sxu_C_A-B-C_0,A,0.133,0.482,0.133,0.482,3sxu
  41,3cvl_B_A-B_0,A,0.213,0.408,0.213,0.408,3cvl
  42,3nfl_G_B-C-F-G_5,C,0.077,0.362,0.077,0.362,3nfl
  43,5m5r_D_A-C-D_0,A,0.340,0.596,0.340,0.596,5m5r
  44,6fkp_G_C-G_2,C,0.059,0.351,0.059,0.351,6fkp
  45,4c2g_B_A-B-C_0,A,0.228,0.330,0.228,0.330,4c2g
  46,3ivq_D_B-D_1,B,0.103,0.354,0.103,0.354,3ivq
  47,4b3b_C_A-C_0,A,0.178,0.433,0.178,0.433,4b3b
  48,4k76_G_C-G_2,C,0.068,0.363,0.068,0.363,4k76
  49,4j45_B_A-B_0,A,0.073,0.394,0.073,0.394,4j45
  50,4g69_B_A-B_0,A,0.083,0.393,0.083,0.393,4g69
  51,1b5i_B_A-B_0,A,0.261,0.326,0.261,0.326,1b5i
  52,2hpl_B_A-B_0,A,0.082,0.350,0.082,0.350,2hpl
  53,4rxh_A_A-B-C_0,B,0.225,0.329,0.225,0.329,4rxh
  54,5uw3_E_A-E_0,A,1.000,1.000,1.000,1.000,5uw3
  55,3ifo_P_H-L-P_0,L,0.147,0.354,0.147,0.354,3ifo
  56,3ifo_P_H-L-P_0,H,0.152,0.365,0.152,0.365,3ifo
  57,6cd9_B_A-B_0,A,0.105,0.311,0.105,0.311,6cd9
  58,4k3r_E_A-B-E_0,A,0.170,0.273,0.170,0.273,4k3r
  59,1czy_D_A-B-C-D-E_0,A,0.123,0.346,0.123,0.346,1czy
  60,5xcr_F_D-E-F_1,D,0.109,0.321,0.109,0.321,5xcr
  61,5xcr_F_D-E-F_1,E,0.112,0.322,0.112,0.322,5xcr
  62,5fou_C_A-C_0,A,0.178,0.429,0.178,0.429,5fou
  63,3o2b_D_C-D_1,C,0.073,0.378,0.073,0.378,3o2b
  64,5elq_P_A-P_0,A,0.076,0.344,0.076,0.344,5elq
  65,2f5b_P_H-L-P_0,L,0.145,0.349,0.145,0.349,2f5b
  66,2f5b_P_H-L-P_0,H,0.160,0.362,0.160,0.362,2f5b
  67,1b5j_B_A-B_0,A,0.260,0.324,0.260,0.324,1b5j
  68,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.094,0.376,0.094,0.376,1kl3
  69,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.095,0.373,0.095,0.373,1kl3
  70,3t64_F_A-B-C-F_0,A,0.089,0.286,0.089,0.286,3t64
  71,3t64_F_A-B-C-F_0,B,0.101,0.358,0.101,0.358,3t64
  72,4ikn_B_A-B_0,A,0.132,0.293,0.132,0.293,4ikn
  73,3d9t_D_B-D_1,B,0.082,0.364,0.082,0.364,3d9t
  74,4j78_B_A-B_0,A,0.337,0.690,0.337,0.690,4j78
  75,3vqg_B_A-B_0,A,0.067,0.333,0.067,0.333,3vqg
  76,4jmy_E_A-C-E_0,A,0.123,0.359,0.123,0.359,4jmy
  77,4z8j_B_A-B_0,A,0.076,0.346,0.076,0.346,4z8j
  78,5nqv_G_A-C-E-G_0,C,0.132,0.374,0.132,0.374,5nqv
  79,5t6p_E_C-D-E_1,D,0.132,0.335,0.132,0.335,5t6p
  80,5t6p_E_C-D-E_1,C,0.137,0.339,0.137,0.339,5t6p
  81,5fpk_C_A-C_0,A,0.182,0.435,0.182,0.435,5fpk
  82,4ezq_B_A-B_1,A,0.134,0.335,0.134,0.335,4ezq
  83,2b6n_B_A-B_0,A,0.213,0.447,0.213,0.447,2b6n
  84,1gyb_E_A-B-E-F_0,A,0.087,0.365,0.087,0.365,1gyb
  85,1gyb_E_A-B-E-F_0,B,0.088,0.368,0.088,0.368,1gyb
  86,2wa8_D_C-D_1,C,0.079,0.347,0.079,0.347,2wa8
  87,4m38_E_A-B-E-F_0,A,0.187,0.321,0.187,0.321,4m38
  88,3zvy_D_B-D_0,B,0.065,0.373,0.065,0.373,3zvy
  89,1fch_C_A-B-C-D_2,F,0.200,0.379,0.200,0.379,1fch
  90,1fch_C_A-B-C-D_2,A,0.209,0.391,0.209,0.391,1fch
  91,3uf7_B_A-B-C_0,A,0.161,0.398,0.161,0.398,3uf7
  92,1tw6_C_A-B-C-D_2,F,0.081,0.360,0.081,0.360,1tw6
  93,1tw6_C_A-B-C-D_2,A,0.082,0.386,0.082,0.386,1tw6
