index,syst,chain,tm1,tm2,min,max,pdb
   0,3vqg_B_A-B_0,A,0.338,0.385,0.338,0.385,3vqg
   1,4c2c_B_A-B-C_0,A,0.351,0.113,0.113,0.351,4c2c
   2,4j84_D_B-D_1,B,0.363,0.155,0.155,0.363,4j84
   3,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.289,0.316,0.289,0.316,2y1l
   4,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.330,0.259,0.259,0.330,2y1l
   5,3rc4_B_A-B_0,A,0.371,0.246,0.246,0.371,3rc4
   6,5xup_D_A-B-C-D_0,B,0.295,0.187,0.187,0.295,5xup
   7,4o51_N_A-B-N_1,A,0.290,0.176,0.176,0.290,4o51
   8,4o51_N_A-B-N_1,B,0.371,0.220,0.220,0.371,4o51
   9,4zhb_B_A-B_0,A,0.301,0.301,0.301,0.301,4zhb
  10,4apo_D_B-D_1,B,0.317,0.239,0.239,0.317,4apo
  11,4z88_V_J-V_1,J,0.299,0.390,0.299,0.390,4z88
  12,4wvh_C_A-C_0,A,0.309,0.102,0.102,0.309,4wvh
  13,3drk_B_A-B_0,A,0.386,0.114,0.114,0.386,3drk
  14,3hds_E_A-D-E_0,D,0.313,0.303,0.303,0.313,3hds
  15,3hds_E_A-D-E_0,A,0.275,0.254,0.254,0.275,3hds
  16,2h9m_D_C-D_1,C,0.369,0.175,0.175,0.369,2h9m
  17,2h59_D_A-B-D-E_0,A,0.304,0.161,0.161,0.304,2h59
  18,2h59_D_A-B-D-E_0,B,0.297,0.160,0.160,0.297,2h59
  19,3nin_E_B-E_1,B,0.227,0.270,0.227,0.270,3nin
  20,3ziq_B_A-B-C_0,A,0.349,0.113,0.113,0.349,3ziq
  21,4gne_B_A-B_0,A,0.279,0.289,0.279,0.289,4gne
  22,1svz_C_A-B-C-D_0,A,0.299,0.177,0.177,0.299,1svz
  23,1a7c_B_A-B-C_0,A,0.350,0.128,0.128,0.350,1a7c
  24,3mqr_B_A-B_0,A,0.317,0.263,0.263,0.317,3mqr
  25,5m5t_E_A-E-G-I_0,A,0.386,0.144,0.144,0.386,5m5t
  26,3f6k_N_A-N_0,A,0.363,0.077,0.077,0.363,3f6k
  27,1nvs_B_A-B_0,A,0.358,0.183,0.183,0.358,1nvs
  28,6cd9_B_A-B_0,A,0.373,0.264,0.264,0.373,6cd9
  29,6cdg_B_A-B_0,A,0.380,0.283,0.283,0.380,6cdg
  30,4rxh_A_A-B-C_0,B,0.364,0.121,0.121,0.364,4rxh
  31,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.334,0.304,0.304,0.334,1kl5
  32,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.338,0.307,0.307,0.338,1kl5
  33,3wor_C_A-B-C-D_0,A,0.339,0.082,0.082,0.339,3wor
  34,3drh_B_A-B_0,A,0.386,0.113,0.113,0.386,3drh
  35,1mfl_B_A-B_0,A,0.350,0.372,0.350,0.372,1mfl
  36,5gu4_C_A-C_0,A,0.372,0.199,0.199,0.372,5gu4
  37,4gyo_C_A-B-C-D_0,B,0.378,0.137,0.137,0.378,4gyo
  38,4ztd_F_A-B-C-D-E-F_0,C,0.354,0.183,0.183,0.354,4ztd
  39,3upv_B_A-B_0,A,0.324,0.283,0.283,0.324,3upv
  40,4q6f_H_C-H_2,C,0.204,0.300,0.204,0.300,4q6f
  41,3f7o_X_A-X_0,A,0.317,0.164,0.164,0.317,3f7o
  42,4k3o_E_A-B-E_0,A,0.359,0.136,0.136,0.359,4k3o
  43,5wir_D_A-B-C-D_0,B,0.292,0.179,0.179,0.292,5wir
  44,3t64_F_A-B-C-F_0,A,0.293,0.225,0.225,0.293,3t64
  45,3t64_F_A-B-C-F_0,B,0.288,0.241,0.241,0.288,3t64
  46,1ok7_C_A-B-C_0,B,0.354,0.125,0.125,0.354,1ok7
  47,4j8b_B_A-B_0,A,0.328,0.155,0.155,0.328,4j8b
  48,1oxn_F_E-F_7,E,0.265,0.281,0.265,0.281,1oxn
  49,4fys_C_A-C_0,A,0.312,0.059,0.059,0.312,4fys
  50,5sxm_D_B-D_1,B,0.355,0.153,0.153,0.355,5sxm
  51,5fox_C_A-C_0,A,0.341,0.193,0.193,0.341,5fox
