index,syst,chain,tm1,tm2,min,max,pdb
   0,3srj_D_A-C-D_0,A,0.304,0.270,0.270,0.304,3srj
   1,3mqr_B_A-B_0,A,0.312,0.496,0.312,0.496,3mqr
   2,3nij_B_A-B_0,A,0.167,0.361,0.167,0.361,3nij
   3,2hpl_B_A-B_0,A,0.178,0.345,0.178,0.345,2hpl
   4,2g30_S_A-P-S_0,A,0.303,0.319,0.303,0.319,2g30
   5,4que_E_A-C-D-E-H-J_0,A,0.221,0.231,0.221,0.231,4que
   6,4k3r_E_A-B-E_0,A,0.236,0.186,0.186,0.236,4k3r
   7,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.218,0.384,0.218,0.384,1kl5
   8,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.219,0.378,0.219,0.378,1kl5
   9,4k3q_E_A-B-E_0,A,0.236,0.186,0.186,0.236,4k3q
  10,3nik_X_D-X_2,D,0.170,0.359,0.170,0.359,3nik
  11,3ifo_P_H-L-P_0,L,0.284,0.312,0.284,0.312,3ifo
  12,3ifo_P_H-L-P_0,H,0.291,0.325,0.291,0.325,3ifo
  13,3uf7_B_A-B-C_0,A,0.231,0.250,0.231,0.250,3uf7
  14,1fch_C_A-B-C-D_2,F,0.252,0.222,0.222,0.252,1fch
  15,1fch_C_A-B-C-D_2,A,0.247,0.217,0.217,0.247,1fch
  16,4z8j_B_A-B_0,A,0.161,0.323,0.161,0.323,4z8j
  17,2ce9_X_A-B-X_0,A,0.236,0.190,0.190,0.236,2ce9
  18,1uop_B_A-B_0,A,0.270,0.123,0.123,0.270,1uop
  19,4k76_G_C-G_2,C,0.166,0.353,0.166,0.353,4k76
  20,3jrv_D_B-D_1,B,0.196,0.287,0.196,0.287,3jrv
  21,2y7l_B_A-B_0,A,0.361,0.300,0.300,0.361,2y7l
  22,3q47_C_B-C_0,B,0.184,0.282,0.184,0.282,3q47
  23,3oqs_B_A-B_0,A,0.250,0.166,0.166,0.250,3oqs
  24,3f6k_N_A-N_0,A,0.287,0.142,0.142,0.287,3f6k
  25,2h2f_B_A-B_0,A,0.246,0.257,0.246,0.257,2h2f
  26,5xcr_F_D-E-F_1,D,0.281,0.395,0.281,0.395,5xcr
  27,5xcr_F_D-E-F_1,E,0.278,0.390,0.278,0.390,5xcr
  28,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.216,0.382,0.216,0.382,1kl3
  29,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.218,0.383,0.218,0.383,1kl3
  30,3v43_Q_A-Q_0,A,0.143,0.238,0.143,0.238,3v43
  31,1se0_B_A-B_0,A,0.165,0.323,0.165,0.323,1se0
  32,3hda_Z_P-Z_0,P,0.270,0.195,0.195,0.270,3hda
  33,4mz6_A_A-C-E_0,E,0.265,0.175,0.175,0.265,4mz6
  34,1b32_B_A-B_0,A,0.338,0.193,0.193,0.338,1b32
