index,syst,chain,tm1,tm2,min,max,pdb
   0,4o51_N_A-B-N_1,A,0.393,0.280,0.280,0.393,4o51
   1,4o51_N_A-B-N_1,B,0.390,0.276,0.276,0.390,4o51
   2,4c2g_B_A-B-C_0,A,0.331,0.146,0.146,0.331,4c2g
   3,5m5v_G_A-E-G-I_0,A,0.331,0.170,0.170,0.331,5m5v
   4,1b51_B_A-B_0,A,0.363,0.133,0.133,0.363,1b51
   5,3v43_Q_A-Q_0,A,0.205,0.231,0.205,0.231,3v43
   6,4z88_V_J-V_1,J,0.217,0.322,0.217,0.322,4z88
   7,2fop_B_A-B_0,A,0.999,0.999,0.999,0.999,2fop
   8,4xal_B_A-B_0,A,0.218,0.281,0.218,0.281,4xal
   9,5huw_B_A-B-C_0,C,0.290,0.126,0.126,0.290,5huw
  10,5xcr_F_D-E-F_1,D,0.412,0.363,0.363,0.412,5xcr
  11,5xcr_F_D-E-F_1,E,0.403,0.355,0.355,0.403,5xcr
  12,5uw3_E_A-E_0,A,0.328,0.097,0.097,0.328,5uw3
  13,1b05_B_A-B_0,A,0.359,0.132,0.132,0.359,1b05
  14,2v1r_R_A-Q-R_0,A,0.199,0.299,0.199,0.299,2v1r
  15,6exj_B_A-B_0,A,0.280,0.368,0.280,0.368,6exj
  16,2h9m_D_C-D_1,C,0.332,0.192,0.192,0.332,2h9m
  17,4jjq_B_A-B_0,A,0.999,0.999,0.999,0.999,4jjq
  18,5kzt_C_A-C_0,A,0.360,0.130,0.130,0.360,5kzt
  19,5gu4_C_A-C_0,A,0.421,0.264,0.264,0.421,5gu4
  20,1oby_Q_A-B-P-Q_0,A,0.294,0.446,0.294,0.446,1oby
  21,1oby_Q_A-B-P-Q_0,B,0.278,0.436,0.278,0.436,1oby
  22,4j77_D_B-D_1,B,0.319,0.178,0.178,0.319,4j77
  23,3fwv_C_A-C_0,A,0.242,0.252,0.242,0.252,3fwv
  24,3uoa_L_B-C-L-M_0,B,0.444,0.205,0.205,0.444,3uoa
  25,6hpg_c_C-c_2,C,0.233,0.260,0.233,0.260,6hpg
  26,1d00_I_A-I_0,A,0.756,0.630,0.630,0.756,1d00
  27,4apo_D_B-D_1,B,0.255,0.236,0.236,0.255,4apo
  28,2g30_S_A-P-S_0,A,0.472,0.310,0.310,0.472,2g30
  29,2orz_B_A-B_0,A,0.442,0.227,0.227,0.442,2orz
  30,2v5f_X_A-X_0,A,0.240,0.299,0.240,0.299,2v5f
  31,3dri_B_A-B_0,A,0.396,0.130,0.130,0.396,3dri
  32,4nnm_C_A-C_0,A,0.326,0.374,0.326,0.374,4nnm
  33,6fkp_G_C-G_2,C,0.195,0.348,0.195,0.348,6fkp
  34,1kyf_P_A-P_0,A,0.500,0.319,0.319,0.500,1kyf
  35,5zw6_C_A-B-C-D_0,A,0.315,0.152,0.152,0.315,5zw6
  36,1a30_C_A-B-C_0,A,0.279,0.334,0.279,0.334,1a30
  37,1a30_C_A-B-C_0,B,0.284,0.346,0.284,0.346,1a30
