index,syst,chain,tm1,tm2,min,max,pdb
   0,1nvs_B_A-B_0,A,0.268,0.282,0.268,0.282,1nvs
   1,2r9q_X_A-C-X_1,C,0.292,0.261,0.261,0.292,2r9q
   2,4mz6_A_A-C-E_0,E,0.266,0.201,0.201,0.266,4mz6
   3,3thk_C_A-C_0,A,0.126,0.404,0.126,0.404,3thk
   4,5jjm_G_A-G-M_0,A,0.230,0.250,0.230,0.250,5jjm
   5,5fpk_C_A-C_0,A,0.220,0.257,0.220,0.257,5fpk
   6,1b3g_B_A-B_0,A,0.328,0.210,0.210,0.328,1b3g
   7,4j82_C_A-C_0,A,0.274,0.264,0.264,0.274,4j82
   8,4j81_C_B-C_1,B,0.249,0.240,0.240,0.249,4j81
   9,5yba_B_A-B-C-D_0,A,0.207,0.290,0.207,0.290,5yba
  10,4faf_D_A-B-D_0,A,0.191,0.410,0.191,0.410,4faf
  11,4faf_D_A-B-D_0,B,0.183,0.404,0.183,0.404,4faf
  12,6ew9_P_A-B-C-P-Q-R_0,A,0.738,0.692,0.692,0.738,6ew9
  13,1b40_B_A-B_0,A,0.324,0.207,0.207,0.324,1b40
  14,4ezq_B_A-B_1,A,0.218,0.261,0.218,0.261,4ezq
  15,4ezw_E_A-E_0,A,0.223,0.267,0.223,0.267,4ezw
  16,4pyw_B_A-B-C_0,A,0.263,0.221,0.221,0.263,4pyw
  17,3drk_B_A-B_0,A,0.302,0.182,0.182,0.302,3drk
  18,3srj_D_A-C-D_0,A,0.326,0.315,0.315,0.326,3srj
  19,5uw3_E_A-E_0,A,0.300,0.156,0.156,0.300,5uw3
  20,4j8b_B_A-B_0,A,0.275,0.266,0.266,0.275,4j8b
  21,3ifo_P_H-L-P_0,L,0.268,0.324,0.268,0.324,3ifo
  22,3ifo_P_H-L-P_0,H,0.249,0.299,0.249,0.299,3ifo
  23,1v1t_S_A-B-S-T_0,B,0.232,0.387,0.232,0.387,1v1t
  24,3rt9_B_A-B_0,F,0.324,0.218,0.218,0.324,3rt9
  25,3rt9_B_A-B_0,A,0.324,0.218,0.218,0.324,3rt9
  26,5e6o_E_B-E_1,B,0.182,0.353,0.182,0.353,5e6o
  27,5t6p_E_C-D-E_1,D,0.267,0.338,0.267,0.338,5t6p
  28,5t6p_E_C-D-E_1,C,0.246,0.298,0.246,0.298,5t6p
  29,1lvm_C_A-C-E_0,A,0.525,0.632,0.525,0.632,1lvm
  30,2h2f_B_A-B_0,A,0.213,0.243,0.213,0.243,2h2f
  31,1yth_I_A-B-I_0,A,0.186,0.404,0.186,0.404,1yth
  32,1yth_I_A-B-I_0,B,0.182,0.399,0.182,0.399,1yth
  33,4xi7_C_A-C_0,A,0.353,0.295,0.295,0.353,4xi7
  34,4j86_C_A-C_0,A,0.251,0.241,0.241,0.251,4j86
  35,2h9m_D_C-D_1,C,0.260,0.249,0.249,0.260,2h9m
  36,4quh_D_A-C-D-I-J_0,A,0.243,0.278,0.243,0.278,4quh
  37,5sxm_D_B-D_1,B,0.261,0.250,0.250,0.261,5sxm
  38,4cic_Q_A-B-Q_0,A,0.185,0.304,0.185,0.304,4cic
  39,4cic_Q_A-B-Q_0,B,0.200,0.339,0.200,0.339,4cic
  40,1sem_C_A-B-C-D_0,A,0.125,0.392,0.125,0.392,1sem
  41,3q49_C_B-C_0,B,0.173,0.287,0.173,0.287,3q49
  42,4xal_B_A-B_0,A,0.118,0.262,0.118,0.262,4xal
  43,5iag_D_A-B-D_0,A,0.241,0.271,0.241,0.271,5iag
  44,3o2b_D_C-D_1,C,0.152,0.312,0.152,0.312,3o2b
  45,5zw6_C_A-B-C-D_0,A,0.317,0.252,0.252,0.317,5zw6
  46,2foj_B_A-B_0,A,0.180,0.305,0.180,0.305,2foj
  47,3zin_C_A-B-C_0,A,0.275,0.208,0.208,0.275,3zin
  48,4ba3_B_A-B_0,A,0.267,0.203,0.203,0.267,4ba3
  49,3d9t_D_B-D_1,B,0.165,0.359,0.165,0.359,3d9t
  50,3m5o_C_A-C_0,A,0.443,0.611,0.443,0.611,3m5o
  51,4f74_C_A-B-C_0,A,0.187,0.410,0.187,0.410,4f74
  52,4f74_C_A-B-C_0,B,0.191,0.410,0.191,0.410,4f74
  53,3agy_C_A-B-C-D-F_0,A,0.215,0.298,0.215,0.298,3agy
  54,1jwg_D_B-D_1,B,0.199,0.324,0.199,0.324,1jwg
  55,1yti_I_A-I_0,A,0.185,0.404,0.185,0.404,1yti
  56,1yti_I_A-I_0,B,0.185,0.404,0.185,0.404,1yti
  57,3dri_B_A-B_0,A,0.304,0.186,0.186,0.304,3dri
  58,1b46_B_A-B_0,A,0.326,0.209,0.209,0.326,1b46
  59,4k3o_E_A-B-E_0,A,0.277,0.235,0.235,0.277,4k3o
  60,4gne_B_A-B_0,A,0.155,0.319,0.155,0.319,4gne
  61,4j84_D_B-D_1,B,0.247,0.241,0.241,0.247,4j84
  62,3t64_F_A-B-C-F_0,A,0.214,0.331,0.214,0.331,3t64
  63,3t64_F_A-B-C-F_0,B,0.187,0.322,0.187,0.322,3t64
  64,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.134,0.298,0.134,0.298,2y1l
  65,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.174,0.266,0.174,0.266,2y1l
  66,2i3h_C_A-C_0,A,0.158,0.352,0.158,0.352,2i3h
  67,1mfl_B_A-B_0,A,0.224,0.594,0.224,0.594,1mfl
  68,4z88_V_J-V_1,J,0.130,0.350,0.130,0.350,4z88
  69,3m5n_F_B-F_1,B,0.445,0.610,0.445,0.610,3m5n
  70,4f75_C_A-B-C-D_0,A,0.191,0.421,0.191,0.421,4f75
  71,4f75_C_A-B-C-D_0,B,0.182,0.398,0.182,0.398,4f75
  72,3emh_B_A-B_0,A,0.260,0.251,0.251,0.260,3emh
  73,4v3i_B_A-B_0,A,0.212,0.320,0.212,0.320,4v3i
  74,4sga_P_E-P_0,E,0.503,0.763,0.503,0.763,4sga
  75,2y7l_B_A-B_0,A,0.299,0.281,0.281,0.299,2y7l
  76,5jiu_C_A-B-C-D_0,A,0.238,0.295,0.238,0.295,5jiu
  77,4j44_B_A-B_0,A,0.148,0.368,0.148,0.368,4j44
  78,5m5t_E_A-E-G-I_0,A,0.299,0.253,0.253,0.299,5m5t
  79,1w9e_S_A-B-R-S-T_0,B,0.232,0.382,0.232,0.382,1w9e
  80,4qbr_P_A-P_0,A,0.235,0.379,0.235,0.379,4qbr
  81,1czy_D_A-B-C-D-E_0,A,0.188,0.265,0.188,0.265,1czy
  82,4kg9_B_A-B_0,A,0.200,0.324,0.200,0.324,4kg9
  83,4k76_G_C-G_2,C,0.224,0.643,0.224,0.643,4k76
  84,3g19_C_A-C_0,A,0.157,0.377,0.157,0.377,3g19
  85,2orz_B_A-B_0,A,0.317,0.296,0.296,0.317,2orz
  86,4j47_B_A-B_0,A,0.148,0.368,0.148,0.368,4j47
