index,syst,chain,tm1,tm2,min,max,pdb
   0,4que_E_A-C-D-E-H-J_0,A,0.374,0.388,0.374,0.388,4que
   1,4pyw_B_A-B-C_0,A,0.292,0.223,0.223,0.292,4pyw
   2,1fch_C_A-B-C-D_2,F,0.313,0.274,0.274,0.313,1fch
   3,1fch_C_A-B-C-D_2,A,0.301,0.263,0.263,0.301,1fch
   4,3nfl_G_B-C-F-G_5,C,0.167,0.342,0.167,0.342,3nfl
   5,4faf_D_A-B-D_0,A,0.168,0.324,0.168,0.324,4faf
   6,4faf_D_A-B-D_0,B,0.174,0.337,0.174,0.337,4faf
   7,1u9l_C_B-C_1,B,0.148,0.376,0.148,0.376,1u9l
   8,4joh_D_A-D_0,A,0.167,0.346,0.167,0.346,4joh
   9,1b05_B_A-B_0,A,0.322,0.184,0.184,0.322,1b05
  10,4k72_C_A-C_0,A,0.164,0.333,0.164,0.333,4k72
  11,4ouc_B_A-B_0,A,0.266,0.217,0.217,0.266,4ouc
  12,3vqg_B_A-B_0,A,0.167,0.365,0.167,0.365,3vqg
  13,2zgh_B_A-B_0,A,0.244,0.255,0.244,0.255,2zgh
  14,4wnn_T_C-D-T_3,D,0.187,0.364,0.187,0.364,4wnn
  15,4wnn_T_C-D-T_3,C,0.150,0.328,0.150,0.328,4wnn
  16,4z8j_B_A-B_0,A,0.169,0.329,0.169,0.329,4z8j
  17,1evh_B_A-B_0,A,0.162,0.278,0.162,0.278,1evh
  18,4q6f_H_C-H_2,C,0.109,0.386,0.109,0.386,4q6f
  19,4mz6_A_A-C-E_0,E,0.232,0.154,0.154,0.232,4mz6
  20,4odk_C_A-B-C_0,A,0.174,0.243,0.174,0.243,4odk
  21,3v43_Q_A-Q_0,A,0.170,0.290,0.170,0.290,3v43
  22,4o51_N_A-B-N_1,A,0.223,0.244,0.223,0.244,4o51
  23,4o51_N_A-B-N_1,B,0.220,0.241,0.220,0.241,4o51
  24,4jmy_E_A-C-E_0,A,0.247,0.301,0.247,0.301,4jmy
  25,4quh_D_A-C-D-I-J_0,A,0.373,0.388,0.373,0.388,4quh
  26,6cdg_B_A-B_0,A,0.196,0.255,0.196,0.255,6cdg
  27,4k3m_E_A-B-E_0,A,0.233,0.177,0.177,0.233,4k3m
  28,1d0a_G_A-B-C-G-H-I_0,A,0.212,0.279,0.212,0.279,1d0a
  29,3m5n_F_B-F_1,B,0.240,0.279,0.240,0.279,3m5n
  30,3nil_X_D-X_2,D,0.143,0.309,0.143,0.309,3nil
  31,2h59_D_A-B-D-E_0,A,0.994,0.994,0.994,0.994,2h59
  32,2h59_D_A-B-D-E_0,B,1.000,1.000,1.000,1.000,2h59
  33,2ql9_G_A-B-C-D-E-F-G_0,D,0.156,0.312,0.156,0.312,2ql9
  34,2ql9_G_A-B-C-D-E-F-G_0,A,0.289,0.428,0.289,0.428,2ql9
  35,2ql9_G_A-B-C-D-E-F-G_0,C,0.290,0.430,0.290,0.430,2ql9
  36,2ql9_G_A-B-C-D-E-F-G_0,B,0.157,0.313,0.157,0.313,2ql9
  37,4es0_C_A-C_0,A,0.300,0.260,0.260,0.300,4es0
  38,4jop_C_A-C_0,A,0.169,0.338,0.169,0.338,4jop
  39,1a30_C_A-B-C_0,A,0.169,0.326,0.169,0.326,1a30
  40,1a30_C_A-B-C_0,B,0.167,0.320,0.167,0.320,1a30
  41,6ew9_P_A-B-C-P-Q-R_0,A,0.248,0.214,0.214,0.248,6ew9
  42,5wun_C_A-B-C_0,A,0.224,0.151,0.151,0.224,5wun
  43,2ce9_X_A-B-X_0,A,0.307,0.245,0.245,0.307,2ce9
  44,3nfk_D_A-B-C-D_2,B,0.166,0.326,0.166,0.326,3nfk
