index,syst,chain,tm1,tm2,min,max,pdb
   0,3nfk_D_A-B-C-D_2,B,0.081,0.317,0.081,0.317,3nfk
   1,4b8o_C_A-B-C_0,A,0.336,0.371,0.336,0.371,4b8o
   2,2x6m_B_A-B_0,A,0.111,0.310,0.111,0.310,2x6m
   3,1evh_B_A-B_0,A,0.095,0.311,0.095,0.311,1evh
   4,2bgr_Y_A-B-Y-Z_0,A,0.324,0.238,0.238,0.324,2bgr
   5,4ojf_A_A-H-L_0,L,0.168,0.302,0.168,0.302,4ojf
   6,4ojf_A_A-H-L_0,H,0.157,0.277,0.157,0.277,4ojf
   7,5grg_D_A-B-C-D_0,A,0.198,0.301,0.198,0.301,5grg
   8,3drh_B_A-B_0,A,0.287,0.257,0.257,0.287,3drh
   9,2v17_A_A-H-L_0,L,0.135,0.249,0.135,0.249,2v17
  10,2v17_A_A-H-L_0,H,0.145,0.254,0.145,0.254,2v17
  11,5xup_D_A-B-C-D_0,B,0.210,0.454,0.210,0.454,5xup
  12,4sga_P_E-P_0,E,0.153,0.322,0.153,0.322,4sga
  13,2v5f_X_A-X_0,A,0.184,0.797,0.184,0.797,2v5f
  14,4bjt_E_B-E_2,B,0.160,0.374,0.160,0.374,4bjt
  15,1obz_P_A-B-P_0,A,0.121,0.266,0.121,0.266,1obz
  16,4ba3_B_A-B_0,A,0.352,0.387,0.352,0.387,4ba3
  17,1sua_C_A-C_0,A,0.203,0.314,0.203,0.314,1sua
  18,2v1r_R_A-Q-R_0,A,0.067,0.265,0.067,0.265,2v1r
  19,2hl3_C_A-B-C_0,A,0.089,0.352,0.089,0.352,2hl3
  20,2hl3_C_A-B-C_0,B,0.077,0.298,0.077,0.298,2hl3
  21,4dgb_B_A-B_0,A,0.150,0.343,0.150,0.343,4dgb
  22,4j77_D_B-D_1,B,0.233,0.332,0.233,0.332,4j77
  23,2ipu_P_G-K-P_1,G,0.158,0.282,0.158,0.282,2ipu
  24,2ipu_P_G-K-P_1,K,0.151,0.267,0.151,0.267,2ipu
  25,3nim_X_F-X_3,F,0.073,0.281,0.073,0.281,3nim
  26,4k3p_E_A-B-E_0,A,0.158,0.194,0.158,0.194,4k3p
  27,5fov_E_A-E_0,A,0.205,0.362,0.205,0.362,5fov
  28,4iim_E_A-B-C-D-E_0,B,0.053,0.299,0.053,0.299,4iim
  29,6fqc_E_A-B-D-E_0,A,0.188,0.250,0.188,0.250,6fqc
  30,6cwp_F_A-B-F_0,A,0.204,0.290,0.204,0.290,6cwp
  31,6cwp_F_A-B-F_0,B,0.206,0.291,0.206,0.291,6cwp
  32,2g30_S_A-P-S_0,A,0.185,0.313,0.185,0.313,2g30
  33,1a30_C_A-B-C_0,A,0.094,0.300,0.094,0.300,1a30
  34,1a30_C_A-B-C_0,B,0.096,0.309,0.096,0.309,1a30
  35,4j44_B_A-B_0,A,0.096,0.386,0.096,0.386,4j44
  36,4xi7_C_A-C_0,A,0.214,0.263,0.214,0.263,4xi7
  37,1b9j_B_A-B_0,A,0.299,0.284,0.284,0.299,1b9j
  38,3nik_X_D-X_2,D,0.067,0.266,0.067,0.266,3nik
  39,4m38_E_A-B-E-F_0,A,0.237,0.312,0.237,0.312,4m38
  40,4j79_B_A-B_0,A,0.234,0.333,0.234,0.333,4j79
  41,1uop_B_A-B_0,A,0.392,0.290,0.290,0.392,1uop
  42,3sjk_B_A-B_0,A,0.140,0.299,0.140,0.299,3sjk
  43,4j8b_B_A-B_0,A,0.223,0.313,0.223,0.313,4j8b
