index,syst,chain,tm1,tm2,min,max,pdb
   0,4cic_Q_A-B-Q_0,A,0.255,0.306,0.255,0.306,4cic
   1,4cic_Q_A-B-Q_0,B,0.244,0.291,0.244,0.291,4cic
   2,3m5n_F_B-F_1,B,0.632,0.580,0.580,0.632,3m5n
   3,3nin_E_B-E_1,B,0.191,0.309,0.191,0.309,3nin
   4,3v43_Q_A-Q_0,A,0.220,0.299,0.220,0.299,3v43
   5,5y53_F_C-E-F_1,C,0.249,0.310,0.249,0.310,5y53
   6,5y53_F_C-E-F_1,E,0.246,0.303,0.246,0.303,5y53
   7,4k3o_E_A-B-E_0,A,0.291,0.177,0.177,0.291,4k3o
   8,4jor_D_B-D_1,B,0.196,0.321,0.196,0.321,4jor
   9,4pyw_B_A-B-C_0,A,0.333,0.197,0.197,0.333,4pyw
  10,2foj_B_A-B_0,A,0.271,0.322,0.271,0.322,2foj
  11,4v3i_B_A-B_0,A,0.210,0.232,0.210,0.232,4v3i
  12,1v1t_S_A-B-S-T_0,B,0.244,0.260,0.244,0.260,1v1t
  13,4ynl_C_A-B-C-D_0,A,0.179,0.296,0.179,0.296,4ynl
  14,4ynl_C_A-B-C-D_0,B,0.177,0.290,0.177,0.290,4ynl
  15,5t6p_E_C-D-E_1,D,0.269,0.245,0.245,0.269,5t6p
  16,5t6p_E_C-D-E_1,C,0.250,0.219,0.219,0.250,5t6p
  17,1oby_Q_A-B-P-Q_0,A,0.219,0.377,0.219,0.377,1oby
  18,1oby_Q_A-B-P-Q_0,B,0.208,0.360,0.208,0.360,1oby
  19,2nph_S_A-B-S-T_0,A,0.266,0.412,0.266,0.412,2nph
  20,2nph_S_A-B-S-T_0,B,0.247,0.380,0.247,0.380,2nph
  21,4gyo_C_A-B-C-D_0,B,0.283,0.176,0.176,0.283,4gyo
  22,2x6m_B_A-B_0,A,0.258,0.330,0.258,0.330,2x6m
  23,5jiu_C_A-B-C-D_0,A,0.324,0.294,0.294,0.324,5jiu
  24,1yti_I_A-I_0,A,0.252,0.378,0.252,0.378,1yti
  25,1yti_I_A-I_0,B,0.252,0.378,0.252,0.378,1yti
  26,6hpg_c_C-c_2,C,0.212,0.277,0.212,0.277,6hpg
  27,5jjm_G_A-G-M_0,A,0.304,0.239,0.239,0.304,5jjm
  28,3drh_B_A-B_0,A,0.286,0.127,0.127,0.286,3drh
  29,1uop_B_A-B_0,A,0.288,0.104,0.104,0.288,1uop
  30,5fow_E_A-E_0,A,0.293,0.255,0.255,0.293,5fow
  31,6exj_B_A-B_0,A,0.198,0.306,0.198,0.306,6exj
  32,5iag_D_A-B-D_0,A,0.305,0.250,0.250,0.305,5iag
  33,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.206,0.317,0.206,0.317,1xb0
  34,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.217,0.339,0.217,0.339,1xb0
  35,5iza_B_A-B_0,A,0.250,0.159,0.159,0.250,5iza
  36,2ipu_P_G-K-P_1,G,0.245,0.214,0.214,0.245,2ipu
  37,2ipu_P_G-K-P_1,K,0.255,0.220,0.220,0.255,2ipu
  38,5huw_B_A-B-C_0,C,0.245,0.137,0.137,0.245,5huw
  39,3f7o_X_A-X_0,A,0.297,0.223,0.223,0.297,3f7o
  40,3ufm_B_A-B_0,A,0.256,0.223,0.223,0.256,3ufm
  41,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.246,0.330,0.246,0.330,1kl5
  42,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.245,0.329,0.245,0.329,1kl5
  43,1nvs_B_A-B_0,A,0.306,0.234,0.234,0.306,1nvs
  44,1s2k_B_A-B_0,A,0.274,0.254,0.254,0.274,1s2k
  45,2foo_B_A-B_0,A,0.266,0.315,0.266,0.315,2foo
  46,4zhb_B_A-B_0,A,0.229,0.324,0.229,0.324,4zhb
  47,4j77_D_B-D_1,B,0.311,0.217,0.217,0.311,4j77
  48,3nfl_G_B-C-F-G_5,C,0.222,0.349,0.222,0.349,3nfl
  49,4hxj_C_A-C_0,A,0.163,0.335,0.163,0.335,4hxj
  50,3s9c_B_A-B_0,A,0.723,0.575,0.575,0.723,3s9c
  51,4k75_B_A-B_0,A,0.210,0.341,0.210,0.341,4k75
  52,1b3l_B_A-B_0,A,0.314,0.145,0.145,0.314,1b3l
  53,3nim_X_F-X_3,F,0.190,0.312,0.190,0.312,3nim
  54,3ifo_P_H-L-P_0,L,0.255,0.222,0.222,0.255,3ifo
  55,3ifo_P_H-L-P_0,H,0.244,0.214,0.214,0.244,3ifo
  56,5wir_D_A-B-C-D_0,B,0.270,0.248,0.248,0.270,5wir
  57,5m5t_E_A-E-G-I_0,A,0.288,0.173,0.173,0.288,5m5t
  58,3uoa_L_B-C-L-M_0,B,0.282,0.175,0.175,0.282,3uoa
  59,1elr_B_A-B_0,A,0.214,0.260,0.214,0.260,1elr
  60,3hda_Z_P-Z_0,P,0.302,0.179,0.179,0.302,3hda
  61,1d00_I_A-I_0,A,0.294,0.307,0.294,0.307,1d00
  62,1b58_B_A-B_0,A,0.316,0.146,0.146,0.316,1b58
  63,4z8j_B_A-B_0,A,0.218,0.323,0.218,0.323,4z8j
  64,4rxh_A_A-B-C_0,B,0.252,0.143,0.143,0.252,4rxh
  65,3soq_Z_A-Z_0,A,0.324,0.224,0.224,0.324,3soq
  66,1gyb_E_A-B-E-F_0,A,0.245,0.320,0.245,0.320,1gyb
  67,1gyb_E_A-B-E-F_0,B,0.248,0.324,0.248,0.324,1gyb
  68,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.763,0.503,0.503,0.763,2z9i
  69,4dgb_B_A-B_0,A,0.276,0.295,0.276,0.295,4dgb
  70,4jjq_B_A-B_0,A,0.270,0.320,0.270,0.320,4jjq
  71,1lvm_C_A-C-E_0,A,0.647,0.526,0.526,0.647,1lvm
  72,4wnn_T_C-D-T_3,D,0.203,0.301,0.203,0.301,4wnn
  73,4wnn_T_C-D-T_3,C,0.167,0.283,0.167,0.283,4wnn
  74,1awr_J_D-J_5,D,0.295,0.314,0.295,0.314,1awr
  75,1b32_B_A-B_0,A,0.316,0.146,0.146,0.316,1b32
  76,3cww_E_A-B-D-E_0,A,0.284,0.082,0.082,0.284,3cww
  77,1b51_B_A-B_0,A,0.315,0.145,0.145,0.315,1b51
  78,4que_E_A-C-D-E-H-J_0,A,0.303,0.253,0.253,0.303,4que
  79,4xal_B_A-B_0,A,0.156,0.244,0.156,0.244,4xal
  80,1sua_C_A-C_0,A,0.297,0.231,0.231,0.297,1sua
  81,1mfl_B_A-B_0,A,0.223,0.332,0.223,0.332,1mfl
  82,4jmy_E_A-C-E_0,A,0.637,0.631,0.631,0.637,4jmy
  83,4xi7_C_A-C_0,A,0.316,0.193,0.193,0.316,4xi7
  84,5tu5_B_A-B_0,A,0.318,0.223,0.223,0.318,5tu5
  85,5iz2_Z_A-B-Z_0,B,0.234,0.297,0.234,0.297,5iz2
  86,1yth_I_A-B-I_0,A,0.249,0.376,0.249,0.376,1yth
  87,1yth_I_A-B-I_0,B,0.249,0.384,0.249,0.384,1yth
  88,3t70_F_A-B-C-F_0,A,0.262,0.297,0.262,0.297,3t70
  89,3t70_F_A-B-C-F_0,B,0.246,0.297,0.246,0.297,3t70
  90,5yba_B_A-B-C-D_0,A,0.297,0.306,0.297,0.306,5yba
  91,5fou_C_A-C_0,A,0.293,0.252,0.252,0.293,5fou
  92,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.364,0.234,0.234,0.364,4tr9
  93,4g69_B_A-B_0,A,0.220,0.328,0.220,0.328,4g69
  94,3sjk_B_A-B_0,A,0.706,0.709,0.706,0.709,3sjk
  95,2f5b_P_H-L-P_0,L,0.254,0.223,0.223,0.254,2f5b
  96,2f5b_P_H-L-P_0,H,0.252,0.211,0.211,0.252,2f5b
  97,1wcy_C_A-B-C-D_0,A,0.311,0.108,0.108,0.311,1wcy
