index,syst,chain,tm1,tm2,min,max,pdb
   0,3rc5_B_A-B_0,A,0.191,0.290,0.191,0.290,3rc5
   1,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.250,0.318,0.250,0.318,5fjz
   2,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.244,0.309,0.244,0.309,5fjz
   3,3m5m_C_B-C_1,B,0.185,0.274,0.185,0.274,3m5m
   4,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.119,0.327,0.119,0.327,1xb0
   5,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.121,0.345,0.121,0.345,1xb0
   6,3ziq_B_A-B-C_0,A,0.194,0.173,0.173,0.194,3ziq
   7,6cdc_C_A-C_0,A,0.196,0.347,0.196,0.347,6cdc
   8,1nvs_B_A-B_0,A,0.196,0.242,0.196,0.242,1nvs
   9,2y7l_B_A-B_0,A,0.229,0.255,0.229,0.255,2y7l
  10,1se0_B_A-B_0,A,0.113,0.290,0.113,0.290,1se0
  11,4fys_C_A-C_0,A,0.283,0.143,0.143,0.283,4fys
  12,1b58_B_A-B_0,A,0.270,0.207,0.207,0.270,1b58
  13,3uoa_L_B-C-L-M_0,B,0.264,0.263,0.263,0.264,3uoa
  14,1svz_C_A-B-C-D_0,A,0.238,0.323,0.238,0.323,1svz
  15,4pyw_B_A-B-C_0,A,1.000,1.000,1.000,1.000,4pyw
  16,2zgh_B_A-B_0,A,0.198,0.274,0.198,0.274,2zgh
  17,2v3s_C_B-C_1,B,0.157,0.408,0.157,0.408,2v3s
  18,2f5b_P_H-L-P_0,L,0.216,0.314,0.216,0.314,2f5b
  19,2f5b_P_H-L-P_0,H,0.215,0.292,0.215,0.292,2f5b
  20,3v43_Q_A-Q_0,A,0.128,0.285,0.128,0.285,3v43
  21,4k3r_E_A-B-E_0,A,0.216,0.218,0.216,0.218,4k3r
  22,1kyf_P_A-P_0,A,0.251,0.329,0.251,0.329,1kyf
  23,3oqs_B_A-B_0,A,0.190,0.170,0.170,0.190,3oqs
  24,4es0_C_A-C_0,A,0.241,0.272,0.241,0.272,4es0
  25,2v1r_R_A-Q-R_0,A,0.104,0.360,0.104,0.360,2v1r
  26,3rc4_B_A-B_0,A,0.190,0.289,0.190,0.289,3rc4
  27,3zs6_B_A-B_0,A,0.285,0.224,0.224,0.285,3zs6
  28,5elq_P_A-P_0,A,0.117,0.334,0.117,0.334,5elq
  29,4gyo_C_A-B-C-D_0,B,0.226,0.228,0.226,0.228,4gyo
  30,4ezy_B_A-B_2,A,0.194,0.280,0.194,0.280,4ezy
  31,1oxn_F_E-F_7,E,0.126,0.337,0.126,0.337,1oxn
  32,1b3l_B_A-B_0,A,0.268,0.206,0.206,0.268,1b3l
  33,4que_E_A-C-D-E-H-J_0,A,0.218,0.294,0.218,0.294,4que
  34,2foo_B_A-B_0,A,0.154,0.316,0.154,0.316,2foo
  35,3m5n_F_B-F_1,B,0.163,0.244,0.163,0.244,3m5n
  36,4odk_C_A-B-C_0,A,0.154,0.294,0.154,0.294,4odk
  37,3l81_B_A-B_0,A,0.250,0.328,0.250,0.328,3l81
  38,4ztd_F_A-B-C-D-E-F_0,C,0.247,0.328,0.247,0.328,4ztd
  39,1sdz_B_A-B_0,A,0.115,0.299,0.115,0.299,1sdz
  40,3rt9_B_A-B_0,F,0.261,0.210,0.210,0.261,3rt9
  41,3rt9_B_A-B_0,A,0.261,0.210,0.210,0.261,3rt9
  42,4j8b_B_A-B_0,A,0.249,0.286,0.249,0.286,4j8b
  43,2v5w_G_B-G-L_1,B,0.270,0.267,0.267,0.270,2v5w
  44,3ivq_D_B-D_1,B,0.163,0.315,0.163,0.315,3ivq
  45,4z8j_B_A-B_0,A,0.119,0.337,0.119,0.337,4z8j
  46,5k4f_C_A-C_0,A,0.134,0.364,0.134,0.364,5k4f
  47,5fox_C_A-C_0,A,0.233,0.336,0.233,0.336,5fox
  48,3ufm_B_A-B_0,A,0.235,0.329,0.235,0.329,3ufm
  49,3ny3_B_A-B_0,A,0.105,0.353,0.105,0.353,3ny3
  50,1mfl_B_A-B_0,A,0.130,0.334,0.130,0.334,1mfl
  51,1awr_J_D-J_5,D,0.176,0.315,0.176,0.315,1awr
  52,3nil_X_D-X_2,D,0.125,0.338,0.125,0.338,3nil
  53,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.253,0.261,0.253,0.261,4tr9
