index,syst,chain,tm1,tm2,min,max,pdb
   0,1u9l_C_B-C_1,B,0.322,0.279,0.279,0.322,1u9l
   1,4ezz_B_A-B_1,A,0.328,0.121,0.121,0.328,4ezz
   2,3lca_Q_A-Q_0,A,0.279,0.055,0.055,0.279,3lca
   3,4joh_D_A-D_0,A,0.306,0.230,0.230,0.306,4joh
   4,3jrv_D_B-D_1,B,0.301,0.163,0.163,0.301,3jrv
   5,1b4z_B_A-B_0,A,0.325,0.066,0.066,0.325,1b4z
   6,4c2g_B_A-B-C_0,A,0.366,0.077,0.077,0.366,4c2g
   7,4fys_C_A-C_0,A,0.308,0.042,0.042,0.308,4fys
   8,1awr_J_D-J_5,D,0.346,0.161,0.161,0.346,1awr
   9,3nii_B_A-B_0,A,0.387,0.303,0.303,0.387,3nii
  10,5y53_F_C-E-F_1,C,0.305,0.182,0.182,0.305,5y53
  11,5y53_F_C-E-F_1,E,0.313,0.176,0.176,0.313,5y53
  12,4b8o_C_A-B-C_0,A,0.297,0.065,0.065,0.297,4b8o
  13,4jwd_C_B-C_1,B,0.299,0.118,0.118,0.299,4jwd
  14,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.316,0.190,0.190,0.316,1kl3
  15,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.313,0.190,0.190,0.313,1kl3
  16,2h2f_B_A-B_0,A,0.387,0.114,0.114,0.387,2h2f
  17,5sxm_D_B-D_1,B,0.353,0.108,0.108,0.353,5sxm
  18,4j8b_B_A-B_0,A,0.396,0.112,0.112,0.396,4j8b
  19,1qka_B_A-B_0,A,0.335,0.059,0.059,0.335,1qka
  20,5xcr_F_D-E-F_1,D,0.236,0.128,0.128,0.236,5xcr
  21,5xcr_F_D-E-F_1,E,0.281,0.141,0.141,0.281,5xcr
  22,2v17_A_A-H-L_0,L,0.289,0.100,0.100,0.289,2v17
  23,2v17_A_A-H-L_0,H,0.254,0.098,0.098,0.254,2v17
  24,5wun_C_A-B-C_0,A,0.266,0.048,0.048,0.266,5wun
  25,1lvm_C_A-C-E_0,A,0.330,0.126,0.126,0.330,1lvm
  26,3sjk_B_A-B_0,A,0.304,0.149,0.149,0.304,3sjk
  27,3njj_B_A-B_0,A,0.298,0.186,0.186,0.298,3njj
  28,3woo_C_A-B-C-D_0,A,0.360,0.049,0.049,0.360,3woo
  29,4zhb_B_A-B_0,A,0.268,0.184,0.184,0.268,4zhb
  30,3dri_B_A-B_0,A,0.322,0.053,0.053,0.322,3dri
  31,4kg9_B_A-B_0,A,0.329,0.185,0.185,0.329,4kg9
  32,1svz_C_A-B-C-D_0,A,0.294,0.116,0.116,0.294,1svz
  33,1yti_I_A-I_0,A,0.317,0.219,0.219,0.317,1yti
  34,1yti_I_A-I_0,B,0.317,0.219,0.219,0.317,1yti
  35,3emh_B_A-B_0,A,0.367,0.111,0.111,0.367,3emh
  36,1b5i_B_A-B_0,A,0.335,0.069,0.069,0.335,1b5i
  37,1yth_I_A-B-I_0,A,0.317,0.234,0.234,0.317,1yth
  38,1yth_I_A-B-I_0,B,0.298,0.212,0.212,0.298,1yth
  39,5fou_C_A-C_0,A,0.265,0.117,0.117,0.265,5fou
  40,5kzt_C_A-C_0,A,0.312,0.062,0.062,0.312,5kzt
  41,5fpk_C_A-C_0,A,0.299,0.129,0.129,0.299,5fpk
  42,5lb7_C_A-B-C_0,A,0.249,0.121,0.121,0.249,5lb7
  43,5lb7_C_A-B-C_0,B,0.243,0.196,0.196,0.243,5lb7
  44,1evh_B_A-B_0,A,0.262,0.182,0.182,0.262,1evh
