index,syst,chain,tm1,tm2,min,max,pdb
   0,1b3l_B_A-B_0,A,0.994,0.994,0.994,0.994,1b3l
   1,5uw3_E_A-E_0,A,0.328,0.263,0.263,0.328,5uw3
   2,4jwd_C_B-C_1,B,0.169,0.322,0.169,0.322,4jwd
   3,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.109,0.369,0.109,0.369,1xb0
   4,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.110,0.378,0.110,0.378,1xb0
   5,3uf7_B_A-B-C_0,A,0.178,0.343,0.178,0.343,3uf7
   6,3mqr_B_A-B_0,A,0.129,0.349,0.129,0.349,3mqr
   7,4g69_B_A-B_0,A,0.093,0.341,0.093,0.341,4g69
   8,3emh_B_A-B_0,A,0.233,0.348,0.233,0.348,3emh
   9,1se0_B_A-B_0,A,0.098,0.364,0.098,0.364,1se0
  10,4ezz_B_A-B_1,A,0.193,0.372,0.193,0.372,4ezz
  11,4j45_B_A-B_0,A,0.076,0.321,0.076,0.321,4j45
  12,3rc4_B_A-B_0,A,0.162,0.335,0.162,0.335,3rc4
  13,2r9q_X_A-C-X_1,C,0.240,0.332,0.240,0.332,2r9q
  14,2v5w_G_B-G-L_1,B,0.231,0.294,0.231,0.294,2v5w
  15,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.242,0.322,0.242,0.322,4tr9
  16,4j09_B_A-B_0,A,0.161,0.262,0.161,0.262,4j09
  17,4j09_B_A-B_0,C,0.161,0.262,0.161,0.262,4j09
  18,4pxm_D_A-B-C-D_0,B,0.194,0.363,0.194,0.363,4pxm
  19,5tu5_B_A-B_0,A,0.211,0.314,0.211,0.314,5tu5
  20,1gyb_E_A-B-E-F_0,A,0.124,0.364,0.124,0.364,1gyb
  21,1gyb_E_A-B-E-F_0,B,0.105,0.274,0.105,0.274,1gyb
  22,5grg_D_A-B-C-D_0,A,0.199,0.316,0.199,0.316,5grg
  23,4bjt_E_B-E_2,B,0.137,0.329,0.137,0.329,4bjt
  24,1rzx_B_A-B_0,A,0.103,0.410,0.103,0.410,1rzx
  25,4j47_B_A-B_0,A,0.075,0.318,0.075,0.318,4j47
  26,5zw6_C_A-B-C-D_0,A,0.256,0.314,0.256,0.314,5zw6
