index,syst,chain,tm1,tm2,min,max,pdb
   0,3uoa_L_B-C-L-M_0,B,0.356,0.171,0.171,0.356,3uoa
   1,4xi7_C_A-C_0,A,0.354,0.176,0.176,0.354,4xi7
   2,4zhb_B_A-B_0,A,0.244,0.291,0.244,0.291,4zhb
   3,4x2h_C_A-B-C_0,A,0.279,0.225,0.225,0.279,4x2h
   4,1b5i_B_A-B_0,A,0.447,0.154,0.154,0.447,1b5i
   5,5xup_D_A-B-C-D_0,B,0.299,0.237,0.237,0.299,5xup
   6,3lny_B_A-B_0,A,0.269,0.337,0.269,0.337,3lny
   7,4cic_Q_A-B-Q_0,A,0.266,0.264,0.264,0.266,4cic
   8,4cic_Q_A-B-Q_0,B,0.265,0.265,0.265,0.265,4cic
   9,2bgr_Y_A-B-Y-Z_0,A,0.364,0.097,0.097,0.364,2bgr
  10,1b9j_B_A-B_0,A,0.446,0.153,0.153,0.446,1b9j
  11,4que_E_A-C-D-E-H-J_0,A,0.315,0.220,0.220,0.315,4que
  12,4q6f_H_C-H_2,C,0.169,0.327,0.169,0.327,4q6f
  13,1lvm_C_A-C-E_0,A,0.306,0.218,0.218,0.306,1lvm
  14,1kyf_P_A-P_0,A,0.402,0.260,0.260,0.402,1kyf
  15,1yth_I_A-B-I_0,A,0.257,0.309,0.257,0.309,1yth
  16,1yth_I_A-B-I_0,B,0.247,0.298,0.247,0.298,1yth
  17,2ce9_X_A-B-X_0,A,0.306,0.161,0.161,0.306,2ce9
  18,3drh_B_A-B_0,A,0.448,0.147,0.147,0.448,3drh
  19,1elr_B_A-B_0,A,0.236,0.245,0.236,0.245,1elr
  20,3ivq_D_B-D_1,B,0.375,0.373,0.373,0.375,3ivq
  21,3cww_E_A-B-D-E_0,A,0.400,0.088,0.088,0.400,3cww
  22,5fov_E_A-E_0,A,0.325,0.229,0.229,0.325,5fov
  23,1kyd_P_A-P_0,A,0.401,0.261,0.261,0.401,1kyd
  24,3qhw_L_A-B-J-L_0,B,0.306,0.195,0.195,0.306,3qhw
  25,4j82_C_A-C_0,A,0.295,0.172,0.172,0.295,4j82
  26,4j81_C_B-C_1,B,0.274,0.162,0.162,0.274,4j81
  27,1oby_Q_A-B-P-Q_0,A,0.223,0.319,0.223,0.319,1oby
  28,1oby_Q_A-B-P-Q_0,B,0.225,0.316,0.225,0.316,1oby
  29,3v43_Q_A-Q_0,A,0.243,0.277,0.243,0.277,3v43
  30,3o2b_D_C-D_1,C,0.258,0.314,0.258,0.314,3o2b
  31,3srj_D_A-C-D_0,A,0.313,0.183,0.183,0.313,3srj
  32,3rc5_B_A-B_0,A,0.306,0.238,0.238,0.306,3rc5
  33,5fpk_C_A-C_0,A,0.328,0.229,0.229,0.328,5fpk
  34,3emh_B_A-B_0,A,0.280,0.158,0.158,0.280,3emh
  35,1b4z_B_A-B_0,A,0.448,0.154,0.154,0.448,1b4z
  36,4kg9_B_A-B_0,A,0.374,0.373,0.373,0.374,4kg9
  37,5grg_D_A-B-C-D_0,A,0.351,0.212,0.212,0.351,5grg
  38,1oxn_F_E-F_7,E,0.230,0.301,0.230,0.301,1oxn
  39,6cdc_C_A-C_0,A,0.354,0.311,0.311,0.354,6cdc
  40,3m5n_F_B-F_1,B,0.304,0.232,0.232,0.304,3m5n
  41,4ezy_B_A-B_2,A,0.307,0.222,0.222,0.307,4ezy
  42,4k75_B_A-B_0,A,0.256,0.338,0.256,0.338,4k75
  43,2i3h_C_A-C_0,A,0.238,0.319,0.238,0.319,2i3h
  44,5m5t_E_A-E-G-I_0,A,0.314,0.162,0.162,0.314,5m5t
  45,6cd8_C_A-C_0,A,0.326,0.286,0.286,0.326,6cd8
  46,4z8j_B_A-B_0,A,0.278,0.349,0.278,0.349,4z8j
  47,5iza_B_A-B_0,A,0.271,0.144,0.144,0.271,5iza
  48,5lyn_C_A-B-C-D_0,A,0.262,0.267,0.262,0.267,5lyn
  49,5lyn_C_A-B-C-D_0,B,0.263,0.268,0.263,0.268,5lyn
  50,3m5o_C_A-C_0,A,0.294,0.229,0.229,0.294,3m5o
  51,1jwg_D_B-D_1,B,0.287,0.282,0.282,0.287,1jwg
  52,5zw6_C_A-B-C-D_0,A,0.275,0.135,0.135,0.275,5zw6
  53,5lb7_C_A-B-C_0,A,0.263,0.231,0.231,0.263,5lb7
  54,5lb7_C_A-B-C_0,B,0.216,0.303,0.216,0.303,5lb7
  55,4k3q_E_A-B-E_0,A,0.235,0.119,0.119,0.235,4k3q
  56,5fow_E_A-E_0,A,0.337,0.242,0.242,0.337,5fow
  57,1b5j_B_A-B_0,A,0.447,0.154,0.154,0.447,1b5j
  58,3m5m_C_B-C_1,B,0.293,0.225,0.225,0.293,3m5m
  59,4xal_B_A-B_0,A,0.222,0.293,0.222,0.293,4xal
  60,4fys_C_A-C_0,A,0.413,0.088,0.088,0.413,4fys
  61,5v5p_A_A-B-C_0,C,0.268,0.119,0.119,0.268,5v5p
  62,3rte_B_A-B_0,G,0.294,0.113,0.113,0.294,3rte
  63,3rte_B_A-B_0,A,0.294,0.113,0.113,0.294,3rte
  64,1awr_J_D-J_5,D,0.305,0.270,0.270,0.305,1awr
  65,4ynl_C_A-B-C-D_0,A,0.204,0.280,0.204,0.280,4ynl
  66,4ynl_C_A-B-C-D_0,B,0.212,0.300,0.212,0.300,4ynl
  67,3rta_B_A-B_0,F,0.299,0.115,0.115,0.299,3rta
  68,3rta_B_A-B_0,A,0.299,0.115,0.115,0.299,3rta
  69,4bjt_E_B-E_2,B,0.242,0.227,0.227,0.242,4bjt
  70,3nfl_G_B-C-F-G_5,C,0.248,0.325,0.248,0.325,3nfl
  71,4ezq_B_A-B_1,A,0.336,0.238,0.238,0.336,4ezq
  72,4f75_C_A-B-C-D_0,A,0.251,0.303,0.251,0.303,4f75
  73,4f75_C_A-B-C-D_0,B,0.255,0.307,0.255,0.307,4f75
  74,4pxm_D_A-B-C-D_0,B,0.322,0.228,0.228,0.322,4pxm
  75,3nim_X_F-X_3,F,0.260,0.356,0.260,0.356,3nim
  76,3nin_E_B-E_1,B,0.263,0.363,0.263,0.363,3nin
  77,4j79_B_A-B_0,A,0.284,0.158,0.158,0.284,4j79
  78,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.250,0.330,0.250,0.330,2y1l
  79,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.280,0.267,0.267,0.280,2y1l
  80,2v3s_C_B-C_1,B,0.270,0.334,0.270,0.334,2v3s
  81,1b3l_B_A-B_0,A,0.444,0.153,0.153,0.444,1b3l
  82,5m5u_G_A-E-G_0,A,0.324,0.161,0.161,0.324,5m5u
