index,syst,chain,tm1,tm2,min,max,pdb
   0,4pz3_C_A-B-C_0,B,0.151,0.272,0.151,0.272,4pz3
   1,6fqc_E_A-B-D-E_0,A,0.210,0.221,0.210,0.221,6fqc
   2,6hpg_c_C-c_2,C,0.126,0.277,0.126,0.277,6hpg
   3,5uw3_E_A-E_0,A,0.273,0.170,0.170,0.273,5uw3
   4,1czy_D_A-B-C-D-E_0,A,0.137,0.238,0.137,0.238,1czy
   5,5jiu_C_A-B-C-D_0,A,0.203,0.306,0.203,0.306,5jiu
   6,3gv4_H_A-H_0,A,0.157,0.408,0.157,0.408,3gv4
   7,3nfl_G_B-C-F-G_5,C,0.142,0.425,0.142,0.425,3nfl
   8,1b40_B_A-B_0,A,0.245,0.188,0.188,0.245,1b40
   9,2v17_A_A-H-L_0,L,0.192,0.277,0.192,0.277,2v17
  10,2v17_A_A-H-L_0,H,0.175,0.241,0.175,0.241,2v17
  11,3emh_B_A-B_0,A,0.222,0.252,0.222,0.252,3emh
  12,1qka_B_A-B_0,A,0.245,0.189,0.189,0.245,1qka
  13,4wnn_T_C-D-T_3,D,0.111,0.308,0.111,0.308,4wnn
  14,4wnn_T_C-D-T_3,C,0.129,0.357,0.129,0.357,4wnn
  15,4mz6_A_A-C-E_0,E,0.221,0.196,0.196,0.221,4mz6
  16,3nik_X_D-X_2,D,0.107,0.301,0.107,0.301,3nik
  17,3drh_B_A-B_0,A,0.273,0.196,0.196,0.273,3drh
  18,1e4x_P_H-L-P_0,L,0.189,0.273,0.189,0.273,1e4x
  19,1e4x_P_H-L-P_0,H,0.201,0.289,0.201,0.289,1e4x
  20,1olc_B_A-B_0,A,0.248,0.191,0.191,0.248,1olc
  21,1b58_B_A-B_0,A,0.242,0.186,0.186,0.242,1b58
  22,4k3q_E_A-B-E_0,A,0.997,0.997,0.997,0.997,4k3q
  23,4v3i_B_A-B_0,A,0.142,0.277,0.142,0.277,4v3i
  24,6fkp_G_C-G_2,C,0.086,0.273,0.086,0.273,6fkp
  25,5jjm_G_A-G-M_0,A,0.200,0.256,0.200,0.256,5jjm
  26,6cwp_F_A-B-F_0,A,0.221,0.251,0.221,0.251,6cwp
  27,6cwp_F_A-B-F_0,B,0.220,0.245,0.220,0.245,6cwp
  28,4k3o_E_A-B-E_0,A,0.997,0.991,0.991,0.997,4k3o
  29,4pyw_B_A-B-C_0,A,0.218,0.216,0.216,0.218,4pyw
  30,1lvm_C_A-C-E_0,A,0.219,0.299,0.219,0.299,1lvm
  31,3ny3_B_A-B_0,A,0.102,0.334,0.102,0.334,3ny3
  32,3drk_B_A-B_0,A,0.296,0.214,0.214,0.296,3drk
  33,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.139,0.325,0.139,0.325,1kl3
  34,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.143,0.331,0.143,0.331,1kl3
  35,1b5j_B_A-B_0,A,0.245,0.189,0.189,0.245,1b5j
  36,3lca_Q_A-Q_0,A,0.196,0.154,0.154,0.196,3lca
  37,3psl_D_B-D_1,B,0.221,0.252,0.221,0.252,3psl
  38,4k76_G_C-G_2,C,0.137,0.388,0.137,0.388,4k76
  39,1tw6_C_A-B-C-D_2,F,0.118,0.303,0.118,0.303,1tw6
  40,1tw6_C_A-B-C-D_2,A,0.130,0.329,0.130,0.329,1tw6
  41,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.206,0.257,0.206,0.257,5fjz
  42,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.205,0.256,0.205,0.256,5fjz
  43,6cdc_C_A-C_0,A,0.161,0.296,0.161,0.296,6cdc
  44,4joh_D_A-D_0,A,0.142,0.410,0.142,0.410,4joh
  45,4wvh_C_A-C_0,A,0.286,0.218,0.218,0.286,4wvh
  46,2h59_D_A-B-D-E_0,A,0.184,0.245,0.184,0.245,2h59
  47,2h59_D_A-B-D-E_0,B,0.177,0.234,0.177,0.234,2h59
  48,4sga_P_E-P_0,E,0.174,0.280,0.174,0.280,4sga
  49,1b51_B_A-B_0,A,0.247,0.190,0.190,0.247,1b51
  50,1sdz_B_A-B_0,A,0.110,0.300,0.110,0.300,1sdz
  51,4c2c_B_A-B-C_0,A,0.269,0.234,0.234,0.269,4c2c
  52,2v5f_X_A-X_0,A,0.117,0.316,0.117,0.316,2v5f
  53,1ok7_C_A-B-C_0,B,0.985,0.963,0.963,0.985,1ok7
  54,1fch_C_A-B-C-D_2,F,0.184,0.211,0.184,0.211,1fch
  55,1fch_C_A-B-C-D_2,A,0.188,0.213,0.188,0.213,1fch
  56,5iza_B_A-B_0,A,0.227,0.235,0.227,0.235,5iza
  57,4ba3_B_A-B_0,A,0.218,0.193,0.193,0.218,4ba3
  58,4fii_B_A-B_0,A,0.237,0.276,0.237,0.276,4fii
  59,2ipu_P_G-K-P_1,G,0.183,0.255,0.183,0.255,2ipu
  60,2ipu_P_G-K-P_1,K,0.196,0.277,0.196,0.277,2ipu
  61,4ojf_A_A-H-L_0,L,0.198,0.275,0.198,0.275,4ojf
