index,syst,chain,tm1,tm2,min,max,pdb
   0,1yti_I_A-I_0,A,0.154,0.291,0.154,0.291,1yti
   1,1yti_I_A-I_0,B,0.154,0.291,0.154,0.291,1yti
   2,2b6n_B_A-B_0,A,0.302,0.277,0.277,0.302,2b6n
   3,5e6o_E_B-E_1,B,0.207,0.333,0.207,0.333,5e6o
   4,2v5f_X_A-X_0,A,0.163,0.315,0.163,0.315,2v5f
   5,3l81_B_A-B_0,A,0.252,0.249,0.249,0.252,3l81
   6,3q49_C_B-C_0,B,0.211,0.329,0.211,0.329,3q49
   7,4k75_B_A-B_0,A,0.175,0.363,0.175,0.363,4k75
   8,2hl3_C_A-B-C_0,A,0.126,0.279,0.126,0.279,2hl3
   9,2hl3_C_A-B-C_0,B,0.121,0.261,0.121,0.261,2hl3
  10,4ezy_B_A-B_2,A,0.259,0.283,0.259,0.283,4ezy
  11,4j46_B_A-B_0,A,0.186,0.400,0.186,0.400,4j46
  12,3nik_X_D-X_2,D,0.148,0.297,0.148,0.297,3nik
  13,4jor_D_B-D_1,B,0.174,0.360,0.174,0.360,4jor
  14,3cbl_B_A-B_0,A,0.280,0.216,0.216,0.280,3cbl
  15,4j8b_B_A-B_0,A,0.270,0.237,0.237,0.270,4j8b
  16,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.260,0.439,0.260,0.439,1kl5
  17,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.259,0.435,0.259,0.435,1kl5
  18,3lca_Q_A-Q_0,A,0.277,0.170,0.170,0.277,3lca
  19,3nfl_G_B-C-F-G_5,C,0.174,0.345,0.174,0.345,3nfl
  20,3nim_X_F-X_3,F,0.142,0.327,0.142,0.327,3nim
  21,1jwg_D_B-D_1,B,0.204,0.304,0.204,0.304,1jwg
  22,3nih_B_A-B_0,A,0.138,0.298,0.138,0.298,3nih
  23,6cdc_C_A-C_0,A,0.232,0.315,0.232,0.315,6cdc
  24,1vwa_M_B-D-M-P_0,C,0.264,0.444,0.264,0.444,1vwa
  25,1vwa_M_B-D-M-P_0,B,0.263,0.439,0.263,0.439,1vwa
  26,4pyw_B_A-B-C_0,A,0.300,0.227,0.227,0.300,4pyw
  27,2g30_S_A-P-S_0,A,0.295,0.307,0.295,0.307,2g30
  28,5grg_D_A-B-C-D_0,A,0.265,0.245,0.245,0.265,5grg
  29,4ezn_C_A-B-C-D_0,A,0.257,0.288,0.257,0.288,4ezn
  30,3ufm_B_A-B_0,A,0.287,0.301,0.287,0.301,3ufm
  31,1wcy_C_A-B-C-D_0,A,0.365,0.156,0.156,0.365,1wcy
  32,4z0u_D_A-D_0,A,0.202,0.278,0.202,0.278,4z0u
  33,3uf7_B_A-B-C_0,A,0.259,0.276,0.259,0.276,3uf7
  34,3vqg_B_A-B_0,A,0.167,0.354,0.167,0.354,3vqg
  35,3drh_B_A-B_0,A,0.309,0.165,0.165,0.309,3drh
  36,5jiu_C_A-B-C-D_0,A,0.303,0.341,0.303,0.341,5jiu
  37,5t6p_E_C-D-E_1,D,0.224,0.254,0.224,0.254,5t6p
  38,5t6p_E_C-D-E_1,C,0.210,0.228,0.210,0.228,5t6p
  39,3zs6_B_A-B_0,A,0.310,0.183,0.183,0.310,3zs6
  40,2orz_B_A-B_0,A,0.281,0.235,0.235,0.281,2orz
