index,syst,chain,tm1,tm2,min,max,pdb
   0,4o4y_A_A-H-L_0,L,0.174,0.239,0.174,0.239,4o4y
   1,4o4y_A_A-H-L_0,H,0.211,0.289,0.211,0.289,4o4y
   2,1u9l_C_B-C_1,B,0.110,0.307,0.110,0.307,1u9l
   3,3qhw_L_A-B-J-L_0,B,0.239,0.286,0.239,0.286,3qhw
   4,5b74_D_A-B-D_0,B,0.175,0.343,0.175,0.343,5b74
   5,4j46_B_A-B_0,A,0.145,0.369,0.145,0.369,4j46
   6,3s9c_B_A-B_0,A,0.249,0.321,0.249,0.321,3s9c
   7,4b8o_C_A-B-C_0,A,0.269,0.227,0.227,0.269,4b8o
   8,4bjt_E_B-E_2,B,0.198,0.341,0.198,0.341,4bjt
   9,6fkp_G_C-G_2,C,0.098,0.276,0.098,0.276,6fkp
  10,1sts_P_B-D-M-P_0,D,0.140,0.288,0.140,0.288,1sts
  11,1sts_P_B-D-M-P_0,A,0.149,0.298,0.149,0.298,1sts
  12,3m5o_C_A-C_0,A,0.199,0.291,0.199,0.291,3m5o
  13,5azf_C_A-C_0,A,0.167,0.346,0.167,0.346,5azf
  14,2h59_D_A-B-D-E_0,A,0.215,0.266,0.215,0.266,2h59
  15,2h59_D_A-B-D-E_0,B,0.215,0.266,0.215,0.266,2h59
  16,3cvl_B_A-B_0,A,0.273,0.299,0.273,0.299,3cvl
  17,4xal_B_A-B_0,A,0.124,0.295,0.124,0.295,4xal
  18,1wcy_C_A-B-C-D_0,A,0.256,0.139,0.139,0.256,1wcy
  19,2ipu_P_G-K-P_1,G,0.213,0.295,0.213,0.295,2ipu
  20,2ipu_P_G-K-P_1,K,0.203,0.273,0.203,0.273,2ipu
  21,4joh_D_A-D_0,A,0.143,0.351,0.143,0.351,4joh
  22,4sga_P_E-P_0,E,0.203,0.322,0.203,0.322,4sga
  23,1d00_I_A-I_0,A,0.215,0.361,0.215,0.361,1d00
  24,4j77_D_B-D_1,B,0.241,0.260,0.241,0.260,4j77
  25,3l81_B_A-B_0,A,0.223,0.283,0.223,0.283,3l81
  26,4j8b_B_A-B_0,A,0.240,0.260,0.240,0.260,4j8b
  27,1tw6_C_A-B-C-D_2,F,0.145,0.373,0.145,0.373,1tw6
  28,1tw6_C_A-B-C-D_2,A,0.142,0.384,0.142,0.384,1tw6
  29,3woo_C_A-B-C-D_0,A,0.291,0.168,0.168,0.291,3woo
  30,4k76_G_C-G_2,C,0.131,0.360,0.131,0.360,4k76
  31,3psl_D_B-D_1,B,0.234,0.254,0.234,0.254,3psl
  32,2nph_S_A-B-S-T_0,A,0.134,0.299,0.134,0.299,2nph
  33,2nph_S_A-B-S-T_0,B,0.134,0.300,0.134,0.300,2nph
  34,2x6m_B_A-B_0,A,0.181,0.343,0.181,0.343,2x6m
  35,4ny3_C_A-C_0,A,0.281,0.303,0.281,0.303,4ny3
  36,5e6o_E_B-E_1,B,0.192,0.416,0.192,0.416,5e6o
  37,5wir_D_A-B-C-D_0,B,0.207,0.291,0.207,0.291,5wir
  38,1b05_B_A-B_0,A,0.318,0.233,0.233,0.318,1b05
  39,4g69_B_A-B_0,A,0.134,0.327,0.134,0.327,4g69
  40,6cdg_B_A-B_0,A,0.209,0.363,0.209,0.363,6cdg
  41,3drj_B_A-B_0,A,0.301,0.207,0.207,0.301,3drj
  42,4z8j_B_A-B_0,A,0.153,0.356,0.153,0.356,4z8j
  43,5tu5_B_A-B_0,A,0.282,0.308,0.282,0.308,5tu5
  44,1kyd_P_A-P_0,A,0.197,0.244,0.197,0.244,1kyd
  45,4j47_B_A-B_0,A,0.139,0.366,0.139,0.366,4j47
  46,4ezy_B_A-B_2,A,0.210,0.280,0.210,0.280,4ezy
  47,2fib_B_A-B_0,A,0.239,0.294,0.239,0.294,2fib
  48,4wnn_T_C-D-T_3,D,0.133,0.323,0.133,0.323,4wnn
  49,4wnn_T_C-D-T_3,C,0.124,0.306,0.124,0.306,4wnn
  50,5m5t_E_A-E-G-I_0,A,0.287,0.273,0.273,0.287,5m5t
  51,6cdc_C_A-C_0,A,0.206,0.354,0.206,0.354,6cdc
  52,6cd9_B_A-B_0,A,0.170,0.286,0.170,0.286,6cd9
  53,3cww_E_A-B-D-E_0,A,0.300,0.133,0.133,0.300,3cww
  54,4dgb_B_A-B_0,A,0.166,0.267,0.166,0.267,4dgb
  55,6cwp_F_A-B-F_0,A,0.276,0.298,0.276,0.298,6cwp
  56,6cwp_F_A-B-F_0,B,0.277,0.294,0.277,0.294,6cwp
  57,5m5u_G_A-E-G_0,A,0.292,0.277,0.277,0.292,5m5u
  58,3ou3_C_A-B-C_0,A,0.135,0.317,0.135,0.317,3ou3
  59,3ou3_C_A-B-C_0,B,0.135,0.316,0.135,0.316,3ou3
  60,2v1r_R_A-Q-R_0,A,0.101,0.353,0.101,0.353,2v1r
  61,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.262,0.255,0.255,0.262,4tr9
  62,6exj_B_A-B_0,A,0.136,0.325,0.136,0.325,6exj
  63,3nin_E_B-E_1,B,0.134,0.359,0.134,0.359,3nin
  64,2wa8_D_C-D_1,C,0.147,0.365,0.147,0.365,2wa8
  65,5uw3_E_A-E_0,A,0.316,0.179,0.179,0.316,5uw3
  66,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.144,0.307,0.144,0.307,1kl5
  67,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.155,0.326,0.155,0.326,1kl5
  68,5fow_E_A-E_0,A,0.206,0.267,0.206,0.267,5fow
  69,1elr_B_A-B_0,A,0.183,0.376,0.183,0.376,1elr
  70,3agy_C_A-B-C-D-F_0,A,0.183,0.285,0.183,0.285,3agy
  71,1d0a_G_A-B-C-G-H-I_0,A,0.212,0.358,0.212,0.358,1d0a
  72,1czy_D_A-B-C-D-E_0,A,0.213,0.359,0.213,0.359,1czy
  73,4o51_N_A-B-N_1,A,0.210,0.290,0.210,0.290,4o51
  74,4o51_N_A-B-N_1,B,0.223,0.312,0.223,0.312,4o51
  75,3nim_X_F-X_3,F,0.146,0.393,0.146,0.393,3nim
  76,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.266,0.258,0.258,0.266,2ot0
  77,5elq_P_A-P_0,A,0.123,0.333,0.123,0.333,5elq
  78,3sxu_C_A-B-C_0,A,0.196,0.349,0.196,0.349,3sxu
  79,4z88_V_J-V_1,J,0.121,0.397,0.121,0.397,4z88
  80,3uf7_B_A-B-C_0,A,0.245,0.326,0.245,0.326,3uf7
  81,3rc5_B_A-B_0,A,0.211,0.302,0.211,0.302,3rc5
  82,4ezq_B_A-B_1,A,0.191,0.257,0.191,0.257,4ezq
  83,4jjq_B_A-B_0,A,0.207,0.405,0.207,0.405,4jjq
  84,3uoa_L_B-C-L-M_0,B,0.272,0.255,0.255,0.272,3uoa
  85,4gyo_C_A-B-C-D_0,B,0.281,0.267,0.267,0.281,4gyo
  86,3woq_C_A-B-C-D_0,A,0.291,0.168,0.168,0.291,3woq
  87,1kyf_P_A-P_0,A,0.208,0.256,0.208,0.256,1kyf
  88,4j79_B_A-B_0,A,0.246,0.266,0.246,0.266,4j79
  89,3t64_F_A-B-C-F_0,A,0.192,0.351,0.192,0.351,3t64
  90,3t64_F_A-B-C-F_0,B,0.168,0.331,0.168,0.331,3t64
  91,1yth_I_A-B-I_0,A,0.136,0.305,0.136,0.305,1yth
  92,1yth_I_A-B-I_0,B,0.133,0.297,0.133,0.297,1yth
  93,3m5m_C_B-C_1,B,0.211,0.305,0.211,0.305,3m5m
  94,4que_E_A-C-D-E-H-J_0,A,0.247,0.320,0.247,0.320,4que
  95,1b3g_B_A-B_0,A,0.325,0.237,0.237,0.325,1b3g
  96,3gv4_H_A-H_0,A,0.165,0.366,0.165,0.366,3gv4
  97,3thk_C_A-C_0,A,0.092,0.360,0.092,0.360,3thk
  98,4j84_D_B-D_1,B,0.231,0.252,0.231,0.252,4j84
  99,2h9m_D_C-D_1,C,0.235,0.251,0.235,0.251,2h9m
 100,4v3i_B_A-B_0,A,0.184,0.321,0.184,0.321,4v3i
 101,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.277,0.311,0.277,0.311,2z9i
 102,3ebb_F_A-B-E-F_0,B,0.281,0.335,0.281,0.335,3ebb
 103,3rte_B_A-B_0,G,0.263,0.199,0.199,0.263,3rte
 104,3rte_B_A-B_0,A,0.263,0.199,0.199,0.263,3rte
 105,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.155,0.406,0.155,0.406,2y1l
 106,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.188,0.341,0.188,0.341,2y1l
 107,3ny3_B_A-B_0,A,0.095,0.268,0.095,0.268,3ny3
 108,4m38_E_A-B-E-F_0,A,0.293,0.292,0.292,0.293,4m38
 109,2zjd_D_C-D_5,C,0.169,0.348,0.169,0.348,2zjd
 110,3nil_X_D-X_2,D,0.129,0.392,0.129,0.392,3nil
 111,2v17_A_A-H-L_0,L,0.202,0.278,0.202,0.278,2v17
 112,2v17_A_A-H-L_0,H,0.212,0.284,0.212,0.284,2v17
 113,1b5j_B_A-B_0,A,0.322,0.236,0.236,0.322,1b5j
 114,5nqv_G_A-C-E-G_0,C,0.184,0.286,0.184,0.286,5nqv
 115,5m5r_D_A-C-D_0,A,0.281,0.267,0.267,0.281,5m5r
 116,1nvs_B_A-B_0,A,0.245,0.287,0.245,0.287,1nvs
 117,3fp4_Q_A-Q_0,A,0.253,0.193,0.193,0.253,3fp4
 118,3ziq_B_A-B-C_0,A,0.279,0.233,0.233,0.279,3ziq
 119,5fox_C_A-C_0,A,0.190,0.248,0.190,0.248,5fox
