index,syst,chain,tm1,tm2,min,max,pdb
   0,1ok7_C_A-B-C_0,B,0.259,0.156,0.156,0.259,1ok7
   1,1yti_I_A-I_0,A,0.211,0.325,0.211,0.325,1yti
   2,1yti_I_A-I_0,B,0.211,0.325,0.211,0.325,1yti
   3,3fwv_C_A-C_0,A,0.316,0.420,0.316,0.420,3fwv
   4,1b05_B_A-B_0,A,0.328,0.163,0.163,0.328,1b05
   5,3zvy_D_B-D_0,B,0.162,0.314,0.162,0.314,3zvy
   6,4ztd_F_A-B-C-D-E-F_0,C,0.226,0.190,0.190,0.226,4ztd
   7,1ghb_P_E-F-G-P_0,F,0.217,0.278,0.217,0.278,1ghb
   8,1ghb_P_E-F-G-P_0,G,0.158,0.251,0.158,0.251,1ghb
   9,1ghb_P_E-F-G-P_0,C,0.158,0.251,0.158,0.251,1ghb
  10,1ghb_P_E-F-G-P_0,B,0.217,0.278,0.217,0.278,1ghb
  11,5nqv_G_A-C-E-G_0,C,1.000,1.000,1.000,1.000,5nqv
  12,3d9t_D_B-D_1,B,0.192,0.302,0.192,0.302,3d9t
  13,4k75_B_A-B_0,A,0.222,0.396,0.222,0.396,4k75
  14,1b5i_B_A-B_0,A,0.326,0.162,0.162,0.326,1b5i
  15,1jwg_D_B-D_1,B,0.323,0.396,0.323,0.396,1jwg
  16,5fpk_C_A-C_0,A,0.296,0.263,0.263,0.296,5fpk
  17,3drk_B_A-B_0,A,0.366,0.160,0.160,0.366,3drk
  18,2d5w_C_A-C_0,A,0.355,0.151,0.151,0.355,2d5w
  19,5m5r_D_A-C-D_0,A,0.270,0.166,0.166,0.270,5m5r
  20,4faf_D_A-B-D_0,A,0.213,0.325,0.213,0.325,4faf
  21,4faf_D_A-B-D_0,B,0.214,0.333,0.214,0.333,4faf
  22,3hds_E_A-D-E_0,D,0.224,0.332,0.224,0.332,3hds
  23,3hds_E_A-D-E_0,A,0.204,0.305,0.204,0.305,3hds
  24,4j45_B_A-B_0,A,0.197,0.327,0.197,0.327,4j45
  25,4j84_D_B-D_1,B,0.282,0.211,0.211,0.282,4j84
  26,2h9m_D_C-D_1,C,0.286,0.205,0.205,0.286,2h9m
  27,2g30_S_A-P-S_0,A,0.294,0.255,0.255,0.294,2g30
  28,5wir_D_A-B-C-D_0,B,0.553,0.521,0.521,0.553,5wir
  29,4k3m_E_A-B-E_0,A,0.266,0.164,0.164,0.266,4k3m
  30,3f6k_N_A-N_0,A,0.309,0.130,0.130,0.309,3f6k
  31,3l81_B_A-B_0,A,0.294,0.243,0.243,0.294,3l81
  32,3dri_B_A-B_0,A,0.367,0.160,0.160,0.367,3dri
  33,3wor_C_A-B-C-D_0,A,0.407,0.149,0.149,0.407,3wor
  34,1se0_B_A-B_0,A,0.191,0.289,0.191,0.289,1se0
  35,3emh_B_A-B_0,A,0.299,0.216,0.216,0.299,3emh
  36,3jrv_D_B-D_1,B,0.311,0.382,0.311,0.382,3jrv
  37,3nil_X_D-X_2,D,0.212,0.375,0.212,0.375,3nil
  38,4fys_C_A-C_0,A,0.428,0.119,0.119,0.428,4fys
  39,2v17_A_A-H-L_0,L,0.235,0.218,0.218,0.235,2v17
  40,2v17_A_A-H-L_0,H,0.231,0.209,0.209,0.231,2v17
  41,3drh_B_A-B_0,A,0.367,0.161,0.161,0.367,3drh
  42,3mqr_B_A-B_0,A,0.221,0.275,0.221,0.275,3mqr
  43,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.224,0.389,0.224,0.389,2y1l
  44,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.279,0.335,0.279,0.335,2y1l
  45,5lb7_C_A-B-C_0,A,0.369,0.405,0.369,0.405,5lb7
  46,5lb7_C_A-B-C_0,B,0.246,0.520,0.246,0.520,5lb7
  47,4k76_G_C-G_2,C,0.222,0.393,0.222,0.393,4k76
  48,3t64_F_A-B-C-F_0,A,0.236,0.272,0.236,0.272,3t64
  49,3t64_F_A-B-C-F_0,B,0.209,0.264,0.209,0.264,3t64
  50,3drj_B_A-B_0,A,0.368,0.160,0.160,0.368,3drj
  51,3nik_X_D-X_2,D,0.214,0.373,0.214,0.373,3nik
  52,1a30_C_A-B-C_0,A,0.211,0.325,0.211,0.325,1a30
  53,1a30_C_A-B-C_0,B,0.211,0.325,0.211,0.325,1a30
  54,4z0u_D_A-D_0,A,0.275,0.314,0.275,0.314,4z0u
  55,4pyw_B_A-B-C_0,A,0.321,0.203,0.203,0.321,4pyw
  56,1sem_C_A-B-C-D_0,A,0.116,0.252,0.116,0.252,1sem
  57,4fii_B_A-B_0,A,0.366,0.266,0.266,0.366,4fii
  58,4xi7_C_A-C_0,A,0.286,0.178,0.178,0.286,4xi7
  59,5oav_B_A-B_0,A,0.124,0.283,0.124,0.283,5oav
  60,2ql9_G_A-B-C-D-E-F-G_0,D,0.223,0.375,0.223,0.375,2ql9
  61,2ql9_G_A-B-C-D-E-F-G_0,A,0.231,0.290,0.231,0.290,2ql9
  62,2ql9_G_A-B-C-D-E-F-G_0,C,0.227,0.284,0.227,0.284,2ql9
  63,2ql9_G_A-B-C-D-E-F-G_0,B,0.224,0.370,0.224,0.370,2ql9
  64,4ezn_C_A-B-C-D_0,A,0.257,0.239,0.239,0.257,4ezn
  65,3ufm_B_A-B_0,A,0.288,0.251,0.251,0.288,3ufm
  66,4z88_V_J-V_1,J,0.139,0.280,0.139,0.280,4z88
  67,1rzx_B_A-B_0,A,0.220,0.351,0.220,0.351,1rzx
  68,1lvm_C_A-C-E_0,A,0.231,0.204,0.204,0.231,1lvm
  69,4apo_D_B-D_1,B,0.343,0.405,0.343,0.405,4apo
  70,4que_E_A-C-D-E-H-J_0,A,0.275,0.241,0.241,0.275,4que
  71,1b3l_B_A-B_0,A,0.333,0.162,0.162,0.333,1b3l
  72,5oj5_B_A-B_0,A,0.302,0.216,0.216,0.302,5oj5
  73,4ezq_B_A-B_1,A,0.241,0.223,0.223,0.241,4ezq
  74,1b40_B_A-B_0,A,0.339,0.165,0.165,0.339,1b40
  75,1uop_B_A-B_0,A,0.377,0.130,0.130,0.377,1uop
  76,5yba_B_A-B-C-D_0,A,0.237,0.253,0.237,0.253,5yba
  77,4cic_Q_A-B-Q_0,A,0.292,0.372,0.292,0.372,4cic
  78,4cic_Q_A-B-Q_0,B,0.292,0.374,0.292,0.374,4cic
  79,1b46_B_A-B_0,A,0.341,0.167,0.167,0.341,1b46
  80,1awr_J_D-J_5,D,0.212,0.235,0.212,0.235,1awr
  81,3q47_C_B-C_0,B,0.300,0.388,0.300,0.388,3q47
  82,3t70_F_A-B-C-F_0,A,0.237,0.277,0.237,0.277,3t70
  83,3t70_F_A-B-C-F_0,B,0.215,0.268,0.215,0.268,3t70
  84,1elr_B_A-B_0,A,0.317,0.420,0.317,0.420,1elr
  85,1w9e_S_A-B-R-S-T_0,B,0.220,0.243,0.220,0.243,1w9e
  86,3woq_C_A-B-C-D_0,A,0.407,0.148,0.148,0.407,3woq
  87,1yth_I_A-B-I_0,A,0.214,0.329,0.214,0.329,1yth
  88,1yth_I_A-B-I_0,B,0.212,0.329,0.212,0.329,1yth
  89,4es0_C_A-C_0,A,0.285,0.207,0.207,0.285,4es0
  90,4xal_B_A-B_0,A,0.208,0.387,0.208,0.387,4xal
