index,syst,chain,tm1,tm2,min,max,pdb
   0,1gyb_E_A-B-E-F_0,A,0.174,0.339,0.174,0.339,1gyb
   1,1gyb_E_A-B-E-F_0,B,0.175,0.319,0.175,0.319,1gyb
   2,4mvk_B_A-B_0,A,0.203,0.294,0.203,0.294,4mvk
   3,4k3r_E_A-B-E_0,A,0.255,0.224,0.224,0.255,4k3r
   4,4g69_B_A-B_0,A,0.176,0.377,0.176,0.377,4g69
   5,4k76_G_C-G_2,C,0.166,0.372,0.166,0.372,4k76
   6,6ew9_P_A-B-C-P-Q-R_0,A,0.295,0.290,0.290,0.295,6ew9
   7,4sga_P_E-P_0,E,0.247,0.347,0.247,0.347,4sga
   8,4pz3_C_A-B-C_0,B,0.206,0.335,0.206,0.335,4pz3
   9,1oxn_F_E-F_7,E,0.159,0.352,0.159,0.352,1oxn
  10,4jor_D_B-D_1,B,0.152,0.381,0.152,0.381,4jor
  11,4wvh_C_A-C_0,A,0.306,0.203,0.203,0.306,4wvh
  12,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.255,0.230,0.230,0.255,2ot0
  13,4c2g_B_A-B-C_0,A,0.315,0.240,0.240,0.315,4c2g
  14,1a30_C_A-B-C_0,A,0.168,0.363,0.168,0.363,1a30
  15,1a30_C_A-B-C_0,B,0.168,0.361,0.168,0.361,1a30
  16,4quh_D_A-C-D-I-J_0,A,0.286,0.341,0.286,0.341,4quh
  17,2v5f_X_A-X_0,A,0.163,0.336,0.163,0.336,2v5f
  18,1b05_B_A-B_0,A,0.316,0.213,0.213,0.316,1b05
  19,1d0a_G_A-B-C-G-H-I_0,A,0.186,0.276,0.186,0.276,1d0a
  20,4j8b_B_A-B_0,A,0.285,0.285,0.285,0.285,4j8b
  21,1czy_D_A-B-C-D-E_0,A,0.186,0.276,0.186,0.276,1czy
  22,4cic_Q_A-B-Q_0,A,0.203,0.350,0.203,0.350,4cic
  23,4cic_Q_A-B-Q_0,B,0.206,0.346,0.206,0.346,4cic
  24,1se0_B_A-B_0,A,0.168,0.378,0.168,0.378,1se0
  25,3ivq_D_B-D_1,B,0.184,0.320,0.184,0.320,3ivq
  26,1b3l_B_A-B_0,A,0.307,0.206,0.206,0.307,1b3l
  27,3fwv_C_A-C_0,A,0.193,0.343,0.193,0.343,3fwv
  28,4odk_C_A-B-C_0,A,0.201,0.313,0.201,0.313,4odk
  29,1wcy_C_A-B-C-D_0,A,0.315,0.158,0.158,0.315,1wcy
  30,3rc4_B_A-B_0,A,0.266,0.356,0.266,0.356,3rc4
  31,3lca_Q_A-Q_0,A,0.307,0.214,0.214,0.307,3lca
  32,1kyf_P_A-P_0,A,0.264,0.300,0.264,0.300,1kyf
  33,3s9c_B_A-B_0,A,0.277,0.325,0.277,0.325,3s9c
  34,3f7o_X_A-X_0,A,0.275,0.284,0.275,0.284,3f7o
  35,1yti_I_A-I_0,A,0.155,0.331,0.155,0.331,1yti
  36,1yti_I_A-I_0,B,0.155,0.331,0.155,0.331,1yti
  37,1sts_P_B-D-M-P_0,D,0.153,0.274,0.153,0.274,1sts
  38,1sts_P_B-D-M-P_0,A,0.175,0.330,0.175,0.330,1sts
  39,4ba3_B_A-B_0,A,0.238,0.186,0.186,0.238,4ba3
  40,3wor_C_A-B-C-D_0,A,0.308,0.163,0.163,0.308,3wor
  41,5gu4_C_A-C_0,A,0.247,0.274,0.247,0.274,5gu4
  42,3uf7_B_A-B-C_0,A,0.245,0.300,0.245,0.300,3uf7
  43,5oav_B_A-B_0,A,0.133,0.433,0.133,0.433,5oav
  44,4kg9_B_A-B_0,A,0.174,0.306,0.174,0.306,4kg9
  45,1d00_I_A-I_0,A,0.185,0.275,0.185,0.275,1d00
  46,5xup_D_A-B-C-D_0,B,0.215,0.286,0.215,0.286,5xup
  47,2dze_X_A-B-X_0,A,0.194,0.310,0.194,0.310,2dze
  48,2dze_X_A-B-X_0,B,0.204,0.313,0.204,0.313,2dze
  49,4bjt_E_B-E_2,B,0.224,0.351,0.224,0.351,4bjt
  50,4k72_C_A-C_0,A,0.152,0.388,0.152,0.388,4k72
  51,5k4f_C_A-C_0,A,0.166,0.369,0.166,0.369,5k4f
  52,3drj_B_A-B_0,A,0.298,0.189,0.189,0.298,3drj
  53,3rt9_B_A-B_0,F,0.288,0.199,0.199,0.288,3rt9
  54,3rt9_B_A-B_0,A,0.288,0.199,0.199,0.288,3rt9
  55,5m5v_G_A-E-G-I_0,A,0.271,0.237,0.237,0.271,5m5v
  56,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.294,0.263,0.263,0.294,4tr9
  57,4gne_B_A-B_0,A,0.140,0.287,0.140,0.287,4gne
  58,3sxu_C_A-B-C_0,A,0.195,0.314,0.195,0.314,3sxu
  59,4ynl_C_A-B-C-D_0,A,0.135,0.345,0.135,0.345,4ynl
  60,4ynl_C_A-B-C-D_0,B,0.127,0.336,0.127,0.336,4ynl
  61,5sxm_D_B-D_1,B,0.292,0.288,0.288,0.292,5sxm
  62,2bgr_Y_A-B-Y-Z_0,A,0.311,0.157,0.157,0.311,2bgr
  63,1b9j_B_A-B_0,A,0.306,0.205,0.205,0.306,1b9j
  64,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.179,0.318,0.179,0.318,1kl3
  65,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.157,0.311,0.157,0.311,1kl3
  66,5jiu_C_A-B-C-D_0,A,0.245,0.315,0.245,0.315,5jiu
  67,5ovv_B_A-B_0,A,0.170,0.376,0.170,0.376,5ovv
  68,5iz2_Z_A-B-Z_0,B,0.203,0.365,0.203,0.365,5iz2
  69,5huw_B_A-B-C_0,C,0.249,0.196,0.196,0.249,5huw
  70,2fib_B_A-B_0,A,0.244,0.275,0.244,0.275,2fib
  71,1ok7_C_A-B-C_0,B,0.256,0.221,0.221,0.256,1ok7
  72,5fou_C_A-C_0,A,0.243,0.295,0.243,0.295,5fou
  73,3t70_F_A-B-C-F_0,A,0.197,0.318,0.197,0.318,3t70
  74,3t70_F_A-B-C-F_0,B,0.183,0.313,0.183,0.313,3t70
  75,4o51_N_A-B-N_1,A,0.217,0.272,0.217,0.272,4o51
  76,4o51_N_A-B-N_1,B,0.253,0.316,0.253,0.316,4o51
  77,1v1t_S_A-B-S-T_0,B,0.220,0.333,0.220,0.333,1v1t
  78,2foj_B_A-B_0,A,0.190,0.322,0.190,0.322,2foj
  79,3nfl_G_B-C-F-G_5,C,0.169,0.371,0.169,0.371,3nfl
  80,6hpg_c_C-c_2,C,0.171,0.326,0.171,0.326,6hpg
  81,3ou3_C_A-B-C_0,A,0.166,0.358,0.166,0.358,3ou3
  82,3ou3_C_A-B-C_0,B,0.166,0.358,0.166,0.358,3ou3
  83,3woq_C_A-B-C-D_0,A,0.325,0.171,0.171,0.325,3woq
  84,4faf_D_A-B-D_0,A,0.168,0.359,0.168,0.359,4faf
  85,4faf_D_A-B-D_0,B,0.169,0.360,0.169,0.360,4faf
  86,6cd8_C_A-C_0,A,0.209,0.311,0.209,0.311,6cd8
