index,syst,chain,tm1,tm2,min,max,pdb
   0,4j79_B_A-B_0,A,0.275,0.224,0.224,0.275,4j79
   1,3f7o_X_A-X_0,A,0.356,0.296,0.296,0.356,3f7o
   2,3sjk_B_A-B_0,A,0.253,0.293,0.253,0.293,3sjk
   3,1svz_C_A-B-C-D_0,A,0.303,0.295,0.295,0.303,1svz
   4,5yba_B_A-B-C-D_0,A,0.252,0.305,0.252,0.305,5yba
   5,4jor_D_B-D_1,B,0.194,0.366,0.194,0.366,4jor
   6,1nvs_B_A-B_0,A,0.307,0.272,0.272,0.307,1nvs
   7,1yti_I_A-I_0,A,0.204,0.347,0.204,0.347,1yti
   8,1yti_I_A-I_0,B,0.204,0.347,0.204,0.347,1yti
   9,2h9m_D_C-D_1,C,0.277,0.223,0.223,0.277,2h9m
  10,4c2g_B_A-B-C_0,A,0.284,0.176,0.176,0.284,4c2g
  11,3ifo_P_H-L-P_0,L,0.236,0.240,0.236,0.240,3ifo
  12,3ifo_P_H-L-P_0,H,0.266,0.272,0.266,0.272,3ifo
  13,4sga_P_E-P_0,E,0.242,0.278,0.242,0.278,4sga
  14,1hsb_C_A-B-C_0,A,0.260,0.226,0.226,0.260,1hsb
  15,4j84_D_B-D_1,B,0.281,0.231,0.231,0.281,4j84
  16,1e4x_P_H-L-P_0,L,0.242,0.249,0.242,0.249,1e4x
  17,1e4x_P_H-L-P_0,H,0.221,0.225,0.221,0.225,1e4x
  18,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.198,0.375,0.198,0.375,2y1l
  19,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.294,0.393,0.294,0.393,2y1l
  20,4fys_C_A-C_0,A,0.352,0.123,0.123,0.352,4fys
  21,5y53_F_C-E-F_1,C,0.235,0.334,0.235,0.334,5y53
  22,5y53_F_C-E-F_1,E,0.234,0.332,0.234,0.332,5y53
  23,2bgr_Y_A-B-Y-Z_0,A,0.433,0.169,0.169,0.433,2bgr
  24,3cww_E_A-B-D-E_0,A,0.357,0.119,0.119,0.357,3cww
  25,3gq1_C_A-C_0,A,0.184,0.385,0.184,0.385,3gq1
  26,3oqs_B_A-B_0,A,0.282,0.181,0.181,0.282,3oqs
  27,5grg_D_A-B-C-D_0,A,0.286,0.249,0.249,0.286,5grg
  28,5eyz_E_A-E_0,A,0.200,0.359,0.200,0.359,5eyz
  29,3s9c_B_A-B_0,A,0.250,0.242,0.242,0.250,3s9c
  30,3thk_C_A-C_0,A,0.113,0.292,0.113,0.292,3thk
  31,5m5t_E_A-E-G-I_0,A,0.300,0.214,0.214,0.300,5m5t
  32,3ziq_B_A-B-C_0,A,0.267,0.172,0.172,0.267,3ziq
  33,3tcg_I_A-I_0,A,0.343,0.178,0.178,0.343,3tcg
  34,3fp2_Q_A-Q_0,A,0.302,0.171,0.171,0.302,3fp2
  35,3m5o_C_A-C_0,A,0.260,0.279,0.260,0.279,3m5o
  36,1b3g_B_A-B_0,A,0.347,0.179,0.179,0.347,1b3g
  37,3ufm_B_A-B_0,A,0.947,0.919,0.919,0.947,3ufm
  38,4ouc_B_A-B_0,A,0.352,0.267,0.267,0.352,4ouc
  39,4odk_C_A-B-C_0,A,0.225,0.284,0.225,0.284,4odk
  40,1sem_C_A-B-C-D_0,A,0.113,0.281,0.113,0.281,1sem
  41,3nij_B_A-B_0,A,0.147,0.296,0.147,0.296,3nij
  42,3gv4_H_A-H_0,A,0.192,0.334,0.192,0.334,3gv4
  43,3nfl_G_B-C-F-G_5,C,0.185,0.346,0.185,0.346,3nfl
  44,3t70_F_A-B-C-F_0,A,0.205,0.264,0.205,0.264,3t70
  45,3t70_F_A-B-C-F_0,B,0.188,0.260,0.188,0.260,3t70
  46,2wa8_D_C-D_1,C,0.184,0.337,0.184,0.337,2wa8
  47,4fii_B_A-B_0,A,0.356,0.296,0.296,0.356,4fii
  48,3dri_B_A-B_0,A,0.336,0.171,0.171,0.336,3dri
  49,6cd8_C_A-C_0,A,0.262,0.319,0.262,0.319,6cd8
  50,5fpk_C_A-C_0,A,0.335,0.331,0.331,0.335,5fpk
  51,3zs6_B_A-B_0,A,0.331,0.185,0.185,0.331,3zs6
  52,1uop_B_A-B_0,A,0.398,0.158,0.158,0.398,1uop
  53,2g30_S_A-P-S_0,A,0.252,0.244,0.244,0.252,2g30
  54,4bjt_E_B-E_2,B,0.277,0.358,0.277,0.358,4bjt
  55,4jmy_E_A-C-E_0,A,0.260,0.294,0.260,0.294,4jmy
  56,4f74_C_A-B-C_0,A,0.204,0.349,0.204,0.349,4f74
  57,4f74_C_A-B-C_0,B,0.203,0.343,0.203,0.343,4f74
  58,4k72_C_A-C_0,A,0.194,0.364,0.194,0.364,4k72
  59,3drh_B_A-B_0,A,0.333,0.168,0.168,0.333,3drh
  60,4z88_V_J-V_1,J,0.141,0.310,0.141,0.310,4z88
  61,1ok7_C_A-B-C_0,B,0.276,0.197,0.197,0.276,1ok7
  62,4ba3_B_A-B_0,A,0.256,0.158,0.158,0.256,4ba3
  63,5wun_C_A-B-C_0,A,0.282,0.180,0.180,0.282,5wun
  64,5ovv_B_A-B_0,A,0.199,0.338,0.199,0.338,5ovv
  65,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.185,0.337,0.185,0.337,1xb0
  66,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.186,0.349,0.186,0.349,1xb0
  67,3ny3_B_A-B_0,A,0.161,0.327,0.161,0.327,3ny3
  68,1b9j_B_A-B_0,A,0.347,0.180,0.180,0.347,1b9j
  69,3nil_X_D-X_2,D,0.156,0.304,0.156,0.304,3nil
  70,3zin_C_A-B-C_0,A,0.275,0.177,0.177,0.275,3zin
  71,4c2c_B_A-B-C_0,A,0.287,0.177,0.177,0.287,4c2c
  72,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.239,0.203,0.203,0.239,2z9i
  73,5gu4_C_A-C_0,A,0.293,0.267,0.267,0.293,5gu4
  74,3nim_X_F-X_3,F,0.162,0.317,0.162,0.317,3nim
  75,6fqc_E_A-B-D-E_0,A,0.326,0.245,0.245,0.326,6fqc
  76,4ynl_C_A-B-C-D_0,A,0.168,0.358,0.168,0.358,4ynl
  77,4ynl_C_A-B-C-D_0,B,0.188,0.409,0.188,0.409,4ynl
  78,4hxj_C_A-C_0,A,0.113,0.256,0.113,0.256,4hxj
  79,5fox_C_A-C_0,A,0.337,0.338,0.337,0.338,5fox
  80,6fkp_G_C-G_2,C,0.134,0.340,0.134,0.340,6fkp
  81,1rzx_B_A-B_0,A,0.178,0.299,0.178,0.299,1rzx
  82,3nfk_D_A-B-C-D_2,B,0.190,0.349,0.190,0.349,3nfk
  83,5azf_C_A-C_0,A,0.231,0.357,0.231,0.357,5azf
  84,2zgh_B_A-B_0,A,0.276,0.269,0.269,0.276,2zgh
  85,1qka_B_A-B_0,A,0.345,0.179,0.179,0.345,1qka
  86,1b05_B_A-B_0,A,0.344,0.180,0.180,0.344,1b05
  87,4rxh_A_A-B-C_0,B,0.263,0.172,0.172,0.263,4rxh
  88,4q6f_H_C-H_2,C,0.138,0.367,0.138,0.367,4q6f
  89,2ce9_X_A-B-X_0,A,0.273,0.204,0.204,0.273,2ce9
  90,5zw6_C_A-B-C-D_0,A,0.289,0.198,0.198,0.289,5zw6
