index,syst,chain,tm1,tm2,min,max,pdb
   0,1b5j_B_A-B_0,A,0.358,0.132,0.132,0.358,1b5j
   1,1sts_P_B-D-M-P_0,D,0.347,0.378,0.347,0.378,1sts
   2,1sts_P_B-D-M-P_0,A,0.345,0.371,0.345,0.371,1sts
   3,2foj_B_A-B_0,A,1.000,1.000,1.000,1.000,2foj
   4,1str_M_B-D-M-P_0,C,0.348,0.379,0.348,0.379,1str
   5,1str_M_B-D-M-P_0,B,0.345,0.371,0.345,0.371,1str
   6,4ztd_F_A-B-C-D-E-F_0,C,0.328,0.213,0.213,0.328,4ztd
   7,3t70_F_A-B-C-F_0,A,0.366,0.347,0.347,0.366,3t70
   8,3t70_F_A-B-C-F_0,B,0.373,0.373,0.373,0.373,3t70
   9,5grg_D_A-B-C-D_0,A,0.406,0.247,0.247,0.406,5grg
  10,4ezy_B_A-B_2,A,0.363,0.258,0.258,0.363,4ezy
  11,6cdc_C_A-C_0,A,0.368,0.327,0.327,0.368,6cdc
  12,3shb_B_A-B_0,A,0.190,0.278,0.190,0.278,3shb
  13,2g30_S_A-P-S_0,A,0.473,0.309,0.309,0.473,2g30
  14,2b6n_B_A-B_0,A,0.326,0.194,0.194,0.326,2b6n
  15,4ny3_C_A-C_0,A,0.322,0.184,0.184,0.322,4ny3
  16,3rc4_B_A-B_0,A,0.326,0.252,0.252,0.326,3rc4
  17,5xcr_F_D-E-F_1,D,0.413,0.364,0.364,0.413,5xcr
  18,5xcr_F_D-E-F_1,E,0.405,0.356,0.356,0.405,5xcr
  19,2h2f_B_A-B_0,A,0.312,0.215,0.215,0.312,2h2f
  20,3rta_B_A-B_0,F,0.324,0.123,0.123,0.324,3rta
  21,3rta_B_A-B_0,A,0.324,0.123,0.123,0.324,3rta
  22,4k76_G_C-G_2,C,0.319,0.445,0.319,0.445,4k76
  23,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.313,0.343,0.313,0.343,1kl5
  24,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.314,0.344,0.314,0.344,1kl5
  25,1u9l_C_B-C_1,B,0.205,0.328,0.205,0.328,1u9l
  26,4j81_C_B-C_1,B,0.330,0.195,0.195,0.330,4j81
  27,4o51_N_A-B-N_1,A,0.395,0.281,0.281,0.395,4o51
  28,4o51_N_A-B-N_1,B,0.390,0.276,0.276,0.390,4o51
  29,4k3p_E_A-B-E_0,A,0.264,0.137,0.137,0.264,4k3p
  30,3woq_C_A-B-C-D_0,A,0.306,0.088,0.088,0.306,3woq
  31,3qhw_L_A-B-J-L_0,B,0.294,0.189,0.189,0.294,3qhw
  32,4wvh_C_A-C_0,A,0.291,0.111,0.111,0.291,4wvh
  33,4k75_B_A-B_0,A,0.307,0.425,0.307,0.425,4k75
  34,3gv4_H_A-H_0,A,0.250,0.305,0.250,0.305,3gv4
  35,4j45_B_A-B_0,A,0.262,0.367,0.262,0.367,4j45
  36,1lvm_C_A-C-E_0,A,0.339,0.237,0.237,0.339,1lvm
  37,3nik_X_D-X_2,D,0.268,0.365,0.268,0.365,3nik
  38,1v1t_S_A-B-S-T_0,B,0.338,0.299,0.299,0.338,1v1t
  39,1olc_B_A-B_0,A,0.352,0.129,0.129,0.352,1olc
  40,5t6p_E_C-D-E_1,D,0.399,0.290,0.290,0.399,5t6p
  41,5t6p_E_C-D-E_1,C,0.395,0.280,0.280,0.395,5t6p
  42,4od7_E_C-E_2,C,0.334,0.273,0.273,0.334,4od7
  43,6cdg_B_A-B_0,A,0.371,0.330,0.330,0.371,6cdg
  44,2hpl_B_A-B_0,A,0.257,0.309,0.257,0.309,2hpl
  45,4ba3_B_A-B_0,A,0.305,0.126,0.126,0.305,4ba3
  46,2ipu_P_G-K-P_1,G,0.388,0.270,0.270,0.388,2ipu
  47,2ipu_P_G-K-P_1,K,0.394,0.276,0.276,0.394,2ipu
  48,2f5b_P_H-L-P_0,L,0.417,0.290,0.290,0.417,2f5b
  49,2f5b_P_H-L-P_0,H,0.419,0.274,0.274,0.419,2f5b
  50,3tcg_I_A-I_0,A,0.352,0.128,0.128,0.352,3tcg
  51,4hxj_C_A-C_0,A,0.179,0.290,0.179,0.290,4hxj
  52,4ikn_B_A-B_0,A,0.492,0.313,0.313,0.492,4ikn
  53,5zw6_C_A-B-C-D_0,A,0.310,0.144,0.144,0.310,5zw6
  54,1gyb_E_A-B-E-F_0,A,0.287,0.310,0.287,0.310,1gyb
  55,1gyb_E_A-B-E-F_0,B,0.293,0.315,0.293,0.315,1gyb
  56,3q49_C_B-C_0,B,0.270,0.277,0.270,0.277,3q49
  57,4z8j_B_A-B_0,A,0.290,0.376,0.290,0.376,4z8j
  58,3t64_F_A-B-C-F_0,A,0.367,0.342,0.342,0.367,3t64
  59,3t64_F_A-B-C-F_0,B,0.372,0.375,0.372,0.375,3t64
  60,5lyn_C_A-B-C-D_0,A,0.229,0.234,0.229,0.234,5lyn
  61,5lyn_C_A-B-C-D_0,B,0.228,0.232,0.228,0.232,5lyn
  62,4jor_D_B-D_1,B,0.313,0.441,0.313,0.441,4jor
  63,4jop_C_A-C_0,A,0.311,0.439,0.311,0.439,4jop
  64,4es0_C_A-C_0,A,0.310,0.183,0.183,0.310,4es0
  65,1obz_P_A-B-P_0,A,0.318,0.282,0.282,0.318,1obz
  66,4k3m_E_A-B-E_0,A,0.267,0.136,0.136,0.267,4k3m
